"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Somalia","Ethiopia","South Africa","Madagascar","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,695.1001,164,2.32,69.49,364.4,4.5,1.1,17.5,14.8,13.7,34.71,32.4,425.1,17.66,45.8,138.48,18.8,0.606,29,220.4,41.2,525.6,21.5,367.8,4.736,0.2639,316.7,41.2,45.4,1.9,0,1,102,51,0.1,9,241.4,0,44.3,57.8,4,1,4.93,15,9.9,171.7,51.7,67.9,0.2,0,5.6,0.7,0,0.2,18.44,1.8,0,6,36.3,0.6,3.6,10.6,2.8,0.5,0.6,3.9,47,0,17.1,70,11.8,26,14.7,33.9,0.8,50.7,55.7,14,79.8,36.2,14.1,113.6,7,0,12,0,0,256,9,112.3,306.6,375.6,120.6,7.8,27.3,1,15.5,1.8,1.6,56.1,0,0,31.6,123.7,320.09,48.26
"Canada",695.1001,0,5.5,0.15,3.69,9.3,1.1,2.5,1.3,1.2,1.5,4.73,0.3,179,8.69,8.6,10.21,0.2,0.8,4.6,12.7,1.3,403.5,11,0.8,1.3261,0.0739,34.9,12.7,0.8,0,0,0.1,15,5.3,0.7,0.6,16.4,9,1,11.4,0.6,0.3,1.3,4.8,4,2.1,66.6,7.7,0.2,0,0,0,0,0,0.01,3,0,0.4,2,0,0,1.8,0,0,0,0,0.8,0,0.1,46.9,0,0.3,0,0.1,0.2,34.7,0.6,0.8,0.5,1.1,0,4.3,42.1,9,0,2.9,0,1.7,0,5.1,79.8,3.8,12.9,0.2,13.6,0,1.3,0.1,0,0.8,0,0,12.6,2,61.53,13.63
"Cuba",164,5.5,0,0.002,0.11,0.6,0.2,1.5,0.2,0.2,0.3,0.22,0.8,26.3,0.9,0.1,2.65,0,9,0.1,0.1,1.1,0.5,1.7,4.3,3.3153,0.1847,2.3,1.9,0.4,0,0,0,0,0.2,0,0,4.8,0,0.4,12.2,9,0,0,0,0.2,0.9,1.4,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,9,19.4,2,9,0,9.9,0,11,7.5,0,0,0.2,0,9,0,0,0,0,0,0,11.8,11.4,2.4,9,0,0,0,9.3,0,2.9,0,0,0,0,0.11,0
"Haiti",2.32,0.15,0.002,0,0.018,0.05,0.2,0,0.01,0,0.01,0.11,0.01,0.008,0.01,0.1,0.03,0,0,0.02,0.01,0,1.25,0.03,1.01,3.0311,0.1689,1.66,0.89,0.057,0.07,0,0,0.106,0.05,0.053,0.06,5.57,0,0,0.1,0,9.139,0,0,0.03,0.06,0.65,0.52,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,9,0,0,0,0,9,0,0.03,0,0,0,0,0,0,0,0.018,0.008,0,0,9,9,0,0,0,0,0,0,0.08,0.46,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01
"Dominican Republic",69.49,3.69,0.11,0.018,0,0.33,0,0.1,0,0,0.01,0,0.03,0,0,0.11,0.33,0,0,0.11,0,0.2,21.47,0.4,4,1.0419,0.0581,0.16,1.23,1.72,0.11,0,0,0.11,0.08,0,0.66,0.13,9,0,0,0,0,0,0,0.33,2.17,1.47,1.99,0,0,9,9,0,0,9,0,0,0,0,9,0,0,0,0,0,0,9,0,9,0,0.1,1.4,0,0,9,2.2,0,0.55,0,2.1,0,0,0,0,0,0,9,0,0,0.7,2.21,0.77,0.11,0,0.7,0,0,0,9,0,0,0,0,0.22,0,0.7
"Mexico",364.4,9.3,0.6,0.05,0.33,0,1.8,0.9,1.8,1.1,1.1,5.9,0.8,3.8,0.44,0.1,1.44,0,0.1,0.8,0.4,0.1,42,0,10.2,6.9147,0.3853,0.9,9,1.8,0,0,0.2,0.2,1.1,0,1.8,6.7,0,1.2,0.6,0,0,0.02,0.4,1.8,10.7,1.1,2.4,0,9,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,9,0,0.1,0,0,1.1,9,0.1,0,0.3,0,0.1,0,0,0.3,0,0,1.1,0,9,0,0,0,0.1,9,0,85.8,2.6,0.1,0,1.8,9,0.3,9,9,0,0,0,0.3,5.3,4.93,0.7
"Guatemala",4.5,1.1,0.2,0.2,0,1.8,0,0.2,0.7,0.5,0.2,0.11,0.2,0.8,0,0.7,0,0,0,0.1,0,0.1,4.5,0,0.2,1.2314,0.0686,2.6,1.5,0,0.2,0,0,0,0.6,0,0,1.6,9,0,0,0,0,0,0,0.3,4,0.3,0.9,0,0,9,0,9,0,0,0,0,9,0,9,0,0,9,0,0,9,0,0,0.1,0,0,0,0,0,0,0,0.2,9,0,0,0,0.1,0,0,9,0,9,0,0,0,1.1,0,0.2,9,0.1,0,0.1,0,0,0,0,0,0,0.1,0,0
"Honduras",1.1,2.5,1.5,0,0.1,0.9,0.2,0,2.2,0,0,0.02,0.1,1.3,0,0.3,0,0,0,0.1,0.1,0.1,1.6,0,0.2,0.2842,0.0158,0.5,0.2,0.1,0,0,0,0.2,0.1,0.1,0.6,0.8,0,0,0.6,0,0,0,0,0.1,0.7,0.4,0.4,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,9,0,0,9,0,0,0,3.7,0.2,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"El Salvador",17.5,1.3,0.2,0.01,0,1.8,0.7,2.2,0,0.3,0.4,0.88,0.2,1.3,0,0.3,0,0,0,0,0,0.1,4.2,0,6.5,3.2205,0.1795,1.8,0.4,0.2,0,0,0,0,0.3,0,0.2,1.6,0,0,0,0,0,0,0,0.1,0.5,0.3,0.6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.2,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"Nicaragua",14.8,1.2,0.2,0,0,1.1,0.5,0,0.3,0,1.7,2.3,0.1,0.8,0,0.2,0,0,0,0.1,0,0.1,0.2,0,0.8,0.9472,0.0528,1.3,0.2,0.2,0.1,0,0,0,0.1,0,0,0.2,9,0,0,0,0,0,0,0.1,1.6,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.1,0,0,0,0,5.4,0.2,0,0,0,0,0,0,0,9,0,0,0.1,0,0,0
"Costa Rica",13.7,1.5,0.3,0.01,0.01,1.1,0.2,0,0.4,1.7,0,0.76,0.7,1.6,0,0.1,0,0,0,0.2,0,0,5.4,0,3.5,1.0419,0.0581,1.2,1.4,0.6,0,0,0,0,0.8,0,0.2,0.1,0,0,0,0,0,0,0,0,0.2,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,9,9,0,9,0,0,0,7.2,0.4,0.1,0,0,0,0,9,0,9,0,0,0,0,0,0
"Panama",34.71,4.73,0.22,0.11,0,5.9,0.11,0.02,0.88,2.3,0.76,0,9.99,3.19,0.1,0.02,0.66,0.2,0,1.46,0.18,0,3.55,0,2.01,0.9188,0.0512,0.99,0.77,0.23,0.11,0,0,0.22,0.11,0,0,0.85,9,0.2,0.2,0,0,0,0,0.4,0,1.99,4.75,0.11,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0.11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0.22,0,0,0,0,2.4,0,9,9,0,0,0.49,0,0.1,0.88
"Colombia",32.4,0.3,0.8,0.01,0.03,0.8,0.2,0.1,0.2,0.1,0.7,9.99,0,0,1.96,2.4,0.2,0,0,1.1,0.2,0.2,6.2,0.2,13.5,3.2205,0.1795,12.1,7.5,1,0.2,0,0,0,0.3,0,0.1,5.3,0,0,0,0,0,0,0,0.8,0.6,0.9,0.5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0.1,0,0,0,0,0,0,0,0,0.4,0,9,9,0,9,0,0,0,8.3,0.2,0,0,0,0,0,0,9,0,0,0,0.2,0,0.28,0
"Venezuela",425.1,179,26.3,0.008,0,3.8,0.8,1.3,1.3,0.8,1.6,3.19,0,0,3.49,0.5,124.55,0.5,3.5,0.5,84.3,37.4,131.9,0.1,9.8,19.039,1.061,23.8,25,10.9,1.1,0,0,1.7,4.2,0.2,2.8,53.3,9,0.1,0.1,0.2,0,0.7,0,1.4,22.4,9.9,13.2,0.4,9,2.7,0,9,0,2.04,0,9,0.6,2.6,0,0.1,0.8,1,0,9,0,0.4,0,0,0.6,0,1,0,0.7,3.6,0.2,0,0,0.1,0.2,0.2,1.6,0,9,0,0.4,0,0,0,0,40.8,0.4,0.3,0,0.1,0,0.3,0,0,0,0,0,8.4,1.3,3.2,1.7
"Ecuador",17.66,8.69,0.9,0.01,0,0.44,0,0,0,0,0,0.1,1.96,3.49,0,0.26,0,0.2,0,3.33,0.1,0.22,5.38,0,2.1,5.1623,0.2877,0.85,2.3,0.12,0.33,0,0,0,3.6,0,0,1.42,9,0,0.9,0,0,0,0,0.12,3.74,0.23,0.68,0,9,0,9,0,0,0,0,0,0,0,0,0,9,0,9,0,0,9,9,0,0.11,9,0,0,0,0,0,0,0,0,0,0,0.11,9,0,0,0,0,0,9,0,1.66,0.55,0,0,0.11,9,0,0,0,0,0,0,0.2,0,0.11,0
"Peru",45.8,8.6,0.1,0.1,0.11,0.1,0.7,0.3,0.3,0.2,0.1,0.02,2.4,0.5,0.26,0,2.36,2.5,0,18.9,5.8,0.5,22.6,0.9,2,18.5654,1.0346,3.5,3.1,0.3,0.4,0,0,0.1,2.4,0,1.3,0.8,0,0.1,0.1,0,0,0,0,1.2,4.9,1.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.3,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.5,0,0,0,0,0,0,0,0,25.5,3.1,2.1,0,0.4,0,0,0,0,0,0,0,0.2,1.2,0.29,1.8
"Brazil",138.48,10.21,2.65,0.03,0.33,1.44,0,0,0,0,0,0.66,0.2,124.55,0,2.36,0,2.16,0.246,3.93,43.29,14.64,25.48,0.7,2.61,7.9471,0.4429,13.46,6.5,12.34,0.92,0,1.82,6.22,4.01,0.11,4.57,3.76,9.2,2.08,0.59,0.6,0,0.86,5.86,12.33,8.62,4.78,4.37,0.32,0,0.1,0,0,0,0,0,9,0,0.8,0,0,0,0,0,9,0,2.53,0,0,6.14,0,5.58,0.47,0,0.1,0.1,0.8,0,0.12,1.3,0.1,0.08,22.88,0,0,0.5,9,0,0,0,9,1,0,0,5.8,0,1.44,0,9,0,0,0,0.6,0,7.26,0
"Bolivia",18.8,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0.5,0.2,2.5,2.16,0,0.6,2.4,0.4,0.1,29.4,0,1.9,1.1367,0.0633,0.5,0.2,0.1,0.1,0,0.1,0,0.1,0,0.6,1.8,0,0.1,0,0,9,0,0,0,1.6,0.1,0.4,0,0,9,0,0,0,0,9,0,0,0,0,0,9,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,2.1,0,0,0,0.1,0,0,0,9,0,0,0,0,0,0,0
"Paraguay",0.606,0.8,9,0,0,0.1,0,0,0,0,0,0,0,3.5,0,0,0.246,0.6,0,0.2,0.872,1.274,2.702,0,0.784,0.6062,0.0338,0.726,0.224,1.708,0,0,9,9,0.1,9,0,0.531,0,0,0.2,0.1,0,9,9,0,0.372,0.1,0,0,9,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,9,0,2.12,0.2,0,9,0,0,0,0,9,0.1,0,0,0.5,0,0,0
"Chile",29,4.6,0.1,0.02,0.11,0.8,0.1,0.1,0,0.1,0.2,1.46,1.1,0.5,3.33,18.9,3.93,2.4,0.2,0,20.3,1.5,60,0.3,5.9,1.9892,0.1108,3.2,0.9,0.5,0.2,0,0.1,0.6,0.5,0,1,11.3,0,0.2,0.1,0,0,0,0,1.9,12.4,0.2,2.7,0,0,0,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.6,0,0,0,0,9,0,0,0,0.7,0,0,0.9,1.6,0.1,0,1.8,0,0,0,0,9,0,0,0,0.1,0.24,0.1
"Argentina",220.4,12.7,0.1,0.01,0,0.4,0,0.1,0,0,0,0.18,0.2,84.3,0.1,5.8,43.29,0.4,0.872,20.3,0,7.9,161.6,6.3,50.1,13.7346,0.7654,3.9,3,1.3,1.7,0,0.8,6.7,8.3,2.54,1,68.4,9,3.4,7.5,0.1,0.3,0.02,3.4,6.8,5.4,3.3,6.2,0,0,0,0,0,0.1,0,0,0,0,0.9,0,0,0,0,0,0,0,0.2,0,0,3.7,0,0.8,0,0.1,0,0,0.1,0.2,0.6,3.7,0.2,0.8,0,0,9,1.5,0,0,0,0.1,22.8,18.9,3.4,0.1,0.4,0,0,0,0,0,0,0,2.9,0.1,3.74,0
"Uruguay",41.2,1.3,1.1,0,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0.2,37.4,0.22,0.5,14.64,0.1,1.274,1.5,7.9,0,15.7,0.1,4.6,2.6522,0.1478,1.5,2.2,0.9,0.2,0,0.5,2.5,0.2,1.22,1.1,0.8,0,0.1,0.2,0,0.1,0.03,11.2,1.1,2.4,0,0.2,0,0,0,9,9,0,0,0,9,0,0.3,0,0,0,0,0,0,0,0,9,9,1.3,0,0.1,0.1,0,0,0.2,0.1,0,0.5,0,0,0.3,1.2,9,9,4.3,9,0,0,0,0.8,0.8,0.5,9,0.5,9,0,0,0,9,0,0,0.5,0.1,0,0
"United Kingdom",525.6,403.5,0.5,1.25,21.47,42,4.5,1.6,4.2,0.2,5.4,3.55,6.2,131.9,5.38,22.6,25.48,29.4,2.702,60,161.6,15.7,0,39.3,197.8,73.8829,4.1172,142.9,4.4,133.5,0.9,0,5.6,59.6,36.7,1.6,6.8,29,0.1,1.4,47.7,18.7,1.5,8.43,70.6,127.3,84,1.8,66.3,2.2,0,0.2,0.4,0,0.3,1.16,2.3,0,2.1,69.7,1,0.7,28.7,1.5,0.3,0.7,1,12.6,2.3,2.2,69.6,0.8,25.6,7.3,30.9,2.4,56.6,20.5,56.1,20.1,19.9,16.5,13.3,9.8,0,8.5,20.1,0,0.7,0,7.3,21.5,23.9,32.2,9,24.3,0,35,1.6,16.9,2.1,0,0,14.3,43.4,311.06,183.41
"Ireland",21.5,11,1.7,0.03,0.4,0,0,0,0,0,0,0,0.2,0.1,0,0.9,0.7,0,0,0.3,6.3,0.1,39.3,0,14.4,10.0405,0.5595,9.6,2.3,3.1,0.1,0,1.4,1.8,0.7,0.1,0.9,2.7,0,0.3,0.4,0.3,0,0,2.2,11.4,8,1.3,3.1,0.3,0,0,0,0,0,0,0,0,0,3.1,0,0,0.1,0,0,0,0,0.4,0,0.2,1.8,0,2.7,0.1,0,0.1,0,0.9,21.6,0,0.6,0,0.9,7.5,9,0,1.4,0,0,0,0,8.6,9.5,2.3,0.3,2,9,0.2,0,0,0,0,0,0.2,0.4,8.58,2.2
"Netherlands",367.8,0.8,4.3,1.01,4,10.2,0.2,0.2,6.5,0.8,3.5,2.01,13.5,9.8,2.1,2,2.61,1.9,0.784,5.9,50.1,4.6,197.8,14.4,0,229.8893,12.8107,59.9,9.6,0.2,8.9,0,3.2,6.1,6,1.9,7.6,29.8,0,6.9,15.6,3.5,0.4,2.03,32.6,17.1,91.1,54,81.9,1.9,0,2.5,0,0,0.2,6.73,0.3,0,2.6,21.6,0.5,13.3,7,1.4,0.2,0.3,0,4.2,0.2,0.5,23.8,2.1,1.7,6.1,8.2,1,7.8,7.1,10.5,6.8,27.7,4.1,15.7,18.7,0,0.8,14.4,0,0.8,0,5.5,4.6,17.1,6.2,8,4.1,0,15.3,0.6,0.3,0.9,0,0,18.4,33.7,34.25,0.05
"Belgium",4.736,1.3261,3.3153,3.0311,1.0419,6.9147,1.2314,0.2842,3.2205,0.9472,1.0419,0.9188,3.2205,19.039,5.1623,18.5654,7.9471,1.1367,0.6062,1.9892,13.7346,2.6522,73.8829,10.0405,229.8893,0,0,156.859,25.7643,13.9241,19.2285,88.0911,2.368,6.3463,0.1895,7.7672,9.851,20.744,0,3.7889,26.9009,1.8944,2.9364,0.8999,9.0933,6.0622,7.483,21.9754,54.2755,0.7578,0,1.8944,0.6631,0,0.0947,1.0988,2.2733,0,0.5683,6.2516,0.3789,2.9364,0.2842,0.2842,0.3789,0.4736,1.5155,193.0426,0,0.9472,23.0173,0.7578,6.2516,1.3261,1.7997,0.4736,28.1323,0.663,21.2176,3.6941,3.2205,2.4628,2.0839,16.1027,0.0947,0.3789,32.8684,9,0,0,2.2733,7.8619,20.1757,1.6103,0,4.8308,0,0.6631,0.7578,0,0,0,0,0.9472,6.3463,25.6222,15.2028
"Luxembourg",0.2639,0.0739,0.1847,0.1689,0.0581,0.3853,0.0686,0.0158,0.1795,0.0528,0.0581,0.0512,0.1795,1.061,0.2877,1.0346,0.4429,0.0633,0.0338,0.1108,0.7654,0.1478,4.1172,0.5595,12.8107,0,0,8.7411,1.4357,0.7759,1.0715,4.9089,0.132,0.3537,0.0106,0.4328,0.549,1.156,0,0.2111,1.4991,0.1056,0.1636,0.0501,0.5067,0.3378,0.417,1.2246,3.0245,0.0422,0,0.1056,0.0369,0,0.0053,0.0612,0.1267,0,0.0317,0.3484,0.0211,0.1636,0.0158,0.0158,0.0211,0.0264,0.0845,10.7574,0,0.0528,1.2827,0.0422,0.3484,0.0739,0.1003,0.0264,1.5677,0.0369,1.1824,0.2059,0.1795,0.1372,0.1161,0.8973,0.0053,0.0211,1.8316,9,0,0,0.1267,0.4381,1.1243,0.0897,0,0.2692,0,0.0369,0.0422,0,0,0,0,0.0528,0.3537,1.4278,0.8472
"France",316.7,34.9,2.3,1.66,0.16,0.9,2.6,0.5,1.8,1.3,1.2,0.99,12.1,23.8,0.85,3.5,13.46,0.5,0.726,3.2,3.9,1.5,142.9,9.6,59.9,156.859,8.7411,0,154.8,7.4,31.9,0,7,6.6,31.7,12.3,5.3,145.3,1.7,17.5,20.4,4.4,3.2,12.92,20.9,4.2,5.9,18.6,48.4,0.6,5.2,19.9,1.6,5.8,5.3,17.89,1.5,5.5,13.6,2.7,2.9,12.4,6.9,19.2,4.3,4,25.7,24,0.1,1.2,17.4,26.6,8.1,43.7,12.3,6.4,15.3,0,158.2,13.1,27.5,2.5,21.5,60.5,0.6,0.8,30.1,0,0.2,0,2.6,15.9,16.1,1.3,1.3,1.6,0,6.8,12.4,1.7,16.5,0,0,1.6,3,98.78,63.01
"Switzerland",41.2,12.7,1.9,0.89,1.23,9,1.5,0.2,0.4,0.2,1.4,0.77,7.5,25,2.3,3.1,6.5,0.2,0.224,0.9,3,2.2,4.4,2.3,9.6,25.7643,1.4357,154.8,0,0.8,16.7,0,0.3,4.7,12.6,0.77,1,97.8,0.1,13.4,5.4,0.8,0.5,4.73,4.6,15.8,13.5,12.2,35.2,0.2,0,0.4,0,0,0,0.32,2.3,0,0.7,3.5,0.4,0.5,6.6,0.6,0,0.1,0,0.5,0,0.1,16.5,0.5,0.7,0.3,0.5,0.5,5.2,1.3,7,5,4.7,0.7,15,3.5,0.2,0.3,0.7,0,0.7,0,2.3,4.4,13.4,7,1.3,2.2,0,6.8,0.2,2.7,0.3,0,0,2.4,2.7,26.53,6.35
"Spain",45.4,0.8,0.4,0.057,1.72,1.8,0,0.1,0.2,0.2,0.6,0.23,1,10.9,0.12,0.3,12.34,0.1,1.708,0.5,1.3,0.9,133.5,3.1,0.2,13.9241,0.7759,7.4,0.8,0,0.7,0,0,0.1,2.8,1.95,1.3,59.9,0,0.3,1.2,1.6,0.2,0.35,3.4,5.5,2.4,8.7,4.8,0.1,0,0.6,0,0,0,0.74,0,0,0.4,3.5,0,0.1,0,0.4,0.2,0.2,0,1.7,0,0,2.4,0,0.2,0.1,0,0.1,28.1,1.1,29.1,0.5,1.6,0.3,0.4,43.5,0,0,0.4,0,0,0,0.2,14.8,1.1,0.2,0.9,0.2,0,0.2,0,0,0.1,0,0,2.9,0.2,5.35,0
"Portugal",1.9,0,0,0.07,0.11,0,0.2,0,0,0.1,0,0.11,0.2,1.1,0.33,0.4,0.92,0.1,0,0.2,1.7,0.2,0.9,0.1,8.9,19.2285,1.0715,31.9,16.7,0.7,0,0,0.1,0.5,1,0.23,0.2,6.3,0,0,1.1,1.4,0,2.02,0.2,0.5,2.7,0.3,3.1,2.5,0,0.2,9,0,0,0.46,1.2,0,0,1,0,0.8,0,0.4,0.5,0.2,0,1.1,0,0.1,1.2,0.1,1.2,0.9,0.3,0,1.8,0.4,25.4,0.9,0.8,0.5,4.5,0.4,0,0,0,0,0,0,0,6,0.2,0.8,0,0.1,9,0.1,0,0,0.1,0,0,1.2,0.1,0.05,1.3
