"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Somalia","Ethiopia","South Africa","Madagascar","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"Senegal",5.6,0,0,0,9,0,9,0,0,0,0,0,0,2.7,0,0,0.1,9,0,0,0,0,0.2,0,2.5,1.8944,0.1056,19.9,0.4,0.6,0.2,0,0,0,0.3,0,0,3.8,9,0,0,0,0,0,0,0.3,0.7,0.8,0.5,0,0,0,0,0,1.2,0,0.3,0,0,0,0.2,1.1,0.2,0,0.1,0.2,0,0,0,0,0.1,0.3,5.6,0,0,0,0,0,0,0.1,0.2,0,0,0,9,9,4,0,0,0,0,0.3,0.1,0.1,0,0,0,0,4.8,0,0.8,0,0,0,0,0,0
"Benin",0.7,0,0,0,9,0,0,0,0,0,0,9,0,0,9,0,0,0,0,9,0,9,0.4,0,0,0.6631,0.0369,1.6,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.1,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,9,0,0
"Mauritania",0,0,0,0,0,0,9,0,0,0,0,0,9,9,0,0,0,0,0,0,0,9,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.8,0,9,0,0,0,0,0,0,0
"Niger",0.2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.3,0,0.2,0.0947,0.0053,5.3,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2,0,0,0,0,0,0,0,0,0.3,0,0.4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0.1,0,0,0,0,9,0,0,0,0,0,0,0,0
"Ivory Coast",18.44,0.01,0,0,9,0,0,9,9,0,0,0,0,2.04,0,0,0,0,0,0,0,0,1.16,0,6.73,1.0988,0.0612,17.89,0.32,0.74,0.46,0,0,0.03,0.14,0,0,4.54,9,0,0,0,0,0,2.85,0.13,0.01,0.33,0.4,0,0,0,0,0,0,0,0.08,0,0.15,1.55,0,0,0,0,0,0,0,0.44,0,0,0.96,0,1.07,0.16,0,0,0.4,0,0.16,0,0,0,0.13,0,9,9,0,0,0,0,0,0.01,0.22,0.21,0,0,0,0,0.73,0,1.79,0,0,0,0,0,0
"Guinea",1.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2.3,0,0.3,2.2733,0.1267,1.5,2.3,0,1.2,0,0,0,0,1.92,0,0.3,0,0,0.1,0,0,0,0,0,0,1.4,0,9,0,0.3,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,1.3,0,0,0,0,0,9,0,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkina Faso",0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,9,0,9,9,0,9,0,0,0,0,0,5.5,0,0,0,0,9,9,0,9,9,0,0,0,0,0,0,9,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0
"Liberia",6,0.4,0,0,0,0.4,9,0,0,0,0,9,0,0.6,0,0,0,0,9,0,0,0,2.1,0,2.6,0.5683,0.0317,13.6,0.7,0.4,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,32.8,1,4.5,0,0,0,0,0,0,0.15,0,0,0,0.1,0,0,0,0,0,0,0,0,9,0,0,9,0.1,0,0,9,0,0.4,9,0,0,0,0.7,0,9,0,0,0,0,0,0,0.2,0.1,0,0,0,0,9,0,0,0.1,0,0,0,0,0,0
"Ghana",36.3,2,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0.8,0,0,0,0.9,0.3,69.7,3.1,21.6,6.2516,0.3484,2.7,3.5,3.5,1,0,2.4,1.7,6.2,0.6,4.9,14,0,0.3,1,0.1,0,0,18.8,0,3.1,7.4,0.9,0,0,0,0,0,0,1.55,0,5.2,0.1,0,3.9,0,0.5,9,9,0,0,0,0,0,0.2,0,1,0,0,0,0.3,0,0.1,0.4,0.2,0,0.7,0,9,0,1.6,0,0,0,0,26.7,1.7,0.1,0,0,0,0,0,0,9.2,0,0,0,0,6.48,1.3
"Togo",0.6,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.3789,0.0211,2.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,0
