"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Liechtenstein","Switzerland","Spain","Portugal","Germany","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"Austria",421.0015,140.4194,1.8277,3.2192,0.0252,1.1062,4.3664,3.1841,0.6388,0.1256,0.0167,0.1873,0.0285,4.0973,1.423,9.4629,0.105,8.3407,15.2535,1.9288,9.2503,34.0807,27.182,26.8697,20.4717,0.3777,0.1007,1.19,14.3747,103.3144,6.3446,3.5517,4.1966,12.465,9.8796,441.2666,102.1412,264.2513,504.0283,30.0122,15.5937,0,525.6565,263.3075,114.1703,6590.429,0,0,60.2482,0,83.96,853.43,294.1738,18.8381,0.505,528.3294,65.5545,16.9592,85.4028,120.7179,74.4194,26.1062,142.4193,96.1785,22.4186,5.9933,0,0.0011,0.043,0.0274,0.9732,1.3547,4.0496,0.1338,0.2098,0.0367,14.6556,1.2961,1.1907,0.2821,0.9506,2.7508,1.9818,18.7221,198.5492,0.8835,0.4059,2.4309,0.0114,7.4561,5.7854,9.9386,0.613,1.8675,1.747,1.2785,1.2772,4.8291,2.9528,0.7943,0.9089,7.4972,0.9898,40.7464,2.0898,1.4991,0.4081,0.2516,3.768,0.0406,1.0468,0.024,10.129,189.7684,9.5719,156.1987,7.5745,340.3653,44.6172,105.8526,22.8941,35.7574,13.7205,18.6639,13.5228,75.9253,0,38.3433,0,30.6775,6.9366,5.6756,53.8823,7.4254,1.9333,53.2585,7.3748,318.7185,23.5111,111.9133,1514.2685,98.4727,0.1139,16.2635,0.6055,3.3959,6.3785,0.0318,2.0386,13.9343,0.0011,0.375,12.5058,43.9381,23.1103,1.6394,22.2649,42.2503,159.7772,2.9348,1.5138,0,0.003,0.1096,0.0011
"Hungary",149.4623,32.1204,0,29.1316,0.0375,0.0321,0.3138,0.1473,0.0925,0.0388,9.0141,0,9.0181,0,0,0.6137,0.096,0,0,0.002,0,9.0556,0.0192,2.2301,4.7203,0,0,0.2755,32.5201,109.2753,0.0147,0.0748,5.3165,5.531,0.991,7.1902,2.7504,5.2275,20.5183,1.2218,231.8549,0,108.2409,35.8761,0.1355,196.0639,0,0,122.7242,83.96,0,97.5739,336.9643,3.3231,11.1621,306.4297,33.9303,10.9119,34.5807,173.7546,485.6856,46.0497,19.9497,15.4147,2.6076,0.7713,0,0,0,0,0,0,1.2044,10.0658,0.0266,0,8.8789,0,9,0,0.0569,0,0,1.5682,36.052,0,0,0,0.3673,0,0,2.579,0.487,0,0,0,9,1.916,1.564,0,0.0243,0.4263,0,0,0,0,0,0,0.8268,9,0.6008,0,18.2159,107.7986,17.0403,59.9919,0,122.7444,89.0932,27.8969,52.5863,22.2703,28.0756,11.9155,1.8161,41.8286,0,0,0,19.9558,0,9,0,0.6762,0,63.7744,4.7596,0,6.8253,56.206,33.8801,32.3878,0,2.1225,22.0805,0.0002,3.4754,0,0,34.1439,0,0,42.7845,3.0442,20.624,0,2.2356,3.026,16.8298,0.0161,0.0289,0,0,0,9
"Czechoslovakia",10.5827,48.3067,0,38.355,0.7184,0.2099,0.151,0.8386,0.2174,0.1492,0.0868,0,9.0415,0,0,12.9724,0.1285,0.7991,9.9202,0.163,3.6428,2.3978,0.9246,19.9811,5.5777,0,0,1.8423,42.8257,82.76,1.761,0.8458,3.1192,34.6776,12.9137,157.4405,6.4542,32.1182,1.0853,0.0646,88.9023,0,526.3413,49.299,12.1525,1239.9535,0,0,1540.9794,853.43,97.5739,0,116.2256,9.3168,5.6981,53.3186,76.9777,20.5914,21.2607,217.2151,167.2055,65.5778,20.8917,16.2095,8.69,5.0942,0,0,0,0,0.2451,0.2451,2.8746,4.6007,0.4163,0.8044,3.0986,1.7768,3.0008,2.8797,0.2896,1.2867,0.59,1.7938,20.6057,0.7965,0,0,1.1482,0.0741,1.8381,1.5689,1.4347,0.2553,2.76,0,0.5013,9.4503,2.0219,0.3063,0.7289,2.7669,0.105,0,0,0,1.5373,0,0,0,0.3851,0,6.1216,66.9079,28.4233,4.5815,1.7768,37.6907,86.1399,83.5722,37.7406,6.8457,51.4055,8.5398,11.8387,42.031,0,4.0438,0,3,0.1114,0.1671,14,0.4837,3.5537,226.6795,5.453,4.5451,6.0657,20.1801,59.0724,11.537,0,16.7259,16.977,4.8189,2.5389,9,0.1098,65.2533,0.4289,0.3676,9.5842,15.4535,24.1149,0,6.874,10.2284,59.0151,0.1716,7.9026,0,9,0.1671,0
"Italy",4141.108,389.2722,3.3849,68.6682,17.1043,34.3003,6.0649,32.6829,4.9903,2.2799,0.4843,6.2378,0.4879,4.0297,2.3701,300.5321,0.1761,14.7357,25.201,4.1823,18.4396,63.2722,79.336,22.6152,96.8336,4.2101,1.0309,44.962,167.1505,1187.8446,9.9193,42.627,265.8756,440.9183,46.2117,2363.547,697.1728,5695.5346,3613.2973,215.1528,1034.979,0,962.7994,3305.8706,1842.3868,6360.468,0,0,9.6919,294.1738,336.9643,116.2256,0,258.0223,22.6473,531.6594,1398.8824,225.1599,132.7699,377.4015,1200.7368,272.9417,501.3505,175.4604,520.2911,11.0006,0,1.947,5.1252,3.7757,5.935,9.7532,20.8929,7.1985,80.6929,7.9422,255.581,10.2406,5.5266,106.1439,6.7741,35.292,6.1547,127.5246,190.0917,2.167,10.7858,2.9204,239.8102,71.9962,33.1811,37.927,44.677,5.6268,1.6753,78.3047,8.6047,144.6354,29.8666,73.7334,69.5873,39.1192,13.2959,1852.15,5.5863,1.4106,5.578,2.3988,4.9292,1.6186,20.5577,29.8688,113.8099,1381.7124,59.6062,3679.6705,5.7225,57.2878,429.2141,58.704,1051.7367,89.2327,273.81,91.25,447.6744,677.6023,0,216.9965,0,60.7961,55.5632,155.9513,137.4341,38.1315,3.0273,743.2794,1.1508,406.8929,17.3555,352.3017,793.1724,97.3804,0.0701,61.4283,130.077,5.6025,18.7001,0.0726,0.1963,47.7175,0.1421,0.4558,4.2884,48.675,372.4814,21.186,8.9763,3.3663,310.4436,6.9057,22.1663,46.6117,0.1013,1.6201,0.8297
"Malta",24.3959,0.4498,0.0078,0.124,0,0.0892,0.0008,0.001,0.0002,0.0159,0.0029,0.0001,0.0004,0.032,0,8.8687,0.003,0.0033,0.2266,0.4298,0,0.9866,0.11,0.5005,0.147,0,0,0.5089,0.1016,7.9888,0.4902,0.0121,0.3636,10.6356,0.7849,201.0763,10.2845,39.9554,2.5483,0.1517,59.8768,0,13.1053,28.1034,4.1665,26.8739,0,0,3.3399,18.8381,3.3231,9.3168,258.0223,0,0.1222,9.8862,13.0793,1.2175,0.5573,0.374,5.2251,1.1735,5.9375,46.0416,13.0368,0.0649,0,0,0,0,0,0,0.0355,0,0.0002,0,3.498,0,0,0.1365,0.6541,2.0637,1.188,0.1139,0.0517,0.0037,0,0,0.0073,0,3.017,1.3166,0.0463,0,0,2.2714,0.2194,2.6451,0.7965,0.081,0.6587,0.0003,0.0079,0.1474,0.0132,0,0,1.7703,0.0331,0,0.2082,0.015,1.4412,12.5069,2.526,1.2122,0.4003,0.2769,11.4466,5.225,1.7081,1.0033,0.4882,0.1154,0.1065,0.6214,0,0.1904,0,0.6317,0.3526,0.6,4.2046,0.8453,0.0015,10.8081,0.0002,11.4842,0.2406,5.8022,64.1337,8.1589,0,1.3733,0.2117,0,0.2071,0.0007,0.0416,4.4935,0,0,0.0051,3.1797,5.9856,0.0026,0.3912,3.9001,2.1979,0,3.126,0,0,0.0007,0
"Albania",8.72,0.3112,0,0,0,9,0,0,0,0,0,0,9,0,0,0.858,0,9,0,0,0,0.0006,9,0,0.0445,0,0,0,0.0319,0.0825,9.0948,0.032,0,0.0018,9.189,8.997,0.6553,0.0008,1.8782,0.1118,4.1014,0,5.8727,1.2522,0.884,34.9721,0,0,2.5702,0.505,11.1621,5.6981,22.6473,0.1222,0,16.9788,7.3914,0.005,0,5.099,0,1.4281,1.8171,0.1565,0.3655,0,0,0,0,0,0,0,0.0168,9,0,0,9,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,9,9,0,0,2.508,0,0,0,0,0,9,0,0,0,0,9,0,0.0002,0,0,0.2585,53.6935,9,0,9,4.8203,0,4.0768,0,0,0.1335,0,0.2011,0,9,0,0,9,9,0,0,0,15.5919,0,7.0614,0,0,8.5025,0.0061,0,0.0064,0.1316,0,0.0036,9,0,0.0461,0,9,1.6819,0.2075,9,9,0,0.0348,0.0029,0,0.0023,0,0,0,9
"Yugoslavia",57.759,9.6922,0.0562,6.9552,0.0044,0.5421,0.0224,0.3941,0.0861,0.236,0.0338,0.0033,0.0133,0.152,0,4.6677,0.0155,0.5333,6.845,0.762,3.546,4.168,20.7453,33.1503,1.9714,0.6132,14.819,39.0663,56.2197,167.1762,0.7733,1.6026,27.838,49.949,6.574,89.145,3.8507,71.7414,20.0841,1.1959,308.4343,0,268.7774,20.6744,6.1969,939.3362,0,0,221.983,528.3294,306.4297,53.3186,531.6594,9.8862,16.9788,0,72.3689,1.8057,38.724,129.3296,526.7468,8.8811,79.7531,26.3775,51.7231,0.0494,0,0,0.736,1.2074,1.0965,0.7424,0.4027,0.0357,0.6813,0.217,6.1997,14.983,0.016,236.1308,0.2493,0.1736,3.762,0.1553,15.6844,5.517,0.1208,0.4476,1.1025,3.9576,0.9238,0.906,3.7377,0.194,0.17,0.8635,0.4987,8.934,227.1462,0.0712,1.433,12.3531,0.328,0,0,0.081,8.323,3.809,0.3966,0.012,0.173,0.007,3.297,83.153,28.2142,187.721,21.5667,29.65,118.497,123.459,86.914,33.1331,10.9788,0.7452,24.764,0.5854,0,9.647,0,115.533,1.047,9.4865,45.557,8.3798,1.0012,109.7563,5.1503,54.547,13.3146,236.084,363.9062,53.4391,9,7.9948,7.3236,15.4937,1.4058,0.029,1.2822,0.9143,0.3078,0,2.566,81.3479,4.2124,0.1645,2.765,4.4341,51.6651,1.1637,3.2814,0.0693,0,0.014,0.0033
"Greece",176.5468,1.4394,8.2155,0.553,0.3001,1.9034,0.4217,0.0052,0.0307,0.2694,0.0349,9.7914,0.4017,1.5573,9.2094,26.1509,0.006,0.4054,4.4428,0.0139,0.0976,2.1936,7.6527,7.7819,5.7006,0.0176,0.0373,10.2909,1.7936,174.1893,0.1682,1.6382,37.9941,47.0146,4.6624,328.6703,95.8081,1063.4163,524.4423,31.2278,809.8631,0,259.0207,191.2611,50.7436,1919.478,0,0,38.3183,65.5545,33.9303,76.9777,1398.8824,13.0793,7.3914,72.3689,0,123.6811,52.1458,2.1478,218.436,55.3905,125.0346,24.0901,167.8091,17.002,0,0,0,1.9463,0.064,0.0996,11.0707,0.0051,7.3183,0.151,76.2267,5.1819,0.5382,8.5522,0.2129,1.161,0.1133,3.4634,44.067,15.6721,1.4877,0.234,5.6222,2.6516,0.3716,5.4296,0.8263,0.1128,0.5197,10.3769,0.2176,11.9565,0.428,0.0239,8.2716,5.7159,1.7035,0,62.9648,0.0579,0.037,9.0102,1.1371,0.0103,11.0308,0.0375,18.7505,20.4327,33.391,215.8339,0.2174,359.5797,15.9768,54.0406,26.3598,14.8763,51.8053,0.5651,38.2752,118.0586,0,6.47,0,55.8079,2.0478,4.914,23.2385,1.347,1.6151,68.1024,0,153.9131,0.5183,42.6643,1019.7504,22.0269,0,4.6063,0.0427,0.0504,2.6585,0.026,0.2069,6.0931,0.0183,0.043,0.3985,24.529,23.0354,0.018,2.0267,6.0468,35.9057,0.0305,35.6158,9.5624,0.1359,0.0622,9
"Cyprus",163.5769,10.0372,0.0272,0.1838,0.0322,0,0.0176,0.0789,0.0114,0.3549,0.038,0,9.0504,0,0,29.317,0,0.5802,0.3083,0.0044,0,0.1126,0.0148,7.807,0.0858,0,0,0.0413,0.064,13.0495,0.0232,0.0484,1.0839,3.2417,1.2202,52.801,4.2013,46.904,11.5993,0.6907,139.8516,0,28.7452,47.072,9.0904,158.2881,0,0,23.5069,16.9592,10.9119,20.5914,225.1599,1.2175,0.005,1.8057,123.6811,0,0.9643,8.2464,42.3546,4.9529,28.4523,52.5608,17.5431,0.1345,0,0,0,0,0.0048,0,1.2749,0.0317,0.0025,0.6856,1.9394,0,0.0022,0.3199,0.1624,2.2326,1.167,1.0137,0.9436,0.6134,0.0625,0,0.0124,0.4851,0.0489,0.3496,0.0492,0.0249,0.145,0.1195,0.1329,0.1586,0.0041,0.3636,0.1403,0.6978,0.0017,0.0664,0,0.0069,0.0965,0.0178,0.0067,0,0.0232,0.0187,0.2127,32.8377,0.1117,11.888,1.3963,2.1511,9.1768,33.9142,0.4784,9.5842,92.6234,3.9377,19.6406,30.4015,0,6.3682,0,5.2925,1.9889,3.1024,15.1927,3.3539,0.1888,16.1794,0.0195,46.5459,2.3595,25.0507,291.3379,10.0472,0,12.0636,0.1696,0.1684,4.2746,9,0.0157,7.3083,0,0,0,6.5932,3.1309,0,1.0266,10.129,1.7871,0,1.3831,0,0,0.0022,0
"Bulgaria",40.03,14.6788,0,0,0,0,0,0,0,0,9,0,9,0,0,2.5916,0,0,0,0.0002,0.9184,0.0107,0.1014,5.7594,0.0911,1.6573,0,1.5105,7.0301,28.1666,9.0335,0,0,46.1952,2.0768,22.3808,3.0733,34.2928,21.7829,1.2971,43.7783,0,89.2236,20.1512,2.0884,617.9963,0,0,62.2575,85.4028,34.5807,21.2607,132.7699,0.5573,0,38.724,52.1458,0.9643,0,114.109,0,3.4652,17.9884,25.553,15.4557,0.2224,0,0,0,0,9,0,0.0409,0.0333,0,0,0.5289,0,0,9,0.0875,0.3086,0,0.9076,17.353,0.0807,0,9,0,0.2606,0,0,0.0959,0,0,0,9,0.785,0,9,1.6665,3.3425,0,0,0,0,0,0,0,9,0.0908,0,1.7247,9.1888,12.8956,261.9198,3.216,47.94,21.5972,0,37.5292,0.5879,0,22.6123,3.96,26.906,0,15.5269,0,1.0134,0,9,0.9809,0.1508,0,62.0351,0,3.2282,0,0,25.0431,13.3665,0,51.5429,3.6474,0,1.9066,9.005,0,13.8227,0,9,15.9858,4.473,21.2705,9,1.2154,4.5203,2.9112,0.0069,1.8465,0,0,0.0241,9
"Romania",218.2074,61.2884,0,9.4143,0.1103,0.0241,0.0138,0.0266,0.004,0.0016,0.0079,0,9.0015,0,0,10.7461,0.0115,4.7,0.2,0.0826,0,0.5274,1.4938,6.2947,8.267,0,0,6.2646,2.8056,32.8953,0.0736,0.2838,1.3,70.6101,0.4454,72.5002,9.3438,56.9293,14.5912,0.8688,161.0235,0,192.9062,66.207,1.513,448.0261,0,0,417.238,120.7179,173.7546,217.2151,377.4015,0.374,5.099,129.3296,2.1478,8.2464,114.109,0,798.662,11.6708,11.8865,12.5974,5.9975,0.2999,0,0,0,9,0.22,0,0.2046,1.7303,4.795,0.0881,2.5417,0.11,9,2.2,0.3913,2.9824,0.1,0.3342,7.7037,0.55,0,0,0.1543,0.566,0,3.008,0.2974,0.0304,0.05,0,0,0.6796,0,0.11,0.0791,0.6407,0,0.8,0,0,9,0,0.9371,0,0.1636,0,8.0555,34.0427,0.8224,247.4143,5.94,554.2746,112.576,127.3101,279.4592,3.6933,90.0924,18.3697,8.6569,827.4018,0,0.6081,0,36.045,0,0.6,81.2339,0.9909,0,47.6319,1.0395,0.0869,10.8301,0.6,1.7074,5.5006,0,17.8171,0.1673,2.8248,1.3674,0,3.4414,12.8695,0,0,11.883,2.4361,47.5254,0,13.2188,1.2002,105.6574,0.0035,9.9691,9,9,0,9
"Russia",2227.9601,886.9275,5.0186,0,0,8.0836,48.4826,0.0098,0.1748,0.0866,0.0105,0,9.0111,0,0,20.3544,0.0295,8.1488,0,0.1054,45.1998,1.7765,0.0806,6.3003,3.1403,5.0284,0,1.0378,64.2708,86.9396,1.8935,0.0957,0,536.235,53.2934,433.9414,94.2619,919.852,873.7906,52.0296,1724.8456,0,520.9019,907.9468,29.9124,5689.6045,0,0,509.2653,74.4194,485.6856,167.2055,1200.7368,5.2251,0,526.7468,218.436,42.3546,0,798.662,0,1051.4861,415.1922,185.7465,119.6001,37.7762,0,0,3.9837,10.5716,7.6974,34.3756,6.2221,0.4242,55.3746,0,47.2321,0,0.7236,0,0.207,49.5711,12.595,3.3115,2.4329,7.7368,0.1783,9,1.4875,0,0,10.2681,0.9802,0.0804,0.27,0.0696,9.6808,127.9869,9,0,0,1.4544,9,0,9,9,0,0,0.66,9,0.3819,0.2623,174.7666,64.693,47.868,221.0242,36.3442,180.59,663.6385,0,176.7665,1445.305,0,1.977,13.11,47.8737,0,212.3775,0,5.39,0,9,17,2.4674,0,39.855,0,9.6758,0,0,551.0774,1832.6483,0,19.5001,27.0757,3.5003,41.1239,0.006,9,66.286,0,9.0148,709.076,70.442,271.4476,0,22.1036,33.5943,275.3287,0.0852,184.7159,9,0,0,0
"Finland",480.4662,124.8794,3.113,13.7816,0.0208,18.7978,5.2675,0.895,2.2758,0.0501,0.0512,0.0724,0.0141,9.4045,0.0415,53.4226,0.0434,10.8983,5.6174,0.3424,4.7019,28.2729,20.3881,62.0736,12.7029,0.2023,0.0041,16.4,0.2144,15.8681,1.9135,0.2333,121.9082,28.5704,0.815,1081.5447,36.4766,501.0917,120.8349,7.1951,694.4619,0,0.3044,346.8084,152.486,1127.6211,0,0,153.6154,26.1062,46.0497,65.5778,272.9417,1.1735,1.4281,8.8811,55.3905,4.9529,3.4652,11.6708,1051.4861,0,151.9805,92.0021,65.2717,9.6138,0,0.0009,0.3902,0,0.0092,0.1612,6.9795,0.0019,1.0174,0.9955,2.8354,2.7737,0.2769,0.7998,0.2636,1.4504,1.6135,12.9322,13.0766,0.4374,0.0088,1.437,0.3075,0.0019,0.9128,16.7025,7.4764,3.0101,0.1726,2.1565,0.1029,3.9166,2.4702,12.0696,21.6716,6.0479,1.637,0.7972,0.4602,0.9035,0.8594,7.4917,0.0851,0.0018,3.5719,0.0098,8.5782,44.8738,27.458,13.9167,7.5841,131.7032,66.3766,33.5301,102.4069,13.846,21.0437,11.306,49.8564,14.3465,0,8.9991,0,4.6513,1.5983,0.7285,2.1592,105.5472,0.2664,28.3462,0.7012,101.7727,2.9447,52.2676,1283.6541,17.2854,0,5.6077,15.1968,0.6044,2.9357,0.138,4.9141,22.3593,0,0.5653,0.1615,16.8904,27.2155,1.048,6.3859,31.4285,201.5612,33.2373,31.513,0.0078,0.0445,0.4563,0.0018
"Sweden",496.8765,495.8146,67.3319,8.8821,0.0356,2.6238,22.378,2.6703,9.5148,0.0151,0.1848,0.2804,0.8375,1.8341,0.3496,318.436,0.1295,2.4323,26.4009,3.3695,8.1655,24.6239,45.8736,50.4511,102.785,0.1286,0.0274,0.8425,45.5269,1.2707,8.9157,2.355,89.549,15.9016,3.917,2033.9834,26.6913,499.2283,1015.229,60.4515,910.1626,0,303.1629,934.6333,396.8959,2347.4679,0,0,198.306,142.4193,19.9497,20.8917,501.3505,5.9375,1.8171,79.7531,125.0346,28.4523,17.9884,11.8865,415.1922,151.9805,0,141.2373,762.366,85.3004,0,0.3685,1.2138,0.0168,1.2617,0.034,7.1698,1.2332,1.4425,0.7889,4.5416,2.1958,0.3492,35.1575,0.9007,9.0707,0.2206,7.5596,10.3556,0.3242,0.3541,0.0294,0.1328,11.1265,2.1541,2.1665,29.5408,0.1588,0.2542,2.3778,0.4517,18.9839,22.4402,14.437,16.687,14.9335,1.6555,9.5728,0.1386,0.3403,11.878,3.8978,0.7535,1.6054,5.4313,3.7662,109.6014,123.2438,40.2457,36.0643,12.5374,61.2502,109.1848,90.5627,200.7338,45.9826,5.4947,20.6423,71.3818,208.103,0,29.1591,0,46.7846,3.3384,17.0084,79.0328,75.85,1.382,160.7559,0.018,161.3054,8.6623,190.0574,1486.419,87.2065,0,10.1683,16.7325,0.8598,21.7639,0.03,1.8182,150.6956,0.1356,2.8209,11.473,124.6504,190.3939,3.9242,5.2975,145.2653,597.4047,7.2654,263.0949,0.3566,0.3535,0.6493,0.0074
"Norway",145.5524,961.593,32.0589,0.9143,1.5613,4.5665,115.7092,2.6819,2.5721,0.3017,0.4137,0.7032,0.5358,0.9146,0.8119,30.34,0.007,7.0499,2.8185,0.838,0.2349,15.0845,446.7163,20.2102,14.1155,1.7895,216.9939,0.5134,2.1338,9.0623,0.2723,0.0822,19.0098,27.4766,9.444,4721.71,59.0946,690.8273,506.5384,30.1617,1987.7662,0,1.4478,78.2164,38.1608,1027.0671,0,0,29.9058,96.1785,15.4147,16.2095,175.4604,46.0416,0.1565,26.3775,24.0901,52.5608,25.553,12.5974,185.7465,92.0021,141.2373,0,325.6042,57.3677,0,1.3928,0.0186,0.4988,1.6187,0.5669,1.0864,0.1604,0.3873,0.1364,3.4506,25.8121,0.4039,671.3617,0.9511,3.3028,7.725,6.0806,14.549,37.626,1.0261,0.0897,2.1389,3.4025,0.1925,1.593,12.2737,0.3373,0.08,30.6566,0.2823,4.0291,6.6309,3.3157,2.9662,0.4774,0.0585,20.5402,0.1166,0.0581,102.748,1.0468,0.0239,0,16.5812,0.0187,26.7497,13.7898,3.8076,5.432,0.1664,41.3567,0.5137,12.8637,3.474,2.036,1.765,1.3901,3.7879,5.077,0,0.3706,0,4.8034,1.3946,4.1758,13.6051,13.7298,0.5114,3.031,0.0336,132.1826,2.9508,42.0253,545.5152,9.2615,0.17,6.3587,19.1545,4.4547,0.4999,0.0153,0.298,28.2639,0.0379,0.2,0.7768,4.5077,97.2744,0.4413,7.4993,21.8794,82.223,0.1736,63.6287,0,0.4262,7.801,0.2428
"Denmark",194.2299,92.7452,52.1157,18.7603,0.6032,9.4735,2.6064,1.7875,12.7206,0.866,0.921,0.9543,0.6915,1.0376,0.6051,43.6664,3.2955,0.3771,1.9104,1.6687,4.9934,6.8285,53.1781,98.5062,15.0612,0.2499,0.1784,0.1413,2.6917,168.047,1.9977,2.2386,6.4764,124.3735,1.975,1687.8447,29.9311,329.8577,275.8449,16.4251,389.2909,0,54.2028,384.9162,140.4222,291.2968,0,0,232.5077,22.4186,2.6076,8.69,520.2911,13.0368,0.3655,51.7231,167.8091,17.5431,15.4557,5.9975,119.6001,65.2717,762.366,325.6042,0,56.8326,0,0.0257,0.8869,0.0025,4.0319,1.3796,2.3035,0.1244,2.0647,1.3455,10.5019,1.2742,1.6029,374.2755,2.7422,2.3379,1.567,1.581,18.6011,0.3412,0.3045,1.3602,2.5111,0.0899,2.5053,8.6639,25.0102,1.3269,0.9413,2.5057,3.4942,8.5249,22.4213,23.5237,10.7593,1.083,0.8195,15.0082,0.2461,1.683,1.2589,0.2496,0.806,0.0033,0.3053,0.9898,0.2928,45.4715,15.5021,25.204,26.0506,121.5401,22.3184,49.3994,51.7411,10.222,18.6736,11.8326,18.3177,150.5773,0,38.8612,0,223.5153,19.3775,17.2044,71.0006,16.0782,0.3623,180.447,0.4219,93.3142,0.2829,15.0337,159.6144,42.2887,0,30.917,81.6407,3.4924,4.8009,0.0461,5.9617,16.6795,0.0107,0.0306,0.2395,12.0215,100.0605,7.7606,9.6392,30.684,139.6753,3.7399,16.7276,0.2166,0.0616,0.4803,0.0015
"Iceland",64.1351,1.358,0,0.0017,0,0.2245,0.1057,0.0309,0.1068,0.0176,9.0712,0,0.0744,0,0,0.315,0,0.2284,0.1132,0.0621,0.0916,0.9882,2.0336,0.522,0.0339,0,0,0.0033,0.0332,0.6075,0.0171,0.0017,0.5111,0.2692,0.2109,327.5569,5.3731,157.3406,11.8541,0.7059,111.2964,0,47.0581,65.2983,40.5778,20.3806,0,0,15.5089,5.9933,0.7713,5.0942,11.0006,0.0649,0,0.0494,17.002,0.1345,0.2224,0.2999,37.7762,9.6138,85.3004,57.3677,56.8326,0,0,0,0,0,0,0.0252,0.0218,0.0001,0.0222,0,0.0294,0,9,0,0.0005,0.0271,0,0.3235,12.1072,0.1682,0,0,0.1249,0.0153,0,0.0202,0.0134,0,0,0,0,0.0448,0,0.0984,0.0086,0.0271,0.0171,0,0.0424,0,0,0.2979,0,0,0.0987,0,0.4775,0,3.2282,1.621,0.0186,0.0437,1.5572,0,0.0051,0,0.0017,0.029,0.4762,0.0491,0,0,0,0,0,0,0,0,0,7.0661,9,4.2376,0,7.4366,9.2244,1.3973,0,0.4474,0.1337,0.0424,0.1022,0.097,0.1018,1.0624,0,0,0,0.7557,0.9637,9,0.827,0.2217,41.2674,0,0.6456,0,0,0,0
"Cape Verde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5959,0.2141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sao Tome and Principe",14.3,0.7081,0,0,0,9,0,0,0,0,9,0,0,0,0,0.0165,0,0,0,0,0,9.0228,0,0,0,0,0,0,0,0.0792,9.106,9,0,0,0,1.4658,0.0327,0.6284,5.2759,0.3141,4.4769,0,1.4125,0.4444,11.6742,0.2596,0,0,0,0.0011,0,0,1.947,0,0,0,0,0,0,0,0,0.0009,0.3685,1.3928,0.0257,0,0,0,0,0,0,0,0,0,0,0,0.0768,0,0,9,0,0.0004,0,0,0.0013,0.02,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,0.0085,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0.0067,0,0.0417,0,0.0022,2.0972,8.2464,0,0,0,0,0,0,0,0.1199,0,0,0,0.0159,0,0,0,9,0.0155,9,0.041,0,9,0,0
