"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Philippines","Indonesia","Australia","New Zealand"
"Hungary",0.4,3.5,0.9,0.8,0.11,0,0,0,0,0,0,0,0,0,0,0,1.99,0,9,0.2,3.9,0.1,2.4,0.2,7.6,6.7023,0.2977,14.1,2.9,0,0,8,5.8,2.01,2.7,0,31.55,4.2,0,0,2.2,2.31,0.8,25.5,0.5,0.3,0.4,0.3,0.2,0,0.1,1,0.3,0.2,0,0.1,1,1.5,1.7,0.4,0.7,0.9,0,0.8,0,9,0,2.6,0,0,0,0,0,1.3,0.1,1,0.2,0,0.1,0,0,0,0,0,2.3,1.21,0
"Czechoslovakia",6.23,25.6,1.59,0.5,0.22,1.8,0,0.34,0.3,0.2,0.2,0,1,1.8,0.1,0.6,2.97,0,0,2.1,3.01,0.4,14.18,0.9,5.12,2.8341,0.1259,3.66,15.78,0,0.3,3.21,10.28,28.49,1.3,31.55,0,0.41,1.37,4.73,5,4.95,3.65,7.2,8.09,12.2,11.5,8.1,4.8,0,0.7,5,1.6,0.3,0,3.7,5.5,1.21,3.2,25.85,2.7,2.4,0.6,0.1,0,0,0,8.34,0,0,0,0,0.2,13.2,0.5,2.4,0.9,0,1.5,0,9,0,9.1,0,6.1,10.34,1.1
"Italy",286.6,11.5,2.2,7.4,0.77,13.8,0.8,0.37,0.6,0.5,1.7,0.33,3.8,17.2,1.21,2.3,1.77,0.7,0.2,25.2,17.4,1.7,10.7,2.6,26.1,19.1494,0.8506,22.9,67.3,1.8,0.7,105.1,2.9,0.78,53.5,4.2,0.41,0,0,10.7,16.4,1.41,6,6,0.4,2.6,4.3,27.3,1.7,0,2.3,34,16.2,7.6,13.9,11.2,12.3,8.1,156,9.3,2.6,7.5,2.5,5.4,95.8,0.6,0.5,1,0,0,0,1.7,0.3,31.5,12.2,0.6,4.1,9,2.9,0.2,0.2,0,2.2,1.04,8.3,62.55,16.08
"Albania",0,9,0,0,9,0,9,0,0,9,0,9,0,9,9,0,9,0,0,0,9,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0.58,0,0,1.37,0,0,0.2,0,0,0,9.2,0,0,0.3,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.1,0,0,0,0,9,0,0,0,0,0,9
"Yugoslavia",95.2,0.8,3.2,0,0,1.8,0,0,0,0,0,0.6,1.1,0.1,0,0,15,0,0.1,0.2,2,0.4,12,0.1,0.5,0.8617,0.0383,5.3,4.3,0,0,2.6,1.2,1.89,4.3,0,4.73,10.7,0.2,0,4.4,0,0.6,15.8,0.6,1.9,0.1,0.8,0,0,0.4,0.2,1,0.3,0.5,0.8,0.1,3.9,4.5,2.1,2.2,1.7,0,1.7,1.2,0,0,0.3,0,0,0,0,0.2,2.8,0.6,3.8,0.1,0,0,0,0,0,9,0,0.5,3.29,0.1
"Greece",49.1,3.7,4.9,0,0.6,0.4,0,0,0,0,1.3,0,0,0.3,0,0.1,0,0,0.2,0,1.9,0.2,46,0.4,5.9,12.5428,0.5572,0.9,3.1,3.6,1.1,23,0.4,0.2,5.5,2.2,5,16.4,0,4.4,0,0.05,2.7,2.1,3.1,13.7,0.1,3.6,1.2,0,1,0.5,0.2,1.9,0.1,0.8,0.7,2.7,0.5,0.6,0.2,0.2,0,0,6,0.1,0,0.1,0,0,0,0,5.9,0.5,1.5,0,0.2,0,0.2,0,0,0,9,0,0.2,1.37,2.5
"Bulgaria",0,0.1,0,9,0,0,0,0,0,0,0,0,0,0.3,0,0,0,9,0,0,0,0.1,4.64,0,0.64,0.5362,0.0238,2.02,1.21,0,0,0.69,13.82,3.96,2.48,2.31,4.95,1.41,0,0,0.05,0,0.33,45.13,0.3,0.4,0.2,0,0,9,0.2,0,0.1,0.5,0,0,0.1,0.89,0.1,3.46,0.3,0.5,0,0.17,0,9,0,0.51,0,0,0,0,0,0.5,0,0,0,0,0,0,9,0,0,0,0.1,0,0
"Romania",1,0.2,0,9,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.8,0,1.9,0,1.1,0.4787,0.0213,2.6,0.2,0,0,2,0,3.48,0.6,0.8,3.65,6,0,0.6,2.7,0.33,0,46.9,15.2,0.8,1.3,0.5,0,0,0,0,0,0,0,0,9,2,0.6,5,1.5,1.7,0,0.2,0,0,0,0,0,0,0,9,0,0.3,0,0.3,0.1,0,0,0,0,0,0,0,0.1,0.29,0.3
"Russia",21.7,25.8,16.1,0,0,0.1,0,0,0,0,0,0,0.5,0,0,0,3.3,0,9,0,12.4,10.3,72.5,0.8,31.3,0.4787,0.0213,9.8,7.9,0,3.1,21.9,117.5,67.13,64,25.5,7.2,6,9.2,15.8,2.1,45.13,46.9,0,51.3,13.6,2.5,0.6,1,0,0.1,13.6,0.9,0.1,0,0.4,0.7,2.1,0,32.7,1.3,0.5,0,1.7,0,0,1.7,107.6,0,0,0,0,2,11.2,0.5,10.4,0.2,9,0,0,9,0,0,0,13.9,1.43,9.29
"Finland",11.8,1.4,2.77,0,0.22,1.2,0.01,0,0,0,0,0,0.5,1.8,0,1.9,0.54,0.2,0,0.3,1.5,0.9,35.5,10,6.8,7.947,0.353,3.7,8.8,0.1,0.1,25.1,3.7,20.42,3.3,0.5,8.09,0.4,0,0.6,3.1,0.3,15.2,51.3,0,29.7,9.2,2.6,0,0,0.1,1.3,1.3,1.3,0,0.2,0.1,3.4,0.6,4.1,1.2,1,0.1,3.4,0.2,0.1,0,5,9,0,0,0.1,0.3,4.7,0.2,0.1,0.6,9,0,0,0,0,9.1,0.11,0.9,1.99,2.58
