"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"Denmark",69.09,0.13,0.59,0,0.08,0.0015,0,0,0,0.02,0,0.29,1.72,0,0.07,3.41,0,0,1.27,6.07,0.02,174.36,0.14,12.91,6.92,0,12.47,2.31,0.42,0.7,5.64,3.72,0.48,0,1.38,0.62,0,0.25,0.07,0.14,15.81,12.69,0.87,2.13,0.32,4.23,10.92,6.97,0,0,0,0,0,0,0,5.86,0,0.5,0,0.05,9.15,0
"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,9,0,0,0,1.27,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",0.007,0.01,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0.0078,0,0,9,0,0.05,0,0.35,0.0005,1.148,0,0.08,0,0,0.0027,0.0299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",38.03,10.45,0,0,0,0,0,0,0,0,0,0,0,0,0,5.346,0,0,0,0,0,59.11,0,6.74,4.24,0,12.86,3.509,0,0,0.3,0.0444,0,0,9,11.85,0,0,9,0,0,0,0,0,0,1.35,3.88,9,0,0,0,0,0,0,0,0,0,3.31,0,0,4.73,0
"Iran",6.82,0,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,0,1.708,3.21,0,0.16,0,0,0,1.36,0.0694,0.2329,0,0.5,0.55,0,0.04,0.01,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,1.45,0.28,1.23,0,0.42,0,0,0,0
"Turkey",3.24,0,0.0096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,2.33,4.48,0,6.85,0,9.1,0,0.91,1.39,1.13,0,1.41,3.85,9.0089,0.15,2.95,0.18,2.73,3.24,0,0,0,0,0,0.0052,0,0,0,0,1.45,0,0,0,0,0.24,0,0,0,0
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
"China",0.12,4.47,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,34.17,0,4.42,5.19,0,62.5132,2.11,0,0,29.76,0.58,0.59,0,1.3685,2.89,9,0.01,0.05,0,0,25.99,0,0,0,0,0,2.53,5.86,0,0,0,1.23,0,0,0,0,85.64,0,4.33,0.97,0
"Mongolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Japan",131.14,25.33,0.83,0,0.7,0.5,0.03,0.3425,0.04,0.03,0,0.36,0.04,0,0.53,0.77,0.1,0,1.05,4.11,0.52,64.22,0,5.78,4.15,0,3.21,5.27,0.09,0.1,40.79,0.07,2.71,0,0.46,1.97,0,0.0097,0.9599,0,0,4.75,0,0,0,0.0084,4.37,1.34,0.5,0,0,3.31,0.42,0.24,0,85.64,0,0,0,8.5,39.61,2.24
"Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thailand",1.06,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84,0,0.26,0,0,0.02,0,0,0,1.68,0.0042,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.05,0,0,0,0,0,0,4.33,0,8.5,0,0,0,0
"Australia",116.79,9.4,0.45,0,0,0,0,0,0,0,0,0,0,0,12.28,0,0,0,0,0,0,45.19,4.75,2.02,0,0,96.47,1.42,0,0,68.08,2.25,2.78,0,0,0,0,0,1.71,0,0,17.65,0,0,0,0,4.16,0.78,9.15,0,0,4.73,0,0,0,0.97,0,39.61,0,0,0,16.9
"New Zealand",22.58,13.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.27,0,0.2,0,0,1.54,0,0,0,2.86,0.05,0,0,0.63,0,0,0,0.0004,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,2.24,0,0,16.9,0
