"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"Panama",8.9700003,0,0.07,0,0,0,0,0.11,0,0.2,0,0.31999999,0,0,0.079999998,0,0,0,0,0,0,1.3099999,0,0,0.039999999,0,0.80000001,0,0.18000001,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36000001,0,0.23999999,0,0,0,0
"Colombia",25.799999,0,0.22,0,0,0,0,0,0,0.17,0.22,0,0.33000001,0.38,0,0,0,0,0,0,0,11.1,0,1.35,1.2,0,2.29,0,1.05,0,4.6700001,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0.050000001,0.23,0,0,0,0,0,0,0,0,0.25,0,0,0,0
"Venezuela",22.879999,0,0.0045449999,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,7.5799999,0,1.84,0.23,0,2.1500001,0,1.3,0,2.8699999,0,0.0020010001,0,0.0056449999,1.03,0,0,0,0,0,0,0,0,0,0,0,0.02,0.31999999,0,0,0,0,0,0,0,0,0.02,0,0,0,0
"Ecuador",5.0300002,0.07,0.000096999996,0,0,0,0,0,0,0,0,0.0014423,0,0,0.31999999,0,0,0,0.13,0,0,3.0999999,0,0.38999999,0.38999999,0,0.52999997,0,0.25,0,1.49,0,0,0,0,0.54000002,0,0,0.000443,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",28.540001,0.51999998,0.090000004,0,0,0,0,0,0,0.07,0,0,0,0.28,0,0,0.0099999998,0,3.99,1.29,0,13.81,0,0.92000002,1.8,0,2.9200001,0,0.85000002,0,7.5100002,0,0.0096190004,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0.27000001,0.079999998,0,0,0,0,0,0,0,0,0.81,0,0,0.49000001,0
"Brazil",70.449997,2.45,0.007768,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0.41999999,0.0079859998,0.02,35.330002,4.8200002,69.620003,0,3.03,10.28,0,19.65,3.51,3.0799999,5.3600001,35.439999,0.0099999998,0.55000001,0,0.79000002,10.22,0,0.2,0.02,0,0,0,0,0,0,0.99000001,1.73,2.1400001,1.37,0,0,0,0,0,0,0,0,0.52999997,0,0,0,0
"Bolivia",5.5,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,1.05,0.25,0,0,2.47,0.87,0,4.0999999,0,0.0099999998,0.41,0,0.57999998,0,0.18000001,0,2.1600001,0.000444,0,0,0,0.79000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0.81999999,0.0039519998,0.000378,0,0,0,0,0,0,0,0,0,0,0,0,0.001921,0,0,0,1.21,0.059999999,2.9100001,0,0.0099999998,0.14,0,0.23,0,0.15000001,0,0.07,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",28.35,0,0.25999999,0,0,0,0,0.41,0,0,0,0,0,0.47,6.8299999,1.27,0.1,0.00174,0,2.4100001,0,25.18,0,1.02,12.01,0,6.3400002,0,1.8200001,0,17.01,0.001927,0.059999999,0,0.039999999,4.9200001,0,0.0099999998,0.00045799999,0,0,0,0,0,0,0,0,4.459476,0.23,0,0,0,0,0,0,0,0,0.75999999,0,0,0.31,0
"Argentina",129.55,0,0.54000002,0,10.52,0,0,0,0,0,0,0,0,0,7.0599999,26.629999,0.99000001,2.6099999,3.3099999,0,2.5699999,137.33,0.050000001,6.7399998,31.34,0,29.9,5.4899998,16.5,0.18000001,60.200001,0.090000004,1.01,0,1.09,50.200001,0,0.13,0.1,0,0,0,0.00087300001,0,0.0096429996,0.93000001,4.46,1.61,0.99000001,0,0,0.0090579996,0,0,0,0,0,3.25,0,0,0,0
"Uruguay",11.97,0,0.34999999,0.00031800001,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0.15000001,0,4.98,0,9.1400003,0,0.5,2.27,0,2.8499999,0,2.24,0.07,5.6100001,0,0.02,0,0.02,2.3900001,0,0.0073099998,0.001738,0,0,0,0,0,0,0,0,0.090000004,0.02,0,0,0,0,0,0,0,0,0.34,0,0,0,0
"United Kingdom",948.27002,266.94,52.41,12.22,16.790001,0.75999999,0.81999999,0.38999999,0.41999999,6.6500001,0.12,3.1700001,1.49,1.2,38.73,15.3,25.280001,0.050000001,38.18,319.97,19.450001,0,215.46001,178.66,152.22,0,251.25,70.199997,79.139999,8.6099997,150.77,36.740002,10.14,0,59.509998,72.809998,0.00057899999,2.1600001,8.5900002,0.18000001,8.1899996,64.220001,6.7600002,13.84,3.24,5.0100002,94.610001,48.360001,207.62,0,0.12,41.23,30.76,10.57,0,42.700001,0,27.73,0,1.48,171.77,168.92
"Ireland",15.79,6.1199999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7700005,0,237.98,0,3.5999999,2.6800001,0,1.91,0,0,0,3.1700001,0,0,0,1.1,0,0,0,0,0,0,0,0,0.22,0,0,0,0.22,0.07,0,0,0,0,0,0,0,0,0,0,0,2.8499999,0
"Netherlands",101.13,8.7799997,7.4200001,1.92,4.04,1.28,0,4.6399999,0.44,0.13,0,2.29,1.26,0.77999997,0.059999999,12.32,0.0099999998,0.11,1.95,55.619999,0.47,118.66,0.46000001,0,93.660004,0,37.400002,7.2399998,7.7199998,2.3199999,215.42,7.8899999,1.78,0.51999998,7.3000002,5.5100002,0,0.34999999,4.54,0.83999997,10.43,16.459999,0.54000002,1.04,0.56999999,11.6,11.09,3.1500001,2.55,0.02,0.02,7.6399999,0.003,4.9400001,0.001685,5.4099998,0,6.27,0,1.26,3.55,0.25
"Belgium",90.730003,16.200001,0.28999999,0,2.6099999,0.0049999999,0,0,0,0.0082583996,0.003,0.46000001,0.079999998,0.1,0.059999999,11.2,0.25999999,0.0099999998,0.31,67.889999,9.5,110.71,0.76999998,84.220001,0,0,175.91,9.1599998,9.2600002,2.3399999,22.559999,0,0,0,2.9300001,0,0,0,1.5,1.45,7.48,5.5599999,1.3200001,6.0900002,0.27000001,7.9000001,11.1,4.8099999,1.72,0,0,7.48,0.0099999998,1.97,0,2.4000001,0,1.4,0,1.12,34.950001,0.51999998
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",300.69,23.4,4.2600002,0.69999999,4.0599999,0.12,0.02,0.63999999,2.0799999,0.16,0.090000004,1.4,2.99,1.38,0.62,55.459999,0.2,0.23,23.459999,94.879997,0,259.48001,0.41999999,60.950001,138.89999,0,0,34.790001,43.759998,4.8499999,105.38,12.79,9.2799997,2.72,8.4300003,78.970001,0.029999999,4.1599998,2.79,4.48,8.8500004,9.96,1.6900001,1.09,0.64999998,10.06,30.190001,9.2799997,2.3299999,0,0,13.01,0.77999997,9.9399996,0,60.619999,0,23.84,0,0.050000001,96.989998,2.73
"Switzerland",37.669998,13.13,0,0,0.0004852,0,0,0,0,0,0,0,0,0,0,4.4899998,0,0,0,16.129999,0,33.52,0,7.5599999,15.43,0,82.699997,0,6.3400002,0.0099999998,88.629997,2.6600001,6.1999998,0,15.12,52.560001,0,3.76,0.38,1.41,2.25,1.76,0,0.0099999998,0.090000004,0,2.23,0.72000003,11.85,0,0,0,0,0,0,2.22,0,6.27,0,0,4.6300001,0
"Spain",56.32,0,0.1,0.0091979997,1.85,0.0099999998,0,1.64,0.58999997,0.0068819998,0,0.33000001,4.3000002,1.49,0.1,0.16,0.0049382998,0.0021277,0.62,15.89,0.62,58.049999,0,9.1199999,13.42,0,46.5,4.71,0,2.4200001,19.959999,0,0.31,0,0.69999999,12.13,0,0.02,0.17,0,0.25999999,0.0099999998,0,0,0.14,0.41999999,10.14,4.27,1.3099999,0,0,0,0,0.74000001,0,0,0,0.25,0,0,0,0
"Portugal",10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,3.0899999,0.059999999,33.080002,0,2.9000001,8.0500002,0,3.6600001,0.88,3.54,0,15.74,0,0.039999999,0,0.17,1.5700001,0,0.31,0,0,0,0.000067599998,0,0,0,0,0.34,3.97,0.30000001,0,0,0,0,0.0017574,0,0,0,0,0,0,0,0
"Germany",407.51999,23.59,1.71,0.95999998,8.5,8.3400002,0.02,8.9799995,0.40000001,0.28999999,0.079999998,0.69999999,2.25,1.9,2.29,27.57,0.89999998,0.69,6.54,122.64,14.23,197.19,0.22,101.68,37.889999,0,51.82,63.220001,25.35,2.8299999,0,95.510002,34.049999,11.62,103.94,88.589996,0.0099999998,9.3400002,15.39,6.1500001,8.04,30.059999,4.5500002,5.2399998,11.4,11.34,28.77,16.68,61.650002,1.28,0.25999999,13.86,0.19,14.24,0,30.4,0,4.1999998,0,2.1800001,59.040001,5.6700001
"Poland",32.939999,0.11,0.02,0.00057700003,0.079999998,0.13,0.0099999998,0.02,0.0049990001,0.0099999998,0,0.004615,0.0099999998,0.0036530001,0.005961,2.0799999,0.02,0.00038499999,2.2,2.48,0.0099999998,92.723495,0,3.3299999,0,0,14,2.4300001,1.7,0.15000001,93.639999,0,18.629999,1.21,10.32,14.33,0.0063450001,0.63999999,0.13,1.41,3.96,0.94,0.039999999,1.3,0.079999998,0.38999999,2.3699999,0.74000001,2.8399999,0.0057680001,0.0099999998,0.11,0.050000001,1,0.00019200001,0.44999999,0,0.079999998,0,0.004038,2.0899999,0.0099999998
"Austria",38.904064,0.000024000001,0.000008,0.000036000001,0.000008,0,0,0,0,0,0,0.000001,0.000001,0,0,6.1375647,0,0.000004,0.000033,7.3233819,0.000019999999,21.821033,0,8.4032402,0,0,16.511293,39.845341,0.000028,0.0011828,105.1097,52.471779,0,81.528061,158.05414,50.430382,0,30.6394,1.5831164,15.41624,17.707848,2.2148232,0.000004,0.000008,0.000002,0.000004,1.4198208,0.000058000001,2.5711966,0,0,0,0.000039999999,4.9955082,0,1.0085429,0,0.0000070000001,0,0,4.7043719,0
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013633118,0,0,0.0019275757,0,0,0,0.014972968,0.0066059162,32.860001,0,35.66,0,0,0.0048182593,0,0,11.18,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Czechoslovakia",25.790001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49000001,0,0,0.67000002,2.27,0,12.99,0,14.13,3.28,0,15.53,10.9,0.52999997,0,164.94,21.35,36.07,25.51,0,29.219999,0,12.34,0.0080000004,2.73,13.54,0.19,0,0.40000001,1.03,0,5.4200001,0.41999999,9.5100002,0,0,0,0,0.02,0,0.07,0,0.029999999,0,0,0,0
"Italy",202.64,13.76,0.13,0,0.87,0,0,3.0999999,0.20999999,0.02,0.029999999,0.090000004,0.38999999,1.13,0.090000004,33.099998,0.0030864,0.12,0.63999999,48.220001,4.54,94.879997,0,6.3899999,0,0,64.480003,18.049999,11.43,1.25,66.209999,0.75999999,20.200001,0,13.31,0,1.37,24.280001,8.7600002,3.5599999,7,6.9400001,0,0,0,0,3.22,5.0300002,3.2,0,0,0,0.0049999999,18.450001,0,7.2399998,0,2.5599999,0,0,48.720001,0
"Albania",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.001575,0,0,0,0.00096500001,0.000185,0.0038600001,0,0,2.98,0,0.0027280001,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0
"Yugoslavia",4.1100001,0.00011,0,0,0.00077799999,0,0,0,0,0,0,0,0.000037999998,0,0,0.27000001,0,0,0.000872,0.17,0.0099999998,11.2,0,0.94,0,0,3.54,1.28,0.1,0.039999999,8.7399998,0.49000001,20.83,3.05,24.049999,21.629999,0.059999999,0,3.4000001,0.059999999,2.3399999,0.1,0.0000070000001,0.000037999998,0.000035000001,0.00012700001,0.079999998,0.18000001,0.19,0,0,0,0.0099999998,0.059999999,0,0.02,0,0.0020389999,0,0,0,0
"Greece",19.879999,5.2199998,0.0089140004,0,0,0.001987,0,0,0,0,0,0.001199,0,0.001235,0,0.93000001,0,0,0.001343,0.039999999,0.07,22.780001,0,3.74,5.4299998,0,11.86,1.04,0.25,0.5,8.3699999,0.02,0.66000003,0.16,4.1100001,15.8,0.66000003,5.52,0,2.8499999,6.4400001,1.45,0,0,0,0,0.94,0.2,0.050000001,0,0.0099999998,0,0.0052979998,3.73,0,0.039999999,0,0.81,0,0.0047610002,1.49,0
"Bulgaria",0.47999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1300001,0,0.83999997,2.1700001,0,2.97,0.33000001,0,0,7.9899998,0.050000001,4.1799998,0,2.24,5.5900002,0,1.05,0.79000002,0,5.4000001,0.13,0,0,0,0,0,0.0099999998,0.0099999998,0,0,0,0,1.25,0,0,0,0,0,0,0,0
"Romania",1.15,0,0.000099999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.86,0,2.1199999,2.54,0,10.57,1.5700001,0.1,0,25.15,11.72,22.01,5.46,15.07,13.1,0,0.37,0.94999999,0.30000001,0,0.02,0,0,0,0,0,0.11,0,0,0,0,0,1.78,0,0,0,0.02,0,0,0,0
"Russia",85.699997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48,0,49.84,0,15.48,1.49,0,0.02,0.28,0.22,0.0066239,46.220001,4.6199999,0.000035000001,0.94999999,11.24,2.3499999,0,0.000141,0.02,0.0054810001,0.00035359999,0,1.92,1.24,0,8.3900003,6.98,2.3499999,0.059999999,0,0,0,22.83,1.6799999,0,9.1999998,0,1.46,0,0,15.39,0
"Estonia",1.38,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065270001,0,17.200001,0,0.56999999,0.33000001,0,0.02,0,0,0,7.71,0.07,0.000002,0,0,0,0,0,0,0,0,2.6900001,0,0.80000001,0,0.5,0.82999998,0.0099999998,0.55000001,0,0,0,0,0,0,0,0,0,0,0,0,0
"Latvia",2,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107,0,0,0,0.008076,0,8.0799999,0.000207,0.2,0.80000001,0,0.87,0.69999999,0,0,19.280001,0.97000003,0.0000030000001,0,1.41,0,0,0,0,0,0,3.1700001,1.47,0,2.49,0.40000001,1.3200001,0.0099999998,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lithuania",0.1,0.002296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2199998,0,0.11,0.1,0,0.20999999,0.029999999,0.029999999,0,12.85,0.28,0.000001,0,0.88,0,0,0.000001,0,0,0,0,0,0.73000002,0,0.000164,0.73000002,0.000086,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",15.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5799999,0,0,0,0.56,0,22.1,0,5.6100001,3.3900001,0,2.8499999,0,0.33000001,0,35.27,1.23,0.17,0,0.81999999,0,0,0.0099999998,0.02,0,0,5.52,1.45,0.31,0.17,0,7.3400002,0.92000002,7.98,0,0,0,0,0,0,0,0,0.0028319999,0,0,0,0
"Sweden",60.27,0,0.02,0,0,0,0,6.1500001,0,0,0,0,0,0.12,0,10.01,0,0,0,12.34,0,81.589996,0,15,6.6700001,0,11.87,3.4200001,2.1600001,0.16,93.550003,0.63999999,0.97000003,0,3.4000001,3.95,0,0.02,1.54,0,0,1.3099999,0.82999998,0.37,0.2,5.8099999,0,10.08,32.860001,0,0,0.38999999,0,0,0,0,0,0.23999999,0,0,1.64,0
"Norway",29.360001,4.3000002,0.0062726,0,0.029999999,0,0,3.21,0,0,0,0,0.0081270002,0,0.54000002,1.87,0,0,0.0099999998,6.1999998,0.00046000001,51.119999,0.15000001,11.26,7.48,0,4.71,1.1799999,3.6600001,1.48,43.450001,0.85000002,0.33000001,0.0033460001,1.3,2.6199999,0,0.07,0.059999999,0.059999999,1.8099999,3.9300001,0.36000001,0.17,0.00087799999,0.67000002,13.66,0,10.58,0,0,0,0,0.0029829999,0,0.0099999998,0,0.0073350002,0,0.02,0.38,0
"Denmark",49.07,0,1.51,0,0.0070239999,0.00029900001,0,0.31,0.079999998,0,0,0,1.46,0,0.001003,5.8099999,0,0,1.1,11.87,0,74.540001,0,12.4,8.5500002,0,13.62,2.8900001,1.78,1.3200001,108.48,0.99000001,0.000016,0,1.8200001,2.8800001,0,0,0,0,8.6400003,12.15,0.07,0.72000003,0.49000001,5.3800001,21.610001,6.8200002,0,0,0,0,0,0,0,4.9000001,0,0.25999999,0,0.23,0.43000001,0
"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079999998,0,0,0,0,0,0,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23999999,0,0.0064420002,0,0,0,0,0,0,0.0092169996,0,0.000029000001,0,0,0,0,0,0.000088000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",41.41,9.8100004,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3899999,0,0,0,1.25,0,153.56,0,3.7,4.6999998,0,5.1900001,3.5699999,0,0,15.97,0.0054350002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9099998,0,0,0,0,0,0,0,0,0,0,3.1700001,0,0,10.27,0.14
"Iran",0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.76,0,2.5999999,4.25,0,3.1400001,0,0,0,2.3599999,0.00029600001,0,0,0,1.1799999,0,0,0,0,0,12.96,0,0,0,0,0,0,0,0,0,0,0,1.79,0.70999998,0.25,0,0.75999999,0,0,0,0
"Turkey",5.4400001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.83,0,1.04,4.6300001,0,9.6800003,0,0.029999999,0.059999999,11.7,0.0099999998,1.1,0,3.23,21.68,0.000193,0.0099999998,0.5,1.59,3.0799999,20.290001,0,0,0,0,0,0.0027989999,0,0,0,0,2.8800001,0,0,0,0,0.80000001,0,0,0,0
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18000001,0,0,0,0,0,0,0,0,0
"China",134.17999,10.94,1.23,0,0,0,0,0,0.0049505001,0,0,0,0,0,0,0,0,0,0,0,0,88.540001,0,14.87,12.84,0,7.4200001,6,0,0,27.18,0.008537,0,0,0,5.0799999,0,0,0,0,0,7.0900002,0,0,0,0,0,1.36,0.40000001,0,0,0,1,0,0,0,0,164.96001,0,0.58999997,2.55,0
"Mongolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Japan",253,21.459999,0.0049999999,0,0.0099999998,0,0,0.0070000002,0,0,0,0,0,0,0.22,0,0,0,0,0,0,128.81,0,3.25,12.1,0,13.49,12.22,0.72000003,0.17,59.57,0.14,2.99,0,0.079999998,1.8200001,0,0.000134,0.000157,0,0,6.25,0,0,0,0,5.6799998,1.53,0.44,0,0,0.66000003,1.2,0.2,0,97.830002,0,0,0,7.6100001,56.669998,1.61
"Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thailand",1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3800001,0,0.69999999,1.8200001,0,0.07,0,0,0,0.28999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024560001,0.1,0,0,0,0,0,0,5.0700002,0,2.0999999,0,0,0,0
"Australia",188.46001,16.469999,0.34999999,0,0,0,0,0,0,0,0,0,0,0,0.70999998,0,0,0,0.13,0,0,336,0.079999998,0.76999998,4.3800001,0,20.51,11.32,0,0,10.99,0.00066600001,0.000001,0,0,7.3200002,0,0,0.000075000004,0,0,0,0,0,0,0,7.9699998,5.21,0,0,0,25.280001,0,0,0,3.6500001,0,20.17,0,0,0,10.69
"New Zealand",36.740002,19.299999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.72,0,0.18000001,0.61000001,0,0.85000002,0,0,0,0.51999998,0.000111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.30000001,0,0,0,0,0,2.23,0,0,30.67,0
