"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"Greece",189.8,6.17,0.88,9.05,0.01,0.1,0.314,0,0.008,0.96,0.059,0.215,0.15,0.003,0.32,0.18,0.07,0.3,0.09,24.94,0.4,14.066,0.21,0.076,45.51,27.87,5.487,81.66,4.35,59.54,76.6215,3.9785,151.58,50.24,13.14,2.56,0,0.47,7.44,40.52,2.17,8.62,171.68,4.15,0.5,2.37,0,22.227,2.35,3.67,0.08,17.77,11.94,12.24,15.08,3.476,9,1.04,0.412,2.316,0.389,0.04,0.31,9.01,0.15,0.049,5.36,0.486,2.256,0.009,1.818,2.93,10.716,0.122,0.22,2.5,2.54,1.38,1.858,0.864,0.6,0.025,0.96,2.782,11.3991,0,0.663,21.01,0,0,9,1.7,0.004,4.22,1.25,1.84,43.26,2.869,25.62,13.44,22.1,8.58,45.49,15.81,1.44,4.93,96.45,0.259,0.01,3.07,0.05,0.08,0,0.01,0.99,1.6,0.03,3.52,0.09,2.86,226.67,1.49,0,3.65,0.4,0.25,0.77,0,0,0.34,0,0,0,0,3.93,1.4,0.62,4.22,50.45,48.89,0.008
"Cyprus",28.356,5.576,0.003,9.076,0,0.001,0.008,0.005,0.299,0.009,0.007,0,0,0,0,0.027,0,0.397,0.002,0.001,0.015,3.246,0,0.031,0,4.596,0.139,40.56,1.786,6.613,9.0501,0.4699,24.417,3.327,5.756,1.062,0,0.087,2.949,2.655,0.972,0.284,30.166,0.18,9,0.777,22.227,0,0.8,2.087,4.155,0.788,4.948,2.149,4.409,0.085,0.004,0.038,0,0.001,0,0,0.003,0.212,0.001,0,0.001,0.138,0.269,0.001,0.009,0.087,0,0,0,0.016,0.069,0.11,0.037,0.101,0,0,0.017,0.143,0.1592,0.003,0.003,0.005,0,9,0.001,0.004,1.442,0.051,3.182,0.3,3.988,0.098,0.279,3.977,4.033,1.187,0.561,2.989,0.404,7.315,10.581,0.022,0.009,1.513,0.259,0.22,0.797,0.067,0,0.112,0,0.814,0,0.193,16.89,1.842,0,1.189,0.03,0,0.131,0,9,0.2,9.004,9,0.022,0,0.253,1.216,0.004,0.01,0.366,2.915,0.002
"Bulgaria",1.1,1.5,0,0,9.239,9,9,0,0.001,0,0,0,0,0,0.077,0.002,0.04,0.3,0,0.07,0.08,21.807,9,0,0.01,0.15,0.103,9.7,0.68,11.4,5.5137,0.2863,12.2,11.4,2.79,0.68,0,0,31.97,14.3,12.29,0,22.1,4.71,0,1.08,2.35,0.8,0,1.16,0,2.27,13.8,2.29,1.26,0.089,0,9,9.009,0.028,9.084,0,0.002,0.35,0,0,9.061,9,0.276,0.001,0.148,2.1,0,9,9,0.001,9,9,0.01,0.027,0,9,0.003,0.509,9.0009,0,0,0,0,0,0,0,0.086,0.33,3.31,0.98,16.2,0.643,16.7,0.4,19.7,1.55,1.02,7.03,1.79,0.8,1.5,9,0,11.1,9.11,9.04,9,9.08,0.248,0,0,0,0,0,17.7,9.38,0,0.6,2.01,0.033,0,0,0,0.6,0,9.005,0,0,0.08,4.47,9,0,1.56,0.03,0
"Romania",103.21,6.43,0,11.44,0.197,0,0,0,0.006,0.1,0,0.03,0,0.018,0.915,0.014,1.6,0.2,0,0.2,5.29,5.393,0,9,12.29,1.75,0.156,61.36,2.16,18.25,29.8881,1.5519,60.7,63.69,13.23,1.37,0,16.68,70.64,45.81,9.47,1.08,47.44,2.92,1.07,16.34,3.67,2.087,1.16,0,65.19,5.97,11.94,12.07,3.48,0.007,9,0.19,0.101,0.26,0.679,0,0.005,1.17,2.49,9.079,0.875,0,0.098,0.008,0.102,3.5,0,0.164,9,0.045,1.9,2.443,0.274,0.849,0.6,0.406,0,0.063,1.0473,0,9.022,0,0,0,0,0,0.054,4.21,4.77,0.88,15.87,5.601,14.58,3.14,3.19,17.3,6.97,20.9,3.31,26.02,6.6,0.606,0,8.3,0.23,9.28,2.8,0.08,9.102,20.52,0,0,0.03,0,57.76,10.78,0,2.8,8.47,0.012,1.34,0,0,0.44,0,0,0,0,9.07,19.89,0.4,1.82,0.62,0.21,0
"Russia",968.7,266.7,0.16,0,0,9,6.21,9,0.006,0.3,0,0.008,0,2.477,8.552,0.175,16.51,3,7.939,0.66,13.65,133.02,0,9,1.95,76.06,11.008,574.7,6.44,51.1,32.4168,1.6832,143.5,31.6,34.06,0.57,0,0,13.01,44.1,91.16,0,90,1.1,0,1.83,0.08,4.155,0,65.19,0,78.07,92.1,25.21,60.66,12.152,0,9.198,4.405,2.48,0.734,0.085,0.061,0.04,0,0.193,0.25,10.325,27.664,1.961,0.222,26.4,0,0.058,9,0.764,0,3.477,0.384,2.624,1.5,0.241,8.678,0.72,0.6982,0,0,0,0,0,0,0,3.717,16.6,8.01,0.12,33.4,25.999,188.9,75.48,88.6,303.97,9.95,11.78,11.25,0.06,11.4,2.762,0,11.5,9.03,9.01,11.8,9.14,30.221,0,0,0,0,0,590.1,230.81,0,4.39,37.73,1.845,2.452,0,0,0.88,0,9.023,0,0,95.83,63.6,7,2.8,241.46,46.64,0.014
"Finland",13.84,0.4,0,2.43,0.194,0.25,0.502,0.21,0.201,7.67,10.559,3.148,2.024,0.947,12.284,2.684,20.33,3.58,0.089,1.61,4.96,16.42,0.2,0.039,0.78,17.4,0.331,372.44,28.34,25.1,27.54,1.43,43.87,29.14,19.38,21.81,0,1.14,34.66,31.02,9.93,7.14,9.76,0.46,0.01,6.01,17.77,0.788,2.27,5.97,78.07,0,164.33,62.85,97.98,3.424,9,0,0.038,0.104,0.022,0.01,0.07,0.78,0.21,0.005,0.892,0.152,1.124,0.125,0.583,4.24,0.04,0.03,0,0.07,0.26,0.428,3.312,0.578,0,0.026,0.02,2.843,0.4,0,0.277,5.72,0,9.28,0.04,0.2,0.164,2.19,6.24,1.57,4.6,2.495,35.84,1.15,0.68,2.14,3.42,11.31,0.8,11.48,17.1,0.01,0.02,0.6,0.15,0.04,0.06,0.01,0.3,7.93,9.02,1.57,0.41,1.1,91.36,0.35,0,0.79,0.47,0.134,0.16,9.45,9,3.11,0.01,0.003,2.61,0,2.76,11.97,0.91,2.66,19.42,2.54,0.006
"Sweden",97.8,111.1,0.39,1.6,0.133,6.5,5.227,57.37,0.474,57.8,2.085,0.184,3.076,1.165,4.466,5.382,9.13,6.2,0.349,1.64,15.01,65.257,3.899,1.767,21.82,29.1,2.484,499.9,50.03,40.5,13.0238,0.6763,274.6,81.1,176.84,15.17,0,15.3,100.76,1.2,6,1.6,97,0.81,0.4,1.52,11.94,4.948,13.8,11.94,92.1,164.33,0,351.74,413.04,20.271,0,1.12,0.112,1.891,0.797,0.4,0.23,2.67,0.7,0.061,9.694,0.494,4.653,0.133,1.025,52.3,1.144,0.063,0,1.179,11,4.424,1.827,2.631,0.2,0.088,0.2,1.423,7.2418,0,0.509,47.9,9,9.1,0.4,0.363,0.38,14.64,7.5,7.35,17.6,0.178,13.6,1.3,11.5,8.48,4.98,13.09,3.15,31.29,18.3,0.038,0.2,17.4,0.66,20.92,7.9,16.22,1.8,22.1,0.1,14.8,0.5,7.1,69.7,1.13,0,1.14,6.84,1.861,3.5,0,9.2,18.07,9.1,0.051,1.399,0,23.68,24.7,3,3.1,107.76,10.83,1.749
"Norway",127.08,99.88,0.07,1.57,0.343,1.45,45.399,10.4,1.013,1.44,3.864,1.233,0.718,0.621,5.455,1.618,3.45,3.19,0.57,0.27,2.3,10.037,0.03,0.31,0.21,7.1,0.268,158.89,8.7,180.47,67.3622,3.4977,93.35,66.48,10.17,16.33,0,1.85,12,30.78,2.12,8.9,32.72,0.18,0.01,16.26,12.24,2.149,2.29,12.07,25.21,62.85,351.74,0,39.47,31.977,9,0.008,0,4.483,0.202,0.02,1.297,2.77,10.52,0.024,3.415,0.166,2.283,0.132,0.839,10.54,2.44,0.005,0,1.54,6.98,0.637,2.942,3.218,0.08,0.033,25.22,0.506,1.9864,0,0.742,11.68,9.06,9,0,0.03,0.032,4.71,12.07,0.57,4.72,0.241,108.55,2.44,1.6,3.19,0.63,1.84,0.29,0.58,17.24,0.285,0,1.2,0.59,0.22,7.86,28.62,0.133,17.32,0.01,0.19,0.15,1.1,418.33,0.34,0,5.27,2.93,0.953,0.48,9,9.03,4.21,0,0.006,0.31,0,0.06,10.14,3.11,1.99,0.52,2.23,0.098
"Denmark",33.87,32.08,0.27,3.02,0.288,0.84,1.258,7.56,1.452,3.84,6.082,2.55,2.242,4.925,1.503,0.537,5.92,6.15,0.532,0.29,0.51,77.153,1.15,2.657,6,20.28,1.608,311.27,23.51,171.8,174.5278,9.0622,138.89,25.58,0.8,40.85,0,1.16,2.11,53.93,5.53,14,111.87,1.03,0.39,0.62,15.08,4.409,1.26,3.48,60.66,97.98,413.04,39.47,0,8.4,0,0.301,0.11,1.646,0.382,0.12,0.179,1.73,0.56,0.794,2.13,1.69,2.994,0.176,0.92,18.81,0.3,0.035,0.17,2.172,9.03,1.002,3.483,0.688,0.17,0.218,0.32,0.032,2.0618,0.04,0.217,4.43,9.06,0.23,0.69,0.31,1.256,2.18,0.24,2.29,2.34,0.256,82.23,22.22,5.89,0.62,2.16,3.81,2.64,3.26,90.43,0.014,0.51,21.62,1.33,1.86,5.59,18.06,1.784,16.48,0.01,2.74,0.06,7.73,127.53,18.63,0,6.08,5.41,6.543,4.68,0.03,0.07,2.76,0.18,0.089,1.4,0,5.56,1.93,1.7,17.81,17.94,1.39,0.321
"Iceland",56.965,0.703,0.08,0.005,0.001,0.021,0.005,0,0,0.01,0.034,0.082,0.002,0.031,0.157,0.069,0.019,0.5,0,0.018,0.03,0.054,0,0.001,0.003,0.013,0.001,2.79,0.134,19.329,8.4797,0.4403,1.975,8.819,1.107,12.308,0,0.515,5.948,1.349,0.592,1.598,4.256,0.038,0,0.498,3.476,0.085,0.089,0.007,12.152,3.424,20.271,31.977,8.4,0,0,0,0,0.032,0.007,0,0,0.023,9.835,9.033,0.06,0.002,0.023,0,0.042,0.469,0.027,0.001,0,0.08,0.21,0,0.017,0,0,0,0,0.369,0.001,0,0.001,0.374,0,0,0.002,0.001,0,0.051,0.17,0.526,0,0.024,0.042,0.051,0.019,0.048,0.003,0.609,0,0.254,0,0,0,0,0.002,0,0,0,0.305,1.082,9.005,0.146,0,0.56,12.76,0.393,0,0.029,0.018,0.028,0.018,0,0,0.265,0,0.005,0,0,0.019,0.037,0.038,0.02,12.624,0.596,0
"Equatorial Guinea",5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0.2,9,2.7,0,0,0.6,0,2.01,9,0,0,9,0,0,0,0.5,0,0,0,9,0.004,0,9,0,9,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.178,0,0.702,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.03,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0
"Gambia",1.029,0.219,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.2,0,9,0,0,0,0,0,0,0,1.493,0.068,0.704,0.9126,0.0474,4.573,3.337,0.08,1.154,0,0.252,0.74,0.9,0.559,0.255,1.378,0,0,0,1.04,0.038,9,0.19,9.198,0,1.12,0.008,0.301,0,0,0,0,1.167,0,0,0,0.03,0,0,0.029,0.403,0.046,0,0.003,0.019,0,9,0,9,9,0,0,9,0,0,0,0.001,0,0,0.303,9,0,0,0,9,0,0,0,0,0,0,9.1,9,0.013,0,0,0,0,9,0,9,0,0,0,0,0,0,0,3.732,0,0.095,0,0,2.418,0.232,0,0.003,0.06,0.363,0,0,0,0.15,9,0,0,0,9,9,0,9,0,0,0
"Mali",11.174,0.649,9,0.002,0,0,0,9.247,0,9.043,0,9,0,0,0,0,0,0.642,9,9,0,0,0,9,0,5.375,9,0.094,0,1.143,1.2643,0.0657,35.811,0.422,0.084,0.09,0,0.254,0.204,0.11,0.016,0.076,0.009,0.01,0,0.02,0.412,0,9.009,0.101,4.405,0.038,0.112,0,0.11,0,9,0,0,4.607,0.004,0.034,0.569,9.239,0.023,1.82,0.027,0.002,1.462,0.015,0.002,0.061,0,0.012,0,0,0.002,0,0,9,0,0,0,9.004,0,0,0,0,0,0,0,0.002,0,0.045,0.067,0.008,0.028,9,0.094,0,0,0.027,0,0.333,0,0.006,0.004,9,9.004,9.004,0,0.01,9,0,0,10.411,0,0,0.184,0.004,1.827,0.121,0,3.195,0,9,0.002,0,0,0,9.117,0,9.002,0,0.027,9,0,0.099,0.002,0,0
"Senegal",24.89,1.439,0,0.295,0,9,0.001,0.18,0.007,0.006,9,0,0,0.002,0,0,0,0.429,0,0,0.004,5.025,9,0.086,0.048,1.642,0.001,3.039,0.499,0.323,4.0212,0.2088,45.3,0.818,6.231,0.82,0,0,1.247,0.473,0.093,0.076,0.618,0.006,9.046,0.191,2.316,0.001,0.028,0.26,2.48,0.104,1.891,4.483,1.646,0.032,0,1.167,4.607,0,2.12,7.099,0.573,1.507,1.015,1.237,0.437,1.004,0.014,0.709,1.32,7.885,5.236,0.087,2.778,0.726,0.7,9,0.001,0.543,0,0.005,0.023,0.001,0.0009,0,0.021,0,0,9.305,0.051,0.429,0.001,1.986,0.386,0.091,0.123,0.886,0.032,0.049,6.899,0.546,9.013,1.164,0,0.184,0.001,9,0.051,0.1,0,0,0,0.001,9,19.255,0,0.438,0.034,0,1.959,4.919,0,2.145,0.03,0.004,0.002,0,0,12.888,0.073,0,0.008,0,0.02,0,0.122,0.029,0.016,0.49,0
"Benin",3.143,0.265,0,9.005,9,9,0,0.097,0,0.01,0,0,0,9,0,0,0,1.103,0,9,0,0.052,0,0,9,0,9,6.012,0.044,2.608,0.9316,0.0484,17.267,0.177,1.131,0,0,0.336,0.031,0.031,9.228,9.102,0.658,0.035,9,0.036,0.389,0,9.084,0.679,0.734,0.022,0.797,0.202,0.382,0.007,0,0,0.004,2.12,0,0.001,0.728,2.15,9.002,0.002,0.004,0.004,0.817,0.347,0.082,4.369,0.016,0.031,9.004,0.025,0.01,0,0,0,0,0,0,0.012,0,9,9.035,9,0,0,0,0.016,0,0.098,0.126,0.14,0.485,9.003,0.777,0.005,0.044,0.902,9.002,0.005,0,0.004,0.132,9,9,9.077,9,0,0,0,0,6.136,0,0.354,9.002,0.064,0.363,4.03,0,0.54,0.12,9,0,0,9.005,0.655,0,0,0,0,0.032,9,0,9,0.095,0.07,0
"Mauritania",9.139,5.2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0.64,9,32.083,0,1.614,8.3466,0.4334,36.154,0.4,21.2,0,0,0,0,0,0,0,15.129,0,0,2.03,0.04,0,0,0,0.085,0.01,0.4,0.02,0.12,0,0,0,0.034,7.099,0.001,0,0.026,0.05,0,0,0.947,0,10.678,0,0,0.1,0.007,0,0,1.004,0.912,0,0,0,9,0,0,0,0,0,0.046,9,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,9,0,0,0.01,0,0,0,4.834,0,0,0,0,20.226,0,0,0.1,0,9,0,0,0,0,9,9.002,0,0,0,0,0,0,0,0,0
"Niger",6.257,0.881,0,0,9,0,9,0.132,0,0,0,0,0,0,0,0,0.014,2.203,0,0,0,0.009,0,0,0,0,0,2.952,0.445,2.965,0.6369,0.0331,13.209,0.747,0,2.419,0,0.075,0.048,0.02,0.079,0.052,0.68,0.036,0,0,0.31,0.003,0.002,0.005,0.061,0.07,0.23,1.297,0.179,0,0,0,0.569,0.573,0.728,0.026,0,2.708,0.005,0.454,0.005,0.002,1.015,0.007,0.079,4.654,0.055,0,0.002,0,0.098,9,0.005,0,0,0.002,0,0.023,0,0.009,0.024,9.008,0,0,0,0.905,0,0.071,0.617,0.072,0.201,0,0.931,0,0.001,0.005,0,0.022,0,0.023,0,0,0,9.249,0,0,0,0,0,1.913,0,0.556,9,0,0.535,0.034,0,0.27,0.01,0,0,0,0,0,9,0,0.001,0,0.007,0,0,0,0.026,0,0
"Ivory Coast",51.28,3.15,0,0.03,0.01,9,0,1.27,0,0.15,0.28,9.02,9,0.07,0,0.46,0.01,1.26,0,0.01,5.46,1.969,0,0.11,0.01,0.09,0.09,24.26,2.48,21.46,9.8676,0.5124,35.14,3.76,51.63,0.96,0,2.01,2.3,6.41,9.16,0.81,99.61,0.62,9,9.93,9.01,0.212,0.35,1.17,0.04,0.78,2.67,2.77,1.73,0.023,0,0.03,9.239,1.507,2.15,0.05,2.708,0,0.25,12.475,1.464,0.21,2.163,0.873,2.551,9.81,1.356,0.104,0.31,0.518,0.28,0,0.05,0.02,0.01,0.009,0.01,0.01,0.1273,0,0.002,0,0,0,0,3.433,0.005,13.45,22.97,0.52,0.09,0.03,0.04,0.17,11.69,4.06,0.3,1.15,0.02,3.26,0.62,9,0.01,0.01,9.02,9,0,0.02,9,0,0,22.63,0,0.07,4.09,0.43,0,16.06,0.23,0,0,0,0,4.09,0,0,0.02,0,0.25,0.51,0.41,0.02,0.57,0.04,0
"Guinea",7,2.3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0.15,0.3,3.042,0.158,18.6,1.4,7.82,3.32,0,0,0,0.3,0,0,2.2,9,0,2.22,0.15,0.001,0,2.49,0,0.21,0.7,10.52,0.56,9.835,0,0,0.023,1.015,9.002,0,0.005,0.25,0,0.003,0.406,0.133,0.002,0,2.868,0,0,0,0,0,9,0,0,0,0,0,0,9.004,0,0,9,0,0,0,0,0,0,0.71,0.54,0,0,0,0,0,9,0.34,9,1.27,0,0.01,0,9,0,0.5,9,0,0,0,0,0,0,0,0,0,1.1,0.24,0,0.37,0.06,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"Burkina Faso",2.586,0.065,0,9,0,0,0,0.205,0,9.02,0,0,0,0,0,0,0,9.349,9,0,0,9.031,0,9,9.001,0.014,9.596,0.313,0.001,2.234,1.1693,0.0607,28.881,1.081,1.623,0.15,0,9.15,9.162,0.089,9.018,9.046,1.808,0,0,0.105,0.049,0,0,9.079,0.193,0.005,0.061,0.024,0.794,9.033,0,0,1.82,1.237,0.002,0,0.454,12.475,0.003,0,0,9,0.124,0.16,0.031,0.168,0.013,0.001,0,0,9.32,0,0,0,0,0,0,9.01,0,9,0,0,0,0,0,0,0.001,0.086,0.049,0.056,0.046,0,9,0.01,9,0.152,0,0.12,0,0.002,0.001,0,0,9,9,0,0,0,9,0.47,0,1.431,0,0.002,0.605,0.077,0,9.557,9,9,0,0,0,0,0,0,9.074,0,0.025,0,0.049,0,0.001,0,0
"Liberia",22.156,1.228,151.938,0,0.001,0,0,0.001,0,0.02,0,0,0,0,0,9,0.03,0,0,0,0,0.673,0,9,0.5,0.147,0,0.291,0.061,37.66,28.8234,1.4966,29.338,1.042,13.746,0.008,0,9.228,2.526,0.019,0.331,0.947,54.196,0,9,0.018,5.36,0.001,9.061,0.875,0.25,0.892,9.694,3.415,2.13,0.06,0,0.029,0.027,0.437,0.004,0.947,0.005,1.464,0.406,0,0,0.06,0.136,0.033,0.011,0.159,0.004,0.003,0,0.002,0.01,0.007,0.014,0,0,0,0,0.007,0.004,0,0.567,0,0.002,9.033,0,0.001,0.202,0.376,0,0,1.8,9.002,0.002,0.008,0,0.036,0.002,1.365,0,3.798,11.641,9,9,0,0,0,9.001,0.17,0,4.67,0,1.816,9,0,34.458,0.651,0,4.241,0.05,0,0,0,0,0.01,0,0,0,0,0.062,1.249,0.4,0.001,0.254,0.045,0
"Sierra Leone",77.099,3.69,0,9,0,9,0.013,0.064,0,0,0,9,0,0,0,0,0,0,0,0,0.001,0.033,9,0,0,0.035,0.001,62.874,0.305,3.229,2.1199,0.1101,12.239,1.915,1.589,0,0,1.747,3.283,0.246,1.431,11.315,3.276,0.01,0,0.066,0.486,0.138,9,0,10.325,0.152,0.494,0.166,1.69,0.002,0,0.403,0.002,1.004,0.004,0,0.002,0.21,0.133,9,0.06,0,0.027,0.041,0,5.538,0.154,9,9,0,0,9,0.035,9,0,0,0,9,0.2995,0,1.717,0,9,9,0,9,0,0.035,0,0,0,0,0,0.012,9.007,3.648,9,0.574,0,0.004,0,9,0,9,0,0,0,0,9,4.822,0,0,9,0,4.202,2.321,0,2.143,9.39,0.048,0.023,9,0,0,9,0,0,0,0.062,1.568,0,0.003,0.279,0.115,0
"Ghana",25.436,0.851,0.021,0,0,0,7.747,0.008,0,0.088,0,0,0,0.443,0,0,0.003,0.04,0,0,0,0.552,0,0.001,0,4.918,0,43.758,9.383,15.126,2.3196,0.1204,17.659,5.058,18.143,0.032,0,0.622,14.427,5.742,2.113,3.693,16.814,0.68,0,4.774,2.256,0.269,0.276,0.098,27.664,1.124,4.653,2.283,2.994,0.023,0,0.046,1.462,0.014,0.817,10.678,1.015,2.163,0.002,0.124,0.136,0.027,0,0.365,0.008,17.063,9,9.003,0,0.043,0.054,0.009,0.839,0.029,0,0,0.003,0.148,0.0346,0,0.001,0.112,0,1.155,0,0.009,0,2.226,0.195,0.069,0.001,0,0.493,1.583,0.745,0.579,0.002,0.549,0,1.36,0,9,0,0,0.008,9,0,9,0,1.667,0,1.181,0,0.782,45.723,0.101,0,4.645,1.01,0,0.159,0,0,0.376,0,0,9,0,0.996,2.64,2.092,0.025,5.082,0.703,0
"Togo",1.408,0.752,0,0.002,0,9,0,0,0,0.007,9,0,0,0,0,0.003,0,1.887,9.017,0,0,0.028,0,0,9,0.001,0,6.608,0,10.261,1.7016,0.0884,6.396,0.662,3.323,0,0,0.217,0.517,0.873,0.18,9.397,0.16,0,0,0,0.009,0.001,0.001,0.008,1.961,0.125,0.133,0.132,0.176,0,0,0,0.015,0.709,0.347,0,0.007,0.873,0,0.16,0.033,0.041,0.365,0,0.037,0.61,0.055,0.027,0,0,0.134,0,0,9,9,0,9,0,9,9,0.061,0,0,0,0,0,0,0.077,0,0.069,1.089,0,0.23,0,0.048,0.005,9,1.197,0,0.014,0.001,0,9.041,0.099,0,0,0,9,9,1.956,0,2.429,0.008,0.004,0.532,0.416,0,0.419,0,9,0,0,0,0.256,9,9,0,0,0.019,0,0,0,0.019,0.029,0
"Cameroon",1.731,1.913,0,0.005,0,0.202,0,1.06,0,0,0,0.014,0,0,0,0.008,0.025,0.043,0,0,0.01,0.133,0,0.113,0,0.047,0.005,3.839,0.404,56.146,3.6695,0.1905,37.029,2.404,12.961,0.089,0,1.399,1.085,0.071,0.091,0.426,0.496,0.114,0,3.325,1.818,0.009,0.148,0.102,0.222,0.583,1.025,0.839,0.92,0.042,0.178,0.003,0.002,1.32,0.082,0,0.079,2.551,2.868,0.031,0.011,0,0.008,0.037,0,0.719,3.452,3.862,2.529,3.681,0.279,0,0.037,0,0,0,0,0.001,0,0,0.204,0.005,0,0,0,0.338,0,0.25,2.743,0.003,0.1,0.047,1.733,0.03,0.001,0.558,0.001,0.494,0,0.001,0.003,0,0,0,0,0,0,0,0,4.401,0,3.155,0.001,0.216,9.484,0.493,0,2.796,0.45,0,0.002,0.002,0,2.179,0,0,0.002,0,0.216,0,0.037,0.045,0.061,0.248,0
"Nigeria",612.7,70.5,123.76,0,0,9,0.209,5.61,0,0.1,0.027,0,0,0,0.004,0,0.08,0.8,0,9.03,0,0.65,9,0,9,0.2,20.48,1.3,0.78,300.4,9.6015,0.4985,283.1,0.4,2.08,0.15,0,1.5,14,5.2,1.7,10.1,25.4,0.8,9,1,2.93,0.087,2.1,3.5,26.4,4.24,52.3,10.54,18.81,0.469,0,0.019,0.061,7.885,4.369,0.1,4.654,9.81,0,0.168,0.159,5.538,17.063,0.61,0.719,0,0.093,0.463,7.466,0,2.7,0.017,0.336,0.014,0,0,0,0.039,0.0205,0,0.002,0,0,0,9,0.1,0.001,2.3,0.1,0,0,0.02,0.5,5.2,0,1.43,0.1,6.19,0,4.9,0,9,0,0.5,0,0,0.2,0.05,0,28.2,0,0,0,8.4,18.2,17.36,0,4.1,1.71,0.3,0.1,0,0,0,0,0,0,0,0.3,3.17,0,0.1,2.3,0.96,0
"Gabon",16.532,1.868,106.6,0,0,0,0,0,9,0.1,9,0,0,0,0,0,0,0.002,0,0,0,0.892,0,0,0,0,0,19.187,0,21.272,2.5762,0.1338,60.663,1.038,14.135,0,0,0,1.003,0.9,0.216,0,3.337,0.06,0,1.29,10.716,0,0,0,0,0.04,1.144,2.44,0.3,0.027,0.702,0,0,5.236,0.016,0.007,0.055,1.356,0,0.013,0.004,0.154,9,0.055,3.452,0.093,0,0,1.867,0,0,0,0,9,0,0,0,0,0.1673,0,0.372,0,0,0,0,0.197,0.02,3.305,0.096,0.64,0,9,0.1,0,0,0,0,2.588,0,1.784,0,9,0,0,9,0,0,9,0,0,0,0,0,0,6.754,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0
"Central African Republic",4.564,0.074,0,9.001,9,0,0,0,0,1.4,0,9,0,0,0,0,0.01,0.001,0,9,0.05,0.006,9,0.007,0,0.008,0,0.193,0.009,1.609,0.3422,0.0178,5.328,0.257,1.189,0.131,0,0.002,0.015,0.135,0.019,0.034,1.153,0,0,1.889,0.122,0,9,0.164,0.058,0.03,0.063,0.005,0.035,0.001,0,9,0.012,0.087,0.031,0,0,0.104,0,0.001,0.003,9,9.003,0.027,3.862,0.463,0,0,0.855,0,1.065,0,0,0,9,0,0,0,9.077,0,0.033,0.571,0,0,0,0.001,0,0.06,0.051,0.308,0,0.017,0.048,0.002,0,0.037,0,0.034,0,6.154,0,9,0,0,0,0,0,9,9,0,0,0.421,0,0,0.273,0.01,0,0,7.68,0,0,0,0,0,0,9.015,0,0,0.008,0,0,0,0.003,0.14,0
