"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Philippines","Indonesia","Australia","New Zealand"
"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",2.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.30000001,0.86632448,0.033675499,0.30000001,0.60000002,0,0,0,0,0.40000001,2,0,0,0.1,0,0,0,0,0.30000001,0.1,0,0,0,0,0,1.9,0,0,0.5,0,0,0,0,0,0,0,0.2,0,0,0,0,8.1000004,0,0,0,0,0,0,0,0,0
"South Africa",120,39.099998,0,0,0,0.1,0,0,0,0.2,0.1,0,0,0,0,0.2,8.1999998,0,0,0,3,1,340.5,0.1,6,8.566987,0.33301279,14.7,2.5999999,1.3,1.6,0,1,3,23.799999,0,0,0,0,0,0,4.6999998,19.4,3.3,0.60000002,0,0,0,0,31,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2.4000001,0.60000002,0,12.1,0,0.60000002,1,3.0999999,8.5,0.80000001
"Iran",67.800003,0.60000002,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.400002,0,1.2,2.887748,0.1122515,2.8,2.9000001,0.1,0,0,0,6.1999998,2.5999999,0,0,0.1,0,0,10.2,0.1,1.5,0,0.1,0,0,0,0,0,0,5.9000001,0.1,0.30000001,0.1,0,0,0,0,0,0,0,0,0,0,17.299999,0.80000001,2.0999999,0.30000001,0,0,0,0,1.9,0.30000001
"Turkey",70,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0.1,29.6,0.1,8.1999998,7.2193708,0.2806288,14.2,3.9000001,0.1,0,2.4000001,5.6999998,13.3,13.4,0,0.30000001,0.5,0.69999999,0.1,0,2.5,5.4000001,1.9,2,0,0,0,0.69999999,4.5,0,0.5,0.69999999,5,0.2,0,0.1,6.9000001,0,0,0,0,0,0,0,3.5,2.5999999,0,0.2,0,0,0,0.2,4.0999999,0.1
"Iraq",8.6000004,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,51.400002,0,2.9000001,1.155099,0.0449006,1.2,0.1,1.1,0,0.1,0.60000002,1.6,6.5999999,0,0,0.1,0,0,0,0,1.7,0.2,0,0,0,0,0.1,3.7,0.40000001,0,0.2,2.8,0.2,0,0,0,0,0,0,0,0,0,0,8.6999998,0,0,6.3000002,0,0.1,0,0.60000002,0.30000001,0.1
"Egypt",36.200001,5.0999999,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,18.5,0.30000001,0,118.6,0,23.700001,13.18738,0.5126152,59.799999,9.8000002,2.7,1,1.3,3.5,7.1999998,44.400002,0,7.1999998,2.5999999,0.1,2.4000001,16.799999,7.0999999,13.9,9.6000004,2.5999999,0.1,0,0.40000001,21.1,16.299999,6.9000001,3.5999999,0,1.4,2.4000001,0,0,11.4,0,0,0.89999998,0,0,0,0,16.200001,0.80000001,0,14.2,0,0,0,2.8,37,0.30000001
"Syria",26.200001,0.40000001,1.1,0.1,0,1.7,0,0,0,0,0,0,0,0.1,0,0,0.80000001,0,0,0,0.1,0,24,0,2.0999999,5.1016889,0.198311,15.2,2.9000001,0.1,0.1,0.60000002,0.30000001,1.7,8.6999998,0,0.5,0.1,0.30000001,0.30000001,0.30000001,0.5,0.89999998,0.1,0.2,0,0,0.30000001,0.1,3.0999999,8.1999998,7.4000001,2.2,0,7.1999998,0,0,1.4,0,0,1.2,0,0,0,0,2.5,0,0,0.30000001,0,0.2,0.1,0.1,0.1,0
"Lebanon",21,0.40000001,0.80000001,0,0,0.40000001,0,0,0,0,0,0,0.1,0,0,0.80000001,0.80000001,0,0,0.2,0.2,0,21.200001,0,4,5.486722,0.21327791,32.200001,3.3,0,0,0.30000001,0.30000001,1.9,5.8000002,0,0.1,0.1,0.30000001,0.5,0.30000001,0.40000001,1.1,0,0.30000001,0,0,0.2,0.40000001,1.9,4.9000001,8.1999998,3.5,18.9,0,0,0,3.0999999,0,0,1.2,0,0,0,0,0.89999998,0,0,0.2,0,0.80000001,0.5,0.2,0.30000001,0
"Jordan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
