"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"Bulgaria",1,1.5,0,9,9,9,0,0,0,0.004,0.004,0,0,0.025,0.02,0.47,0,0,0.14,4.49,7.187,9.004,0,0.2,0.27,0.083,6.1,0.85,4,4.0062,0.1938,5.9,12.1,2.2,0.68,0,0,4.69,8.1,14.2,0,2.9,0.75,0,5.76,4.69,1.125,0,9.38,0,1.25,6.3,6.4,0.44,0.042,0,9,9.02,0.023,9.094,0,0,0,0,0,9.031,9.136,0.198,0.007,0.114,0.1,0,9,9,0,9,9.003,0,0,0,9,0.079,0.044,9.0882,0,0,0,0,0,0,0,0.016,0.98,11.89,2.06,1.9,0.069,0,1.06,20.9,6.17,2.51,5.4,1.11,1.61,0.2,9,0,11.3,0,9.02,9,9,9,0,0,0,0,0,7.7,15.32,0,5.3,10.74,0.117,0,0,0,0.2,0,9,0,0,0.6,3.58,9,0,0.85,0.97,0
"Romania",47.84,6.71,3.94,0.543,0,0.001,0,0.023,0.05,0.068,0.016,0,0.006,0.026,0.04,0.46,0.18,0,1.5,1.59,0.139,1.335,9,0.39,9.38,0.011,93.94,1.49,3.33,14.9849,0.725,67.67,71.53,6.85,3.49,0,34.93,2.25,42.07,27.17,42.59,15.06,1.19,2.12,1.14,6.22,1.023,9.38,0,62.63,1.3,12.85,0.48,4.29,0.011,9,0.229,0.042,0.211,0.063,0,0,0,0,9,0.062,0,0.685,0.007,0.126,4.5,0,0.043,9,0,3,1.058,0.54,0.429,0.3,0,0.31,0.098,3.5282,0,9.011,0,0,0,0,0,0.051,1.79,17.76,0.05,13.79,3.264,7.82,5.88,4.26,0.97,6.17,6.04,5.28,15.82,4.5,0,0,4,0,9.12,0.9,0,9,16.58,2.95,0,2.08,0,38.11,0.59,0,0.66,0.38,0.28,0.93,0,0,0.07,0,0,0,0,2.16,9.84,0,0.29,2.27,0.43,0
"Russia",438.8,269,0,0,9,1.198,9,0.011,0.3,0.009,0.018,0,0,3.19,0.026,0.06,0,8.065,1.52,5.98,69.48,3.603,9,3.56,21.5,2.449,341.7,5.72,24.4,12.6861,0.6138,45.6,38.8,0.71,0.19,0,0,65.7701,17.2,73.48,0,56.6,1.98,0,46.39,6.64,0.819,0,62.63,0,20.13,74.8,8.38,10.18,0.453,0,9.226,0.549,2.017,1.753,0.034,0.076,5.87,0,0.11,0.461,9.804,20.817,2.196,3.582,23.3,0,1.602,9,0.446,0,4.731,0.551,0.732,0,0,4.668,1.114,1.5891,0,0,0,0,0,0,0,3.172,6.2,12.96,3.26,29.3,13.953,0,78.41,60.8,177.79,17.52,12.9,12.13,0.01,3.8,2.769,0,14.8,0,9,10.6,9,45.126,0,0,0,0,0,91.2,249.44,0,12.78,21.17,1.483,6.699,0,0,0.07,0,9.073,9,0,32.35,27.55,1.2,1,98.93,23.37,0.018
"Finland",9.81,7.37,1.99,0.179,2.18,0.876,0,0.135,5.3,7.535,1.782,2.183,0.121,7.979,1.462,11.58,0.36,0.133,0.89,1.92,2.947,0.538,0.044,1.16,12.79,0.152,241.07,24.09,4.45,1.6406,0.0794,18.11,27.26,17.74,17.07,0,3.35,18.86,25.39,4.38,0.36,14.16,0.38,0.01,6.93,16.75,0.535,1.25,1.3,20.13,0,72.97,38.78,50.6,1.231,9,0.31,0.095,0.111,0.006,0,0.1,0.33,0.08,0,0.314,0.147,0.934,0.013,0.861,2.62,0,0.002,0,0,0.05,0.591,1.525,0.21,0,0,0.004,1.778,0.7855,0,0.289,4.5,0,9,0,0.13,0.146,1.63,8.21,1.92,1.44,1.375,44.32,2.03,1.95,4.87,1.72,5.54,0.37,10.12,5.12,0,0,0.78,0,0.05,0,0,0,7.59,9.05,0,0,1.44,68,1.27,0,0.7,0,0.091,0.05,9,9,1.66,0,0.026,0.15,0,2.98,0.77,1.2,0.25,5.79,1.35,1.828
"Sweden",54.1,104.5,3.5,0.033,4.6,7.855,44.54,0.594,41.8,1.615,0.164,2.408,0.321,3.374,4.066,9.36,15.3,0.31,0.99,13.4,22.22,3.362,1.13,17.96,22.18,1.903,231.1,39.5,5.1,55.0371,2.663,166.6,52.9,121.31,20.18,0,13.6,36.41,19.9,6.85,0.6,39.8,0.44,0.9,8.05,12.66,4.461,6.3,12.85,74.8,72.97,0,296.6,151.41,10.62,0,0.394,0.139,0.446,0.013,0.1,0.005,0.73,0.7,0.046,7.192,0.381,5.223,0.112,0.983,58.9,0.687,0.046,0,1.2,5.8,2.604,2.39,3.735,0.2,0.3,0.074,2.741,9.13,0,0.344,31.9,9,11.2,0.1,0.053,0.51,14.24,0.24,1.93,9.5,0.611,16.1,0.92,5,5.91,5.04,8.37,2.25,19.1,1.2,0.061,0.3,9.3,5.6,9.6,15.2,35.25,0.4,21.1,0.1,11.4,0,7.7,76.1,0.55,0,3.22,4.5,1.689,4,0,9.2,8.72,9,0.054,0.7,0,14.65,11.8,3.7,1.7,73.81,9.21,0.409
"Norway",13.31,68.93,0.8,0.097,2.61,34.333,5.26,0.875,1.49,1.723,1.109,0.969,0.103,2.796,2.521,3.98,1.45,0.307,1.37,0.18,11.676,0.186,0.087,0.99,5.25,1.727,38.45,4.26,88.39,56.5632,2.7368,38.47,53.24,11.64,0.64,0,9.04,21.81,29.38,2.42,5.91,0.29,0.55,0,12.04,16.87,0.272,6.4,0.48,8.38,38.78,296.6,0,64.77,11.891,9,0.654,0,3.005,0.03,0.02,0.05,1.92,9.51,0.01,4.583,0.171,1.024,0.061,1.723,6.16,2.61,0.009,0.04,2.03,5.95,0.81,2.29,0.951,0.03,0,0.01,0.061,1.2282,0,0.487,6.17,9,9.03,0.05,0.04,0.06,2.14,0.78,0.24,1.76,0.207,44.81,10.1,1.71,0.91,0.28,0.82,0.14,1.21,17.8,0.16,0,0.9,0.3,0.09,7.31,29.03,0.12,16.11,0,0.17,0.12,6.18,194.18,2.26,0,0.11,0.34,0.624,1.67,9,9,1.55,0,0.011,0.017,0,0.23,6.06,2.16,0.11,5.55,0.82,0.043
"Denmark",32.71,22.4,5.39,0.082,2.19,1.616,6.43,1.5,4.21,2.917,2.06,1.493,3.34,0.097,0.967,4.9,6.6,0.569,0.59,1,35.05,0.972,0.449,4.58,4.69,0.964,250,15.23,105.39,87.5633,4.2367,101.65,3.95,10.02,15.04,0,1.88,5.48,14.11,0.75,8,6.21,1.86,0.08,3.82,10.17,2.569,0.44,4.29,10.18,50.6,151.41,64.77,0,13.083,0.01,0.283,0.165,0.603,0.395,0.02,0.052,1.08,0.48,1.183,2.587,0.997,0.087,0.347,0.398,19.99,0.193,0.079,0.09,1.2,5.28,1.051,2.051,0.806,0.11,0.16,0.103,0.958,3.15,0.02,0.044,7.83,9.17,0.02,0.46,0.04,0.428,2.6,10.07,1.68,1.69,0.991,26.1,15.1,0.23,2.45,1.89,3.48,2.81,1.99,61.94,0.008,1.66,30.31,1.38,1.33,3.06,40.99,0.37,2.42,0.05,1.43,0.03,2.32,58.08,5.36,0,1.9,0.42,4.139,0.27,0.03,0.07,4.95,1.97,0.064,2.41,0,0.2,7.49,0.84,13.38,10.34,1.13,0.208
"Iceland",44.3,0.594,0.005,0.001,0.016,4.371,0,0.001,0.027,0.081,0.065,0.031,0,0.127,0.054,0.007,0.014,0,0.029,0.04,0.108,0,0.001,0,0.036,0,11.34,0.164,13.588,2.5182,0.1218,2.691,1.052,4.283,9.09,0,0.238,2.324,0.558,0.301,0.841,4.728,0.029,0,0.071,1.048,0.009,0.042,0.011,0.453,1.231,10.62,11.891,13.083,0,0,0,0,0.029,0.003,0,0,0,9,9,0.015,0.002,0.006,0,0.164,1.376,0.019,0,0,0,0.163,0.035,0.001,0,0,0,0,0.018,0.0018,0,0,0.422,0,0,0,0,0,0.005,0.004,0.255,0,0.026,0.024,0.028,0.019,0.016,0.001,0.006,0,0.051,0,0,0,0,0,0,0,0,0.001,0.883,9,0.096,0,0.229,6.808,0.336,0,0.036,0.022,0.027,0.015,0,0,0.079,0,0.001,0,0,0.018,0.01,0.018,0.004,0.147,0.517,0
"Equatorial Guinea",2,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,1.2,9,0.3,0,0,1.8,0.1,3.46,9.15,0,0,9,0,0,0,0,0,0,0,9,0,0,9,0,9,0,9,0.01,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.426,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,9.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia",0.774,0.127,9,0,0,0.002,0.352,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4.182,0.046,0.565,0.2957,0.0143,0.412,2.946,0,2.626,0,0.261,0.462,0,0.442,0.163,2.777,0,0,0,0.02,0,9,0.229,9.226,0.31,0.394,0.654,0.283,0,0,0,0,1.015,0,0,0,0,0,0,0.003,0.319,0.024,0,0,0.003,0,9,0,9,9,0,0,9,0,0,0,0,0,0,0.221,9,0,0,0,9,0,0.03,0,0,0,0,0,9,0.2,0,0,0,0,9,0.1,9,0,0,0,0,0,0,0,2.793,0,0.064,0,0,2.909,0.11,0,0.023,0.04,0.808,0,0,0,0,9,0,0,0,9,9,0,9,0,0,0
"Mali",1.772,0.856,0,0,0,0,9.075,0,9,0,9,0,0,0,0,0,1.069,9,9,0,0.5,0,9.002,0,0,9,0.322,0.04,0.083,0.6486,0.0314,21.767,0.032,1.247,0.2,0,0.149,0.04,0.065,0,0.111,0.702,0,0,0.01,0.392,0,9.02,0.042,0.549,0.095,0.139,0,0.165,0,9,0,0,3.395,0.014,0.012,0.195,1.435,0.24,2.381,0.068,0.004,2.291,0.128,0.01,0.014,0.006,0,0.002,0,0.097,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0.004,0,0.079,1.141,0,0.111,9,0.079,0,0.002,1.245,0,0.148,0,0.016,0.026,9,9,9.006,0,0.006,9,0,0,5.063,0,0.012,0.002,0.006,0.031,0.002,0,0.155,0,9,0.002,0,0,0.9,9,0,0,0,0.002,9,0,0,0,0,0
"Senegal",13.715,1.17,0.24,0,9,0.001,0.147,0.005,0.005,9,0,0,0.001,0,0,0,0.289,0,0,0.003,1.921,9,0.07,0.039,1.315,0.001,2.598,0.161,2.367,1.2114,0.0586,3.483,1.763,2.414,0.87,0,0,0.945,0.309,0.076,0.065,3.532,0.005,9.037,0.155,0.61,0,0.023,0.211,2.017,0.111,0.446,3.005,0.603,0.029,0,1.015,3.395,0,1.326,4.97,1.195,3.571,0.818,1.576,0.438,0.786,0.04,0.644,0.548,3.848,4.072,0.125,1.655,2.7,4.3,9,0.001,0.442,0,0.004,0.017,0.001,0.009,0,0.017,0,0,9.248,0.041,0.285,0.002,1.365,3.376,0.471,0.1,0.721,0.026,0.04,5.611,0.448,9.011,3.113,0,0.15,0.001,9,0.041,0.1,0,0,0,0.001,9,7.128,0,0.356,0.028,0,0.933,0.036,0,0.046,0.05,0.003,0.002,0,0,10.482,0.059,0,0.008,0,0.016,0,0.099,0.024,0.013,0.402,0
"Benin",4.241,0.948,9,9,9,0,0.112,0,0,0,0,0,9.025,0,0.002,0,1.442,0.006,9,0,0.056,0,0,9,0,9,4.147,0,3.107,1.0492,0.0508,18.205,0.144,0.535,0.19,0,0.607,0.062,0.291,9.203,9.146,1.482,0,9,0.023,1.006,0,9.094,0.063,1.753,0.006,0.013,0.03,0.395,0.003,0,0,0.014,1.326,0,0,0.401,2.03,9.003,0.015,0.012,0.002,0.103,0.663,0.064,1.296,0.036,0.015,9.004,0.057,0.021,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0.006,0,0.003,0.074,0.105,0.997,9,0.357,0.005,0,0.228,9,0.589,0,0.045,0.001,9,9,9.084,9,0,0,0,0,2.336,0,1.327,9,0.075,1.012,1.68,0,0.021,0,9.001,0,0,9.003,0.345,0,0,0,0,0.002,9,0,9,0.227,0,0
"Mauritania",6.983,0.3,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,22.754,0,0.24,12.6862,0.6138,4.32,0.3,9.703,0,0,0,0.17,0,0,0,14.829,0,0,0,0.07,0,0,0,0.034,0,0.1,0.02,0.02,0,0,0,0.012,4.97,0,0,0,0,0,0,1.232,0,0,0.011,0.001,0,0.006,0,0,1.209,1.606,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0.42,0.09,0,0,0,0,0,0,0,0,0.04,0,0,0,0,9,0,0,0,0,0,0,3.654,0,0,0,0,15.887,0,0,0.04,0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0.01,0
"Niger",2.676,0.645,0,9,0,9,0.172,0,0,0,0,0,0,0,0,0,1.662,0,0,0,0,0,0,0,0,0,1.373,0.03,2.757,0.5055,0.0245,4.099,1.18,0.688,3.51,0,0.069,0.043,0.057,0.133,0.061,2.11,0,0,0.02,0.15,0,0,0,0.076,0.1,0.005,0.05,0.052,0,0,0,0.195,1.195,0.401,0,0,4.415,0,0.018,0.096,0,0.155,0.139,0.101,1.732,0.073,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0.566,0,0.102,0.879,0,0.578,0,0.388,0,0.001,0,0,0.1,0,0.055,0.076,0,0,9.224,0,0.07,0,0,0,1.161,0,0.545,9,0,0.406,0.016,0,0.308,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"Ivory Coast",69.65,3.7,0,0,9,0,0,0,0,0,9,9,0,0,0,0,0,0,0.02,0.09,0.3,0,0,0.01,0.02,0,13.24,0.85,7.95,1.7646,0.0854,4.17,1.12,26.08,1.25,0,0,0.1,3.1,0.8,0,42.97,0.25,9,4.06,5.54,0.192,0,0,5.87,0.33,0.73,1.92,1.08,0,0,0,1.435,3.571,2.03,0,4.415,0,0,9.869,0.554,0.133,0.88,0.719,1.715,12.21,1.512,0.064,0,0.79,0,0,0,0,0,0,0,0.001,0.0227,0,0.001,0,0,0,0,2.557,0.031,10.85,2.51,0.35,0,0,0,0,0,0,0,0.59,0,0.85,0.1,9,0,0.2,9,9,0,0,9,0,0,6.45,0,0.4,0.08,0.12,0,0.69,0.54,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0.01,0
"Guinea",7.7,0,0,0,0,9.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2.6,0.01,0.7,8.8708,0.4292,25,2.9,9.93,0.5,0,0,0,1.6,0,0,4.3,9,0,2.64,0.02,0,0,0,0,0.08,0.7,9.51,0.48,9,0,0,0.24,0.818,9.003,0,0,0,0,0,0.29,0.131,0.005,0.004,6.608,0,0,0,0,0,9,0,0,0,0,0,0,9.001,0,0,9,0,0,0,0,0,0,0,0.12,0,0,0,0,0,9,0.28,9,0.1,0,0.05,0,9,0,9.7,0,0,0,0,0,0,0,0,0,0,0.4,0.13,0,0.01,9.04,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"Burkina Faso",1.475,0.211,9,0,0,0,0.086,0,9,0,0,0,0,0,0,0,9.623,9,0,0,9.01,0,9,9,0,9,0.747,0,1.521,0.3815,0.0185,23.158,0.348,0.075,0,0,9.081,9.09,0,9,9.059,0.223,0,0,0.01,0.08,0,0,9,0.11,0,0.046,0.01,1.183,9,0,0,2.381,1.576,0.015,0,0.018,9.869,0,0,0,9,0.204,0.007,0.016,0.203,0,0,0,0,10.203,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0.004,0,0.061,0.038,0.101,0,0,9,0,9,0.064,0,0,0,0.04,0,0,0,9,0,0,0,0,9,1.156,0,0.288,0,0,0.269,0.078,0,9.192,9,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"Liberia",1.848,0.647,0.011,0.002,0.001,0.008,0.002,0.007,0.172,0,0,0,0,0,9,0,0.001,0,0,0,0.119,0,9,0.01,0.156,0,1.999,0.021,9.34,23.4647,1.1353,23.407,2.576,12.595,0.01,0,9.242,2.543,0.493,0.336,0.787,54.058,0,9,0.268,2.183,0,9.031,0.062,0.461,0.314,7.192,4.583,2.587,0.015,0,0.003,0.068,0.438,0.012,1.232,0.096,0.554,0.29,0,0,0.838,0.022,0.018,0.002,0.032,0.046,0.061,0,0.009,0.038,0.007,0.035,0,0,0,0,0.007,0,0,0.521,0.003,0,9.008,0,0.003,0,0.333,0.137,0.001,0.001,9,1.171,0.019,0.001,0.169,0,0.999,0,3.095,9.445,9,9,9,0,0,9,0.143,0,4.645,0,1.238,9,0,59.305,0.592,0,0.04,0,0,0,0,0,0.02,0,0,0.001,0,0.116,0.076,0,0.01,0.369,0.029,0
"Sierra Leone",17.203,3.552,9,0,9,0.004,0.001,0,0,0,9,0,0,0.002,0,0,0,0,0,0,0.031,9,0,0,0.519,0.001,44.772,0.056,2.996,1.2495,0.0605,7.581,2.883,0.474,0.01,0,1.367,1.982,0.227,1.09,11.093,1.539,0,0,0.095,0.042,0.178,9.136,0,9.804,0.147,0.381,0.171,0.997,0.002,0,0.319,0.004,0.786,0.002,0,0,0.133,0.131,9,0.838,0,0.048,0,0.009,7.901,0.218,9,9,0.006,0,9,0.015,9,0,0,0,9,0.0027,0,1.532,0,9,9,0,9,0,0.414,0.01,0,0,0,0,0.014,9.003,1.203,9,0.367,0,0.118,0,9,0,9,0,0,0,0,9,4.028,0,0,9,0,0.347,2.192,0,0.227,9,0.011,0.003,9,0,0,9,0,0,0,0.009,1.047,0,0.002,0.123,0.138,0
"Ghana",32.525,5.192,0,0,0,1.492,0.005,0.001,0.007,0,0,0,0.554,0,0,0,0.084,0,0,0.02,0.76,0,0.008,0.017,8.538,0,36.32,4.34,1.714,2.6803,0.1297,10.636,1.991,5.371,0.005,0,0.337,6.104,4.953,0.286,2.177,8.866,0.28,0,5.118,3.514,0.177,0.198,0.685,20.817,0.934,5.223,1.024,0.087,0.006,0,0.024,2.291,0.04,0.103,0,0.155,0.88,0.005,0.204,0.022,0.048,0,0.509,0.008,9.191,9,9,0,0.04,0.007,0.017,0.187,0.01,0,0,0,0.013,0.003,0,0.004,0.001,0,0.3,0,0,0.002,0.992,0.511,2.685,0.026,0.003,0.004,0.289,0,1.083,0,0.061,0,1.376,0,9,0,0,0.001,9,0,9,0,1.783,0,1.931,0.029,0.597,30.497,0.294,0,0.88,0.03,0,0.05,0,0,2.505,0,0,9,0,1.308,2.32,0.247,0,1.362,1.298,0
"Togo",4.666,1.772,0.001,0,9,0,0.197,0,0,9,0,0,0,0,0.003,0,2.146,9,0,0.02,0.002,0,0,9,0,0,7.251,0.024,10.062,1.5071,0.0729,8.488,0.38,0.516,0,0,0.207,0.149,0.08,0.112,9.334,1.312,0,0,0.005,0.115,0,0.007,0.007,2.196,0.013,0.112,0.061,0.347,0,0,0,0.128,0.644,0.663,0.011,0.139,0.719,0.004,0.007,0.018,0,0.509,0,0.006,0.584,0.049,0.018,0.012,0.012,0.06,0,0.001,9,9,0,9,0,9,9,0.069,0.015,0,0,0,0,0,0.097,0.05,0.056,0.609,0,0.251,0.001,0.005,0.238,9,0.224,0,0.037,0,0.118,9,0,0,0,0,9,9,1.82,0,2.067,0.002,0.011,1.782,0.143,0,0.603,0.34,9,0.019,0,0,0,9,9,0,0,0.004,0,0,0,0.01,0,0
"Cameroon",8.853,0.45,0.002,0,0,0.003,0.786,0,0.002,0,0.024,0,0,0,0,0.008,0.076,0,0.013,0,0.172,0,0.011,0,0.017,0,5.131,0.112,43.365,1.5071,0.0729,64.485,0.907,6.187,0.018,0,1.262,0.023,0.53,0.075,0.329,9.928,0,0,0.644,0.563,0,0.114,0.126,3.582,0.861,0.983,1.723,0.398,0.164,0.426,0,0.01,0.548,0.064,0.001,0.101,1.715,6.608,0.016,0.002,0.009,0.008,0.006,0,0.481,5.211,3.28,0.901,2.526,0.213,0,0.021,0,0,0,0,0.002,0.0018,0.025,0.324,0,0,0,0,0.021,0,0.564,1.425,0.377,0.4,0.053,0.222,0.025,0,0.42,0.006,0.301,0,0.005,0.002,0,0,0.238,0.002,0,0,0,0,2.978,0,3.075,0.01,0.221,2.335,0.426,0,0.825,0.45,0,0,0,0,0.237,0,0,0.089,0,0.049,0,0.007,0.006,0.055,0.001,0
"Nigeria",235.3,53.4,0,0,9,0.007,20.6,0.001,0.1,0,0,0,0.052,0,0,0.01,4.1,0,9,0,24.502,9.015,0,9,0.1,7.714,53.2,1.52,226.6,0,0,260.4,5,23.92,0.49,0,0.8,8.8,2.6,0.1,9.1,2.8,0.36,9,0.12,0.54,0.1,0.1,4.5,23.3,2.62,58.9,6.16,19.99,1.376,0,0.003,0.014,3.848,1.296,0,1.732,12.21,0,0.203,0.032,7.901,9.191,0.584,0.481,0,0.735,0.391,4.765,0,1.3,0.004,0.273,0.015,0,0,0.054,0.014,0.0025,0,0.005,0,0,0,9,0.1,0.02,1.5,0.13,0.1,0.3,0,0.4,4.3,0.3,2.77,0,5.56,0,7.08,0.1,9,0,0,0,0,0,0,0,21.6,0,0,0,8.1,68,16.3,0,2.4,0.92,0.302,0.1,0,0,0,0,0,9.001,0,0.6,1.82,0,0.1,2,0.53,0.002
"Gabon",15.352,0.928,0,0,0,0.061,0,9,0,9,0,0,0,0,0,0,0,0,0,0,5.17,0,0,0,0,0,2.282,0,11.002,4.1302,0.1998,42.666,0.684,7.232,0.09,0,0,1.149,0.8,0.257,0,0.854,0,0,0.85,7.017,0,0,0,0,0,0.687,2.61,0.193,0.019,0,0,0.006,4.072,0.036,0.006,0.073,1.512,0,0,0.046,0.218,9,0.049,5.211,0.735,0,0,1.5,0,0,0,0,9,0,0,0,0,0.0027,0,0.14,0,0,0,0,0.145,0.007,1.059,0.929,0.496,0,9,0,0,0,0,0,0.957,0,1.985,0,9,0,0,9,0,0,9,0,0,0,0,0,0,6.301,0,0,0.12,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0
"Central African Republic",6.687,0.079,9,9,0,0,0.175,0,0,0,9,0,0,0,0,0,0,0,9,0.12,0,9,0.022,0,0.005,0,0.635,0,0.941,2.5277,0.1223,1.058,0.067,0.365,0.16,0,0.006,0.041,0.317,0.004,0.033,0.661,0,0,1.389,0.135,0,9,0.043,1.602,0.002,0.046,0.009,0.079,0,0,9,0,0.125,0.015,0,0,0.064,0,0,0.061,9,9,0.018,3.28,0.391,0,0,0.679,0,0.176,0,0,0,9,0,0,0.005,9,0,0,0.432,0,0,0,0,0.002,0.071,0.181,0.185,0,0.001,0,0,0,0.052,0,0.097,0,5.594,0.001,9,0,0,0,0,0,9,9,0.031,0,0.08,0,0,0.712,0.016,0,0.005,5.08,0,0,0,0,0,0,9,0,0,0.034,0,0,0,0,0.02,0
"Chad",0.61,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,9.012,0,0,0.01,9,0,0,0,0,0,0.557,0,2.11,1.1446,0.0554,15.891,0.1,0.15,1.97,0,0,9,0.82,0,9,0.082,0,0,0.87,0,0,9,9,9,0,0,0.04,0.09,0,9,0,0.002,1.655,9.004,0,0,0,0,0,0,9,0,0.012,0.901,4.765,1.5,0.679,0,0.854,1.488,0,0,0,9,0,0.002,0,0,9,0,0,0,0,0,9,0,0,0,0,1.6,0.089,9,0,9,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.81,0,1.22,0,0,1.995,0,0,0,9,0,0,0,0,0,0,0,9,0,9,0,0,9,0.003,0,0
"Congo",2.344,0,0,0,0,0,0,0,0,9,0,0,9,9,0,0,0,0,0,0,2.254,0,0,0,0.07,0,2.928,0.3,2.2,2.4705,0.1195,43.083,0.046,2.768,1.18,0,0,0,0.74,0,0,12.5,0,9,0.41,2.68,0,0,0,0.446,0,1.2,2.03,1.2,0,0,9,0,2.7,0.057,1.209,0,0.79,0,0,0.009,0.006,0.04,0.012,2.526,0,0,0,0.854,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0.488,0.648,0,0,0,0,0,0.17,9,0.4,0,0.64,0.1,9,0,0.4,0,0,0,0,9,3.674,9,0,0,0,3.777,0.9,0,0.15,0.07,9,0,9,0,0,9,9,0,0,0,0,0,0,0,0.02,0
"Democratic Republic of the Congo",15.7,2,9,0.009,9,0.001,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8.925,0,0,0,3.2,0,8.6,0.05,10,153.5696,7.4304,12.2,8.4,2.87,2.08,0,0.6,2.8,2.8,0,1.7,35,0,0,0.11,2.65,0,9,3,0,0.05,5.8,5.95,5.28,0.163,0,9,0.097,4.3,0.021,1.606,0,0,9,10.203,0.038,0,0.007,0.06,0.213,1.3,0,0.176,1.488,0.9,0,0.385,0.423,1.029,1,1.1,0,0.152,1.0909,17.2,1.024,11.7,0,0,0,0,0.004,1.11,0.58,1.5,0,0,13.7,0.02,0,0.15,0,0.43,0,1.34,5.7,0,5.5,0,9,0,0,0,9,0,0,0,0,0,44.3,9.28,0,0.09,9.47,9,0,0,0,0.12,9,0,0.108,0,0,0,0,0,0.13,0.02,0
"Uganda",46.815,4.185,0,0,0,0,0,0,0,9.005,9,0,0,9,0,0,0,0,9,0,0.016,0,0,0,0.001,0,8.755,0.999,0.727,0.9443,0.0457,6.749,0.477,5.484,1.63,0,0.078,10.44,0.969,3.976,0.611,1.371,0,0,0.208,0.002,0.075,9.003,1.058,4.731,0.591,2.604,0.81,1.051,0.035,0,0,0,9,0,0,9,0,0,0,0.007,9,0.017,0,0,0.004,0,0,0,0,0.385,0,20.783,1.198,0.1,1.199,0.226,0.65,0.2106,0,0.004,0,0,0,9.051,0.005,0.001,0,0,0,0.288,2.749,0.14,0.002,0.01,0.342,0.076,0.002,0.01,2.229,0,9.009,0.454,0.005,0.063,0,0,0,0,5.631,0,1.056,0,0.316,14.715,3.454,0,1.324,0.09,0,0.598,0,0,0.025,0,0,0,0,1.115,1.235,0,0.875,5.376,0.928,0
