"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","South Africa","Iran","Turkey","Iraq","Egypt","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"Romania",1.94,0,0.0094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,0,3.24,7.87,0,9.49,7.12,4.31,0,29.75,0.95,16.06,7.26,5.09,14.17,0.0013,1.25,18.48,1.78,0,0.08,0.0061,0.0059,0.01,0,2,0.9,2.22,0,0,0,0.54,0,1.67,0,0,0,0,0,0.1969,0,0,0,0
"Russia",17.16,10.22,0,0,9.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,9.03,85.31,0,1.29,11.95,0,28,1.68,13.94,0,13.38,1.86,0.48,0.46,1.72,4.44,0,0.14,2.12,9.01,0.08,0,0.52,0.37,0.93,2.13,0.11,3.16,3.11,0,0,2.52,0.01,9.0015,2.32,0,0,0,7.82,6.33,6.69,0,0,5.87,9.16
"Estonia",1.66,0.0184,0.0045,0,0,0.01,0.0003,0,0,0,0.0088,0,0.0331,0,0,0.01,0.1268,0,0,0,0.12,0.0037,4.75,0,0.23,0.4,0,0.27,0.12,0.07,0.0896,0.92,0.14,0,9,0.13,0.18,0,0.01,0.02,0.0697,0.0061,0.52,0,0.15,0.02,0.61,0.87,0.27,0.23,0,0.0436,0,0,0,0.56,0,0,0,0.01,0,0,0,0,0.04,0.0275
"Latvia",2.54,0.1112,0.0026,0,0,0,0,0,0,0,0.0004,0,0.0031,0,0,0.01,0.0006,0,0,0.0029,1.27,0.0046,10.07,0.6,0.75,0.99,0,0.16,0.01,9,0.0176,5.73,0.69,0,9,0.07,0.01,0,0.0012,0,0.0005,0.0059,0.37,0.15,0,0.02,0.12,1.02,1.05,0.06,0,0.09,0,0,0,0.04,0,0,0,0.07,0,0.0442,0,0,0.19,0.02
"Lithuania",0.1,0.0003,0.01,0,0,0.0041,0,0,0,0,0,0,0.0018,0,0,0.005,0.0194,0,0,0,0.5418,0.03,6.27,0,0.1,1.49,0,0.7,0.4,0.001,0.009,2,0.1376,0,9,0.01,0.12,0,0.0001,0,0.001,0.01,0.93,0.02,0.02,0,0.12,0.38,0.04,0.71,0,0.12,0,0,0,0.01,0,0,0,0,0,9.03,0,0,0.07,0.02
"Finland",0.76,0.79,0.01,0,0,0.86,0,0,0.14,9.01,0,0,0,0.38,0,0,1.92,0,0,0,2.64,0,64.45,0,0.22,1.47,0,4.73,1.99,0.11,0,11.16,4.29,1.61,0,3.95,1.24,0,0.0293,0.89,0,0,2.13,0.61,0.12,0.12,0,18.63,0.02,4.6,0,0,0,0.24,0,2.05,0,0,0,0.09,0,0.96,0,0,0.17,0
"Sweden",22.28,1.21,0.04,0.182,0,0.63,0.43,0,0.62,0,0,0,0.7,0.13,0.07,0,0.71,0.28,0,6.35,4.55,0.62,26.63,0.11,11.56,5.92,3.97,22.08,3.3,0.35,0.6,28.03,12.24,1.6,1.76,2.03,2.53,0,0.71,0.53,0.28,2,0.11,0.87,1.02,0.38,18.63,0,18.24,8.36,0,8.54,0.39,0.19,9.0014,1.04,0,0,0,2.75,0,8.69,0,0,6.11,1.09
"Norway",3.59,4.87,0.44,0.07,0.0022,0.44,0.08,0.1096,1.01,0.0007,0,1.57,0.14,0.0412,0.01,0.15,0.74,0.02,0.0024,0.09,7.7,0.14,24.47,0.47,4.77,2.21,0,0.86,0.4,0.57,1.4,15.92,1.97,0,1.54,4.74,1.73,9,0.03,0.18,0.24,0.9,3.16,0.27,1.05,0.04,0.02,18.24,0,11.11,0.0613,2.01,3.3587,0.38,0.0013,1.42,0,0,0.0017,1,0,2.86,0,0.05,1.3,0.15
"Denmark",13.37,0.25,0.14,0.36,0,0.2,0.04,0,0.0452,0.0191,0.0112,0,0.03,0.26,0,0.03,1.62,0,0,1.28,7.19,0.07,37.94,1.77,6.15,4.59,0,2.19,0.72,0.9,0.37,25.61,0.53,0.74,1.45,0.51,1.31,0,0.13,1.12,1.35,2.22,3.11,0.23,0.06,0.71,4.6,8.36,11.11,0,0,0.16,0,0,0,0.36,0,0,0,0.89,0,0.32,0,0.34,0.02,0.02
"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,9,0,0,0,0.86,0.0069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
