"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Fiji"
"Chad",3.292,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0.07,9.014,0,0,0,0.01,9.01,0,0,0,0,0,7.268,0.006,9.94,3.1774,0.1426,38.394,0,1.16,2.28,0,0,10.651,1.1,0,9,4.507,0.06,0,0,0.73,0,9,9,9,0.04,0.1,0.47,0.14,0,0,0,9,9,0,0,2.843,9,0,0,1.32,0,0,0,9,0,0.001,6.028,3.872,1.676,1.047,0,0.863,0.372,0,0,0,9,0,0,0.184,0,0,0,9,0,0,0,0,0,9,0,0.001,0.58,0,0,0.244,0.077,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.361,0,1.927,0,0,1.841,0,0,0,9,0,0,0,0,0,0,0,9,0,9,0,0,9,0,9,0,0
"Congo",72.161,0.1,0,0.003,0,0,0,0,0,0,0,9,0,0,9,9,0,0.02,0.009,0.008,9,0,0,14.053,0,0.006,0,0.037,0.024,12.893,0.146,4.255,0.5551,0.0249,21.898,0.197,1.726,6.996,0,0.032,0.013,0.409,0.123,0.071,36.126,0,9,0.322,0.652,0.001,0.139,0.193,0.608,0.177,0.069,0.109,0.815,0.038,0,0,0,0,9,0,2.872,0.034,1.782,0.609,0.221,0.233,0.023,0.004,0.206,0.002,0.221,1.243,0.081,10.701,0.704,0.863,0,1.994,0.004,0,0,0,0,0,0,0.92,0.079,0.848,0,0.031,5.155,0,0,0,0.003,0,0.066,0.847,0.028,0.261,0,0,0.002,0.002,0,0.013,9,0.004,0,0.372,0,9,0,0,0,0,0,0,9,5.632,9,0.918,0.027,0.016,2.891,0.014,0,0.042,0.035,9,0.004,9.001,0,0.101,9.001,9,0.003,0,0.882,0.119,0.48,0.273,0,9,0,0
"Democratic Republic of the Congo",24.5,4.4,0,9,0.002,9,0.023,0.2,0,0,0.9,0.001,0,0,0,0,0,0,0,0,0,9,0,23.907,0,0,0,5.08,0.8,12.8,0.18,12.3,285.8732,12.8268,27.1,9.7,1.14,1.44,0,1,2.9,3,0,1.9,109.2,0.06,0,0.28,9.03,0.012,9,2.3,1.1,0.7,9.2,7.68,3.55,0.214,0,9,0,0,9,0,0.597,0.007,0,0,0.84,9,9.001,0.009,0.001,0.002,0.061,4.943,4.5,0.287,1.267,0.372,1.994,0,0.334,1.426,2.052,0.787,0.666,0,0,8,0.112,11.0455,24.1,0.453,36,0,0,0,0,0,0.01,1.82,16.7,0.19,16.9,0.195,3.9,1,0,1.69,0,0,0,1.94,14.6,0,0,0,9,0,0,0,9,6.1,0,0,0,0,3.9,9.93,0,0.02,9.23,9,0,0,0,0.13,9,0,0,0,0,0,0,0.5,0.79,9,0,0
"Uganda",62.834,2.469,0,0,0,0,0,0.001,0,9,0,9,9,0,0,9,0,0.06,0,0,0,9,0,0.38,0,0,0,0.09,0.183,12.022,0.722,1.537,1.5983,0.0717,6.575,2.403,8.695,0,0,0.519,0.256,1.714,6.251,0.135,0.138,0,0,7.279,1.832,0,9,0.682,2.123,0.126,1.793,0.813,1.212,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0.001,9.001,0.093,0,0,0,0,0,0,0.004,0.334,0,59.194,0.754,0.028,0.938,0.909,0.015,0,0,0.1185,0,0.005,0,0,0,9,0,0,0,3.84,2.574,0,1.6,5.977,0.185,0,0.23,4.04,0.024,0.321,0.414,0.202,0.292,9,0.961,0.65,0,0,0,0,0,4.483,0,0.095,0.172,0.008,12.791,5.851,0,0.335,0.289,0,0.687,0,0,0.381,0,0,0,0,0.256,0.011,0,0.288,8.377,0,1.246,0
"Kenya",27.676,1.911,0,0,9,0,0.087,0.052,0.181,9,4.7,0,0,0,0,0,0,0,0,0.102,0,0,0,0.683,0,9,0,5.559,0.001,102.234,0.008,1.787,0.9953,0.0447,14.25,1.591,0.091,1.18,0,0.217,0.434,0.221,0.932,0.405,14.638,0,0,2.528,3.296,0.067,0.005,0.327,0.26,4.818,10.186,2.426,2.302,0.004,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.06,0.017,0.523,0,0.032,2.075,0,0,0,0,1.426,59.194,0,28.464,1.57,9.376,8.642,3.935,0,0.224,9.7425,0,0.938,0,0,0,0.822,1.791,1.8,5.856,0.9,0.55,0,2.1,1.723,135.947,0.275,3.706,7.135,0.17,0.035,3.441,2.686,70.288,4.471,2.251,1.2,0.592,0.87,8.6,2.27,9,0.209,0,4.451,9.072,0.409,54.706,5.441,0,10.965,1.707,0.079,0.15,0,0,1.438,0,0,0,0,5.187,10.667,0.9,0.525,10.976,0.006,0.92,0.029
"Tanzania",69.038,15.887,0,0,0,0,0.006,0.041,0.078,9,0,0,9,0,0,0,9,0,0,0,0,9,0.08,0.683,9,0,0,2.002,0.001,34.208,3.832,8.035,4.948,0.222,4.312,4.634,0.928,5.01,0,0.866,0.9,1.403,4.01,0.006,11.791,0.14,0,6.854,1.935,0.004,1.881,1.143,0.383,5.351,11.683,2.976,10.925,0.004,0,0,0,0,9,9,0,0,0,0,0.56,0,0,0,9.002,0.015,9,0.01,0.2,9,0,0,0,2.052,0.754,28.464,0,0.755,1.278,1.641,0.06,0,0.191,1.0209,0,4.103,0,0,0,0.002,0.01,0.1,0.039,1.53,0,0,0,0.087,51.629,0.001,2.342,4.049,0.049,0.004,1.608,1.24,85.674,10.155,0.391,4.717,0.64,0.28,0,0.34,0,63.531,0,6.301,1.186,0.044,37.387,13.379,0,1.851,3.407,0.046,0.225,0,0,8.471,0,0,9,0,3.731,3.111,0,32.931,10.793,0.002,3.713,0
"Burundi",19.931,0.225,0,0,0,0,0,9,9,0,0,9,9,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0,9,3.153,0.081,0.615,11.0923,0.4977,2.07,0.41,0.917,0.8,0,0.262,0,0,0,0.739,0.042,0,9,0,0.164,0.01,0,0.444,0,0.08,0.156,0.02,0.542,0,0,9,0,0,0,0,0,0,9,0,0.04,0,0,0,0,0,9,0,0,0,9,9,0,0.787,0.028,1.57,0.755,0,0.879,0,0.22,0,0,0.0182,0,0,0,9,0,0,9,0,0.005,9,0,0,0,0,2.942,0,0,0.17,0,0,9,0,0,0,0,9,0,9,0,0,9,2.959,0,0.067,0.893,0,2.782,0.127,0,0.174,0,0,0,0,9,0,0,0,0,0,0.004,0,0,9,0.015,9,0.032,0
"Rwanda",19.957,0.1,0,9,9,0,9,0.2,0,0,9,0,0,9,0,0,9,9,0,0,0,9,9,0,0,0,9,0,0,1.327,0.41,2.754,5.8476,0.2624,3.366,0.6,0.3,0,0,0.6,0.3,0.1,0.3,0.1,4.298,0,9,2.16,0.15,0,9,0.2,2.808,0.01,1.194,0.03,0.39,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666,0.938,9.376,1.278,0.879,0,0,0.426,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,6.136,0,0,0,9,9,0,0,2,0.2,0.1,0,9,9,0,0,9,3,0,0,0.1,0,6.31,0.1,0,0.2,0.2,0,0,9,0,0.2,0,9,0,0,1,0,0,9,0.4,9,0,0
"Somalia",2.73,0.1,0,9,0,0,0.004,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,9,0,0,0,0,0.01,9,7.889,0.62,2,2.3926,0.1074,7.3,6,0.16,0,0,0,0,0.5,0,0.079,39.795,0,0,0.01,0.01,0.015,0,0,6.931,10.06,0.9,0.93,1.16,0,0,0,9,0,0,0,0,0,0,0,0.04,0,0,0,0,0.005,9,0,0,0,0,0,0,0,0.909,8.642,1.641,0,0,0,2.016,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.7,2.625,0.312,0,3.637,1.214,0,0,0,9,47.744,0.06,0.654,5.2,0.22,10.68,2.6,1.23,0,7.089,0,0,9,0,0.678,0.542,0,1.03,0.06,0,0.015,0,9,11.353,0,0,0,0,0,4.662,1.4,0.7,0,9,0.01,0
"Ethiopia",30.299,0.936,0,0.004,9,9,0.008,0,0.008,0,0,0.014,9,0,0.003,0.006,0,0,0,0,0,0,0,0.855,0,0,0,0.047,9,14.798,0.097,2.954,0.9666,0.0434,0.061,5.554,2.283,0.21,0,0.027,0.891,0.323,1.32,2.316,17.41,0.05,0.019,4.567,2.659,0.113,0.076,0.51,3.427,3.217,4.526,0.343,1.312,0.023,0,9,9,0,0,9,0.009,0,0,0.003,0.004,9,9,0.007,9.011,0.03,0,0,0.002,0,0.001,0.184,0,0,0.015,3.935,0.06,0.22,0.426,2.016,0,9,0,0.098,0,0.704,9,0,9,0.005,0,9,0.805,0,0,0.349,0.1,1.181,25.788,0.03,1.7,13.472,0.107,1.65,0.912,0.928,22.549,7.301,2.478,1.212,0,0,0,0.18,0,3.492,0,2.381,0.016,0.994,6.082,3.474,0,0.747,9.12,0.143,0.264,0,9,2.046,9,0,9,0,0.336,2.236,0.01,0.059,0.791,0,0.03,0
"Angola",437.8,0.7,0,0,0,9,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,2.372,9,0,14.31,4.53,0,17.3,1.79,3,17.227,0.773,17.9,3.3,38.25,51.06,0,0,0,0.9,0,0,1.8,0.01,0,0.03,0.49,0,0,0,0,0.82,6.1,4.04,7.95,0.026,0,1.4,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,5.5,2.937,9,0,0.92,8,0,0,0,0,9,0,9,0,1.695,0.2345,0,0.014,0,0,0,0,9,0,9.002,2.28,0.52,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0.01,9,0,9,0,0,0,0,0,0,92.7,0,0,0,10.7,0,0,0,0,0.35,0,0,0,0,0,1.87,0.5,0,0,9,0.01,0
"Mozambique",17.532,4.304,0,9,9,9,0,0,0,9,22.987,9,0,0,0,0.002,9.001,0,0.892,0,0,0,0,10.418,0.457,0,0.02,0.03,0.016,8.724,1.415,20.61,23.3044,1.0456,11.106,2.839,5.778,5.448,0,0,0.238,2.584,0,0.001,8.364,0.01,0,0.069,0.571,0.048,10.072,0.939,0,0.449,5.609,1.323,4.196,0.035,0,0.136,0.061,0,0,0,0.003,0,0,0,0,0,9,0,9,0.001,9,0,0,0.012,9.106,0,0.079,0.112,0,0.224,0.191,0,0,0,0,1.695,0,0.0387,16.976,1.553,55.877,0,9,0.244,0,0,0.505,0,0,0,0,0,3.835,0.004,21.524,7.1,0,0.848,0,0.571,5.153,9,0,0.125,1.829,9,0,0,0.127,0.086,0,2.524,9.014,0.132,42.414,8.469,0,0.558,19.02,9,0.103,0,0,4.267,0,0,9,0,0.087,4.193,0.209,9.9,1.935,9.094,2.402,0
"Zambia",115.5376,24.6107,0,0,0,0,0.177,0.0455,0,0,0.1173,0,0,0,0,0,0.001,0.0209,0.0018,0,0,0,1.14,20.9747,0,9.0255,0,0.9882,0,18.8082,1.8791,18.5391,9.8098,0.4402,63.97,1.7945,6.7409,1.0073,0,0.0282,0.0564,3.8455,0.2027,1.8106,66.9573,0.0082,0,31.1882,11.7945,0.0636,9,0.8591,0.1909,0.5245,8.11,4.0009,2.9408,0.0009,0,0,0,0,0,0,0.0027,0,0,0,0.2755,0,0,0,0.0023,0.005,9.129,0.0282,0.0381,0.5941,9.467,0,0.848,11.0455,0.1185,9.7425,1.0209,0.0182,0,0,0.098,0.2345,0.0387,0,0.7461,0.2421,60.0757,0.0582,2.5778,1.3936,0,9,0.5521,0.0027,0,0.82,0,0,2.6936,0.0018,0.2727,11.4136,0,1.0975,0,4.4264,109.1082,0,0,0.0009,0,0,0,0,0,6.2949,0,1.565,9.0209,0.0355,58.1264,1.8391,0,0.2182,1.1691,0,0.0764,0,9,0.0645,0,9.0027,0,0,1.7855,2.9436,0.0582,0.5582,14.2541,0,0.8555,0
"Zimbabwe",64,0,0,0,9,9,0.001,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,2.5,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0.07,0,0,0,9,9,0,0,0,9,0,0,0,0,9,0,0,0,9,0,0,0,0,9,0,24.1,0,0,0,0,0,0,0,0,16.976,0.7461,0,21.225,0,0,0,0,0,9,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malawi",4.187,3.379,0,0,0,9,0.005,0,0,9,9,0,0,0,0,9,0,9,0,0,0,9,0,0.05,0,0,0,0,9.019,0.263,6.838,3.675,1.694,0.076,3.549,0.525,0.81,4.475,0,9,0.001,0.847,9,9.004,3.052,0.02,0,0.011,0.24,0.001,0,9,0,0.69,0.476,0.264,0.402,0,0,0,0.309,0,0.729,0,0,9,0,0,0,9,0,0.728,2.602,0.007,0.065,0.248,0,0.102,0,0,0.031,0.453,0.005,0.938,4.103,0,0,0,0.704,0.014,1.553,0.2421,21.225,0,54.725,9,0,0,0,0,0.032,0,0,0.1,0,0,1.658,0.01,0,1.83,0,9,9,0.406,0.578,9,9,0,0,0,0,9,0,0,0,0,9,0,17.581,4.059,0,2.275,0.83,0,0,0,0,0,0,0,9,0,0.137,1.012,0,0,1.28,1.659,0.33,0.213
"South Africa",422.2,108.5,9.27,0,0,9,0.177,0,0.007,0.011,4.4,0.526,0.102,0.263,0.005,0.263,1.094,3.18,0,0,0.21,1.14,7.78,1.139,0,0.003,0.09,2.15,2.324,129.7,2.02,146.7,74.2677,3.3323,135.7,167.4,69.25,10.37,0,0,0,7.3,0,0,205.6,2.92,0,0,8.82,0.011,0,0,0,17.11,100.4,8.53,17.67,0.823,0,0,0.004,0,9,0,0,9,0,9,0,0,0,0,0,0.014,0.104,0,0,0,2.168,0,5.155,36,0,0,0,0,9,0,9,0,55.877,60.0757,0,54.725,0,0,0,0,0,0.3,28.087,0,0,9,9,0,72.1,1.7,9,0.01,9,0,0,1.24,0.3,9,0,0,2.48,9,22.2,0,0,0,0,0,0,8.4,6.3,0,0,0.13,9,0.094,12.778,0,0,9.6,0,0,0,0,6.14,0,0.7,0.5,65.09,1.517,2.12,0.405
"Lesotho",11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,9,0,0,0,0,0,0,9,0,0,0,0,0.7,9.03,9.5,0.6699,0.0301,0.1,0,0.05,9,0,0,0,0,0,0,0.1,0,0,0.01,0,0,0,0,0,0,9.2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0.0582,0,9,0,0,0,0,0,0,9,0,0,0,9.5,9,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0.15,0,9.9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"Botswana",19,0,0,0,0,9,0.145,0.01,0,0,0,0,0,0,0,0.073,0,9,0,0,0,0,9.17,9,9,0,0,0,0,20,0.01,9.2,9.0957,9.0043,0,1.3,0.31,0,0,0,0,9.4,0,0,9.5,0.03,0,5.62,0,9,0,0,0,9.44,9.1,9,0.25,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,2.496,0,0,0,2.567,0,0,0,0,0,0,0,0,0,0,9,0,9,2.5778,0,0,0,0,0,0,9,9,0.002,0,0,0,9.5,0,0,9,10.6,0,0,0,9,0,0,0,0,0,0,9,9,0.02,0,0,0,0,0,0,1.7,0.04,0,0.04,9,0,0,0,0,2.16,0,0,0,0,0,0,9,0,0,0,9,0
"Swaziland",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,65.5,0.06,0.2,0,0,1.2,0.1,0.42,9.03,0,0,0,9,0,0,10.8,9,0,0.32,9,0,0,0,0,2.65,0.4,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0,0,9,0,0,0,0,0,9,0.822,0.002,0,0,0,0.005,0,0.244,1.3936,0,0,0,0,0,0,9,0,9,1.44,0,0,0,0,0,9,9.1,0,0,0,0,0,1.5,9,0,0,9,9,9,0,0,0,0,0,0,0,39.1,1.64,0,0.14,0.01,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,9.005,0,0
"Madagascar",36.533,1,0,9,0.006,9,0.002,0,0.005,9,9,0.011,0.004,0,0,0.001,9,0.03,0,0,9,9.02,0.01,0.008,9,0,0,0.14,0.017,6.639,11.99,4.009,2.0577,0.0923,60.818,2.109,2.215,0.31,0,0,0,0.2,0.886,0,2.562,0.01,0,1.225,1.5,0,0,0,0,0.16,0.57,0.02,0.4,0.006,0,0,0,9,9,0,0.532,0,0,0,0.042,0,0,0,9,0,0,0.006,0.2,0.331,0,9,0.003,0,0,1.791,0.01,9,0,0,0,9,0,0,0,0,0,0,9,9,0,2.633,2.378,0.047,0.246,0.157,0.1,0,2.718,0.01,0,0,0,0,0,0,34.8,9,0,0.7,0.07,0,0,0,0,0,0,0,0,0,3.721,0.743,0,8.85,0.04,0.034,0,0,9,3.74,9,9,0,0,0.923,11.92,0,42.6,0,9.004,0.74,0.029
"Comoros",2.4,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.0957,0.0043,8,0.1,0,0,0,0,0,0,9,9,0.1,0,0,0,0,0,9,9,9,0,0,0.11,0.09,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,0.1,9,0,0,0,0,0,1.8,0.1,0,0,9,9,0,0,9,9,0,0.3,0,9,0,2.633,0,0.1,0.1,0,0,0,0,0,9,0,0,0,9,0,9,0,0,9,0,9,0,9,0,0,0.5,0,0,0,0,0.2,0.01,0,2,9,9,0,0,0,1.4,0,0,0,0,9,0,0,0,0,0,0,0
"Mauritius",1.151,67.725,0.001,9,0,0,0.008,0,0,0,0.009,0,0,0,0,0,0,0.003,0.002,0,0,0,0,0.096,0,0,0,0.186,0,163.726,0.076,3.21,4.8523,0.2177,9.554,0.812,0.246,0.186,0,0.009,0.022,0.62,0.205,0.154,4.528,0.002,9,0.13,0.039,0.015,0.004,0.015,0.008,0.372,1.321,0.147,0.672,0,0,0,0,0,0,0.001,0.016,0,0,0.001,0.033,0,0,0,0.002,0.001,0,0,0.053,0.003,0.002,0.001,0.066,0.01,0,5.856,0.039,0.005,0,0,0.805,9.002,0.505,0.5521,0,0.032,28.087,9,0.002,9,2.378,0.1,0,0.86,0.019,0,0,0.001,29.239,0,0.183,0.016,0,0,0,1.829,0.006,0,0.003,0.001,0.002,0,0,0,0,9.198,0,3.352,0,0.699,24.256,9.726,0,1.333,0.308,9.519,0.154,9,0,8.734,0,9,0,0,1.721,3.837,0.027,0.173,19.645,0,3.786,0.007
"Morocco",185.87,13.79,0,52.52,0.029,32.65,0.009,0.12,0.006,9,6.68,0.002,0.029,0.64,11.642,1.244,1.937,1.74,2.12,20.018,0.026,4.22,0,4.83,13.13,0,0,31.45,0.022,32.1,8.32,36.53,57.4139,2.5761,355.05,20.33,14.05,9.92,0,2.12,75.24,1.7,3.27,7.21,43.31,0.03,5.68,54.15,6.43,0.058,10.46,16.96,27.07,9.64,18.75,4.69,0.45,0.074,0,0,0.001,0,0,0.084,1.104,0.588,0.99,0.051,10.59,12.27,0.216,0.445,0.133,0.16,0.344,0.366,5.8,5.094,0.066,0.58,0.847,1.82,3.84,0.9,1.53,9,0,0,0,2.28,0,0.0027,0,0,0,0,0,1.44,0.047,0.1,0.86,0,24.03,8.54,1.52,0.06,8.92,21.05,137.37,3.35,3.67,0.64,0.33,9,4.93,9,0,0.06,0,0,0.13,0,0,21.85,0,20.04,9,1.02,13.17,10.14,0,0.08,0.09,4.9,0.22,0,0.35,14.17,0,9,0,0,2.36,6.66,39.99,1.85,5.72,0.011,0.84,0.088
"Algeria",543.78,31.34,18.91,30.68,0,5.1,0.051,0,0.001,0,1.98,0,0,0,0,0,0,1.16,3.47,0,0,0,2.71,95.659,0,20.69,0,13.63,0,14.15,2.64,31.56,53.1071,2.3829,1359.05,86.05,103.46,0.21,0,27.18,0.54,19.56,5.35,2.8,92.99,0.33,0,17.15,0.3,0,4.41,14.28,24.91,17.32,64.21,0.17,20.7,0.014,0,0,0.324,0,0,0.093,0,6.886,3.84,7.733,12.16,2.26,0,0,0,1.156,0.604,1.064,0,1.022,0.067,0,0.028,16.7,2.574,0.55,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0.246,0,0.019,24.03,0,14.43,0.43,1.91,2.01,18.5,0.37,5.13,2.38,1.25,0,0,1.2,0,0,4.07,0,0,0,0,0,12.47,0,0,1.64,0,184.43,1.18,0,3.96,0.47,0,0,0,0,0.15,0,0,10.82,0,8.1,5.71,1.75,2.05,0.03,9,0.28,0
"Tunisia",67.55,17.45,0,2.86,0,9,0,0,0,0,0.17,0,0,0,0,0.11,0.68,0.04,0,0,0.152,0.44,0.12,17.43,0,0.055,0.01,3.53,1.503,67.96,3.76,9.65,32.7314,1.4686,339.54,1.61,32.9,2.64,0,1.96,4.28,6.48,3.31,6.82,2.77,0.34,0,1.34,87.83,0,1.43,10.84,3.73,3,16.9,0.76,9.72,2.033,0,0,0,0,0,0,0.6,0.107,0,0,0.54,0,0.034,0,0,0,0.021,0.376,0.06,0.127,0.125,0,0.261,0.19,0,0,0,0,0,0,0.349,0,0,0.82,0,0.1,9,0,0,0,0.157,0,0,8.54,14.43,0,44.45,1.64,0.11,18.79,54.73,2.06,0.21,0.13,0,0,28.07,0,0,0.02,0.01,9.01,0,0,0,1.58,0,0.04,0,0,11.16,0.95,0,3.29,1.21,0.79,7.24,0,0,1.19,0,0,0,0,0.55,5.42,0.54,9.77,4.3,0,0.63,0
"Libya",1172.3,32.2,388.63,9.4,0,0,0.003,83.3,0,9,0.3,0,0.1,0,0,2.6,2.4,0.7,0.3,0,0,1.4,0,230.888,0,0,5.3,43.13,0.018,94.4,3.2,27,12.7289,0.5711,124.4,5.7,210.36,5.44,0,8.7,36.8,65.4,10.9,16.1,320.9,11.01,10.2,8.47,133.46,8.696,1.3,20.38,22.3,3.79,29.5,21.5,2.33,0,0,0,0,0,0,0,0,0,0,0.054,0.21,0,0,0.006,0,42.677,0.184,0,0,0.005,0,0.244,0,16.9,1.6,2.1,0,0,0,0.7,0.1,0,0,0,0,0,9,9.5,9.5,0,0.1,0,0,1.52,0.43,44.45,0,0.121,0.5,50.29,0,20.57,3.18,86,0.1,0,0,0,0,0,0,9,0,0,0.2,11,0,71.5,0,0,13.1,1.4,0,4.09,0.23,0,23.5,0,0,0.1,0,0,0,0,0.43,2.49,0.1,0,12.7,0,0.1,0
"Sudan",79.241,2.884,0,20.035,0,10.436,0.008,0,0,9,0.034,0,0.002,0,0,0.032,0,0.023,11.578,0,0,0.02,0.02,0.66,0,0,0,0.07,0.004,139.099,0.47,14.041,16.1169,0.7231,56.421,3.932,8.659,2.65,0,2.591,12.167,3.227,0.962,2.346,4.69,0.08,0,19.556,6.447,0.204,0.324,11.78,5.861,2.363,5.013,0.455,4.782,0.063,0,0,0,0,0,9,0,9,0,0,0,0,0,9,0,0.001,0,0,0.011,9.03,0.073,0.077,0,0.195,5.977,1.723,0.087,0,0,2.625,1.181,0,0,0,0,0,0,9,0,0,0,0,0.001,0.06,1.91,1.64,0.121,0,24.266,1.045,49.406,15.405,0.334,2.076,0.794,0,8.228,0.407,0.847,23.259,0.017,0.36,1.335,2.225,0,9.043,0,5.318,0.169,26.482,89.276,63.45,0,32.486,12.016,0.002,1.714,0,0,5.415,0,0,5.39,0,1.055,1.845,0.1,2.5,1.812,0,0.02,0
"Iran",396.5,740.2,130.15,9,0,17.1,39.314,78.74,0.014,9,5,0.294,0.079,0.1,0,0.296,0.2,0.32,0,0.3,0,15.42,1.58,120.644,0,0,62.93,21.88,8.759,676.9,59.89,1326.1,216.5822,9.7178,850.1,174.1,271.22,102.42,0,17.2,18.16,7.7,7.25,47.9,802,0.03,9,47.49,24.03,0.403,50.4,47.6,240.1,83.03,154.8,169.94,245.45,0.05,0,0,0,0,9.1,0,0,0.109,0,0.079,30.74,0,9,0,0,0.098,1.156,0.156,5.4,0,0.1,9,0.002,3.9,0.185,135.947,51.629,2.942,6.136,0.312,25.788,9,3.835,2.6936,9,1.658,72.1,0,0,0,2.718,0,29.239,8.92,2.01,0.11,0.5,24.266,0,60.29,7.8,59.51,6.04,52.1,15.91,41.53,9.3,0.134,0.8,65.8,0.5,0.67,69.5,16.4,4.764,61.9,9.4,14.7,9.8,50.6,3316.1002,184.54,0,18.59,1.29,0.708,16.385,0,9.8,67.19,9.4,10.6,9.1,0,3.41,407.69,0.7,0.6,35.73,2.921,105.86,3.421
"Turkey",270.79,55.8,0,0,0.014,0,0.004,0.01,0.006,9,0.05,0.001,0,0,0,0.077,0.038,0.12,2.65,0,0.006,0,0,19.212,0,0.005,7.5,0.14,1.99,268.86,2.66,94.98,92.3274,4.1426,191.65,244.03,0.59,10.61,0,5.46,15.65,19.57,5.28,20.39,254.84,0.18,0.46,8.52,0.24,5.278,19.46,51.91,0.02,6.96,17.72,8.15,4.47,0.031,0,0,9,0,9,0,0,0,0,0,0.1,0,0,0.004,0.011,1.125,0,0.053,4.1,6.761,0,0,0.002,1,0,0.275,0.001,0,0,0,0.03,0,0.004,0.0018,0,0.01,1.7,9,9,9,0.01,9,0,21.05,18.5,18.79,50.29,1.045,60.29,0,480.56,13.99,0.22,38.72,0.72,9.36,88.62,0.03,0,10.25,0.06,0.38,0,0,0.01,20.47,0,2.89,0,2.92,169.06,10.82,0,2.7,5.04,0,0.08,9,0,17.06,0,0,0,0,10.93,5.91,1.53,4.88,12.08,0.002,0.17,0.009
