"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Solomon Islands","Fiji","Samoa"
"Mauritius",10.013,6.606,0,9,0,0,0.021,0.386,0,0,0.001,0.083,0,0,0,0,0,0,0.001,0,0.002,0,0,0,0.134,0,0,0.115,0.102,0.134,132.161,0.859,0.157,5.9199,0.2601,25.05,3.407,4.35,0.158,0,0.011,0.13,0.493,0.322,0.19,11.867,0.018,9,0.053,0.01,0.014,0.007,0.027,0.175,0.188,1.058,0.024,0.223,0.007,0,0,0,0,0,0,0.001,0,0,0.016,0.061,0.012,0,0,0,0.129,0,0,0,0.004,0,9,0.037,0,0,11.825,0.145,0,0,0,0,0,9,0.005,0.8635,0,0.038,51.792,9,0.066,9.001,2.116,1.5,0,0.071,1.328,0.017,0,0.004,0,11.58,2.135,0.019,0.075,0,0.006,0.033,2.103,0.001,0,0,0.006,22.761,0,0,0,0,23.323,0,6.122,0,4.34,27.675,20.827,0,2.225,0.002,4.507,0.231,11.243,5.679,1.495,0,9,0,6.956,9.015,0.118,0.57,26.781,0,10.107,0,0,0
"Seychelles",2,0,9,0,0,0,0.008,0,0,9,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0.078,0,0,0,0.02,9,14.4,0.1,1.3,0.1916,0.0084,2.3,0.5,0.04,0,0,9,0,0,0,9,0.9,0.07,0,0,0.02,0,0,0,0,0,0.1,0.1,0.5,0,0,0,0,0,0,9,9,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6.599,0.203,9,0,0,0,0,0,9,0,0,0,14.9,0,9,9,0,9,0.071,0,9,0,0,0,0,9,9,0,0,0,0,0,0,9,1.8,0,0,3.1,9,0,9,0,0.8,0,0.2,9,0.1,3.4,0.11,0,0.71,0.11,0,0.002,9,9,0.6,0,0,0,0.4,3.5,0.07,9,2.3,0,0.2,0,0,0
"Morocco",200.45,26.36,0.05,23.55,0.18,5.62,0.031,5.41,0.011,0,9,19.3,0.089,0.67,0.066,1.23,0.72,0.27,2.82,26.47,0.008,0.07,2.05,0.19,0.89,0.09,0.25,0.01,13.77,1.865,15.07,2.7,23.04,24.6472,1.0828,255.19,36.86,151.82,3.76,0,2.32,26.88,5.28,6.42,4.81,99.54,0.56,0,0.69,3.4,0.041,7.56,9.84,16.51,1.88,27.17,2.47,1.85,0.237,0,0,0,0,0.03,0.118,2.269,0.143,2.68,0.341,16.34,10.96,0.285,0.641,0.04,0.001,0.103,0.215,22.29,4.908,0.174,0,0.034,4.22,0.73,0.21,1.61,9,0,0,9.03,0.17,0.01,0,0,0,0,0,0,0.11,2.63,2.035,0.02,1.328,9,0,0.04,4.88,7.67,0.057,4.57,17.83,169.15,18.57,0.38,1.66,1.5,9,44.46,9.084,0,0.95,0.04,0.38,0.19,0,0,14.63,0,19.44,9,1.39,18.83,17,0,0.04,1.92,3.154,0.81,0,0.59,0.4,0,9,0.12,7.36,4.91,0.42,7.19,1.63,0,2.36,0,0.013,0
"Algeria",3111.47,164.66,67.4,0,0,2.22,0.007,0,0,0,0,5.2,0,0,0,0,0,0,40.58,2.6,0.002,0,0,2.38,143.488,0,37.283,0,62.03,0,207.27,12.64,120.98,389.029,17.091,957.1801,168.98,230.85,2.79,0,42.86,43.04,25.27,33.67,27.5,457.77,1.88,0,30.14,41,7.299,2.48,71.42,8.62,25.41,88.32,5.52,50.5,0.004,0,0,0.017,0,0,0.192,25.558,2.335,0,0.712,48.88,0,0,0,9,11.09,0.017,0.987,2.1,0.051,0.285,0,0.686,0,12.909,7.434,0.21,0.003,0,0,9,0,0,0,0,0,0,0,0,0,0,7.851,0,0.017,0,0.04,0,16.67,5.6,0.588,0,3.51,0,7.25,11.47,0,0,0,5.4,0.004,0,0,0,1.41,0,0,0,10.39,0,0,0,0,741.52,2.41,0,1.55,0.11,0,0.027,0,0,0.33,0,0,0,1,6.91,1.26,1.2,5.84,9,0.18,0,0,0
"Tunisia",71.51,32.26,46.97,0.62,0,0,0.02,0,0,0,0,0.75,0,0.32,0.02,0,0,0,0.8,0.2,0.16,0.38,3.77,0,1.147,0,0.01,0.6,9.36,1.067,20.51,2,11.41,25.2028,1.1072,532.85,31.46,59.74,0.45,0,1.3,6.99,18.83,5.43,4.55,7.47,0.84,0.04,4.9,2.35,0.096,3.84,4.67,10.8,15.17,14.82,0.45,7.36,0.741,0,0,0,1.32,0.04,0.02,0.229,0.001,0,0.01,0.99,0.03,0.03,0.02,0,1.816,0.1,0.731,2.9,0.862,0.118,0.01,0.264,0.11,0,0.06,0.12,0,0.01,0.004,0,0.16,0,0.93,1.45,0,0,9,0,0,0.34,0.09,0.01,0,0,4.88,16.67,0,23.68,2.13,0.27,18.82,25.37,1.09,1.97,0.38,0.07,0,46.74,0,0.21,0.76,0.01,0.04,0.18,0.02,0,6.95,0,1.03,0.01,5.09,19.3,3.11,0,0.01,0.3,0,4.467,0,0,2.39,0,0,0.15,1,0.47,0.76,0.27,0.79,0,0.74,0,0,0
"Libya",4073.1999,6.1,360.51,9.5,0,0,0,28.4,0,0,9,0.2,0,0.1,0,0,0,2.6,2.3,0,0,0,0,0,93.683,0,0,0,4.8,0.7,141.1,33.36,88.3,42.6273,1.8727,2.5,32,525.34,0.16,0,16.9,56.3,39.3,58.49,15.8,610.1,24.89,15.6,24.98,136.99,18.786,8.5,180.78,29.8,8.35,5.2,35.63,14.85,8.7,0,0,0,0,0,0,0,0,0,0.116,0.3,0,0,0,0,0.001,0.057,0,0.5,0,0,4,0.1,0.1,8.193,0.1,0,0,0.002,0,9.7,0.1,0,0,0,0,0,9,9,9,0,0.3,0,0.004,0,7.67,5.6,23.68,0,0,1.7,154.34,0,2.99,4.99,18.7,0,0,0.2,0.107,0,0,0,0,0,0,0,58.3,0,30.4,0,25.9,326.2,43.6,0,9.77,0,0,22.5,0,0,0.3,0,0,0,0.4,2.29,0.7,0.2,18.2,0,0.47,0,0,0
"Sudan",48.48,4.369,0,2.596,0,9,0.001,0,0,0,9,0,0,0,0,0,0.042,0,0.04,0,0.002,0.001,0,0,8.312,0,0,0,3.197,0,95.905,0.156,42.469,39.2554,1.7246,33.816,0.412,2.968,9.596,0,0.485,6.742,3.626,7.761,8.594,36.704,0.175,0,15.905,8.414,3.748,0.231,1.956,18.179,2.5,2.23,0.165,2.566,0.065,0,0,0,0,0,9,0,9,0,0,0,0,0,9,0,0,0,0.025,0,9,0.139,0,0.037,0,0.29,17.03,0.124,0,0,0.145,0,0.092,0,0,0,0,0,0,9,0,0,0,0,0,0,0.057,0.588,2.13,0,0,0,4.067,0.944,7.473,3.905,3.662,2.573,0,48.601,2.64,4.089,0.57,0.005,0.028,0.142,0.13,0,33.089,0,0,0,30.2,7.393,16.822,0,15.72,3.98,0,1.008,0,0,7.26,0,0,0,1.51,4.06,0.16,0.9,2.84,0,0.01,0,0,0
"Iran",3219.6001,518.5,373.07,9,0,0,0.008,13.68,0.011,0,9,4.1,0.005,0,0.003,0.027,0.013,0.878,0.26,0.5,0.14,0.004,0,1.91,561.321,0,9,151.1,23.87,2.999,177.8,15.87,1283.2,498.7871,21.9129,693.9,194,740.05,144.62,0,24,51.86,91.3,1.8,59,966.7,0.08,9,71.05,166.42,1.004,55,119.33,204,19.82,140.1,130.55,123.54,10.718,0,0,0,0,9,0,0,0.001,9,0,15.26,9,9,0,9,0.017,0,0.004,0.4,0,0,0,0.001,0.2,0.128,111.836,40.86,6.846,12.285,0.176,9,0.259,9,9,0.2159,9,1.481,9,0,0,0,0.327,0,11.58,9,4.57,0,0.27,1.7,0,0,465.5,21.4,3.1,3.1,11,1.61,89.02,25.5,0.101,0,5.6,4.56,4.43,13.5,3.24,0,15.5,9,17,10,92.5,2499.1001,465.74,0,9.61,44.1,0.001,35.993,0,9,12.85,9,9,9,66.29,336.35,79.87,0.7,76.84,9,44.32,0,0.044,0
"Turkey",96.78,26.82,0,0.2,0.005,0,0.027,0.16,0.011,0,9,0.48,0.002,0.06,0,0,0.005,0.036,0.04,21.16,0,0.011,0,0.07,44.64,0.01,0,0.07,0.66,1.62,81.63,7.42,21.73,36.4487,1.6013,201.78,213.93,30.13,35.25,0,3.08,16.38,24.32,6.8,19.83,82.41,2.95,2.5,16.02,3.27,0.22,10.48,105.22,36.93,16.69,11.68,0.14,6.36,1.795,0,0,9,0,9,0,0,0,0,0,0,0,0,0.88,0,0.91,0,0.24,0.5,0,0,0,0.007,0.4,0.003,0.791,0.503,0,0,0.02,0,0.192,0,0,0.0122,0.01,8.49,6.8,9,9,9,0.05,9,2.135,9,17.83,3.51,18.82,154.34,4.067,465.5,0,208.38,72.58,22.08,4.75,10.81,54.7,12.14,0.77,0,17.05,1.71,0.55,0,2.4,0.02,14.85,0,14.02,0,33,66.46,8.83,0,5.48,7.49,0.012,2.414,9,0,1.56,0,0,0,11.59,7.78,4.17,4.78,5.7,0,1.2,9,0,0
"Iraq",154.5,117,0,19.8,9,0,0,0.75,0.003,0,9,11,9,9,0,0,0.007,6.443,0,9,9.039,0,9,0,1418.722,0,9,0,8.1,82.757,692.5,77.84,252.3,89.7568,3.9432,1819,140.6,498.04,254.61,0,37.8,100.75,116.8,86.63,72.2,1661.7,0.04,10,410.87,52.26,39.225,41.5,451.68,157.3,11.41,100.2,2.39,42.3,0.015,0,0,0,0,0,0,35.184,0.003,9,0,39.69,9,9,0,0,0.288,0,0,0,0,0,0,0,0,0,1.56,0.01,0.034,0,11.459,0,0,9,9,0.0127,9,0,9,0,9.8,9.1,25.592,0,0.019,0,169.15,0,25.37,0,0.944,21.4,208.38,0,10,163.47,30.4,4.66,0,0.2,2.873,0,4.8,6.12,0.94,1.4,1.4,0.2,6.1,0,10.3,10.4,0.8,98.2,585.9,0,11.85,6,0,19.386,0,0,20.6,0,0,0,28.48,327.26,147.6,12.5,101.23,9,0.54,0,0.009,0
"Egypt",985.95,40.01,0,25.72,0,5.91,0.02,0.01,0.007,0,0,1.36,0.007,0,0,0,0.118,0,0.02,0,0.127,0,0,0,31.876,0,0,2.32,24.83,6.82,326.82,7.4,144.51,55.176,2.424,412.14,150.71,127.45,3.9,0,19.12,31.01,30.22,2.66,41.53,243.19,0.27,0.13,151.99,11.83,8.949,37.65,154.63,67,67.2,86.13,3.49,29.37,0.653,0,0,0,0,0,0.059,0.03,0.07,0,0,2.47,0,0.191,0.068,0,9.823,0,0.151,0.87,0,0.009,0,0.002,0.05,1.718,11.174,3.092,0.024,0,0.257,0.22,0.068,0,0,3.8326,0,2.88,0,0,0,0,0,0,0.075,0,18.57,7.25,1.09,2.99,7.473,3.1,72.58,10,0,12.29,10.14,14.31,0,8.24,3.445,14.76,4.62,0.32,1.26,70.2,0.38,0.03,3.09,0,17.67,2.86,26.23,254.73,89.17,0,2.85,18.06,0.445,39.795,0,0,2.16,0.01,0,0.01,1.15,26.01,2.06,8.09,137.18,0,5.32,0,0.109,0
"Syria",61.5,23.65,0,26.22,0,9,0.003,0,0,0,0,9,0,0.562,0,0,0.263,0,3.46,0,0,0,0,0,30.406,0,9,0,4.9,9.178,76.98,8.05,34.09,20.576,0.904,25.91,31.03,70.55,1.89,0,47.86,23.14,5.94,11.03,37.96,25.23,0.12,0,15.53,9.93,13.456,9.83,153.39,55.89,18.84,35.8,2.59,6.39,0,0,0,0,0,0,0,9,9,0,0,0,9,0,0,9,0.259,9,0.17,0,0,0,0,9,0,0,0.884,0.1,0,9,0.06,0,0.172,0,0,0.0018,0,0,9,0,0,0,0,0,0,0,0.38,11.47,1.97,4.99,3.905,3.1,22.08,163.47,12.29,0,62.36,6.24,9,35.68,1.426,0.09,17.87,0.33,11.69,4.27,0.02,9,21.3,0,0,0,6,117.4,13.7,0,4.2,10.51,9,38.33,0,0,3.33,0,0,0,1.7,3.59,0.45,0.5,0.52,9,1.13,0,0,0
"Lebanon",126.7,25.9,0,0,0.171,0,0.026,9,9.08,0,9,0.1,9,0,0.001,0.023,0.256,9,0.69,0,0,0,0,0,18.318,0,9,0,17.33,9.976,96.7,1.84,45,51.6317,2.2683,179.8,39.5,40.17,4.89,0,0,0,23.1,34.25,0,224.1,0.52,0,6.69,36.22,31.543,0,120.36,0,10.11,15.2,9.19,9.36,0.344,0,0,9,0,0,0,0.009,0,0,0,1.08,0,0,0.334,9,2.07,1.399,0,8.7,0,0.021,0,0,0,0,0.673,0.042,0,9,0.008,0,0.082,0,0,0,0,9,0,0,0,0,0,9,0.006,0,1.66,0,0.38,18.7,3.662,11,4.75,30.4,10.14,62.36,0,55.5,0,157.6,15.756,0,43.5,13.03,10.81,40,2.43,0,0,0,0,0,5.6,62,8.8,0,0.84,10.06,0.193,1.708,0,0,1.21,0,0,0,0.24,2.77,0.79,1.3,0.52,9,0.13,0,9.009,0
"Jordan",109.23,6.53,0,0,0,0,0.001,0,9,0,9.039,0,0,0,0,0,0.059,0,0,0,0.006,0,0,0.08,5.48,0,0,0,9.87,0,107.08,1.51,40.85,23.1145,1.0155,52.34,17.08,26.89,1.05,0,1.34,5.73,12.41,6.31,13.54,94.81,0.24,0,2.53,25.02,6.262,14.45,66.18,19.19,2.38,14.55,1.73,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,3.615,0.822,9,0,0,0,0.013,0,0,0,0,9,0,0,9,0,0,0,0.033,0,1.5,0,0.07,0,2.573,1.61,10.81,4.66,14.31,6.24,55.5,0,0,64.26,4.288,0.05,26.27,0.14,2.71,12.1,0.52,0,22.24,0,0,0,15.2,89.45,5.76,0,4.16,0.29,0,7.433,0,0,2.19,0,0,0,0.82,2.66,0.01,2.3,1.74,0,1.7,0,0,0
"Israel",380.2601,20.16,0.04,0,0.001,0.51,0.155,0.07,0.094,0,0,0.32,0.265,0.053,0.156,0.29,2.672,6.145,0.81,4.51,0.134,0,0.69,3.35,1.222,1.33,0,0.39,36.19,8.941,178.24,13.17,275.41,35.5387,1.5613,64.04,568.68,16.19,12.45,0,3.2,1.08,8.4,5.61,2.51,173.3,1.16,0,2.29,51.65,12.305,1.09,27.72,0.02,26.13,23.08,9.91,1.28,0.74,0,0,0,0,9,0.49,0.93,0.25,0,0,0.82,0.05,0.1,4.96,0.07,0.454,2.69,0.509,20.4,6.8,2.75,0.14,0.729,1.5,0,7.325,7.375,0.056,0,9,0,3.456,0,0,2.1145,0,4.809,42.87,0,0,0,0,9,2.103,0,9,0,0,0,0,89.02,54.7,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,1.35,0,4.37,0,1.54,50.92,22.21,0,0.53,0,0.017,0.07,0,0,1.69,1.02,0.01,0,0,8.09,2.08,0.4,16.36,0.008,2.23,0,0.081,0
"Saudi Arabia",1552.5,652.7,905.61,3.6,9,0,0.003,429.87,1.5,10.1,9,0.8,6.4,0.5,0.094,0.328,0.8,10.723,0.1,0,0.394,0.499,2,0,1639.502,1,0.2,2.3,14.55,0.5,100.4,69.81,611.6,1017.4991,44.7011,3288.5,534.3,1416.32,159.6,0,6.1,34.5,35,57,33.7,945.5001,4.6,0.3,31.59,202.62,36.496,33.7,97.3,23,88.64,109.5,85.74,35.06,1.6,0,0,0,0,0.2,0.2,0,0,1.3,0.2,1.2,0.2,0.1,29.152,0.2,0,3.839,0.009,0.9,0,0,0,0.791,1.4,1.1,38.949,1.46,0.1,0.233,80.043,2.8,23.592,0.1,1.4,83.7127,0.1,0.2,0,0.1,2.4,5,4.125,0,0.001,9,44.46,5.4,46.74,0.2,48.601,25.5,12.14,0.2,8.24,35.68,157.6,64.26,0,0,267.388,0.9,91.5,839.45,12.59,47.4,4.35,6.6,94.4,3.3,221.2,304,955.7,5365.2,9.46,0,206.57,16.47,0.7,51.356,9,0,236.86,0.6,0.1,4.9,207.47,1531.05,260.75,225.6,303.04,0,66.43,0,0.8,0.1
"Yemen Arab Republic",32.918,2.481,9,11.347,9.769,0,0.031,9,0,0,9,9.009,0,9,9.071,9,9,0.02,9.848,9,0.01,0,0,0,0.176,9,0,9,0.53,9,67.39,0.005,56.796,6.533,0.287,99.783,4.061,6.04,0.044,0,0.756,11.493,6.952,9.019,2.542,72.477,0.67,9,1.479,15.805,2.419,9.11,6.096,10.513,1.48,11.61,0.497,7.482,0,0,0,9.003,0,9,9,9,9,0,0,9,9,0,9,9,9,0,0,9,9,9,0,9,0,9,7.955,9.139,0,0.092,6.438,23.65,4.32,0,13.889,0.0224,9,9,9,0,0,9,9,0,0,1.8,9.084,0.004,0,0.107,2.64,0.101,0.77,2.873,3.445,1.426,15.756,4.288,0,267.388,0,31.407,13.941,2.379,0.04,8.531,0.064,9,47.423,0,9.647,9,18.815,123.744,40.881,0,2.374,0.33,0.01,6.668,0,0,0.326,9,9,0,1.141,50.342,0.01,0.259,41.049,9,0.35,0,0.006,0
"Yemen People's Republic",20.5,10.7,0,0,0,9,0,0,0.005,0,9,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,9,1.93,0,55.8,1.23,35.4,2.2032,0.0968,18.5,0.9,2.35,0.11,0,0,0,1.3,0,0,9.1,0,0,0,1.05,2.956,0,1.69,0,0,4.4,0.64,10.06,0,0,9,0,0,0,9,0,9,9,0,0,0,0,9,0,0,9,0,0.2,0,0,0,0,0,0,5.377,0.072,0,0.087,1.338,0,0.416,0,0,0,0,9,0,9,0,0,0,9,0,0,0,0,0.21,0,4.089,0,0,0,14.76,0.09,0,0.05,9,0.9,31.407,0,59.6,0.09,0,0,0.32,9,0,0,0,0,0.9,46.5,3.6,0,2.36,0.2,9,9.288,9,0,19.03,0,0,0,1.33,11.35,0.05,0,19.92,0,0.07,0,0,0
"Kuwait",551.1,33.2,0,9,9,9,0,0,0,0,0,0.1,0,0,0,0,0,0.411,0.05,0,0.012,0,0,0,562.272,0,0,0.8,3.78,36.458,721.5,24.02,647.4,112.5552,4.9448,99.1,63.2,79.15,11.49,0,12.6,24.6,19.1,20.61,16.8,616.9,1.4,0,20.64,23.78,13.663,21.3,13.09,15.3,4.46,48.5,3.68,39.58,0,0,0,0,0,0,9,0,9,0,9,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,1.171,5.106,9,0,0.07,0,0.139,0,9,0,0,0,0,0,0,10.4,7.8,0,0.006,0,0.95,0,0.76,0,0.57,5.6,17.05,4.8,4.62,17.87,43.5,26.27,0,91.5,13.941,59.6,0,8.27,8.94,32.5,1.32,0,63,0,553.6,0,612.2,1604.1,33.47,0,161.21,11.42,4.1,16.592,0,0,63.9,0,0,9,87.9,128.92,169.33,35.2,93.11,0,20,0,0,0
"Bahrain",104.88,1.23,0,9.02,0,0,0.03,0,0.008,0,0,0.02,2.63,0,0,0,0,0,0,0,0,0,0.05,0.05,1.204,0,0,1.22,0.03,0,163.97,0.03,22.14,6.6575,0.2925,25.83,11.34,5.99,4.05,0,9.69,2.26,4.7,0.2,9.4,7.6,0.71,0,0.61,3.78,6.555,9,2.96,9.25,1.29,9.7,3.58,9.5,0,0,0,0.05,9,0,0,0,9,9,0,9,9.01,9,0,9,0.03,0,0,0.03,9,0,0,0,9,0,15.857,28.434,0.016,9,0.18,0,0,9,10.51,0,9,0,9,0,9.14,0,0,9,22.761,3.1,0.04,0,0.01,0,0.005,4.56,1.71,6.12,0.32,0.33,13.03,0.14,0,839.45,2.379,0.09,8.27,0,0.37,25.04,24.37,0.01,21,0,23.32,9.56,34.9,167.25,13.08,0,7.44,0,0.93,3.14,9,9.01,8.44,9,9.03,9,4.6,84.83,51.07,0.43,54.21,9,50.35,0,0.003,0
"Qatar",243.02,0.2,9,0,0,9,0,0,0,0,0,0,9.02,9,0,0,0.118,9,0,0,0,0,10.73,0,10.39,9,9,0.26,0.07,9,126.64,0.41,37.11,122.3355,5.3745,410.19,5.63,40.86,0.76,0,9,10.2,4.44,10.23,9.55,42.07,0.3,9,1.89,9.75,3.02,9.72,12.58,9,0.76,60.44,3.83,12.45,0,0,0,0,0,0,0,0,0,0,0,9.02,0,0,0,0,9,0,0,0,0,0,0,0,0,1.5,66.83,0.51,9,9.002,0.1,9,0,9,9.21,0.1082,0,0,0,0,9,9,4.945,0,0,9,0.38,1.41,0.04,0,0.028,4.43,0.55,0.94,1.26,11.69,10.81,2.71,0,12.59,0.04,0,8.94,0.37,0,10.64,0.3,9,14.92,0,2.86,9,4.57,329.19,12.72,0,29.21,0.43,9,0.08,0,0,234.78,9,0,9,4.54,48.19,0.02,0,7.05,9,0.36,0,0,0
"United Arab Emirates",1649.9,33.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.01,0,0,0,8.4,0,89.832,0,0,12.5,1.49,0.424,434.5,0.38,154.6,148.4771,6.5229,803,79.5,413.29,0.1,0,0,35.8,19.2,0,14.3,85.5,2.37,0,4.7,37.4,9.16,1.3,28.6,3.2,4.29,180.9,17.52,25.88,0,0,0,0,0,0,9,11.616,0,0,0,6.6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.638,0,0,0,12.3,0,0,0,0,0,5.5,0,15.333,9,0,0,0.19,0,0.18,0,0.142,13.5,0,1.4,70.2,4.27,40,12.1,0,47.4,8.531,0,32.5,25.04,10.64,0,148.63,0,77.5,0,72.6,0,70.1,1653.3,49.29,0,78.97,60.2,0.181,3.954,0,0,35.42,0,0,0,24.6,84.23,0.09,5.7,12.15,0,7.6,0,0,0
"Oman",325.89,3.11,9,0,0,0,0.011,88.48,0,0,9,9,9,9,9,0,9,9,0,0,0.001,0,0.12,0,1.79,9,0,9,0.16,9,115.59,1.06,53.01,6.0253,0.2647,5.48,11.12,4.66,0.15,0,9,9.21,2.38,0.02,9.67,10.89,0.16,0,1.08,14.32,5.989,9.74,1.14,9.42,0.52,33.11,130.27,10.23,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.32,0,9,9,0,0.01,9,9,0,0,0,0,6.71,0.09,0,0,0.019,0,0,9,1.57,0.89,0,9,0,9,0.82,0,0.07,0,0,9,0,0,0.02,0,0.13,3.24,2.4,1.4,0.38,0.02,2.43,0.52,0,4.35,0.064,0.32,1.32,24.37,0.3,148.63,0,9,11.34,0,6.04,9,7.85,761.87,41.06,0,2.68,0,0.07,0.288,0,9,6.84,9,0,9,8.19,20.08,0.04,0.18,18.09,0,1.75,0,0,0
"Afghanistan",4.354,4.9,0,0,0,0,0.043,0,0.001,0,9,0,9,0,0,0,9,0,9,0,9,0,0,0,0,9,0,0,0,9,13.032,1.25,3.6,3.4485,0.1515,8.4,4.3,0.22,0.1,0,0,0,0,0,4.009,8.3,0.17,0,2.82,0.6,0,0,9,127.22,0.34,2.5,0.71,0.74,0.032,0,0,0,0,0,0,9,0,0,0,9,0,9,0,9,0,9,0,0,0,9,0,9,9,0,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.2,0.03,9,0,0,0,6.6,9,9,0,0.01,9,0,9,0,0,0,0,0,5.4,100.501,9.975,0,16.641,1.15,0,3.078,0,0,1.93,0,0,0,2.98,2.38,0.01,0.1,0.19,0,0.06,0,0,0
"China",363.8,482.9,0.01,34.5,4.444,0.04,1.207,4.46,0.413,0,0.061,73.6,45.2,1.151,0,66.33,0.237,1.619,0.15,33.3,4.128,11.644,2.77,30.26,69.175,0,0,26.9,86.95,0.416,82.7,4.7,0.3,33.7187,1.4813,21.3,249.2,17.89,1.57,0,9.7,39.36,26.2,25.32,10.1,9.3,12.93,15.2,51.48,0.27,0.362,0,88.07,22.8,24.52,18.4,47.09,23.69,10.058,0,9,0.743,0,10.859,0.384,11.337,18.588,0,6.834,0,0,0.51,16.536,0,1.804,7.658,28.255,198.2,2.367,0.36,0,0.922,0.6,0,4.777,15.974,0.831,10.609,7.094,0,7.607,0,3,24.0636,0,0,0,0,0,0,22.149,0.3,23.323,0.8,14.63,10.39,6.95,58.3,33.089,15.5,14.85,6.1,3.09,21.3,0,22.24,1.35,94.4,47.423,0,63,21,14.92,77.5,11.34,0,0,0,0,7.1,0,1060.3,22.3,0,40.36,20.12,15.999,31.506,0,0,10.31,0,0,24.4,109.88,295.8,60.65,121.6,561.65,17.768,42.93,1.3,0,0.584
"Mongolia",4.3,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,9,0,9,0,0,9,0,0,9,0,0,0,0,9,7.3,0,2.1,9.0958,9.0042,0.9,0,0,0,0,0,0,0.9,0.44,0,0.1,0,0,0.05,0.04,0,0,0.68,0,9.15,0.1,0.07,0.01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.02,9,9,0,0,0,9,0,0,0,0,0,0,0,0.02,0,9.02,0,0,0
"Taiwan",3359.8999,292.3,0.07,0,0,12.3,6.401,11.35,2.062,0,0.178,0,31.18,0,22.796,30.644,4.228,14.031,9.79,36.7,0.027,0,4.45,9.21,14.815,0,4.221,2.4,49.55,0.81,104.5,0.76,138.1,7.2802,0.3198,91,5.3,32.73,0.3,0,0,0,28.5,0,0,35.1,2.55,0,0,24.14,5.996,0,0,0,1.51,31.9,10.19,12.38,1.593,0,0,0,0,1.105,0,0,4.129,0,1.116,24.66,0,3.762,0,9,0,1.306,16.975,0,3.047,0,0,3.187,0.3,0.122,14.083,6.464,0.179,0.076,0.036,0,8.126,0,0,0.8791,0,0,0,0,0,0,0,0,6.122,0.2,19.44,0,1.03,30.4,0,17,14.02,10.3,17.67,0,0,0,4.37,221.2,9.647,0,553.6,23.32,2.86,72.6,6.04,0,0,0,0,0,140,1851.2999,7.75,0,0.49,4.64,0.004,0.144,0,0,127.94,0,0,0,23.39,169.48,97.69,74.1,99.74,9.629,9.66,0.2,10.793,0.404
