"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Tunisia","Iran","Turkey","Egypt","China","Japan"
"Austria-Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8800001,0.0048239999,0,5.5500002,0,0,0,69.330002,0,32.09,0,0,15.95,21.77,0,0,0,0,0,3.73,0,0,0
"Italy",14.61,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4,4.3499999,3.95,34.990002,6.6300001,0.80000001,0.31999999,12.39,35.080002,0,0,1.3200001,3.3800001,16.360001,0.029999999,0,0,0.76999998,0,3.3800001,0,0,0
"Yugoslavia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greece",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,3.1800001,0,0,0,0,0,3.24,0,0,0,1.47,0,0,0,0,0,0,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4200001,0,0,0.67000002,0,0,0,4.6100001,24.209999,0,0,0,0,6.6599998,0,0,0,0,0,0,0,0,0
"Russia",6.8200002,0,0,0,0,0,0,0,0,0,0,0,0,0,38.639999,3.7,2.55,6.5599999,0,0.73000002,0.69,50.790001,15.43,3.6400001,0,1.48,1.1900001,0,1.95,0.28,0,0,0,12.74,0,5.9200001,0
"Sweden",3.1500001,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4300003,2.49,1.5599999,1.54,0,0.37,0.47999999,14.59,0,0.27000001,0,0,0,8.1099997,0,7.1599998,0,0,0,0,0,0,0
"Denmark",4.7800002,0,0,0,0,0,0,0,0,0.079999998,0,0,0,0,9.2299995,1.65,0.54000002,1.1900001,0,0,0,11.64,0,0,0,0,0,2.75,7.4400001,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunisia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41999999,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkey",0.99000001,0,0,0,0,0,0,0,0,0,0,0,0,0,32.389999,0,0,8.75,0,0,0,0.19,10.82,2.79,0,0,0,9.0799999,0,0,0,0,0,0,0,0,0
"Egypt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,24.610001,0.0099999998,0,0.64999998,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,4.8299999
"Japan",3,0,0,0,0,0,0,0,0,0,0,0,0,0,15.99,0,0,1,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,0
