"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Fiji","Samoa"
"Libya",2494.3,115.4,435.87,9,0,0,0,0,0,9.032,0.1,0,0.2,0.5,0,1.7,4.6,0.34,0,0,0,2.5,0,163.915,0,0,0,21.12,0.31,127.1,8.4,12.3,12.9131,0.5869,55.9,12.3,376.98,12.69,0,58.7,57.4,70.2,15.7,13.5,826.9,15.5,10.1,6.02,91.4,8.381,2.3,93.71,20.4,22.8,23.9,54.05,5.98,0,0,0,0,0,0,0,0,0,0,0.857,0.14,0,0,0,0,8.631,0.428,0,3.1,0,0,5,0,19.8,2.092,0.1,0,0.009,0,0.003,0,0,0,0,0,0,9,9,10,0,0.6,0,0.016,0,2.19,1.9,8.58,0,0.178,1,226.35,0,6.84,11.49,11.9,0.4,0,3.9,0,0,0.1,0,0,0,0,0.2,67.9,0,16.2,0,11.7,59.5,4.7,0,8.19,0.19,0,6.2,0,0,0.1,0,0,0,1.63,1.9,0.3,0,3.4,0,0.01,0,0
"Sudan",66.069,4.34,0,0.02,0,9,0.006,0,0,9,0.201,0,0,0,0,0.028,0,0.038,3.971,0,0,0.02,0,0.425,6.969,0,0,2.735,4.641,173.876,0.494,13.929,24.8793,1.1307,36.876,0.252,3.126,13.656,0,2.58,3.816,10.285,5.299,1.612,7.24,0.51,0,8.315,5.537,0.029,0.176,10.793,0.051,3.657,1.364,0.002,8.651,0.036,0,0,0,0,0,9,0,9,0,0.003,0,0,0,9.002,0,0,0,0.004,0.014,9,0.097,0.064,0.006,0,11.73,1.696,0.029,0,0,0.01,1.756,0,0,0.001,0,0,0,9,0,0,0,0,0,0,0,0.26,1.84,0.178,0,0.003,0.008,73.371,14.74,2.213,11.365,1.627,0,16.677,0.279,0.037,36.527,0.003,0.064,0.776,0,0,3.634,0,6.348,0.41,1.032,15.105,35.517,0,6.633,6.805,3.299,1.737,0,0,12.321,0,0,6.412,1.385,6.023,1.584,3.8,1.366,0,0.02,0,0
"Iran",746.8001,681.6,69.45,13.9,0,9,43.182,208.01,0.007,9,0.4,0.284,0.082,0.3,0,0.185,0.183,2.39,0,0,0,2.6,3,366.071,0,0,48.4,22.1,5.213,889,58.99,1326.8,52.609,2.391,809.4,356.2,801.82,113.5,0,14.9,23.1,33.4,25.76,72.9,584.2,3.02,9,15.54,133.9,1.961,58.9,191.54,135.3,11.92,117.7,309.18,169.07,4.158,0,0,0,0,9,0,0,0.003,0,0.043,52.53,0,9,0.006,0.017,0.003,0.067,0.657,3.1,0.219,0.1,0,0.001,4.4,0.2,162.152,69.589,4.759,7.715,0.408,2.899,9.1,9,1.1945,9,2.123,107.8,0,0,0,0.494,0,22.961,9,10.13,1.42,0.53,1,0.003,0,71.25,4.1,1.51,5.2,14.9,8.59,60.74,16.8,0.336,0.2,49.5,8.76,1.01,22.7,7.94,12.288,102.4,10.7,18.8,11.5,26.7,2356.1001,151.01,0,52.1,36.01,0.3,45.12,0,9.1,19.28,9.2,9.5,9.5,20.24,285.5,10.01,0.2,42.82,9,109.72,0.504,0.023
"Turkey",203.19,48.44,0,0.11,0.039,0,0.013,0.01,0.004,9,0.46,0,0,0,0,0.003,0.006,0.07,9.1,0,0.003,0.05,0.12,46.906,0,0.013,0.99,1.41,3.665,301.38,3.5,99.22,39.3802,1.7898,179,227.02,1.44,43.76,0,10.36,15.45,16.48,3.65,8.13,165.51,0.83,0.12,10.97,4.23,0.468,44.14,58.57,7.68,16.31,7.04,5.25,1.02,0.061,0,0,9,0,9,0,0,0,0,0,0,0,0,0.29,0.18,0.854,0,0.012,3.27,0.003,0,0,0.082,0.84,0,0.021,1.087,0,0.014,0,0.056,0,0,0.0009,0,0,3.81,9,9,9,0.03,9,0.237,9,5.25,11.53,13.34,226.35,0.008,71.25,0,613.91,13,24.23,49,7.76,5.93,6.23,0.065,0,1.31,2.27,0.23,2.9,0,0.006,1.07,0,9.66,0,7.01,171.89,15.35,0,2.9,6.04,0.002,0,9,0,10.5,0,0,0,9.44,7.95,2.65,2.35,9.47,0,0.82,0.002,0
"Iraq",94.9,77.2,0,24,9,9,0,3.17,0.003,9,0.1,9,9,0,0,0,0,0.03,9,11.3,0,12.9,0,1239.94,0,9,0,4.2,57.469,229.1,3.58,119.5,41.609,1.8911,1284.8,40.1,355.83,160.27,0,57.5,42.01,199,31.56,77.8,1161.9,0.03,9,402.96,54.83,16.509,39.4,165.27,92.3,9.62,81.9,2.15,90.28,0.011,0,0,0,0,0,0,0,0,9,0,12.74,9,9,0,9.073,9.879,0.055,0,0,0,0,0,0.001,0,0.414,0.87,0.563,0,0,1.4,0.008,9,9,2.3927,9,0,9,0,10.3,9,9.295,0,0.131,0,132.02,0,53.93,0,73.371,4.1,613.91,0,14.23,23.3,25.5,4.82,0,8.4,0.94,0,2.9,2.98,0.2,2.6,3.3,1.026,66.3,0,9.9,9.4,3.8,61.1,112.74,0,36.46,2.92,6.2,24.871,0,0,2.8,0,0,0,13.76,112.04,58.79,4.5,50.59,9,7.36,0.211,0
"Egypt",513.17,4.24,0,3.58,0,0,0.006,0.02,0.052,0,0.57,0.005,0.002,0,0,0,0,0.07,0,0,0,0,0,5.653,0,0,0.01,16.12,18.13,96.27,1.59,38.16,38.6341,1.7559,140.19,48.01,43.23,3.05,0,12.37,1.33,35.39,14.81,13.29,74.22,0.18,0.03,40.65,22.58,2.322,10.49,22.01,181.02,21.35,38.01,0.71,29.97,0.042,0,0,0,0,0,0.09,0.03,0.027,0,0,0.23,0.01,0.021,0.622,0.345,0.399,0,1,0.86,0,0.151,0,0.049,0.23,4.905,7,1.188,0.243,0.003,0.866,9.957,0,0,2.4474,0,2.18,0,0,0,0,0.05,0,0.008,0,3.94,11.79,3.22,6.84,14.74,1.51,13,14.23,0,23.92,15.19,23.38,0,51.68,2.548,0.27,11.42,0.25,0.92,0.6,0.24,0,6.34,0,3.37,1.12,9.96,121.36,84.99,0,1.15,14.83,0.18,10.047,0,0.39,0.3,0,0,0.05,5.15,9,1.47,0.01,148.87,0,6.64,0.021,0
"Syria",126.97,4.85,0,41.05,0,9,0.011,0,0,0,9,0,0,0,0,0.22,0.962,0,0,0,0,2.02,0,19.72,0,9,0,3.3,9.294,77.85,2.39,45.69,54.1012,2.4588,60.61,413.27,18.44,0.69,0,6.2,8.96,33.82,15.94,34.76,129.1,0.73,0,5.04,24.1,16.979,15.39,33.92,47.48,2.66,15.83,1.39,5.68,0.039,0,0,0,0,0,0,9,9,0,0,0,9,0,0,9.017,0.696,9,0,0.1,0,0,0,9,0,0.011,0.151,0.103,0,9,0.22,0.022,0,0,0,0,0,9,0,0,0,0,0,0,0,0.26,0.04,0,11.49,2.213,5.2,24.23,23.3,23.92,0,39.18,1.45,9,419.15,0.667,0.01,7.28,0.16,8.82,2.69,0.08,17.924,1.5,0,0,0,3.5,138.72,6.42,0,2.56,6.33,9,9.86,0,0,5.7,0,0,0,1.35,1.59,0.33,0,0.98,9,3.76,0,0
"Lebanon",44,2.1,0,0,0,9,0,9,9.07,9,0,9,0.003,0,0.001,0,9.02,0,0,0,0,0,0,2.139,0,9,0,0.31,9.086,7.2,0.08,6.5,6.5044,0.2956,48.4,14.9,4.06,0.44,0,0,0,7.1,3.91,0,27.8,0.12,0,3.9,16.29,40.713,0,60.05,0,1.82,2.5,0.62,2.88,0.014,0,0,9,0,0,0,0,0,0,0,0.05,0,0,0.29,0.032,1.843,0,0,2.8,0.367,0.089,0,0.004,0,0.144,0.077,0.011,0,9,0,0.096,0,0,0.0155,0,9,0,0,0,0,0,9,0,0,1.16,0.8,0.1,11.9,11.365,14.9,49,25.5,15.19,39.18,0,17.14,0,181.6,0.142,0,21.7,2.99,5.36,22.7,1.1,0.552,0,0,0,0,0.1,2.7,0.21,0,0.57,9.02,0,0,0,0,0.18,0,0,0,0.08,1.68,0.04,0,0.03,9,0.09,9,0
"Jordan",89.66,2.63,0,0,0,0,0.001,0,9,9.01,0.1,0,0,0,0,0.137,0,0,0,0,0,0.29,0.19,5.41,0,0,0,1.34,0.015,69.98,2.52,23.13,24.6114,1.1186,28.47,7.55,14.1,0.63,0,0.75,3.12,10.78,3.53,2.71,53.25,0.15,0,4.11,12.09,1.395,1.25,17.11,14.06,1.67,13.22,1.5,8.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.031,1.115,3.21,9,0.005,0,0.589,0,0,0,0,9,0,0,9,0,0,0,2.097,0,1.44,0,0.03,0.4,1.627,8.59,7.76,4.82,23.38,1.45,17.14,0,0,86.13,0.098,0,18.33,0.13,6.51,6.5,0.33,0,13.82,0,0,0,12.5,57.94,35.02,0,0.37,0,0,1.96,0,0,1.63,0,0,0,0.02,1.7,0.07,0.4,8.33,0,0.29,0,0
"Israel",451.14,0.25,0.04,0,0.026,0.03,0.096,0.06,0.089,0,0.96,0.839,0.489,0.17,0.217,0.195,2.313,1.24,6.74,0,0.4,1.72,0.23,4.043,2.32,0.022,0.2,22.79,7.205,382.81,2.82,130.7,36.262,1.6481,4.43,121.13,4.35,12.57,0,1.73,0.83,0.52,0.74,4.23,106.9,1.4,0,3.1,16.09,8.267,0.33,24.6,0,9.63,21.53,7.85,0.6,0.44,0,0,0,0,9,0.08,0.02,2.51,0,0.81,0.63,0.64,0.02,5.439,4.118,0.66,0.23,0.079,18.3,3.171,7.65,0,0.358,0.9,0.037,4.136,3.642,0.044,0,9,1.884,0,0,2.2564,0,0.51,12.74,0,0,0,0.25,9,2.05,0,9,0,0,0,0,60.74,5.93,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0.93,0,2.08,0,2.3,26.66,8.51,0,0,0,0.246,0.49,0,0,4.03,0,0,0,0.01,4.68,2.06,0,15.29,0,0.85,0.075,0
"Saudi Arabia",4240,527,1536.94,3.2,9,0,0.1,520.6,0.172,9,2,0.4,0.4,0,0,0.98,33.34,0.2,0,0.1,0.897,2.6,0.1,1345.98,0,0.1,0.5,17.12,1.7,1243.2,39.52,1255.3,1196.9019,54.3979,3855.6001,292,1624.55,157.9,0,1,23.7,23.6,11.4,10,2085.6001,0.5,0,15,319.3,6.187,8.1,27.2,15.1,257.06,219.4,42.16,92.04,0.8,0,0,0,9,0.1,0,0.1,0,0.1,0,7.1,0.1,0,52.912,0,0,0,0,0,0,1.498,0,0.007,8.7,0.094,60.761,29.506,0,1.913,21.043,32.397,0,19.4,87.9027,0,0.197,0.1,0.1,0.3,3,12.268,0.1,2.5,9,35.4,1.3,54.73,3.9,16.677,16.8,6.23,8.4,51.68,419.15,181.6,86.13,0,0,44.075,4.1,755.5,521.99,11.85,19.4,4.39,1.297,17.2,1.2,362.3,25.4,652.8,6778.9998,267.37,0,88.86,3.66,0.5,57.1,9,0,232.43,0.1,0.2,3.9,81.77,1356.6199,295.56,1.2,305.58,0.3,44.32,0.098,0
"Yemen Arab Republic",15.421,0.002,9,9.011,9,0,0,9,0,9,9,0,9,9,9,9,0,9,9,0,0,0,0,0.167,9,0,9,0,9,15.057,0.002,24.348,3.5296,0.1604,14.157,1.1,0.641,0.01,0,0.013,9.276,0.365,9.073,2.415,6.487,0.406,9,0.784,1.57,1.581,9.025,2.478,6.852,0.96,1.461,0.667,1.799,0,0,0,9,0,9,9,9,9,0,0,9,9,0,9,9,9,0,0,9,9,9,0,9,0,9,9.957,9.042,0,0.492,0.613,4.319,0,9,0,9,9,9,0,0,9,9.424,0,2.869,2.7,9,0,0,0,0.279,0.336,0.065,0.94,2.548,0.667,0.142,0.098,0,44.075,0,10.065,1.198,0.667,0.001,0.447,1.08,9,22.557,0,1.978,9.033,7.685,38.305,28.346,0,1.242,0,0,5.767,0,0,4.315,9,9,0,5.007,18.194,0,0,27.172,9,0.633,0,0
"Yemen People's Republic",3,221.7,0,0,0,9,0,0,0,9,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,9,0,0,20.7,0.37,12.2,4.3044,0.1956,10.7,0.5,0.9,0.2,0,0,0,0.8,0,0,8.1,0,0,0.36,1.32,0.055,0,1.01,0,0.09,1.2,0.52,6.26,0,0,9,0,0,0,9,0,9,9,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0.345,5.307,1.055,0.001,0.118,0.679,5.703,0,0,0,0,9,0,9,0,0,0,9,0,0,0,0,0,0,0.037,0.2,0,0,0.27,0.01,0,0,9,4.1,10.065,0,50.9,1.95,26,0.8,0,9,0,0,0,0,0,11.1,6,0,2.61,0,9,0,9,0,0.5,0,0,0,0.36,3.55,0,0,3.22,0,2.1,0.001,0
"Kuwait",446.1,4.9,0.1,9,9,9,0,0,0.002,0,1.7,0,0,0,0,0.235,0.046,0.01,0,0,0,0,0,575.349,0,0,0,2.03,38.601,784.1,32.83,571.1,72.4091,3.2909,236.9,24.6,252.74,3.09,0,7.8,18,19.5,21,15.1,62,5.09,0,1.8,14.97,5.477,18.2,53.08,9.3,5.13,30.9,4.52,28.96,0.001,0,0,0,0,0,9,0,9,0,9.009,0,0,9,0,9,0,0,0.004,0,0,0,0,0.002,0,0.012,1.357,0.27,9,0,12.7,0.473,0,12.6,0,0,0,0,0,0,3.3,1,1.5,1.153,0,0.89,0,0.04,0.1,36.527,49.5,1.31,2.9,11.42,7.28,21.7,18.33,0,755.5,1.198,50.9,0,8.45,27.69,56.6,6.48,0.702,65.1,0,577.1,0,594.3,1327.9,97.44,0,74.46,4.95,3.7,9.568,0,0,69.62,0,0,9,160.79,113.45,233.16,7.8,163.94,0,43.45,0,0
"Bahrain",112.31,1.83,0.02,0.03,0,0,0.03,0,0.002,0,0,2.15,0,0,0.01,0,0,0,0,0,0.05,0,0,1.123,0,0,0,1.39,0,118.52,0.97,21.87,4.8209,0.2191,22.32,4.77,3.1,5.64,0,0.36,1.07,6.01,0.54,0.33,14.88,0.48,9,0.56,12.25,2.034,0.12,4.36,1.18,0.43,7.99,1.46,10.66,0.01,0,0,0.01,0,0,0,0,9,0,0,0.01,0,9,0.031,0,0.023,0,0,0,9.02,0,0,0,9,0,0.808,0.399,0,9,0.33,0.14,0,11.24,9.65,0,0,0.95,0,0.02,9,0.07,9,3.219,0,0.03,0,0,0,0.003,8.76,2.27,2.98,0.25,0.16,2.99,0.13,0,521.99,0.667,1.95,8.45,0,5.48,4.24,12.81,0.01,20.11,9,1.92,9.08,47.83,92.56,32.38,0,10.44,2.2,0.03,2.35,9,0,8.64,0,0,0,10.37,73.93,25.88,9.35,64.47,0.06,42.52,0.001,0
"Qatar",341.33,0.32,9,0,0,9,0,0,0,0,0,9,9,0,0,0,9,0,0,0,0,9.66,0,2.036,9,9,0.66,2.43,9.01,308.7,0.09,223.53,38.0698,1.7302,289.88,24.57,6.68,0,0,9,9.23,4.46,9.27,10.25,112.2,0.53,9,1.33,3.07,2.09,9.09,10.92,9.05,0.11,138.42,2.31,26.28,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.09,4.09,9,9,0.07,0,9,9,0,0,0,0,0,9,9,27.044,0,0,9,0.48,0,0.05,0,0.064,1.01,0.23,0.2,0.92,8.82,5.36,6.51,0,11.85,0.001,26,27.69,5.48,0,37.77,0.18,9,1.7,0,0.54,9,1.22,205.25,5.22,0,7.71,0,9,0,0,0,203.78,9,0,11.18,1.1,5.87,0.11,0,15.17,9,8.94,0,0
"United Arab Emirates",1325.9,62.6,63.7,0.3,0,0,0,16.5,0,0,0,0.3,0,0,0,9,0,0.01,0,0,0,3.1,0.04,106.032,0.2,0,3.6,2.04,0.049,217.2,2.2,485,70.9742,3.2257,1104.1,106.2,357.4,6.4,0,3.5,82.2,35.4,2.9,3.6,151.4,1.2,0,18.6,20.2,5.495,4.5,41.5,4.9,2.62,142.2,8.82,18.15,0.002,0,0,0,0,0,9,55.5,0,0,0,22.9,0,0,9,0,0.4,0,0.1,0.3,0,0,0,0,0,0,0.8,0.4,0,0,0.66,0.1,0,2.5,0,0,0,0.5,0,1.7,1.6,0,9,0,0,0.3,0,0.2,0,0.776,22.7,2.9,2.6,0.6,2.69,22.7,6.5,0,19.4,0.447,0.8,56.6,4.24,37.77,0,125.47,0.1,49.7,0,41.6,0.1,26.4,1876.4001,114.63,0,56.37,17.92,1,1.7,0,0,54.4,0,0,0,25.6,47.93,4.6,0.2,49.2,0,3.5,0,0
"Oman",206.99,93.32,9,0,0,0,0,121.67,0,9,9,9,9,9,0,9,9,0,0,0,0,0,0,0.13,9,0,9,0.02,9.02,8.22,0.08,49.65,7.9296,0.3604,61.24,8.2,340.25,0.02,0,9,9.61,4.68,0.04,9.23,5.98,0.16,0,0.39,1.59,1.4,9.46,3.09,9,0.33,2.56,126.33,49.53,0,0,0,9,0,0,0,0,0,0,0,0.04,0,0,0.27,0,9,9,0,0,9,9.01,0,0,0,0,2.28,0,0,0,0.09,0,9,0,0,0,9,0,9,0,0,0,0,0,9,0,0,0,0,0,7.94,0,3.3,0.24,0.08,1.1,0.33,0,4.39,1.08,0,6.48,12.81,0.18,125.47,0,9,6.38,0,1.38,9,3.14,595.7,26.69,0,6.93,27.64,0.36,0.02,0,9,0.03,9,0,9,1.84,1.02,1.8,0,13.95,0.01,0.31,0,0
"Afghanistan",6.763,0.419,0,0,0,0,0.002,0,0.015,9,0,9,0,0,0,9,0,9,0,9,0,0,0,0,9,0,0,0,9,21.593,0.27,1.631,0.8417,0.0383,2.364,1.046,2.273,0.21,0,0,0.324,0.934,0.153,2.12,3.742,0.2,0,0.049,3.67,0,0.628,9.296,1.025,0.373,2.7,0.07,2.078,1.016,0,0,0,0,0,0,9,0,0,0,9,0,9.317,0,9,0,9,0,0,0,9,0,9,9,0,9,0,9,9,0,0,0,0,0,0,0,0.137,0,0,0,0,0,0,0,0,0,0,0.2,0,12.288,0.006,1.026,0,17.924,0.552,0,0,1.297,9,9,0.702,0.01,9,0.1,9,0,0.67,0,0,0,2,69.65,2.868,0,18.947,0.61,0,1.74,0,0,0.948,0,0,0,0.747,3.607,0,1.8,0.413,0,0.04,0.007,0
"China",87.5,101.1,0.06,0,1.068,9,2.616,3.63,0.714,0.044,1.1,0,1.086,0,3.506,0.115,0.874,2.04,0,4.695,7.535,1.64,45.91,8.65,0,0,30.9,2.49,0.152,30.1,4.55,50.4,11.8609,0.5391,160.1,15.7,30.29,0.62,0,0,19.79,3.6,8.93,0,28.2,2.96,0,6.07,2.27,0.507,0,26.73,0,14.48,19.8,10.09,17.25,0.556,0,10.1,2.768,9,9.413,2.068,13.42,6.574,0,3.688,0,0,3.097,9.597,5.602,5.901,5.48,11.896,139.8,6.414,0.073,0,4.833,3.4,0.493,6.332,27.948,0.564,3.68,0,2.498,0,0,13.8038,0,0,0,0,0,0,10.427,0,10.206,0.4,17.47,16.51,1.36,67.9,3.634,102.4,1.07,66.3,6.34,1.5,0,13.82,0.93,17.2,22.557,0,65.1,20.11,1.7,49.7,6.38,0.67,0,0,0,0,0,293.1,0,0,47.1,2.72,9.266,50.273,0,0,10.3,0,0,0,89.62,228.01,16.98,131.8,154.07,15.157,8.96,3.92,0.193
"Mongolia",2,0,0,0,0,0,0.003,0,0,0,0,9,9,0,0,9,0,9,0,0,9,0,0,9,0,0,0,0.12,9,0.7,0.02,0.5,9.1913,9.0087,0.4,0,0,0,0,0,0,1.1,1.28,0,0.8,0,0,0.16,0.03,0,0,1.57,0,9.25,0,0.01,0.1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,1.2,0,0,0,9,0,0,0,0,0,0,0,0,0,0.1,9,0,0,9,9,0,0,0,9,0,0,0,0,0,0,0,0.02,0,9.01,0,0
"Taiwan",1666,283.5,0.02,0,0,9,3.737,5.46,0.416,0,0,4.144,1.025,7.242,19.222,1.846,5.456,2.31,0,1.149,0,4.32,26.78,0.36,0,1.143,9.5,22.72,3.622,77.3,0.03,89,21.8088,0.9912,44.6,1.1,20.3,2.2,0,0,0,21.2,0,0,42.1,1.57,0,0,9.22,3.002,0,0,0,3.25,28,4.46,11.91,0.683,0,0,0,9,0.518,0,0,1.373,0,0.319,19.09,0,0.498,2.967,2.049,7.311,0.915,5.436,0,1.25,0.054,0,0.822,0,0.364,3.463,8.691,0.085,0,8.992,5.05,0,0,5.2746,0,0,0,0,0,0,0,0,4.325,0,14.47,0,0.1,16.2,6.348,18.8,9.66,9.9,3.37,0,0,0,2.08,362.3,1.978,0,577.1,1.92,0.54,41.6,1.38,0,0,0,0,0,83.6,1091.3,14.06,0,0,0.27,0.043,0,0,0,5.43,0,0,0,20.21,149.85,35.83,76.9,91.41,11.312,13.01,2.709,0.086
"North Korea",9,7,0.18,0,0,9,0,9.17,9.007,9,9,0,0,0,0,0.118,0,0.06,0,0,0,9.02,3.36,0,0,9,0,0.03,0,0.8,0.37,3.7,4.3044,0.1956,4.8,10,0.47,0.03,0,0,0,13.5,1.68,0,6.4,9,0,1.81,0.06,0,0,16.27,0,0.55,22.2,0.35,1.8,0.001,0,0,9,0,0,0.004,0,9,0,9,0,0,0,9,9.09,0,0,0.045,0,0.003,0,0,0.03,0,0,9.118,0.574,0.86,0.089,9,0,0,0,9.0073,0,9,0,0,0,0,0,0,0.004,9,9,1.25,0,0,0.41,11.5,0,9.4,1.12,0,0,0,0,25.4,9.033,0,0,9.08,9,0.1,9,0,0,0,0,0,0,24.5,0.89,0,0.85,0.21,0.087,0,0,0,0.12,0,0,0,6.1,2.44,4.58,2.8,26.01,9.245,9,0.021,0
"South Korea",683.3,222.1,0.4,0,0.001,1.1,1.039,0.72,0.142,0,2,0.098,0.974,1.6,0.374,0.474,125.357,1.1,8.6,0.439,0.462,0.26,4.63,4.122,0.2,0.079,15,2.52,0.383,72.5,6.43,106.3,35.2958,1.6042,50.4,20.7,28.7,1.01,0,0,17.46,4.9,0.2,0.2,59.7,0.1,0,1.07,18.6,0.143,0.2,0.2,0.5,7.37,75.7,12.99,35.06,0.826,0,9,0,0,0,0,1.2,1.5,0.1,0.2,1.02,0.2,0.121,80,0.903,0.495,0.8,0.216,24.2,0.066,0.7,0,0.084,0,1.589,0.849,0.013,0,0,0.976,0.998,0.2,0.1,0.4845,0,0.2,13.3,0,0,9,0.2,0,1.175,0,1.13,0.1,0.1,11.7,1.032,26.7,7.01,3.8,9.96,3.5,0.1,12.5,2.3,652.8,7.685,0,594.3,47.83,1.22,26.4,3.14,2,0,0,83.6,0,0,1179.9,28.22,0,16,0.71,6.68,4.258,0,0.4,4.64,0,0.1,1.6,160.4,64.86,21.58,191.1,104.63,2.4,7.7,0.544,0.8
"Japan",5060.699,1022,8.71,149.7,10.709,53.1,24.341,51.29,7.153,0.543,58.3,7.571,25.81,5.372,40.091,77.834,12.309,70.87,582.4,1.427,11.728,138.07,98.66,285.616,38.233,1.998,111.2,3.39,0.839,588.6,36.3,381.8,363.4802,16.5198,685.6,213.1,507.38,105.01,0,35.3,193.79,127.3,54.2,0.5,200.2,14.84,1.8,78.17,706.8,18.991,31.7,104.16,1084.9,131.28,389.5,642.37,211.92,9.552,0,0.1,0.24,0,4.517,2.038,8.6,11.184,26.2,3.402,22.22,1.3,1.149,39.179,12.635,36.263,5.645,10.37,654.4,6.287,4.021,12.8,0.804,63,18.015,83.719,38.509,2.252,11.332,8.548,21.927,36.2,22.3,137.21,0,13.459,53.8,0,2.2,36.3,23.644,0.1,29.004,2.1,9.94,275.36,20.29,59.5,15.105,2356.1001,171.89,61.1,121.36,138.72,2.7,57.94,26.66,6778.9998,38.305,11.1,1327.9,92.56,205.25,1876.4001,595.7,69.65,293.1,0.1,1091.3,24.5,1179.9,0,485.07,0,151.05,50,35.48,7.796,1.6,5.7,309.89,0.2,4.4,118.5,551.18,805.82,277.88,2610.9998,2789.1699,102.4,55.96,47.04,4.222
"India",522.41,81.11,0.04,0,0.053,1.05,0.908,2.6,0.271,0,19.97,0.639,0.45,0.372,0.039,0.057,0.455,0.23,5.24,2.331,1.336,0.57,0,17.763,0.62,0.113,0.24,4.3,0.658,333.94,15.14,54.44,40.3654,1.8346,69.8,60.88,19.71,5.79,0,14.37,83.42,0.57,15,7.73,87.62,0.91,9,32.64,6.8,1.826,18.34,44.65,241.01,1.09,1.74,6.74,34.2,0.48,0,0,0.073,0,0.422,0,0.5,7.805,0.16,0,2.45,0.03,0.05,0.799,1.844,6.122,0.32,0.328,56.6,0,0.067,0,0.197,38.96,2.495,10.512,14.098,0.125,0.054,0.4,5.416,0,0,36.7482,0,2.026,0,0.23,0.3,0.61,0.298,0,13.632,0.5,6.94,4.43,9.66,4.7,35.517,151.01,15.35,112.74,84.99,6.42,0.21,35.02,8.51,267.37,28.346,6,97.44,32.38,5.22,114.63,26.69,2.868,0,9,14.06,0.89,28.22,485.07,0,0,0.54,52.9,6.346,21.095,0.37,18.24,37.88,0,9.01,0.76,31.31,60.02,24.53,119.81,157.88,0.45,27.44,3.645,0.074
"Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
