"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Tanzania","Somalia","Ethiopia","South Africa","Madagascar","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"Iceland",1,0.7,0.2,0,0,0.1,0,0,0,0,0,0,0,0.6,0,0,0.36,0,0,0,0,0,7,0.2,2.6,0.9503,0.0497,0.1,0.2,0.2,2.5,0,1,0,0.1,0,0.6,2.1,0,0,1,0,0,0.1,5.9,0.8,2.8,2.1,3.7,0,0,0,0,0,0,0,9,9,0.1,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mali",0.5,0,9,0,0,9,0,9,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0.4,0,0,0,0,13.1,0.3,0.8,0,0,0,0,0,0,1.8,0.2,0,0,0,0,0,0,1.4,0,0,0,0.1,0,0,0,0,9,9.2,3.5,10,0.5,0.1,0,0.2,9,0,0,0,9,9,0,9,0,0,0,0,0,0.1,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,0.1,0,9,9,0,0,0,0,9,0,0,0,9,0,9,0,9,0,0,0,0
"Senegal",2.4,0,0,0,9,0,9,0,0,0,0,0,0,2.6,0,0,0,9,0,0,0,0,0.5,0,1.1,2.0906,0.1094,6.1,1.1,1.5,0.2,0,0,0,0.2,0,0,2.2,9,0,0,0,0,0,0,0.2,1.7,1.1,0.4,0,0,0,1.1,0,0,0,0.2,0,0,0,0.2,0.2,1.5,0.1,0,0,0.2,0,0,0,0,0,0.2,0.3,3.5,0,0,0,0,0,0.7,0,9,0.1,0,0.1,0,9,0,9,3.3,0,0,0,0,1.3,0.2,0.1,0,0,0,1.3,5.7,0,1.4,0,0,0,0,0,0
"Benin",0.6,0,9,9,9,0,0,0,0,9,0,0,0,0.4,9,0,0,0,0,9,0,9,0.5,0,0.1,0.5702,0.0298,2.5,0,0,0,0,0,0,0,9,0,0.2,9,0,0,0,9,0,0,0,0.1,0,0.2,0,0,1.1,0,0,0.2,0.4,9.1,0,0,0,0,0.2,0,0,0,0,9,0,0,0,0,0,9,0,0.1,0,0,9,0,0,0.1,0,9,0,0,0,0,9,9,0,0,0,0,9,0,0,0.1,0.2,9,0,9,0,0.2,0,0,0,9,0,9,0,0
"Mauritania",0,0,0,0,0,0,9,0,0,0,0,0,9,9,0,0,0,0,0,0,0,9,0.2,0,0,0,0,22.6,0,0.1,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.1,0,9,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"Niger",0.4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,5.5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0.1,0,9.2,0,0.2,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ivory Coast",19.2,1.1,0,0,9,0,0,9,9,0,0,0,0,3.6,0,0,0,0,0,0,0,0,1,0,8.7,1.8055,0.0945,0.5,1,0,0.2,0,0,0,0.6,0,0,7.9,9,0,0,0,0,0,0,0.2,0.4,0.3,0.4,0,3.5,0,0.4,0,0,0,0,0.1,0.1,0,2.4,0,0,0,0,0,0,0,0.5,0,0,0,1.1,0,1.3,0.3,0,0,0.2,0,0.2,0,0,0,0,1.1,0,9,0,9,0,0,0,0,0,0.5,0.6,0.3,0,0,0,0,0.3,0,0.4,0,0,0,0,0.22,0
"Guinea",1,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1.6,0.095,0.005,0.8,1.8,0,4.4,0,0,0,0,1.16,0,1.2,0,1.6,0,0,0,0,0,0.1,0.6,3.5,0.1,9,10,0.2,9.1,0,0,0,0,9,9,0.1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,2.1,0,0,0,0,0,9,0,9,0,0,1.6,0,0,0,0,1.9,0,0,0,0,0.6,0.2,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0
"Burkina Faso",0.3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,9,9,0,9,0.1,0,0,0,0,11.5,0,0,0,0,9,9,0,9,9,0.1,0,0,0,0,0,9,0,0,0.1,0,0,9,0.5,0,0,9,9,0.1,9,0,0,9,5.4,9,0,0,0,9,0,0,0,0,0,9,0,9,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,9,9,0,0.1,0,9,0,0,0,0,0,0,9,0,9,0,0,0,0
"Liberia",16,0.4,9,0,0,0.4,9,0,0,0,0,9,0,1,0,0,0.1,0,9,0,0.1,0,0.9,0,2.4,9.9779,0.5221,30.9,0.7,0.1,0,0,0,0.6,0,0,0,8.6,0,0,0,0,0,0,0,0,2.9,4.5,0.7,0.1,0.1,0,0,9,9,0.1,9,0,0,0.3,0.1,9,0,0,0,9,0,0,9,0,0,0,9,0,0,0,0,9,9,0,9,0,0,0,0,0.3,9,9,0,0,0,0,9,0,0,3.4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"Sierra Leone",1.8,1.2,9,0,9,0,0,9,0,0,0,0,0,4.7,0,0,0,9,0,0,0.1,0,36.8,1.3,2.8,0.7602,0.0398,2.1,0.2,0.6,0.3,0,0.8,0.6,0.1,0.2,0.7,2,0,0.1,0,0.3,9,0,9,0.1,0.5,0.1,0.4,0,0,0,0,0,0,0,0.1,9,0.3,0,0.4,0,0,0.5,0,9,9,0,9,9,0,9,0.2,9,0,0,0,0,0,0,9,0.2,9,0,0,0,0,9,9,9,0.4,0,0,9,0,8.5,1.8,0.2,0.1,0,0,0,9,0,0,0,0,0,0,0.1,0.1
"Ghana",47.9,2.2,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0.2,0,0.3,0,1.1,0,85.8,1.5,16.6,0.2851,0.0149,5.1,2.9,4.1,0.7,0,3.8,1.9,5,0.9,4.1,9,0,2.1,1,0.1,0.2,0,2.4,0,2.4,5,1.4,0,0.2,0.2,0,0,0,2.4,0,5.4,0.1,0.4,0,6.9,0,0.3,9,9,0,0,0,0,0,0,0.6,0,2.7,0.2,0,0,0,0,0,0.2,0,0.1,0,1.9,0,9,0,0,2.2,0,0,0,0,26.5,4.9,0.1,0,0,0,0.1,0,0,9.1,0,0,0,0,5.72,1.05
"Togo",1.9,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0.5,0.7602,0.0398,2.7,0.3,0,0.7,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0,9,0.2,0.2,0,0,0,0,9,9,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0.6,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0
"Cameroon",2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.1,0,0,0,0,0,20.4,0,12.8,2.4707,0.1293,14.2,0.8,0.5,0.9,0,0.1,0.1,0,0.09,0.4,3.6,0,0,0,0,0,0,0,0,0,0.6,0.1,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0,0,0.4,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0
"Nigeria",20.7,1,0,0.02,0,0,0,0,0,0,0,0,0,0.4,9,0,0,9,0,9,0,0,19.7,0.9,9.9,5.4166,0.2834,14.2,12.3,2.5,0,0,5.4,0,1,0,5.9,2.9,9,0,1.1,0,0,0,0,0.7,1,15.7,0.8,7.2,0,0.1,0,0,0,0,0,0,0,0.5,0.3,0,0.1,0,0.2,0,0.7,0,0,0,0,0,0.2,0,1,0,0,0.1,0,0,0,0,0,0,0,2.6,0,9,0,0,0,0,0,0,0,75.5,16.3,0.3,0,0,0,0,0,0,9,0,0,0,0,0.28,0.1
"Gabon",3.2,0,0,0,0,0,9,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.7,0,1.4,0.3801,0.0199,22.6,0.3,0.3,0.3,0,0,0,0.7,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0.7,0,0,0,0,0,0,0,0,0,0,0,9,0,0.9,0.2,0,0,0,0,0,9,0,0,0,0,0.1,0,0,9,0,0,0,0,0,0,0,2.2,0,9,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0
"Central African Republic",0.7,0,0,9,0,0,0,9,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0.9,0,0,0.1,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"Chad",1,0,9,0,0,9,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0.8,0,0.4,0.6652,0.0348,0.2,0.1,0.2,0.2,0,0,9.1,0,0.1,0.1,0.3,0,0,0,0,9,9,9,0,0.1,0,0.2,0,9,0.2,9,0,0,0,0,0,0,9,0,0,0,0.7,0,0,0,0,0.7,0,0,0,0.1,9,0.1,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0.6,0.2,0,0,0,0,0,0,0,9,0,9,0,9,0,0
