"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"Panama",5.4099998,0,0.19,0,0,0,0,0,0,0.23,0,0.039999999,0,0,0.02,0,0,0,0,0,0,0.74000001,0,0.090000004,0.07,0,0,0,0.16,0,0.07,0,0.003147,0,0,0.13,0,0.000057000001,0.000015,0,0,0,0,0,0,0,0,0.0093259998,0,0,0,0,0,0,0,0,0,0,0.41999999,0,0.31999999,0,0,0,0
"Colombia",12.25,0.2,0.029999999,0,0,0,0,0,0,0.02,0.17,0,0.14,0.25999999,0,0.07,0,0,0,0,0,5.8000002,0,0.85000002,0.50999999,0,1.36,0.28,0.61000001,0,4.46,0,0.029999999,0,0.1,0.67000002,0,0,0,0,0,0,0,0,0,0,0.2,0.02,0.14,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
"Venezuela",10.45,0.02,0.0099999998,0.0044300002,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.0058499998,0.0099999998,0,3.3099999,0,1.09,1.25,0,1.54,0,0.61000001,0,2.8599999,0.000202,0.00066600001,0,0.0031389999,0.64999998,0,0,0,0,0,0,0,0,0,0,0,0.003396,0.20999999,0,0,0,0,0,0,0,0,0,0,0,0.090000004,0,0,0,0
"Ecuador",4.0300002,0.02,0.000037999998,0,0,0,0,0,0,0,0,0.0099999998,0,0,0.029999999,0,0,0,0.059999999,0.0062000002,0,0.85000002,0,0.059999999,0.11,0,0.0083440002,0,0.1,0,0.1,0.00026299999,0.001954,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.079999998,0.050000001,0,0,0,0,0,0,0,0,0,0,0.0071999999,0,0.07,0,0,0.00019999999,0
"Peru",13.71,0.67000002,0.029999999,0,0,0,0,0,0,0.0074999998,0,0,0,0.11,0,0.0099999998,0.0099999998,0.00076700002,0.41999999,0.97000003,0,4.6599998,0,0.28,0.31999999,0,0.63999999,0,0.23,0,1.73,0.090000004,0.12,0,0.079999998,0.86000001,0,0.000147,0.002812,0,0,0,0.003245,0.000379,0.000015,0,0.61000001,0.090000004,0.050000001,0,0,0,0,0,0,0,0,0,0.14,0,0.25999999,0,0,0.63,0
"Brazil",22.52,0.18000001,0.19,0,0.73000002,0,0,0,0,0,0,0.02,0,0,1.67,0,0.1,0.0013530001,0.07,5.5,0.44999999,14.32,0,2.3900001,2.9400001,0,3.78,1.16,0.86000001,1.6,6.7199998,0.23,0.27000001,0,0.2,2.99,0,0,0.0099999998,0,0,0,0,0,0,0.91000003,0.79000002,1.17,0.2,0,0,0.0099999998,0,0,0,0,0,0,0.059999999,0,0.28,0,0,0,0
"Bolivia",1.96,0,0.0023419999,0,0,0,0,0,0,0,0,0,0,0,0.81999999,0.1,0,0,0.5,1.0599999,0,1.49,0,0.029999999,0,0,0.0052200002,0,0.039999999,0,1,0.00062599999,0.003186,0,0,0.22,0,0.000001,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0.28,0.0018880001,0.001391,0,0.000002,0,0,0,0,0,0,0,0,0,0,0.000971,0,0,0.000111,0.41999999,0.0025239999,1.02,0,0.0099999998,0.090000004,0,0.0038330001,0.0037839999,0.00060299999,0,0.050000001,0.000037999998,0.000879,0,0,0.18000001,0,0.0000049999999,0,0,0,0,0,0,0,0.000008,0,0.00026900001,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.0000070000001
"Chile",5.9699998,0.18000001,0.2,0.0099999998,0.2,0,0,0,0,0,0,0,0.14,0.22,3.3199999,0.58999997,0.050000001,0.000017,0,0.58999997,0,2.1600001,0,0.47,0.40000001,0,0.792,0.19,0.54000002,0,2.48,0.0060089999,0.02,0,0.02,0.56999999,0.0000090000003,0.00024600001,0.000619,0,0,0,0,0.00051099999,0,0,0.52999997,0.27000001,0.050000001,0,0,0,0,0,0,0,0,0,0.029999999,0,0.14,0,0,0,0
"Argentina",27.700001,2.5599999,0.77999997,0.001768,2.51,0,0,0,0,0,0,0,0.0099999998,0.60000002,2.79,13.01,0.72000003,1.27,1,0,1.28,44.240002,0.050000001,2.79,7.48,0,11.5,2.9000001,8.4300003,0.059999999,21.75,0.61000001,1.11,0.15000001,1.71,22.01,0.0000060000002,0.40000001,0.2,0.0071900999,0,1.34,0.029999999,0.0099999998,0.18000001,0.75999999,2.3399999,1.62,0.22,0,0.002206,0.02,0,0,0,0,0,0,0.11,0,3.01,0,0,0.029999999,0.00093689997
"Uruguay",2.4000001,0.0099999998,0.18000001,0.000048000002,0.41,0,0,0,0,0,0,0,0,0,0,2.0699999,0,0.07,0,4.0900002,0,4.6300001,0,0.44,0.95999998,0,0.86000001,0,0.99000001,0.0099999998,2.4400001,0.00059000001,0.0099999998,0,0.07,1,0,0.00086500001,0,0,0,1.28,0,0,0,0,0,0.029999999,0.001579,0,0,0,0,0,0,0,0,0,0.0017960001,0,0.19,0,0,0,0
"United Kingdom",269.98001,138.59,18.18,4.8400002,3.8499999,0.51999998,1.45,0.0099999998,0.28,3.9400001,0.059999999,0.76999998,0.86000001,0.62,1.37,12.69,14.76,0.039999999,10.97,167.06,7.23,0,89.190002,74.440002,54.200001,0,61.400002,16.459999,41.16,8.2299995,100.85,20.92,3.4300001,4.04,9.9399996,35.330002,0.0033410001,1.0599999,8.1999998,0.61000001,13.87,57.630001,4.4099998,9.3999996,6.5900002,39.790001,45.279999,27.440001,138.25,0,0.47999999,34.639999,27.719999,5.1399999,1.02,0,0,0,18.18,0,21.26,0,0.34999999,140.3,113.89
"Ireland",4.52,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3499999,0,111.93,0,1.52,2.3699999,0,0.63,0.19,0,0,4.5599999,0.46000001,0,0,0.91000003,0,0,0,0.15000001,0,0,0,0,0.28,0,0,1.1,0.36000001,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2600002,0.0021861
"Netherlands",34.540001,9.4499998,0.63999999,0.14,1.09,2.05,1.03,0.5,0.039999999,0.079999998,0,2.4000001,0.27000001,0.079999998,0.82999998,4.1999998,1.33,0.13,0.80000001,39.77,0.75999999,47.400002,0.090000004,0,54.259998,0,22.16,5.2199998,5.7600002,0.67000002,161.28999,6.3000002,2.02,0.62,6.48,6.27,0.000056000001,0.19,1.91,1.01,7.6500001,14.61,0.11,0.55000001,0.44999999,3.0899999,6.46,3.28,3.04,0.0099999998,0.003488,3.0699999,0.1,1.03,0.17,0,0,0.44999999,5.02,0,3.5799999,0,0.22,1.8200001,0.16
"Belgium",39.220001,5.1399999,0.34999999,0.02,0.92000002,0.23,0.003,0,0,0.0099999998,0,0.46000001,0.02,0.27000001,0.40000001,4.3899999,0,0.0061452999,0.86000001,28.74,1.63,39.279999,0.19,64.690002,0,0,73.889999,5.3299999,4.3299999,1.3099999,76.389999,5.5700002,0.91000003,0.89999998,5.3800001,5.0500002,0,1.26,0.68000001,2.1500001,5.25,10.17,0.5,1.58,0.34,6.2800002,5.1399999,3.3599999,7.6999998,0,0,3.1099999,1.78,1.33,0,0,0,0,0.76999998,0,1,0,0.079999998,6.9200001,0.050000001
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",113.88,21.280001,2.03,2.1099999,2.1099999,0.56999999,0.090000004,0.56,0.62,0.02,0,3.29,2.53,1.26,0.95999998,20.99,0.059999999,0.36000001,1.76,41.919998,3.73,96.529999,0.27000001,40.990002,96.160004,0,0,23.84,28.17,4,141.91,9.25,4.5900002,3.45,9.8199997,24.74,0.029999999,1.34,2.8399999,0.63999999,17.92,20.41,0.63999999,1.36,0.43000001,5.5999999,12,7.6199999,2.8199999,0,0,8.1300001,7.1199999,3.7,0.44999999,0,0,0.006755,8.2399998,0,6.1999998,0,0.039999999,18.450001,0.15000001
"Switzerland",22.299999,9.3100004,0.07,0,0,0,0,0,0,0,0,0,0,0,0,2.9000001,0,0.029999999,0.00077589997,13.57,0,15.13,0.38,10.28,13.77,0,52.759998,0,6.5900002,0.029999999,96.790001,4.0700002,5.4299998,3.29,10.86,27.74,0,1.9299999,0.69,1.58,4.2600002,2.71,0,0.059999999,0.15000001,0.090000004,1.9299999,0.46000001,1.35,0,0,0,0,0.090000004,0,0,0,0,1.16,0,1.35,0,0.039999999,1.74,0
"Spain",12.95,0.98000002,0.74000001,0.050000001,0.89999998,0.02,0.02,0.1,0.029999999,0.0099999998,0,0.050000001,0.47,0.54000002,0.050000001,0.89999998,0.0036496001,0.0099999998,1.01,4.7600002,0.11,7.9699998,0.0080399001,1.86,1.72,0,6.04,1.38,0,0.67000002,8.1099997,0.44,0.14,0,0.33000001,2.6600001,0,0.57999998,0.0099999998,0,1.7,2.23,0.00089299999,0.02,0.1,0.94999999,2.1400001,0.97000003,0.63999999,0,0,0,0,0.89999998,0,0,0,0,0.23,0,0.090000004,0,0,0.75999999,0
"Portugal",6.1100001,0.090000004,0.0099999998,0.0091629997,0,0,0,0,0,0,0,0,0,0,0,0.82999998,0,0.00038400001,0,1.02,0.02,12.83,0,1.98,4.25,0,3.6400001,0.75999999,1.8200001,0,7.5799999,0.17,0.090000004,0,0.23,1.3099999,0,0.0080549996,0.000688,0,0,0,0.0055729998,0.0064280001,0,0,0.38,1.63,0.090000004,0,0.00081599999,0.029999999,0,0,0,0,0,0,0.090000004,0,0.029999999,0,0,0,0
"Germany",140.53999,15.41,0.64999998,0.47,5.6500001,7.3499999,1.85,1.83,0.41,2.49,0.029999999,2.73,1.9400001,0.51999998,2.47,19.34,0.12,0.13,5.6599998,45.490002,4.0799999,61.380001,0.2,64.849998,34.450001,0,45.09,21.860001,23.48,2.4300001,0,13.98,15.54,8.6400003,33.189999,43.049999,0.0099999998,7,13.99,6.3200002,17.67,64.330002,3.1600001,4.8699999,6.3899999,6.2199998,22.58,12.27,28.959999,0.16,0.18000001,11.89,4.3400002,9.5299997,0,0,0,0,42.049999,0,4.4499998,0,1.85,21.93,3.9100001
"Poland",11.62,0.050000001,0,0,0.090000004,0,0,0,0,0,0,0.25999999,0.07,0.02,0.11,1.5599999,0.0036899999,0.0092810001,0.079999998,2.3699999,0.029999999,8.3599997,0.0099999998,3.53,3.1800001,0,6.6399999,4.6300001,0.41,0.15000001,19.35,0,4.21,0.57999998,5.1399999,3.6400001,0.000112,0.95999998,0.85000002,1.26,0.88,2.1500001,0.13,0.23,0.0099999998,0.090000004,1.78,0.58999997,1.63,0.0050320001,0.0060379999,0.18000001,0.050000001,0.14,0,0,0,0,0.090000004,0,0.23,0,0.07,1.84,0.039999999
"Austria",7.8099999,1.53,0.0044669998,0.001815,0.12,0.20999999,0.001815,0.029999999,0.0099999998,0.050000001,0.000558,0.029999999,0.02,0.0099999998,0.02,2.0899999,0.00069800002,0.000558,0.059999999,1.95,0.059999999,4.8800001,0.0020940001,2.0899999,1.25,0,4.46,6.8400002,0.63999999,0.31,38.669998,14.79,0,18.98,29.309999,9.4899998,0.0099999998,15.07,3.6199999,3.49,11.3,2.3699999,0.0099999998,0.0097719999,0.0099999998,0.059999999,0.41,0.52999997,0.60000002,0,0.00097699999,0.38999999,0.34,1.95,0.001815,0.0099999998,0,0,0.41,0,0.2,0,0.001256,1.53,0.079999998
"Hungary",2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2.6600001,0,0.91000003,0.41,0,2.3299999,2.0899999,0,0,12.89,1.14,8.8699999,0,5.98,3.22,0,2.99,0.19,0.41,7.1300001,0.40000001,0.001235,0.0060999999,0,0,0.12,0.12,0.090000004,0,0.000122,0,0,0.15000001,0,0,0,0,0,0,0.059999999,0,0,0,0
"Czechoslovakia",27.360001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0599999,0,0,0.38999999,6.1700001,0,10.03,0,5.04,3.5799999,0,9.5,6.7600002,1.83,0,55.16,11.12,13.4,3.5799999,0,7.48,0,11.51,0.63999999,0.74000001,9.8800001,7.1500001,0,0.07,0.02,0.059999999,1.71,0.79000002,1.28,0,0,0,0.029999999,0,0,0,0,0,1.28,0,0.34999999,0,0,1.1799999,0
"Italy",57.060001,4.8200002,0.0099999998,0.23,0.47,0,0.0099999998,0.63999999,0.029999999,0.0099999998,0,0.79000002,0.1,0.41,0.25999999,8.1099997,0.079999998,0.0099999998,0.95999998,24.75,2.8399999,37.950001,0,6.71,8.9700003,0,24.690001,15.92,6.0599999,0.56999999,56.91,4.3099999,9.5200005,4,6.1300001,0,0.54000002,12.39,5.6300001,3.04,11.76,17.1,0,0.050000001,0.07,0.75999999,3.5,0,1.12,0,0,4.27,3.1099999,7.77,0,0,0,0,0,0,0,0,0.079999998,9.1599998,0.02
"Albania",0.41999999,0.001795,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000070000001,0,0.40000001,0,0.005566,0,0,0.003305,0,0,0,0.039999999,0.000401,0.02,0.009114,0.34,1.73,0,0.0044530001,0.001355,0.000634,0.0000030000001,0,0,0,0,0,0,0,0,0,0,0,0,0.007404,0,0,0,0,0.000043,0,0,0,0,0.000077999997,0
"Yugoslavia",2.0799999,0.00397,0.000019999999,0,0.0099999998,0,0.000459,0.00025700001,0,0.00036500001,0,0.0099999998,0.000042,0.001688,0.000034000001,1.23,0,0.0019749999,0.029999999,0.44999999,0.0099999998,3.49,0,0.58999997,0.68000001,0,2.1099999,1.34,0.1,0.029999999,8.3000002,0.89999998,6.3000002,2.3299999,7.3299999,5.9400001,0.0099999998,0,0.41,0.090000004,1.41,0.029999999,0.00035700001,0.0047960002,0.000416,0.0095570004,0.2,0.059999999,0.02,0.001668,0.000011,0.0099999998,0.0099999998,0.079999998,0.000087,0,0,0,0.0037450001,0,0.02,0,0.000024999999,0.001327,0.000077999997
"Greece",9.0600004,0.56,0.000291,0,0.0099999998,0,0,0,0,0,0,0.0034360001,0,0,0,0.1,0,0,0.00119,0.27000001,0.0023630001,27.68,0.00069100002,1.76,2.8199999,0,3.27,0.57999998,0.029999999,0.079999998,6.3299999,0.30000001,1.4299999,0.63999999,2.22,3.75,0.090000004,2.95,0,0.079999998,5.8899999,6.5999999,0.003519,0.00030000001,0,0.07,1.17,0.13,0.1,0,0.33000001,0.0068339999,0.0072880001,2.2,0,0,0,0,0.001148,0,0.14,0,0,0.11,0.0064309998
"Bulgaria",0.46000001,0,0.001498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050000001,0,2.5699999,0,0.52999997,0.70999998,0,1.63,1.22,0,0,6.4699998,0.75,1.49,0.31,2.0899999,3.8900001,0.000022,0.090000004,0.23,0,1.4,0.079999998,0.00014400001,0.002532,0.0099999998,0,0,0.0099999998,0.0099999998,0,0,0,0,0.52999997,0,0,0,0,0.0099999998,0,0.039999999,0,0,0,0
"Romania",2.4300001,0,0.00081400003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6700001,0,1.55,1.52,0,10.03,2.04,0.14,0,16.9,3.28,3.48,1.51,8.6999998,7.8499999,0.00057899999,0.28999999,0.83999997,0.079999998,0,0.60000002,0.02,0.18000001,0.059999999,0,0,0.22,0.079999998,0,0,0,0,0.62,0,0,0,0,0,0,0.07,0,0,0,0
"Russia",14.79,0.98000002,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83999997,0.38,42.889999,0,0.75,0.28,0,0.07,2.1300001,0,0,35.07,2.6099999,1.86,0.1,4.8000002,12.64,0,0.001477,0.002047,0,0,0,0.050000001,2.7,0.56,1.35,10.08,1.08,1.3,0,0,0,23.290001,2.7,0,0,0,5.5,8.4899998,0,0.13,0,0,2.75,0
"Estonia",0.56,0.00063899998,0.000394,0,0.000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011080001,0,5.04,0,0.07,0.22,0,0.0079819998,0,0,0.000024000001,0.60000002,0.029999999,0.0067039998,0.001293,0,0,0,0,0.000163,0.000048999998,0,0.56,0,0.40000001,0.0099999998,0.0099999998,0.079999998,0.0039730002,0.12,0,0,0.001226,0,0.0057709999,0,0,0,0,0.000329,0,0,0,0,0.00038400001,0
"Latvia",0.15000001,0.00033800001,0.000149,0,0.0000030000001,0,0,0,0,0,0,0,0,0,0,0.00017699999,0,0,0,0.0032569999,0,7.6300001,0.0013830001,0.079999998,0.61000001,0,0.02,0.23,0,0.000283,1.1900001,0.11,0.0099999998,0.00098300003,0.25999999,0.17,0,0.0000030000001,0.000065,0.000096999996,0.000004,1.64,0.16,0,0.34999999,0.0018889999,0.050000001,0.0099999998,0.2,0,0,0.000589,0,0.001788,0,0,0,0,0.029999999,0,0.0099999998,0,0,0,0.00049300003
"Lithuania",0.16,0.000022,0,0,0.000075999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059999999,0,4.9099998,0,0.12,0.75999999,0,0.0099999998,0.029999999,0,0.000055,1.4400001,0.02,0.0099999998,0.001284,1.26,0.38999999,0,0,0.000241,0.000021,0.000087,1.02,0.20999999,0.77999997,0,0.001777,0.079999998,0.002963,0.20999999,0,0,0.001717,0,0.0052,0,0,0,0,0.0099999998,0,0.0099999998,0,0,0,0
"Finland",4.1900001,0.31999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0.70999998,0,9.9899998,0,2.4000001,1.49,0,1.15,0.28999999,0.44999999,0,15.58,1.5,0.13,0,0.60000002,1.4299999,0,0.002352,0.02,0,0,2.77,0.56999999,0.090000004,0.0020069999,0,5.3699999,0.95999998,1.8,0,0.0020630001,0,0,0,0,0,0,0,0.029999999,0,0.039999999,0,0,0.07,0
"Sweden",23.08,2.03,0.47999999,0,0,0,0,0.34,0,0,0,0.079999998,0,0.20999999,0.16,4.8000002,0,0,0.73000002,7.0100002,0,35.830002,0,8.6800003,4.8000002,0,5.54,2.4000001,2.77,0.25,62.610001,7.75,1.11,0.44999999,2.95,3.5,0,0.050000001,1.24,0,0,4.0599999,0.34999999,0.20999999,0.11,1.66,0,7.0100002,13.48,0,0,0.36000001,0.28999999,0.51999998,0,0,0,0,0.18000001,0,0.73000002,0,0,0.92000002,0
"Norway",10.48,1.87,0.0099999998,0,0.029999999,0.17,0.00053999998,0.52999997,0.009722,0,0.0027010001,0.1,0.029999999,0.0023409999,0.41999999,0.56999999,0.0057609999,0.0021599999,0.0078739999,4.1999998,0.02,27.820225,0.15000001,5.25,4.0799999,0,4.4000001,1.12,2.73,0.87,27.58202,3.0899999,0.37,0.12,1.64,1.5599999,0,0.0099999998,0.029999999,0.0079220003,0.02,4.5799999,0.079999998,0.050000001,0.00162,0.56,10.5,0,6.1100001,0,0,0.050000001,0.00018,0.090000004,0,0,0,0,0.31999999,0,0.20999999,0,0.0055809999,0.14,0.0019799999
"Denmark",16.559999,2.25,0.0099999998,0,0.12,0.029999999,0,0,0,0,0,0.059999999,0.76999998,0,0.02,1.88,0,0,0.43000001,8.79,0,48.009998,0.059999999,10.35,5.0799999,0,5.46,2.0699999,1.2,0.38,55.73,5.27,0.090000004,0.27000001,1.6900001,1.88,0,0,0,0,2.25,8.6599998,0.43000001,0.22,0.1,2.25,11.86,4.5100002,0,0,0,0,0,0.039999999,0,0,0,0,5.8299999,0,0.56,0,0.22,0.11,0.0099999998
"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0081270002,0,0,0,0,0,0,0.0099999998,0.000088000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",0.029999999,0.001156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0.0068419999,0,0,0,0,0,0.000002,0.0099999998,0.000013,0.001622,0.000058000001,0,0,0,0,0.000065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000097999997,0,0,0,0,0,0.0000090000003
"South Africa",19.99,5.27,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0.0099999998,0,0.19,0,71.220001,0.039999999,2.6099999,2.9300001,0,2.78,1.27,0,0.029999999,11.73,0.33000001,0.47,0,1.72,2.23,0,0.050000001,0.02,0,0,0,0.059999999,0.090000004,0.02,0,2.4400001,0.79000002,0.16,0,0.0087780003,0,0,0,0,0,0,0,0.20999999,0,5.6900001,0,0,0.82999998,0.0037477
"Iran",2.9200001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6199999,0,0.090000004,1.15,0,1.03,0,0,0,2.98,0.0099999998,0.0097519998,0,0.56,1.0700001,0,0,0.000021,0,0,11.2,0,0,0,0,1.0599999,0.0089889998,0,0,0,0,0,0.0053900001,0.17,0,0,0.0053900001,0.050000001,0,2.8099999,0,0,0,0
"Turkey",1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61000001,0,0,0,0,0,5.02,0,0.80000001,2.9300001,0,3.3900001,0.41999999,0.0080399001,0,9.4399996,0.050000001,0.80000001,0.18000001,1.76,5.2600002,0.00060500001,0.039999999,0.14,0.28,0.41999999,2.79,0.0044729998,0.000024000001,0.00019599999,0,0.56,0.23,0.0099999998,0,0,0,0.14,0,0,0,0,0,0,0,1.87,0,0,0,0
"Iraq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8600001,0,0.16,0,0,0.0099999998,0,0,0,0,0,0.006782,0,0,0,0,0.0000030000001,0.0000049999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6300001,0,0,0,0,0,0,0,0,0,0,0,0
"Saudi Arabia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00080099999,0,0,0,0,0,0.0000070000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
