"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"Netherlands",59.330002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.2,0,73.440002,8.3199997,0.75,0,0,54.849998,0,0,0,0.61000001,0,15.34,4.7199998,0.07,0,0,1.86,0,0,0.0099999998,0
"Belgium",39.43,0,0,0,0,0,0,0,5,6.7399998,0,0,2.75,15.39,3.23,34.869999,34.119999,0,57.200001,0.57999998,2.6600001,0,32.040001,0,3.9200001,0.0036281999,0.99000001,11.83,14.08,8.1300001,0.23999999,0,0,0.16,0,0,0.039999999,0
"France",102.07,0,2.46,0,0,0,0,0,0,0,0,0,0.58999997,33.830002,4.5100002,101.3,3.5799999,74.160004,0,19.58,52.939999,0,64.410004,0,25.23,0.050000001,2.51,2.0999999,31.73,5.25,0.33000001,0,0,16.469999,0,0,17.219999,0
"Switzerland",0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9699998,0.56,3.76,43.389999,0,0,0,40.759998,12.91,32.900002,0,0,0.11,9.3999996,0,0,0,0,0,0,0,0.15000001,0
"Spain",11.52,0,0.27000001,0,0,0,0,0,0,0,0,0,0,0,0.43000001,25.1,0,5.4099998,25.799999,0,0,4.46,9.5100002,0,2.03,0,0,0,2.72,1.04,0,0,0,1.84,0,0,0,0
"Portugal",4.0900002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5299997,0,0,0,0,5.0100002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",105.52,0,2.1800001,0,0,1.38,0,0,1.2,0,0,0,2.74,6.5300002,2.05,145.69,49.75,48.849998,61.540001,33.220001,9.5500002,0,0,135,31.57,0.22,0.47,6.3499999,89.949997,17.690001,17.870001,0,0,1.37,0,0,0.88999999,0
"Austria-Hungary",5.0900002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1300001,0,0,88.349998,0,20.18,7.8200002,1.08,6.02,128.8,0,0,0,0,6.5500002,0,0,0.31999999,0
"Italy",14.53,0,0,0,0,0,0,0,0,0,0,0,0.0020148,3.79,0.37,45.150002,1.87,5.02,37.720001,9.5900002,1.6900001,0,26.57,23.48,0,0.0040102,0.44999999,7.4000001,22.92,0,0,0,0,3.4000001,0,0,1.1900001,0
"Yugoslavia",0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70999998,0,0.090000004,0.090000004,0.090000004,0,0,0.73000002,4.1900001,0.13,0,0.0099999998,0.17,0.13,0,0,0,0,0.33000001,0,0,0,0
"Greece",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0.079999998,0.40000001,1.8099999,0,0,0,1.45,2.7,0.75999999,0,0,0,3.1300001,0,0,0,0,3.8299999,0,0,0,0
"Romania",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.049999,0,3.9200001,5.9000001,1.39,0,0,21.67,17.059999,1.17,0.1,0,0,1.42,0,0,0,0,3.1500001,0,0,0,0
"Russia",16.469999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.580002,1.74,2.3900001,8.5100002,2.54,0.13,0,46.790001,6.9899998,4.2399998,0,0.47,0.67000002,0,3.23,0.74000001,0,5.6799998,4.4499998,12.83,0,0.55000001,0
"Sweden",6.5700002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.25,2.49,3.05,2.5899999,0,0.52999997,0,24.709999,0,0,0,0,0,3.01,0,2.73,0,0,0,0,0,0,0
"Denmark",7.4699998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.780001,2.0799999,1.96,2.72,0,0,0,27.120001,0,0,0,0,0,4.9200001,14,0,0,0,2.95,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,0,0,0,0.079999998,0,0,0,0
"Turkey",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.18,0.54000002,2.8900001,12.84,0,0.000030800002,0,1.21,22.1,2.51,0.30000001,1.61,2.5,7.3200002,0.34,0.0013704,0,2.4200001,0,0,0,0.14,0
"China",6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.889999,0,0,0,0,0,0,0,0,0,0,0,0,0.57999998,0,0,0,0,0,0,0,7.1700001,0
"Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0
"Japan",3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.790001,0.0099999998,0.89999998,3.4400001,0.67000002,0,0,6.0599999,0.0097725,0.059999999,0,0,0,0.79000002,0,0,0,0,0,11.9,2.9000001,0,0
"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
