"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Guinea","Liberia","Ghana","Ethiopia","South Africa","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"Israel",126.4,4.0999999,1.8,0,0,1.1,0,0,0,0,0,0,0,1.5,0,0.30000001,1.7,0,0,0,0.89999998,0.30000001,48.900002,0.1,20.9,8.807622,0.39237809,22.700001,17.700001,0.1,3.0999999,49.799999,0,1.4,2.4000001,0.40000001,0.2,11.6,0,4.3000002,1.1,1.5,2.4000001,0.30000001,10.7,5.4000001,2.5,2.5,0.5,0,0,0.89999998,1.5,3.4000001,0,0,0,0,0.30000001,8.3000002,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8000002,0.1,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0.5,0.1
"Saudi Arabia",52,3.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,9.1999998,2.9677861,0.1322144,3.0999999,3.5,0.2,0.1,16,0,0,0,0,0,6.8000002,0,0.30000001,0.30000001,0,0,0,0,1.3,0.30000001,0,0,0,0,0,3.7,1,0,0,0,4.6999998,0,0,1.7,7.5,5.4000001,1,0,0,1.6,0,0,0,0,0,0,11.8,8,0.80000001,0,0,0,11,0,0,0,0,0,0,0,1.9,0
"Yemen Arab Republic",1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,3.5999999,0,0,0.1,1.9,0,0.1,5.1999998,0,0.89999998,0.40000001,0.1,1.7,0.60000002,0,0.30000001,0,0,0,0,0,0.2,0.1,0.69999999,0,0,0,0,5.6999998,0.80000001,0,0,0,1.5,13.9,0,0.1,0.2,0,0,0,5.5,0,0,0.1,0,0,0,0,0.2,11.6,0.60000002,1,1.4,0,2.2,0,0,0,0,0,0,0.1,7.6999998,0
"Afghanistan",13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0.40000001,0.095734999,0.0042650001,0.60000002,0.5,0,0,2.3,0,0,0,0,3.5,0.5,0,0,0,0,0,37.400002,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4000001,8,2.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",0,1.7,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2.8,69.400002,0,11.2,32.071232,1.428768,39.799999,0,1.1,0,129,0,0,14.4,0,0,36.400002,0,1.4,0,0,29.459999,0,16.5,14.4,7.5999999,3.5,0,0,0,0,0,0,6.1999998,0,0,3,0,0,2.2,33.799999,0,0,0,0,0.2,0,0,0,0,0,0,3.7,16.4,0.69999999,0.40000001,16.299999,0,0,1.5,0,0,0,0,0,0,30.1,0
"Mongolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taiwan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Korea",142,6.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,7.9000001,0,2.8,1.818965,0.081034601,1,2.9000001,0,0.1,32.799999,0,0,1.7,0,0,11.3,0,0,0,0,0,0,0,2.4000001,0.40000001,1.3,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0.5,0,0,0,0,0.80000001,0,0,0,0,0,8.3999996,0.2,8.1000004,0
"Japan",1116.1,153.60001,35.099998,0,5.6999998,123.1,4.1999998,2.3,20.1,19.1,1.4,6.8000002,1.8,2.5999999,1.9,20.299999,36.400002,2.0999999,0.80000001,9,32.200001,0.30000001,103.5,0.40000001,27.4,13.97731,0.62268698,24.9,23.799999,8.6000004,2.3,103.6,0.5,0.30000001,4.3000002,0,2.7,10.4,0,0.69999999,4.3000002,0.69999999,0,39.5,2.5,10.2,1.1,3.9000001,0.40000001,0,2.3,2.2,2.2,37.200001,4.4000001,2.2,0,6.0999999,29.9,2.7,53.099998,16.6,1.8,0,1.7,127,0.80000001,0.1,18.9,0,0,0,12.1,0,92.300003,32.400002,9.6000004,10.3,0,36.900002,3.4000001,0,0,2.5,0,134.39999,56.599998,292,23.1
