"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Libya","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Philippines","Indonesia","Australia","New Zealand"
"India",188.60001,13.9,2.8,0,0.40000001,0.30000001,0,0,0,0,0,0.1,0,0.60000002,0,1.7,1.4,0.2,0,4.1999998,0.1,0.1,339.29999,0.30000001,28.6,18.875669,0.82433403,36.400002,23.1,1.3,0.69999999,113.3,0.69999999,4.3000002,4.9000001,0.60000002,4.3000002,35,0,0.60000002,0.2,0.1,0.69999999,6.4000001,5,14.7,6.4000001,7.5,0,0,0.1,0.69999999,0,42.400002,0,4.4000001,38.700001,0.30000001,0.5,0.2,0,31.299999,5.9000001,0,5.4000001,0,0,0,0,67.599998,0,52.700001,47,18.6,0,1.4,0,0,0,0,0.40000001,3.3,38.799999,5
"Pakistan",31.9,2.3,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,70.5,0,3.8,6.7070889,0.29291049,7.4000001,2.3,0.2,0.1,25.5,0,0.1,0.30000001,0,0.40000001,3,0,0.1,0,0,0,0.1,0.80000001,3,0.69999999,0.80000001,0,0,0,0.1,0,5.5999999,0,0.5,0.40000001,0,0.2,0,0,4.0999999,0.40000001,0,0.2,0,0,0,0,40.799999,9.8999996,0,0.5,2.9000001,0,0,0,0,0,0,0,0,2.5,0.1
"Myanmar",5.1999998,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,46,0.1,7.0999999,2.203758,0.096242003,1.3,1.6,0,0.1,10.6,0,0,1.2,0.1,1.5,1.3,0,0,0,0,0,0.1,0.30000001,0.69999999,0.80000001,1.7,0,0,0,0.1,0,2,0,0.1,0.69999999,0,0,0,0.1,0,0,0,2.4000001,0,0,0,0,38.599998,31.799999,0.80000001,0,0.30000001,0,0.40000001,0,0,0,0,0,2.5999999,4.9000001,0.30000001
"Sri Lanka",9.6999998,3.3,8.3000002,0,1.3,0,0,0,0,0,0,0,0,0,0,0.60000002,0.69999999,0,0,0,0.69999999,0,64.800003,0.2,5.3000002,5.6531181,0.2468818,12.1,2,0.30000001,0.1,5.4000001,0,0.80000001,0.40000001,0.1,0.60000002,6,0,0.1,0,0,0,0.1,1.4,1.1,0.80000001,0.40000001,0,0,0.2,0.89999998,0,9.1999998,0,0.60000002,2.5,0.60000002,0.30000001,0,0.1,3.5,1.6,0,16.799999,0,0,0,0,20.6,50.799999,4.5,24.4,0,0,2.7,0,0,0,0,0,0.40000001,18.299999,0.2
"Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thailand",73,2.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,0.1,17.200001,5.6531181,0.2468818,5.3000002,4.4000001,0,0.2,20,0,0,1.1,0,0,3.4000001,0,0,0,0,0,0,0.40000001,2.3,0.89999998,2,0,0,0,0.30000001,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,4.473,0,0,63,7.0999999,0,0.1,0.2,0,0,0,0.69999999,0,0,0.5,7.8000002,3.2,0
"Cambodia",2.5,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0.30000001,0.57489341,0.0251066,12.2,0.1,0,0,0.69999999,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5999999,0.89999998,0,0,0,0,0.1,0,0,0,9.6000004,0,1.5,0.1,0
"Laos",1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0.1,0,0,5,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,6.4000001,0.1,0,0,1.8,0,0.5,0.1,0
"Vietnam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Republic of Vietnam",31.700001,0.1,2.4000001,0.1,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0.2,0,0,0,4.3000002,0,2.7,0,0,132.89999,1.3,0.1,0,4.5,0,0,0.30000001,0,0.30000001,1.3,0,0.1,0.1,0,0,0,0.1,0.69999999,0.30000001,1.6,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,9.1999998,0,0,0,0,35.099998,1.9,0.1,0,0,0,0,5.0999999,0.30000001,0,0,0.2,10.4,0.69999999,0
"Philippines",391.82001,19.799999,0,0,0.11,0.11,0,0,0,0,0,0.22,0.1,0,0.33000001,0,0.76999998,0,0,0,1.54,0.11,14.08,0.1,9.8999996,5.9022379,0.2577613,5.0599999,2.3099999,0.76999998,0.55000001,12.54,0,0,0.22,0,0,1.3200001,0,0,0,0,0,0,0.1,1.21,0.22,0.33000001,0,0,0,1.65,0,1.3200001,0,0,0.22,0,0,0,0,11.88,0,0,1.21,0,0.20299999,0,0,47.740002,4.1799998,1.1,0.88,1.21,0,10.45,0,0,0,0,0,20.790001,5.3899999,0.22
"Indonesia",95.599998,0.80000001,1.4,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,34.799999,0,70.900002,18.77985,0.82014948,12.4,5.5,0.1,0.2,61.599998,0,2.9000001,5.6999998,8.1999998,16.9,11,0,0.60000002,0,0,0,0.2,2.0999999,6.6999998,4,3,0,0,0,1.1,0,0.1,0,44,1.7,0,0,0,0,0,0,0,10.1,0,0.0040000002,0,0,86.599998,28.6,0,15.2,0.1,0,9.1000004,0,0,0,0,0.1,0,12.5,0
"Australia",253.55,63.029999,0,0,0,2.0899999,0,0,0,0,0,0,0.11,4.0700002,0,1.76,3.6300001,0,0,2.53,0.76999998,0.44,940.28003,0.55000001,33.880001,29.195,1.2749979,40.59,26.84,3.74,1.98,81.949997,1.65,0.44,10.89,0.76999998,5.9400001,30.139999,0,0.11,0.44,0,0,2.3099999,8.8000002,33.880001,14.96,3.8499999,0,0,0.22,10.56,0,38.939999,0.44,0.55000001,0.44,0,0,0,0.44,13.31,5.5,0,4.9499998,0,0.102,0,0,60.830002,66.330002,4.9499998,0.11,35.75,0,0.22,0,0,0,0,0.33000001,52.029999,0,20.459999
"New Zealand",65.669998,25.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.22,0,0,0.33000001,0.11,0,424.48999,0.2,7.48,6.9562101,0.30379009,5.9400001,4.8400002,0.44,0.88,21.120001,0.22,0,1.76,0,0.88,3.6300001,0,0,0,0,0,0.11,0.66000003,6.9299998,2.4200001,1.3200001,0,0,0.11,3.0799999,0,2.6400001,0.11,0.44,0,0,0,0,0,1.54,3.0799999,0,0.88,0,0,0,0,7.8099999,10.01,0.11,0,7.6999998,0,0.11,0,0,0,0,0.11,14.3,93.830002,0
