"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0.28999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",2.52,0,0,0,0,0,0,0,3.52,0.54000002,0,0,0,0.55000001,0,21.23,0,0,4.98,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",7.6599998,0,0,0,0,0,0,0,0,1.91,0,1.36,0.02,0,4.21,34.07,0,8.5699997,17.76,0,3.02,0,10.29,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",1.62,0,0,0,0,0,0,0,0,2.6900001,0,0,0,0.77999997,0,9.7799997,0,1.63,4.6500001,0,2.26,0,3.1199999,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",385.70001,0.38,2.2,0,0,1.8,1.3,0.63999999,9.4799995,25.17,0.68000001,0,14.93,12.85,2.21,0,126.06,75.599998,187.88,20.07,53.43,14.92,129.22,10.31,16.52,0.0099999998,9.1300001,17.25,127.24,39.580002,34.139999,2.45,0.49000001,20.51,31.219999,0,5,1.42
"Netherlands",24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.71001,0,62.990002,7.0799999,0.81999999,0,0,114.05,0,0,0,0.41,0,50.529999,0,0.25999999,0,0,1.6,0,0,0.090000004,0
"Belgium",22.65,0,0,0,0,0,0,0,6.0799999,4.6300001,0,0,1.59,10.36,2.8800001,34.509998,40.91,0,54.639999,2.0899999,2.0699999,0.38999999,31.940001,0,3.5599999,0,1.75,17.18,28.32,9.1099997,0.20999999,0,0,0.02,0,0,0.02,0
"France",47.330002,0,2.76,0,0,0,0,0,0,0,0,0,3.46,36.07,4.6799998,100.95,4.4000001,79.959999,0,27.219999,72.139999,5.5100002,63.549999,0,34.540001,0.28999999,3.0799999,0,47.330002,8.04,0.41,0,0,18.559999,0,0,13.42,0
"Switzerland",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3999996,1.54,5.3400002,38.869999,0,0,0,48.639999,18.389999,22.200001,0.0080514001,0,0,4.8000002,0,0,0,0,0,0,0,0.34999999,0
"Spain",14.63,0,0.38,0,0,0,0,0,0,0,0,0,0,2.5599999,0.23,23.41,0,5.3099999,40.73,0,0,1.04,11.11,0,3.29,0,0,0,4.54,4.8000002,0,0,0,2.55,0,0,0,0
"Portugal",4.7399998,0,0,0,0,0,0,0,0,2.27,0,0,0,0,0,13.43,0,1.53,5.27,0,2.7,0,4.9899998,0,2.1500001,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",66.559998,0,2.0999999,0,0,0,0,0,0,0,0,0,3.8199999,10.29,1.27,117.32,58.970001,64.040001,51.02,34.919998,5.8600001,0.93000001,0,0,26.35,0.20999999,0.58999997,0,107.52,11.75,5.3800001,0,0,0.059999999,0,0,1.59,0
"Austria-Hungary",0.72000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4899998,0,0,0,6.3499999,0,0,75.540001,0,15.47,6.4099998,1.3200001,0,11.03,0,0,0,0,5.02,0,0,0.28999999,0
"Italy",14.2,0,0,0,0,0,0,0,0,0,0,0,0.090000004,2.1199999,0.37,48.709999,3.28,6.5,28.700001,10.77,1.8200001,2.1500001,26.73,25.370001,0,0.0046008001,0.15000001,4.46,22.84,0,0,0,0,1.6900001,0,0,0.69,0
"Yugoslavia",0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66000003,0,0.039999999,0.02,0.079999998,0,0,0.28,4.5500002,0.079999998,0,0.0099684,0.18000001,0.2,0,0,0,0,0.31999999,0,0,0,0
"Greece",0.31999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9699998,0.0099999998,0.34999999,1.88,0,0,0,0.69999999,2.71,0.70999998,0,0,0.20999999,4.3600001,0,0,0,0,2.21,0,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7800002,0,1.0599999,0,0,0,0,0,0,1.83,0.02,0.050000001,0,2.24,0,0,0,0,0.85000002,0,0,0,0
"Russia",8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.419998,1.86,2.78,5.6999998,2.0999999,0.07,0,50.18,6.0799999,2.71,0,0.28999999,0.70999998,0,1.9299999,0.87,0,4.6199999,2.1700001,11.53,0,0.28,0
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.49,0,1.75,1.83,0,0.25999999,0,25.57,0,0,0,0,0,7.9699998,0,11.53,0,0,0,0,0,0,0
"Denmark",2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,1.6799999,1.55,1.35,0,0,0,26.459999,0,0,0,0,0,6.77,11.47,0,0,0,0.02,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0.050000001,0,0,0,0
"Turkey",0.34999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.709999,0.1,1.6799999,10.96,0,0.001114,0,0.13,15.03,2.03,0.25,1.38,2.05,9.8900003,0.12,0.0002563,0,2.4100001,0,0,0,0,0
"China",2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.99,0,1.46,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,11.24,0
"Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0
"Japan",4.6100001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.23,0.12,0.57999998,4.0500002,0.63999999,0,0,5.1700001,0.039999999,0.19,0,0,0,0.23,0,0,0,0,0,10.19,1.02,0,0
"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
