"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Solomon Islands","Fiji","Samoa"
"Cameroon",148.954,8.643,0,0.006,0.004,0.047,0.186,11.025,0,0,0,0,0,1.191,0,0,0,0,0,0,0.007,0.012,0,0,0,0.07,4.23,0,0.049,0,0.737,0.02,5.628,3.486,185.557,19.4975,0.8725,247.74,3.881,36.351,1.568,0,1.909,3.002,11.116,0.249,1.341,26.829,1.023,0.047,22.859,2.451,0,0.797,1.106,12.011,0.92,11.685,3.95,2.302,0.001,0,0,0,0.127,0.003,0.005,3.38,2.364,0,1.985,6.853,10.698,0.368,0.03,0,0.06,1.84,0,5.294,24.23,12.16,1.302,4.93,0.005,0,0.029,0.016,0.159,0.001,0,0,0.017,0,9,0.002,0,0.372,0,0,0,0,0.009,0,0.017,0.025,1.66,0.101,0.16,0.1,0,0.005,0.229,0.002,0.891,0,0.001,0,0.506,0.094,0,0,0,0,0,0,0.072,0,24.137,0,23.886,0.097,0.662,11.694,0.848,0,14.083,1.82,0,0.09,0,0.536,0.877,0,0,0.001,0.576,0,0.381,0.047,0.074,0,0.106,0,0,0
"Nigeria",7830.7,44.6,288.32,0,0,0.97,0.008,1.4,0.004,0,0,0,0,0.8,0,0.044,0,0.049,0.006,0,0.17,22.5,0,0,9,0,161.992,9,2.859,9,4.58,42.242,1381.5,20.17,1579.5,327.4477,14.6523,571.7,55.2,180.21,20.71,0,13.2,77.1,5.6,4.88,21.3,128.2,1.24,9,90.84,49.1,0.793,12.2,85,20.7,20.86,179.5,7.96,6.17,8.065,0,9,0,0.1,0.278,0.314,25.043,4.046,0,29.458,51.66,0,0.231,1.548,34.3,105.299,63.901,5.294,0,0.999,0.039,0,0.1302,0.9,0.012,3.188,0.055,0.062,0.007,0,0,0,2.6,0.1,0,0,0,0,0,0,9,1,0,0,0,11.4,6.39,2.7,0.1,0,0.4,0.6,0.1,1.8,0,9.3,0.07,23.4,0.9,9.019,0.1,0,0,0,0,0,0,244.7,0,0,0,133.6,1066.3,39.56,0,3.1,4.8,0.039,0.1,0,0,66.19,0,0,0,3.56,19.34,0.03,0.5,5.04,0,2.5,0,0,0
"Gabon",320.462,0.677,19.29,0,0,0,26.962,0,9,0,0,0,0,3.754,9,0,0,0,0,0,0.02,0,0,0,0,0.019,126.219,0,0,165.9,75.03,12.453,5.611,0.625,25.923,6.6332,0.2968,165.715,0.015,57.203,5.604,0,0.93,7.988,0.406,0.062,0.594,8.032,0.01,0,7.095,26.361,0,0,39.879,0.006,0.016,4.873,13.465,0.096,0.012,0,0,0,0,0,0,1.997,0.186,0,0.026,4.222,0.006,0,0.004,0,9,0.372,24.23,0.999,0,0,0,0,0.87,0,0.005,9,0,0,0,0,0,0.226,0,0,0.158,0.817,0,0,0,0,0,9,0,0,6.702,0.807,0.143,0,9,0,0.009,0,0,0,3.462,0,4.937,0.3,9,0,0,9,0,0,9,0,5.692,0,0,0.16,0.578,4.497,0.065,0,0.104,0.06,0,0,0,0,0.035,9,9,0,0.048,0.389,0.163,0,0,9,0,0,0,0
"Central African Republic",2.24,0.027,0,9,9,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0.01,0,0,0,9,0,0.14,9,0,0,0.122,0,0.229,0.039,1.634,21.0386,0.9414,8.541,0.647,4.095,0.319,0,0.011,0.044,0.047,0.032,0.047,7.158,0.001,0,1.299,0.07,0,9,0.219,0.012,0.07,0.094,0.009,0.72,0,0,0,0.063,0,9,0,0.109,0,0,0,1.384,0,0,0,9,9,0,12.16,0.039,0,0,0.3,0,0.806,0,0.014,0,9,0,0,0,0,9,9,9,0,0.016,0.272,0,0,0,0,0,0,0,0.101,0.164,0.005,0,0.175,0,0,0,0.01,0,0,0,9.023,0.7,9.934,0,0,0,0,0,9,9,0.334,0,0,0,0.129,1.854,0.039,0,0.069,1.88,0,0,0,0,0,0,9,9,0.01,0,0,0,0,0,0,0,0,0
"Chad",2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9.02,0,0,0,9,0,0.8,0.43,0,1.34,0.06,20,0,13.43,9.92,0,0,9,0,0,0,1,0,0,0,0.19,0,0,0,0,9.2,0,9.01,0.79,0,0,0,9,0,0,0,9,9,0,0,0,0,9,0,0,0,0,1.302,0,0,0.3,0,0.9567,0,0,0.016,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0.17,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Congo",63.8184,0.2238,66.0819,0.133,0.019,9.0009,0.076,0,0,0,0,0,0.002,0.0005,9,0,0,9,0,0,0.0113,21,0,9,0,0,42.1282,0,0.1396,0.0014,90.0445,0.0179,1.0287,0.1703,2.3934,25.0108,1.1192,131.0492,0.7379,12.3723,5.2035,0,0.2336,0.2571,0.1979,0.0395,0.1156,121.161,0.0047,0,0.0987,1.4184,0,0.3342,0.2957,0.9378,0.0188,0.5804,3.1242,2.1916,0.0056,0,0,0,0.2308,9,0,4.725,0.0977,0,0.0268,1.6834,0,0,0.0004,0,0,0.034,4.93,0.1302,0,0,0.9567,0,1.7801,0,0.0028,0,0.0574,0,0,0,0,0.4908,0.0917,0.7735,0.0715,0.1011,0.9623,0,7.9795,0,0.0056,9,0.038,9,0.5702,0.167,3.2032,0.5,0,0.0005,0.0066,0,0.0202,0,0,0,0.4457,0.1887,0.029,0,0,0,9,9,0,9,2.3735,9,7.5728,0.0282,0.2332,0.9971,0.0512,0,0.3027,0.2144,9,0,9.0075,0,0.1044,9,9,0,0.0268,0.0715,0.6483,0.0136,0.05,9,0.09,0,0,0
"Democratic Republic of the Congo",221.7,1.3,0,9,0,9,0.017,0,0.013,0,0,0,0,0.5,0,0,0,0,0.044,0,0,0,0,0,9,0.1,40.675,0,0,0,1.63,0.019,109.7,7.27,13.9,680.2603,30.4397,145.4,3.3,3.18,2.28,0,0.2,0,3.4,0,0,112.9,0,0,0.52,0.94,0,9,29.53,0,0.4,18.3,3.14,2.9,105.6,0,9,0,0,9,0,0.052,0.007,0,0,0.1,9,9,0.01,0,0.055,0.022,0.005,0.9,0.87,0.806,0,1.7801,0,0,1.326,1.237,0.904,1.22,0,9,0,0.2,0,4.1055,2.5,0.1,30.3,0,0,0,0.003,0,0.2,0,1.73,3.53,2.73,0,0,0,0.27,0,0,0,0,0,1.6,21.7,0,0,0,9,0,0,0,9,0.2,0,0,0,0.3,105.2,28.04,0,0.12,9,9,0,0,0,0.07,9,0,0,3.35,0,0.44,0,1.84,9,0.04,0,0,0
"Uganda",83.291,0.031,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0,0,9.002,0,0,0,0,0,9,0,0.187,0,0,0,0,0,2.172,0.03,10.466,2.8141,0.1259,68.286,3.162,65.906,0.62,0,0,0,0.387,5.817,0,16.619,0,0,2.87,18.445,0,9,0,0,0.07,0.5,0.055,0.999,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,9,0.005,0,0,0.012,0,0,0,0,0,0,50.312,3.483,0.002,1.05,0.093,0,0.016,0,0,0.0011,0,0,0,0,0,9.038,0,0,0,0,0,0.015,0,3.778,0.665,0.028,0.022,0,3.131,0,0,0,0,0.292,9,0,0,0,0,0,0,0,0,0,0,0,6.756,44.307,0.018,0,0.079,1.526,0,0.038,0,0,0.043,0,0,0,0.05,0.149,0.14,21.788,14.826,0,2.039,0,0,0
"Kenya",37.446,0.353,0,0,9,0,0.052,0.062,0.164,0,9,0,9.054,0.315,0,0,0,0,0,0,0.04,0,0,0,0,0,4.096,0,9,0,0.025,0,132.272,9.824,5.455,22.0819,0.9881,15.556,7.989,3.328,0.26,0,0.009,0.665,5.9,0.841,4.619,12.366,0.02,0,4.17,9.608,0.06,0.158,0.829,1.506,16.445,12.586,3.363,1.298,0.006,0,0,0,0,0.011,0.013,0.142,0.002,0.596,0.001,0.761,0,0.436,0.126,0.009,0.116,0.02,0.029,3.188,0.005,0.014,0.016,0.0028,1.326,50.312,0,10.565,7.508,9.58,6.975,6.045,1.628,0.539,0.225,8.8305,0.016,0.56,0.072,0.081,0.055,0.502,2.659,3.575,21.567,7.689,0.127,0.96,0.052,0.003,19.942,68.025,0.688,1.475,9.227,1.66,0.426,4.058,16.494,136.882,2.857,6.297,15.485,17.822,78.644,3.339,4.347,9,7.612,0,11.933,9.14,0.883,109.606,20.249,0,28.577,1.596,0,1.032,0,0,3.047,0,0,0,5.888,35.516,2.96,13.368,11.052,0,1.525,0,0.036,0
"Tanzania",26.065,10.076,0,0,0,9,0,0.088,0.005,0,9,0,9,0,0,9,0,0,0.001,9,0,0,0,0,9,0,6.284,9,0,0,1.035,0.001,119.49,4.85,29.811,13.0558,0.5842,2.466,1.428,2.499,6.595,0,0.294,0.155,1.453,0.183,0.295,12.642,0.02,0,0.929,0.327,0.001,0.077,0.687,4.405,9.454,34.508,5.625,20.958,0,0,0,0,0,9,9,0.376,0,0,0,0,0,0,0.009,9,0.014,9,0.016,0.055,9,0,0,0,1.237,3.483,10.565,0,5.65,2.601,4.048,0,0.29,0,13.588,5.7393,0,0.147,0,0,0,0.045,1.61,0,0.203,0.261,0.02,5.9,0.12,0.007,0.368,0.232,0.055,34.73,0.539,0.677,0.001,0.637,5.606,16.282,9.206,1.718,2.488,28.281,0.88,32,0.02,0,49.242,0,3.384,7.643,0.234,54.243,7.951,0,0.872,1.414,0,0.975,0,0,4.252,0,0,10.42,8.243,0.633,0.43,7.43,2.156,0,2.328,0,0.002,0
"Burundi",30.922,1.332,0,0,0,0,0,9,9,0,0,0,0,0,9,9,0,0,9,0,0,0,9,0,0,0,0.09,0,9,0,0,9,4.032,0.151,1.693,9.1984,0.4116,8.327,0.107,0.708,1.436,0,0.633,0.076,0.864,2.947,0.481,1.937,0,9,0.619,1.38,0.001,0.002,2.118,8.277,1.089,0.298,0.29,1.48,0,0,9,0,0,0,0,0.012,0,9,0,0,0,0,0,0,0,9,0.159,0.062,0,9,9,0.0574,0.904,0.002,7.508,5.65,0,0.536,0,0,0,0,0,1.813,0,0,0,9,0,0.009,9,0,0,9,9,0,0,0.008,0,12.338,0,0,0.136,0,0,9,0.513,0.1,0,0,9,0,9,0,0,9,5.818,0,0.238,0.13,0.048,10.317,1.227,0,0.198,0.211,0.077,0.063,0,9.001,0,0,0,0.011,0.009,0.072,0,9,0.066,9,0,0,0,0
"Rwanda",36.487,0.404,0,9,9,0,9,0,0,0,0,0,0,9,0,0,9,0,0,9,9.004,0,0,0,9,9.001,0.315,0,0,9,0,0,1.423,0.056,3.576,26.906,1.204,8.33,0.416,12.37,0.144,0,0,0.038,0.575,0.158,0.162,2.265,0,9,7.615,0.046,0,9,0.146,2.799,1.779,4.299,0.026,0.984,0,0,0,9,9,0,0,0.001,0,0,0,0,0.006,0,0.001,0,0,0,0.001,0.007,0,0,0,0,1.22,1.05,9.58,2.601,0.536,0,0,0,0.839,9,0,0.082,0,0,9,9,0,0,0.007,0,0,0,0,0,0,0.001,0,17.862,0,0,0,9,9.008,0,0.1,0.786,0.322,0,0,9,9,0,0,9.061,12.034,0,0,0.353,0.418,16.589,0.932,0,0.088,0,0,0.02,9,0,0.384,0,9,0,0.702,0,0,9,0.037,9,0.07,0,0,0
"Somalia",32.2,0.9,0,0,0,0,0,0,9.007,0,0,0,9,0,9,0,0,0,0,9,0,0,0,0,9,9,0,0,0,0,0.01,9,44.4,0.03,12.1,7.2745,0.3255,3.7,0.3,2.09,0,0,0,0,0.8,0,0,105.9,0.07,0,5.45,0.06,0,0,0,0,0.81,2.4,0.03,2.58,0,0,0,9,0,0,0,0.003,0,0,0,0,0,0,0.001,9,0.009,9,0,0,0,0,0,0,0,0.093,6.975,4.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.275,9,0,0,0.15,0,0,0.03,9,82.8,8.414,0,0,0.36,0,2.6,0.14,0,0,0,0,0,0.1,1.8,9.55,0,11.19,0,0,1.074,0,0,16.24,0,0,0,0,0,0.01,0,0.49,0,0,0,0,0
"Djibouti",8,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.01,0,0,0,0,0,0.02,0,0,0,9,0,13.1,0.08,4.3,1.9143,0.0857,45.8,9.4,1.02,0.01,0,0,0,0.4,0,0,8.8,0,0,0,0.3,10.872,0,0,0,0,0.1,0.25,1.44,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,9,0,6.045,0,0,0,0,0,22.564,0,0,9,0,0,0,0,0,0,0.016,0,0.972,0,9,9,0,9,0,9,0,0,0,0,0,0,0,1.3,13.355,0,0,13.32,9,0,0,0,0,0,0,0,0.8,17.1,0.05,0,0.8,9,0,0.688,0,0,1.06,0,0,0,0,0,0.01,9,0.05,0,9,0,0,0
"Ethiopia",47.979,2.062,0,0,9.037,9,0,0.05,0,0,0,0,9,0.012,0.044,9,0,0,0.002,0,0.04,0,0,0,0,0,2.258,0,0,0,0.01,9,10.119,0.261,1.031,3.0534,0.1366,18.386,3.961,4.724,1.29,0,17.386,1.889,1.834,2.156,2.696,9.64,0.001,0,15.087,1.915,0.005,1.927,2.9,17.148,4.262,15.949,0.531,4.859,0.019,0,9,9,0,0,9,0.009,0,0,0,0,9,9,0.024,9,0.009,0,0.017,0,0,0,0,0,0,0.016,1.628,0.29,0,0.839,0,22.564,0,9,0,0.0027,0,0,9,0,9,0,0,9,2.779,0,0,0.45,0.39,0.1,0.005,1.887,0.076,0.008,0.631,0.084,0.993,2.176,5.893,27.73,1.491,4.382,87.688,2.32,0,3.6,0,0,6.452,0,6.439,0.411,7.196,32.196,6.647,0,0.329,9,0,0.007,0,9,3.192,9,0,9,0.129,4.587,0.12,0.2,0.052,0,0.03,0,0,0
"Angola",388.9,11.3,277.31,0,0,9,0.004,18.19,0.007,0,9,0,9,0,0,0,0.028,0,0,9,0,0,0,0,0,0,88.73,9,0,9,44.19,0,40.2,0.24,21.1,13.4004,0.5996,44.4,20.2,24.33,102.61,0,0,13.22,2.4,0,0,44.5,0,0,33.31,4.71,0.178,0,7.38,0,0.35,55.7,12.23,11,0,0,0,3.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.226,9,0,0.4908,0.2,0,0.539,0,0,9,0,0,9,0,0,0.01,0,0,0,0,0,0,9,0,9,0,0,58.67,0.04,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.03,9,0,9,0,0,0,0,0,0.6,30.2,1.52,0,0,9.51,0,0,0,0,1.3,0,0,0,0,0,0.02,0,0.16,0,0,0,0,0
"Mozambique",25.6,1.4,0,0,9.257,9,0,0.06,0,0,9,0,9.011,0,9,0,0,0,0,0,0,49.5,0,0,0,2.63,16.53,0,0,0,0.47,0,9.9,0.7,7,2.2015,0.0985,20.3,7.2,3.4,17.35,0,0,0,0,0,0,6.6,0.01,0,0.95,0,0,0,9,0,1.7,8,6.29,2.95,0,0,0,0,0,0,0,0.118,0,0,0,0,0,0,0,0,0,9,9,0.1,0,9,0,0.0917,0,0,0.225,13.588,0,0,0,0,0,0,0,0.1037,0,1.767,0,0,0,0,7.438,0,0.111,9,0,0,0.47,0,0,32,0,0,0,0,0,32.37,0,17.9,9.349,0,9,3.98,10.01,4.2,0.51,0,3,0,0,0,1,27.8,0,0,0,28.68,0,0.038,0,0,14.2,0,0,0,2.11,65.33,3.43,11.3,0.02,0,1.25,0,0,0
"Zambia",54.8718,0.072,0,0,0.692,0,0.0008,0.0097,0,0,0,0,0,0.0355,0,0.008,0,0,0.0182,0,0.0073,0.01,0,0,0,0,2.0625,0,9,0.0918,0.02,0,27.1391,0.0855,9.5245,42.7855,1.9145,208.4109,0.54,2.2355,55.3155,0,1.986,0.1509,2.4164,0.0727,3.6273,97.7945,0.0209,0.0009,23.1982,9.5273,0.1517,9.0291,0.6191,5.2796,4.7036,7.7709,3.6582,1.1627,0,0,0,0,0,0,0.3081,0.0073,0,0,0,0.01,0,0,0.003,0.3082,0.0124,9,0.002,0,0,9,0,0.7735,4.1055,0.0011,8.8305,5.7393,1.813,0.082,0,9,0.0027,0.01,0.1037,0,12.7682,2.2535,76.1107,0,0.9394,1.7803,0.1109,9,0.5378,0,0,0.85,1.29,0,0,0.2345,0.0032,0,3.9164,0,0.016,1.9,2.3701,113.7673,0.2772,0,0,47.28,0.015,0,0.45,0,56.6191,0,1.87,9.0127,14.9382,259.7582,62.7109,0,0.5728,0.1536,0,0.0335,0,9,7.0155,0,9,0,2.3709,0.2309,0.1991,8.3645,10.82,0,0.18,0,0.004,0
"Zimbabwe",0.7,0.1,0,0,9,0,0,0,0.01,0,0,0,0,0,0,9,0,0,0.02,0,0,0,0,0,0,0,0,9,9,0,0,0,2.5,0,0,0,0,0,8.4,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.08,0,0,0,9,0,0,0,0,9,0,0,0,0,9,0,9,0,9,0,0,0.158,0,0,0.0715,2.5,0,0.016,0,0,0,0,0,0,0,0,12.7682,0,4.248,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0.2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,0,0,0,0,0,0,0,0,9,0,0,0,0
"Malawi",13.113,2.415,0,0,0,9,0,0,0,0,9,0,0,9,0,0,0,0,9,0,9,0,0,0,9,0,0.22,0,0,0,0,9,24.61,4.736,13.764,0.1819,0.0081,1.003,0.172,1.714,0.908,0,9,0,1.852,9,9.212,4.581,0.08,0,0.07,0.88,1.744,0,9,0,0.5,2.606,0.189,1.522,0,0,0,0.034,0,2.706,0,0.042,9,0,0,0,9,0,0.897,1.949,0,0.065,0.372,0,0.817,0.016,0,0.1011,0.1,0,0.56,0.147,0,0,0,0,0,0,1.767,2.2535,4.248,0,155.413,9,0,0,0.182,0,0.263,0,0,0.21,0,0,0,3.204,0,0,1.67,0,9,9,2.215,0.4,9,9,0,5.11,0,0,9,0,0,0,0,9,0.7,35.467,6.422,0,1.9,0.02,0,0.014,0,0,0.03,0,0,9,0.803,1.824,0,0,2.087,0,1.734,0.362,0.273,0
"South Africa",1302.5,142.4,0.54,0,0,1.68,0,0,0.008,0,0,0,9,13.8,0.864,0.096,0.444,0.038,0.061,0.296,9.09,0.9,0,0,15.11,3.43,133.618,0,0.297,17.9,24.11,4.672,382.4,7.8,34.9,239.9624,10.7376,421.4,70.1,128.29,46.7,0,0,0,24.8,0,0,1353.9,2.91,0,0,44.24,0,0,0,0,21.2,64.6,14.12,56.46,1.004,0,0,0.224,0,9,0,0,9,0,9.083,0,0,0,0,9,0.001,0,0,0,0,0.272,0,0.9623,30.3,0,0.072,0,0,9,0,0,9,0,0,76.1107,0,155.413,0,0,0,0,0,0,74.849,17.8,0,0,9,9,0,9,5.95,0,0,9,0,0,104.7,1.1,9,0,0,0,0,0,0,0,0,0,0,0,42.1,331.2,0,0,0,9,0,6.055,0,0,0.53,0,0,0,0.84,0,0.54,0.4,33.28,9.053,4.12,0,0.162,0
"Lesotho",14.5,0,0,0,0,0,0.009,0,0,0,0,0,0,0,9,0,0,0,9,0,9,0,0,0,0,0,0,9,0,0,0,0,4.5,9.02,9.6,1.8186,0.0814,0.5,2.2,0.05,9,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,9.1,9.16,10.31,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,9,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9.001,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0.1,0,11.77,9,0,0,0,0,0,0,0,0,0,0,0,0,0.02,9,9,0,0,0
"Botswana",55.1,0,0,0,0,0,0.209,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,9.011,9,0,0,0,0,47.6,0.01,9.1,10.8186,9.0814,0.8,1.7,1.08,0.07,0,0,0,9,0,0,16.5,0,0,11.06,0,9,0,0,0,9,9.1,9.1,1.17,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,2.549,0,0,0,0,0,0,7.9795,0,0,0.055,0,0,0,0,0,9,0,0,0.9394,0,0,0,0,0,0,9,0,0.639,9,1.58,1.44,0,9,0,0,9,0,0,0,0,9,0,5.1,0,0,0,1.2,10.7,3.5,2.8,0,0,0,0,0,0.1,0.7,14.7,0,0.28,9,0,0.155,0,0,12.66,0,0,0,0,0,9,0,0.04,9,9,0,0,0
"Swaziland",21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,76.6,0.47,1.5,3.0629,0.1371,2.8,0.3,8.9,9.09,0,0,0,9,0,0,16.4,9,0,0.99,9,0,0,0,0,0.12,0.3,0.02,0.17,0.003,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.022,0,0,9,0,0,0,0,0,9.038,0.502,0.045,0.009,0,0,0,0,0,0,1.7803,0,0,0,0,0,0,9,0,9.017,9,0,0,0.34,0,0,0,9,0,0,0,0,0,0,20.4,15.185,0,9.7,9,9,10,0.14,0,0,0,0,0,11.6,21.8,2.48,0,0.66,0.02,0,0.027,0,0,0.63,0,0,0,0.37,0,4.17,0,0.4,0,0.01,0,0,0
"Madagascar",2.384,1.796,0,9.009,0.049,0,0,0.02,0,0,9,0,0,9.399,0.011,0.014,0.009,0,0,12.989,0,0,0,9,9,0,1.739,9,1.778,0,0.455,0,6.389,0.149,10.662,5.7909,0.2591,117.897,1.507,4.243,0.78,0,1.168,0.21,0.804,10.093,0.901,9.191,0.01,0,3.081,0.767,0,0.128,0.039,2.425,0.186,4.545,0.023,1.8,0.001,0,0,0,9,9,0,0.879,0,0,0.004,6.414,0,0,0.002,9,0,0,0.009,1,0,0,9,0.0056,0.003,0,2.659,1.61,9,0.007,0,0.016,0,9,7.438,0.1109,0,0.182,0,0,9,9,0,1.191,0.67,0.016,0.758,8.249,1.69,0.3,0.93,0.331,2.266,41.145,0,0.27,0.016,0,0,0.098,9,0,10.622,0.02,0,0.1,0.02,0,30.329,0,0,1.538,0.028,0.118,0.367,0,22.152,0.741,9.017,0,0,9.303,0.973,9,9,0.033,1.251,6.502,0.061,68.1,0.526,9,0.07,0,0.023,0
"Comoros",3.3,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3.1,9,0.3,0.8615,0.0385,0.3,0,0,0,0,0,0,0,9,0,3.8,0,0,0,0,0,0,9,0,0,0,9.02,0.01,0,0,0,0,0,0,0,9,0,0,0,9,0,9,9,0,0,0,0,0,9,0,0,9,0,0,3.575,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,1.191,0,1.771,9,0,0,0.02,0,0,0,9,0,0,0,0,0,9,0.1,0,9,0,9,0,9,0,0,0,0,0,0,0,0.1,0.38,0,0,9,9,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0
"Mauritius",20.417,2.713,0,9,0,0,0.001,0,0.006,0,0,0,0,0.006,0,0,0,0,0,0.001,0.001,3,0,0,0,0.423,0.714,0,0.022,0.137,0.024,0.059,170.036,3.591,5.101,5.5994,0.2506,3.8,1.408,0.039,0.316,0,1.114,0.018,0.975,0.587,0.157,11.459,0.041,9,0.077,0.008,0.143,0.002,0.058,0.204,0.172,2.19,0.102,1.795,0.01,0,0,0,0,0,0,0.003,0,0,0,0.191,0,0,0,0,0,0,0.017,0,0,0,9,0.038,0.2,0,21.567,0.203,0,0,0,0.972,2.779,9,0.111,0.5378,0,0.263,74.849,9.001,0.639,9.017,0.67,1.771,0,0.221,1.22,0.012,0,0.004,0.002,9.107,0.717,0.003,0.005,0,0.359,0,2.857,0.199,1.881,14.862,1.029,47.293,0.76,0,0,0,8.496,0,6.359,0,2.065,27.114,27.053,0,1.917,0.583,0.747,0.368,9.909,3.501,7.477,0,9,0.001,9.083,14.543,0.144,0.791,28.012,0,9.384,0,0,0
"Seychelles",1.5,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0.11,0,0,0,0.01,9,17.7,0.1,1.5,0.1914,0.0086,5.3,0,0.03,0,0,9,0,0.1,0,9,1,0,0,0,0,0,0,0,0,0.03,0.3,0.17,0.6,0,0,0,0,0,0,9,9,0,9,9,0,9,0,0,0,0,0,0.025,0,0,0,0,9,0,0,7.689,0.261,9,0,0,0,0,0,9,0,0,0,17.8,0,9,9,0.016,9,0.221,0,9,0,0,0,0,9,9,0,0,0,0,0,0,9,8.3,0,0,5.9,9,0,9,0,1.1,0,0.2,9,0.2,5.6,1.97,0,1.02,0.09,0,0.029,9,9,0.6,0,0,0,0.6,4.2,0.04,9,2.6,0,0.3,0,0,0
"Morocco",162.91,58.7,0,11.88,0,2.61,3.245,0.55,0.001,0,9,0,9,21.7,0.007,0.106,0.209,0.559,0.204,0.01,8.91,1.21,0.026,0,0.62,0.35,16.351,0.19,3.46,0,9.66,1.094,1.56,3.92,16.24,7.0735,0.3165,352.6,11.83,165.31,7.14,0,3.9,22.71,6.69,1.4,1.15,86.04,0,0,3.14,5.72,0.077,14.18,32.5,30.09,0.3,11.26,19.41,11.84,0.583,0,0,0,0,0.3,0.107,4.422,0.274,1.9,0.895,25.63,2.86,0.094,0.566,0,0.368,0.474,1.66,11.4,6.702,0.101,0.17,0.5702,1.73,0,0.127,0.02,9,0,0,9,0,0,0,0,0,0,0,0,1.58,0,0.758,0,1.22,9,0,0,5.98,9.25,0.005,2.4,5.08,339.68,16.89,0.85,0.76,1.14,9,114.09,9.14,0,36.66,0.03,0.17,33.61,0,0,27.3,0,26.85,9,7.5,8.41,20.57,0,0.05,1.67,0.497,0.35,0,1.01,6.94,0,9,0,7.1,1.21,0.32,2.92,0.91,0,3.99,0,0.004,0
