"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"Grenada",11.945,3.029,0,2.47,0,0.131,1.13,11.209,2.0320001,0.45199999,0,1.192,0.111,0.067000002,0.134,0,0,0,0,0,0.112,0.081,0.0080000004,0.054000001,0.73500001,1.322,0,0,0.29699999,0,0,0,0.075000003,0,8.5019999,0.175,1.351,0.54427838,0.0257216,0.69400001,0.035999998,0.029999999,0.029999999,0,0.148,0.075999998,0,0.0089999996,0.111,0.44,0,0,0,0.0020000001,0,0,0,0.146,0.041999999,0.26800001,0.055,0.71100003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24600001,0,0.57499999,0,0.18099999,2.6229999,0.079999998,0,0,0,0,0,0,0,0,0,0,0,0.046,0,0.045000002,0,0.061000001,0,0.082999997,0,0,0,0
"St. Lucia",0,0,0.011,0,0,1.9579999,1.9646,0,0,0.50050002,0.022,0,2.1181481,0,0,0.0209,0,0.38060001,0,0,0.2827,0,0.94599998,0,0.59069997,0.44,0,0,0.098999999,0,0,0,0.077,0,11.99,0.011,0.66000003,0,0,2.6400001,0,0.077,0.011,0,0,0,0,0,0,0.33000001,0,0,0,0,0,0,0,0,0,0,0,0.34099999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0.31900001,0,0,0,0
"St. Vincent and the Grenadines",22.272223,4.0114813,0.029999999,0,0.012592592,1.3940741,1.2622222,9.6059256,2.227037,0.43925926,0.10481481,0.86185187,0,0.20703703,0.024814814,0.0025925925,0.005185185,0.49814814,0.0033333334,0,0.17925926,0.11703704,0.96888888,0.0040740739,0.95185184,0.54000002,0,0.00037037037,0.48074076,0,0,0,0.14777778,0.010740741,10.357778,0.099629633,0.6996296,0.26736489,0.0126351,0.23851852,0.15444444,0.032592591,0.029999999,0,0.023333333,0.0096296296,0.02,0.02074074,0.035925925,0.58222222,0,0,0.048148148,0.00037037037,0.0022222223,0,0,0.026296297,0.0037037036,0.078888886,0.02111111,0.60925925,0.0018518518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333334,0.014814815,0,0,0.0011111111,0,0,0,0,0,0.039629631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011111111,0,0,0.0018518518,0,0,0,0,0,0.00074074074,0.16148148,0,0.36333334,0.0059259259,0.13222222,2.3285186,0.053703703,0,0.0096296296,0,0,0,0,0,0.014074074,0,0,0,0.050740741,0.054444443,0.021481482,0.00037037037,0.032222223,0,0.082222223,0,0,0,0
"Antigua & Barbuda",0,0,0.14,0,0.020889331,0.039999999,2.4960001,0,0,0.391,0.044,0,1.3522222,0,0,0.001,0,0.70899999,0,0,0.094999999,0,0,0,0.50199997,0.090000004,0,0,0.37,0,0,0,0.07,0,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0.090000004,0,0,0,0
"Mexico",9006.4004,319.60001,3.7,64.599998,0,0,0.1,0.85000002,0,0.89999998,0.0049999999,0,0,0,0,0.40000001,38.299999,0.40000001,5.5,11.1,13.8,61.900002,13.1,10,1.4,1.02,3.5,5.5999999,346.89999,0.80000001,3.3,27.200001,134.10001,6.8000002,278,21.200001,103.2,77.535797,3.6641941,349.39999,190.5,369.60001,3.7,0,6.8000002,6.4000001,33.900002,3.9000001,15.4,431.79999,1.28,0,4.3000002,1,0,0,4.8000002,12.3,24.299999,177.2,8.6000004,43.799999,0.028000001,0,0,0,0,0,0,0,0,0,0,1,0,0,6.3000002,0,0,0,0.054000001,0,2.276,0,0,1.1,1.5,0,0.5,0,0,0,0,0,0,0,0.80000001,0,0.204,0,1.6,0,0,0,0,0,0,0,28.200001,0,0,0.69999999,0,0.40000001,0.15000001,0,0.2,0,0,0,11.7,9,0,0,0,0,14.719716,0,0,0,64.800003,0,0,0,25.200001,854.59998,22.799999,0,0.89999998,0.58999997,0,9.1999998,0,0,0.1,0,0,0,5.5,14.3,4.3000002,19.799999,21.299999,0,35.400002,0,0,0,0
"Belize",48.109001,1.969,0.039999999,0.001,0,0.017000001,1.984,0.294,0.035,0.0020000001,0.001,0,0,0.012,9.3470001,0,3.0599999,3.369,0.95999998,0.0070000002,1.307,3.598,0.44800001,0.0040000002,0.034000002,0.003,0.003,0,0.48100001,0,0,0,0.027000001,0,14.312,0.66399997,5.914,0.18142609,0.0085738003,0.81400001,0.61400002,0.236,0.134,0,0.0080000004,0,0.041000001,0.079999998,0.112,0.27900001,0,0,0.001,0.011,0,0,0,0.024,0.011,0.38100001,0.54500002,2.0610001,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,1.878,0,0.31799999,3.9260001,0.048999999,0,0.0099999998,0.02,0,0,0,0.0020000001,0.0060000001,0,0,0,0.039999999,0.037,0.029999999,0,0.37599999,0,0.41800001,0,0,0,0
"Guatemala",432.29099,18.812,0.039999999,0,0.11,0.22,0.87199998,18.34,0.28099999,0,0,0,0,0,102.164,0.029999999,0,25.292999,117.45,14.301,58.018002,4.448,4.0440001,82.441002,0,0,1.285,0.52700001,14.592,0.0099999998,0.0060000001,2.141,3.9159999,0.061999999,17.027,6.4710002,13.898,8.402895,0.3971048,19.229,20.608,75.914001,2.845,0,0,0,2.5829999,0,1.326,18.047001,0,0,0.061999999,0.030999999,0,0,0,0,2.566,5.006,3.826,3.2639999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85299999,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0.034000002,0,0,0,0,0,0.58399999,0,0,0,0,0,0,0,0,0,0.66299999,0,11.124,0,3.3310001,72.704002,0.121,0,0.043000001,0,0,0.19400001,0,0,0.0089999996,0,0,0,0,0.89399999,0.023,0.026000001,0.15800001,0,0.755,0,0,0,0
"Honduras",273.496,8.9250002,0.027000001,0,0,0.477,0.454,101.735,0,0.011,0,0.0099999998,0,0,15.178,0.055,48.043999,0,3.836,8.8760004,26.084999,18.379,2.8970001,13.433,0.003,0,0.001,0.124,8.4420004,0.001,0,0.046,1.04,0.039999999,14.027,0.57700002,9.3319998,5.4714308,0.25856939,6.605,4.756,4.8460002,0.219,0,0.27399999,0.024,1.132,0.18000001,0.87800002,13.512,0,0,0.02,0.0040000002,0.026000001,0.003,0.016000001,0.838,0.26800001,4.1129999,0.083999999,1.607,0.0070000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0.48699999,0,0,0,0,0,0,0,0.034000002,0.0099999998,0,0,0,0,0.039000001,0,0,0,0,0,0.264,0,0,0,0,0,0,0,0,0,2.8329999,0,5.5419998,0.089000002,3.21,45.203999,0.345,0,0.082000002,0,0,0.094999999,0,0,0,0,0,0,1.192,0.13600001,0.0020000001,0.030999999,0.026000001,0,0.001,0,0,0,0
"El Salvador",233.063,13.452,0.039999999,0,0.26199999,0.027000001,0.44,0,0.0060000001,0,0,0,0,0,70.647003,0.090999998,209.93401,8.1890001,0,6.7849998,35.942001,23.893,1.5779999,76.084,0,0,0.28400001,1.428,2.358,0,0,0.082999997,6.0279999,0.16500001,5.3130002,0.73799998,19.41,8.6511631,0.40883741,19.52,2.7639999,6.6479998,0.31200001,0,0,0,1.166,0.0099999998,0.47600001,6.941,0,0,0.039999999,0,0,0,0,0,0.186,10.742,0.090999998,1.829,0,0,0,0,0,0,0,0.027000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0.077,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,1.1,0,5.7940001,0,4.0999999,26.774,0.0060000001,0,0,0,0,0.199,0,0,0,0,0,0,0,0.44100001,0.0040000002,0,0.65100002,0,0.49000001,0,0,0,0
"Nicaragua",147.556,12.587,0,30.580999,0,0,0.011,0,0,0,0,0,0,0,154.925,0.015,44.500999,8.3669996,18.024,0,46.055,12.258,1.5779999,40.456001,0,0.029999999,0,1.568,7.8130002,0.001,0,1.334,3.4170001,0.0099999998,4.3049998,8.25,10.263,2.89327,0.1367304,32.429001,7.5079999,21.99,0.149,0,11.63,0,1.054,0.155,1.473,20.856001,0,0,0.086000003,0.34999999,0,6.2649999,0.017999999,38.790001,0.048,1.574,0.033,1.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.181,0,0,0,0,0,0,0,0,0,0.197,0,0,0.12,3.2420001,18.51,0.303,0,0,0,0,0.149,0,0,0.0099999998,0,0,0,0,0,0.079999998,0,0.32100001,0,0,0,0,0,0
"Costa Rica",318.19101,14.163,0.011,0.0049999999,0.001,1.438,0.022,2.243,0.0049999999,0.003,0,0,0,0,80.288002,0.0099999998,56.174999,11.916,22.656,21.643,0,13.83,4.1929998,107.253,0.001,0,0.78899997,2.983,12.22,0.001,0,1.294,1.914,0.021,23.778,3.286,4.0619998,4.5929461,0.21705391,11.571,5.2659998,17.087,0.28,0,0.096000001,0.142,1.311,0.097999997,1.099,13.252,0.001,0,0.266,0,0,0.017999999,0.012,0.51099998,1.267,9.6160002,0.428,1.803,0.089000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070000002,0,0,0,0.0070000002,0,0,0,0.0020000001,0,0.071000002,0,0.012,0,0,0,0.030999999,0,0,0,0.0070000002,0,0.0070000002,0,0,0,0,0,0.55900002,0,0,0,0,0.001,0,0,0,0,0.23800001,0,5.4780002,0,5.263,37.158001,0.050000001,0,0.003,0,0,0.017000001,0,0,0.013,0,0,0,0.02,12.819,0.0049999999,0.43799999,0.361,0,0.012,0,0,0,0
"Panama",549.034,13.589,0.017999999,0.108,0.103,0.66900003,0.17,8.9589996,0.034000002,0,0,0,0,0,146.091,0.0049999999,17.855,2.2809999,5.7329998,2.1010001,39.497002,0,9.6879997,157.745,0.0040000002,0.02,86.725998,4.4640002,20.74,0.075000003,0.0040000002,5.5489998,1.7,0.079999998,18.267,1.34,10.869,5.4618821,0.25811809,24.487,6.256,13.259,1.071,0,0.041999999,0.245,1.752,0.013,0.70599997,17.131001,0.001,0,0.12899999,0.063000001,0,0.0020000001,0.119,0.40799999,0.93400002,17.261,5.5430002,4.1659999,0.51099998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0940001,0,0,0,0,0,0,0,0,0,0,0,0,0.0060000001,0,0,0,0.001,0,0.26499999,0,0,0,0,0,0,0,0,0.89999998,0,0,0,0,0.0099999998,0,0.0040000002,0,0.0089999996,0.0060000001,0.90799999,0,0,0,0,0,0,0,0,0,2.2149999,0,18.304001,0,12.456,119.515,0.34400001,0,0.219,0,0,0.075000003,0,0,0.41,0.011,0,0,0.38699999,0.653,0.271,0.054000001,1.1,0,2.21,0,0,0,0.308
