"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand"
"Honduras",79.099998,1.5,0,0,0,0.80000001,0.60000002,0,1.4,11.3,0,19.299999,3.9000001,5,0.30000001,0.60000002,0.5,0,0.0099999998,0,0.1,0,0,0.1,0.1,0.1,5.1999998,0,2.9000001,2.5816579,0.118342,1.5,1.3,0.60000002,0,0,0.1,0.2,0.60000002,0.30000001,0.40000001,2.0999999,0,0,0,0,0,0,0,0,0.1,0.80000001,0.1,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,7.4000001,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0
"El Salvador",69.800003,4.1999998,0,0,0,0.2,0,0,3.2,29.9,12.4,0,5.4000001,6.8000002,0.2,0.69999999,8.8000002,0,0.1,0.2,0.1,0,0,0,0.1,0,13.5,0,7.8000002,6.8844209,0.3155787,2.4000001,1.8,0.89999998,0.1,0,0,0,0.1,0.1,0.1,4.5999999,0,0,0,0,0,0,0,0,0.1,2.2,0.2,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,16.799999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",87.599998,2.5,0,0.0060000001,0,0.2,0.5,0,3.0999999,12.7,2.5,13.6,0,13.6,5.1999998,1,6.4000001,0,0.02,0.1,0.1,0,0,0,0.2,0,5.1999998,0.1,8.1000004,3.4422109,0.1577893,0.69999999,1.6,0.60000002,0.1,0,0,0,0.1,0,0,2.5999999,0,0,0,0,0,0,0,0,0,0.69999999,0.1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,13.4,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",74.099998,4.5,0,0,0,0.1,1,0,3.0999999,11.5,3.4000001,12.2,7.4000001,0,2.0999999,2.2,3.2,0,0.029999999,0.1,0,0,0,0,0.1,0,12.4,0,2.8,2.8685091,0.13149109,3.2,2.3,1.2,0.1,0,0,0,0.1,0,0.30000001,2.8,0,0,0,0,0,0,0,0,0.1,1.8,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,16.299999,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0
"Panama",99.769997,2.97,0,0,0,0.11,1.3,0,2.4200001,0.22,0.66000003,0,0.11,3.4100001,0,2.0899999,49.5,0,0.11,0.40000001,0.60000002,0,0,0.20999999,0.33000001,0.11,7.3699999,0.30000001,3.96,3.470896,0.1591043,2.8599999,1.76,1.87,0.1,0,0,0.11,0.11,0,0.11,3.3,0,0,1.6,0.11,0,0,0,0,0.30000001,1.3200001,0.66000003,1.76,0,0,0,0,0,0.64700001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66000003,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.40000001,13.64,0.22,0,0,0,0,0,0,0,0,0,0,0.13,0,0.1,0,0.66000003,0.99000001
"Colombia",225,14.7,0,0,0.1,0.2,0.1,0,5.5,0,0.1,0,0.1,0,12.3,0,6,0,5.9000001,4.3000002,2.9000001,0,0.0089999996,1.7,8.8000002,2.7,33.400002,0.1,11.1,3.7290621,0.17093851,5.0999999,12.2,21.700001,0.40000001,0,5.4000001,2.7,0.60000002,0.2,1.6,8.8000002,0,0,0.80000001,0,0,0,0,0,5.8000002,9.6999998,1,3.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0,0,0,0,0,0,0,0.89999998,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,19.299999,0,0,0,0,0,0,0,0,0,0,0,1.5,0.40000001,0,0,0.30000001,0
"Venezuela",728.59998,80.199997,0,0.0099999998,0.80000001,0.1,0.60000002,0.035999998,11.6,0,0,0.1,0.30000001,0.40000001,1.3,5.0999999,0,0.1,0.050000001,6.3000002,5,0,0,5.4000001,6.3000002,0.1,86.099998,0.1,30,19.219009,0.88099051,56.900002,28.9,17.1,3.5999999,0,1.2,2.4000001,7.8000002,0.40000001,4.6999998,76,0,0,0.60000002,0.40000001,0,0,0.1,0,2,16.6,3.3,14.3,0.1,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0,0,0.1,0,0,0,1.3,0.40000001,0.1,0,0.30000001,0,0.1,0,0.60000002,0.1,0,0,0,0,0.89999998,0,0,0,0,84,0.40000001,0,0,0,0,0,0,0,0,0,0,1.1,0,4.1999998,2.5999999,1,0.40000001
"Guyana",36.599998,13.1,0,0,0,1.1,12.8,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.30000001,0,34.599998,0.2,4.4000001,1.721105,0.078894697,1.2,0.1,0,0.5,0,0,0,0.40000001,0,0.2,1,0,0,0.1,0,0,0,0,0.5,0,0.5,0.5,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,4.0999999,1.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0
"Ecuador",86.629997,4.3800001,0,0,0,0,0.15000001,0,1.87,0,0.0099999998,0.02,0.039999999,0.050000001,0.33000001,5.3099999,16.33,0,0,0.88,0.60000002,0,0.02,1.8099999,1.91,0.18000001,11.5,0.0099999998,3.55,4.3983798,0.2016197,5.4699998,3.6600001,0.75,0.23,0,0.34,0.23,0.86000001,0.19,0.79000002,5.8600001,0,0,0.029999999,0,0,0,0,0,0.41999999,4.6599998,0.50999999,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82999998,0,0,0.0099999998,0,0,0,0,0.02,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0.23999999,0,0.02,0,0,13.96,0.44999999,0.050000001,0,0.15000001,0,0,0,0,0,0,0,0.02,0.029999999,0.0099999998,0.38,0.49000001,0
"Peru",298.89999,25.299999,0,0,0,0.2,0,0,7.5,0,0.1,0,0,0.5,0.2,8.1999998,11.1,0,4.3000002,0,6.0999999,0.2,0.30000001,10.9,52.5,1.4,36.400002,0.30000001,21.4,14.05569,0.64430648,15.8,17.6,14.8,0.60000002,0,0,0.80000001,3,0,2.0999999,31.1,0,0,0.1,0.1,0,0,0,0,3.2,14.2,3.9000001,3.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.1,0,0,0,0.30000001,0.2,0,0,0,0,0,0,0.80000001,0,0,0,0,0,0,0,0.1,0,0,63.599998,3.8,3.4000001,0,0.60000002,0,0,0.1,0,0,0,0,0.89999998,0.2,0.40000001,1.6,6.5999999,7.0999999
