"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand"
"Romania",19.440001,0.5,1.21,0,0,0,0,0,0,0,0,0,0,0.1,0,1.1,0,0,0.20999999,0.5,1.25,0,0,0,0.66000003,0,56.240002,0.1,23.690001,65.574112,3.005887,88.260002,28.719999,13.81,1.63,0,101.75,51.669998,58.919998,38.209999,99.279999,96.25,0,4.1999998,25.139999,5.46,0.63999999,28.040001,0,436.23999,4.5999999,18.469999,0.44,4.6199999,0.56999999,0.0020000001,0,0,0,0,0,0,0,0,0,0,1.78,0,0.69999999,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1,0,4.1300001,5.8899999,4.8600001,0.50999999,17.07,7.6500001,1.52,0.07,5.0999999,0,0,0,0,0,36.470001,1.65,0,5.5700002,0,27.559999,8.5500002,4,0,3.8900001,0,0,0.1,0,0,0,0,0.58999997,0,0,0.23999999,0.5,0
"Russia",60,119.1,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,28.700001,0,0,0,19.5,4,178.8,0.1,66.5,38.53363,1.766364,155.3,22.9,9.3999996,0,0,0,0,59.5,0,0,132,0,0,218.8,30.5,4.6999998,0,432.97,0,267.89999,57.900002,18.700001,17.9,11.6,0,0,0,0,0,0,0.5,0,0,0,0,26.200001,0.2,0.80000001,12.1,0,0,0,0.69999999,0,0.60000002,0.1,0.40000001,0,0,0,3,0,0,0,0,0,0,0,15.6,9.8999996,4.9000001,0.1,9.1999998,28.1,28.4,3.2,141.10001,19.1,3.8800001,0,0.2,0,0,0,0,22.073999,0,0,0,0,0,157.7,171.5,25.4,5.0999999,11.8,0,0,1.1,1.1,0,0,0,64,0,0,14.8,20.4,5.4000001
"Finland",83.400002,8.1999998,5.5,0.003,0.69999999,0.2,0,0,0.40000001,4.5,0.60000002,1.2,0.1,3.5999999,0.30000001,15.4,2.5999999,0,0.69999999,1.7,20.200001,0.30000001,0.001,2.8,4.4000001,0.1,220.5,0.69999999,55.099998,30.119341,1.380657,64.599998,41.400002,8.3999996,7.0999999,0,14.9,26.5,17.5,6.5,10.9,41.299999,0.0099999998,0,8.6999998,2.7,0.5,1.8,3.8,263,0,238.5,35.299999,48.799999,3.5,0.1,0,0,0,0,0,0.5,0.1,0,0,0,0.60000002,0,0,0.69999999,0,0,0,0,0,0.60000002,3,0,0,0,0,0.60000002,3,0,0.2,4.6999998,0,0,0,2.8,0.1,0.2,0.1,1.6,19.4,0.80000001,0,3,0,0.2,0,6.3000002,0,0,0,0,0,9.3000002,0,0,0,0.30000001,29.9,1.2,0.40000001,0.1,0.1,0,0,0.30000001,0,0,0,0,4.3000002,0,2.2,0.5,3.4000001,3.3
"Sweden",436.20001,32.700001,3.9000001,0.1,0.30000001,3.9000001,24.4,0.0020000001,1.6,2.8,0.2,0.5,0.1,5.5,0.30000001,25.6,30.5,3.2,3.7,6.5999999,59.299999,0.5,0.032000002,41.900002,17.700001,0.89999998,689.5,3.5999999,228.3,109.0033,4.9966631,227.8,118.6,38.299999,34.900002,0,32.900002,39.099998,70.400002,15.5,21.1,177,0.1,0,15.6,6.3000002,0.5,2.5,6.5,87.099998,133.2,0,280.20001,327.79999,9.8000002,0.0020000001,0,1.3,0.2,0,0.2,0.40000001,0,0.1,0.30000001,0.1,3.5,0,1,16.200001,0.40000001,0,0,0.2,0.60000002,1.6,6.0999999,2.5999999,0,0,0,0.89999998,18.1,0,0.1,12.1,0,0,0.1,8.8000002,7.5,0.40000001,5.1999998,0.80000001,17.200001,12.5,5,2,0.5,4,0,11.9,23.6,0,1.7,11.6,0.60000002,17,0,3.0999999,0,9.1999998,67.300003,6.4000001,4.0999999,3.0999999,4.5,0,0,1.5,0,0,0.1,0,8.8999996,0.1,12.5,5.5999999,11.7,3.5
"Norway",176,81.099998,1.8,0.40000001,2.2,16.6,3.3,0.003,0.60000002,1.6,0.1,0.40000001,0.2,0,0.1,8.3999996,24.299999,6.9000001,1.2,1.2,26.1,0.1,0,1.2,10.3,0.1,389.70001,0.89999998,106.8,55.075371,2.5246291,82.5,46.099998,18.1,9.3999996,0,10.6,15.8,22.799999,5.6999998,13.2,68.800003,0.1,0,4.9000001,1.9,0.5,0.60000002,0.60000002,35.400002,39.099998,533.90002,0,171.89999,2.5,0,0,1.4,0,0,0,0.40000001,11.5,0,0.2,0,11.2,0.2,0.2,1.3,0,0,0,0,0.2,0.1,0.80000001,0.2,0,0,0,0.89999998,0.133,0,0.1,4.8000002,0,0,0.1,2.5,0.80000001,0.1,17.1,0.2,1.5,5.3000002,4.5999999,1.1,0,0.60000002,0,4.4000001,7.0999999,0,0.1,6.4000001,0.1,5.1999998,0,0.2,0,0.60000002,223.2,3.2,0.30000001,1,0.5,0,0,1,0,0,0,0,1.8,0.1,2.2,1.2,15.6,2.0999999
"Denmark",270,17.4,0.40000001,0.40000001,0.60000002,0.1,5.0999999,0.001,1.6,2.7,2.0999999,0.89999998,2.0999999,0.30000001,0.1,3.9000001,13,0.1,5.0999999,4.8000002,44.5,0,0.40000001,1.2,14.4,1,436.10001,1,110.6,75.824257,3.475749,123.4,77.599998,15.4,19.5,0,19.200001,38.799999,36.200001,7.4000001,17.6,112,0.1,0,4.5,1.9,0.80000001,1.4,1.6,35.400002,82.800003,454.29999,140.8,0,5.4000001,0.2,0.30000001,0.80000001,0.27500001,0.1,0.30000001,3.2,0,0.1,0.30000001,0.1,1.8,0.1,0.80000001,11.6,0.40000001,0.2,0.2,0.60000002,0.30000001,0.2,2,1.7,0,0,0,0.40000001,0.30000001,0,0.30000001,4.8000002,0,0,0.30000001,4.3000002,0.89999998,0.40000001,28.799999,0.69999999,9.8999996,14.3,0,2.0999999,1.4,2.3,0,5.8000002,14.3,0,2.4000001,36.099998,0.1,8.8999996,0,0.40000001,0.1,0.40000001,49.5,5.9000001,1.6,5.0999999,1.5,0,0,2.8,0.1,0,0,0,4.3000002,0.30000001,5.3000002,14.4,7.3000002,3.5
"Iceland",25.1,0.30000001,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.30000001,0,0.1,0,1.9,0,0,0,0.1,0,21.6,0.1,10.3,3.0597429,0.14025719,2.2,1.5,0.89999998,0.2,0,3.4000001,2.2,0.30000001,0.1,2.2,2.4000001,0,0,0,0,0,0,0.40000001,10.4,3.5999999,10.7,13.6,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0,0,0,6.0999999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"Gambia",0.301,0.28,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0060000001,0,8.4130001,0,0.76700002,0.27728921,0.0127108,0.45699999,0.021,0.067000002,0.016000001,0,0.34299999,0.198,0.0099999998,0.189,0.30700001,0.454,0,0,0.0049999999,0,0.016000001,0,0.105,0.103,0.003,0.17399999,0,0.071000002,0,0,0,0.093000002,0,0,0,0,0,0,0,0.228,0.093000002,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,0,0,0,0,0.052000001,0,0,0,0,0,0,0,0,0,0,0,0.017000001,0,0,0,0,0,1.308,0,0.001,0,0,3.122,0.18700001,0.389,0.86799997,0.0040000002,0,0,0,0.133,0,0,0,0.0040000002,0,0,0.011,0.015,0.016000001
"Mali",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,3.2,0,0.30000001,0.095616996,0.0043830001,15.3,0,0,0,0,0.5,0.69999999,0,0,0.89999998,0.40000001,0,0,0.1,0,0,0.30000001,0,5.8000002,0,0.1,0,0.1,0,0,0,2.0999999,0.2,0.2,0.1,3.5,0,0.2,0.69999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0.30000001,0,0,0.89999998,0,0,0,0.1,0,0,0,0,0,11.6,0,0,0,0,0.89999998,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senegal",4.869,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7460001,0,0,0,3.3380001,0,0,0,0,0,1.758,0,5.368,2.5051639,0.1148356,75.542999,1.045,0.421,0,0,0,0,0.40000001,0,0,5.283,0,0,0,0.012,0,0,0,0,0.2,0.38100001,0.215,0.292,0,0.021,5.3000002,0,0.30000001,0.032000002,0,8.0249996,0.0040000002,0,0,0.1,0.30000001,0,0.035999998,0,3.0999999,0,0,0,0.0080000004,0,0,0,0,0,0,0,0,0,0,0.093000002,0,0,5.4770002,1.604,0.76999998,0,0.1,0,1.3,0,0.02,0.057,0,0.039999999,0,0,0,0,0.92000002,0,0,13.069,0,0,0,0,0.48199999,0.1,0,0,0,0,0,0.15800001,9.8479996,0,0.0080000004,0,0,0,0,0,0.36500001,0
"Benin",1.863,0.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51099998,0,0,0,0.064000003,0,0,0,0.13600001,0,1.017,0,1.219,1.4342541,0.0657456,21.577999,0.055,0.16,0,0,0.085000001,0.193,0.017999999,0.021,0.081,4.1069999,0,0,0,0,0,0,0.127,0.43599999,0,0.037999999,0,0.25999999,0,0,0,1.476,0,0,0.25299999,0.77600002,0,0.30000001,0,0,0.029999999,1.002,0.039999999,0.72100002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28999999,0.34599999,0.072999999,0.027000001,0.089000002,0,0.146,0,0.048,0.0020000001,0,0,0,0,0,0,0,0,0,0.98400003,0,0,0,0,0.292,0.101,0.149,0,0,0,0,0,0.039000001,0,0,0,0,0,0,0,0.024,0
"Mauritania",8.8039999,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,0,0,0,0,0,0,0,0.068000004,0,0.75,0,0.76599997,0.67888039,0.0311196,16.781,0.066,0.63499999,0,0,0,0.0020000001,0.0070000002,0,0,1.198,0,0,0,0,0,0,0,0.025,0.013,0.088,0.294,0.074000001,0,0,0.2,0.27000001,0,0,0,0.023,0,0,0.484,0,0.0020000001,0,0,0,0.001,0,0,0.0049999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317,0.0040000002,0.0089999996,0,0,0,0.33199999,0,0,0.671,0,0,0,0,0,0,0.0060000001,0.003,0,2.404,0,0,0,0,0.021,0,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
"Niger",2.5,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.89999998,0,0,0,0,0,0,0,0,0,1,0,1.9,0.5737018,0.026298201,22.1,0.40000001,0.30000001,0,0,0.2,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.6,0.40000001,0,0,2.7,0,0.30000001,0,0,0.40000001,0.1,0,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.1,0,0.1,0,0.1,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0,2.7,0,0.1,0,0,2.2,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ivory Coast",16.5,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0.40000001,0,0,1.4,0,0,0,0.80000001,0,7,0,12.6,5.9282522,0.2717483,144.39999,0.89999998,0.40000001,0.1,0,0,0.5,0.40000001,0.60000002,0,8.1000004,0.0099999998,0,0.2,0,0,0,0.1,0,0.69999999,1.3,0.69999999,0.40000001,0,0,2.2,5.6999998,0.071999997,0,0.40000001,0,0,0.2,0.2,0,0.1,0.5,0,0.69999999,2.9000001,0,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,3.0999999,2.3,10.8,0.60000002,0,0,0,0,0,0.1,0,0.1,0,0.89999998,0.5,0,0,0,0,0.2,0,0,0,0.30000001,3.4000001,0.2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guinea",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.4780848,0.021915199,8.5,0.2,0,0,0,0,0,0,0,0,1.2,0,0,1.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0.235,0,0,0,0,0,0,0.1,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkina Faso",0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0.30000001,0,0.69999999,0.66931868,0.030681301,16.5,0,0.1,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,1.3,0,0,0.1,7.5999999,0,0,0,0,0.60000002,0,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberia",55,0.80599999,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.80000001,0,0,0,0,0,0,0,0,0,8.8000002,0,4.5,1.721105,0.078894697,3.4000001,0.83499998,0.60000002,0,0,0.2,1.434,0.1,0.30000001,0.40000001,1.7,0.02,0,0,0.1,0,0,0.2,0,0.40000001,4.6999998,0.36700001,1.309,0,0,0.1,0.2,0,0,0,0.30000001,0.1,0,0,0.23,0.1,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315,0,0,0,0,0.2,0,0,0,0,2,0,0,0,0,0.2,0,0.066,0,0,0,0,0,0.80000001,0,0,0,0,9.3000002,0.2,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
"Sierra Leone",9.6000004,1,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,25.5,0.40000001,5.5999999,0.95616961,0.043830398,6.5999999,0.30000001,0.40000001,0,0,1.1,0.5,0.1,1.5,1.2,2.2,0.0099999998,0,0,0,0.1,0,0,1.5,0.1,0.5,0.5,0.80000001,0,0.1,0,0.60000002,0,0,0,0.40000001,0,0,0.242,0,0.1,0,0,0.80000001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2,0,0,0,0,0.30000001,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0,1.9,0,0,0,0,9.8999996,1,0.2,2.4000001,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1
"Ghana",54.599998,5.8000002,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,1.3,0,96.5,0.30000001,15.6,1.529871,0.070128597,9.6000004,2.4000001,1.7,0,0,3.4000001,4.0999999,0.69999999,1.7,3.5,7.5,0,0,1.8,0,0,0.5,0.30000001,10.7,0.30000001,2.7,1.8,2.3,0,0.003,1.8,0.2,0.081,0.023,0.80000001,0.2,0,2,0.2,0.2,0,0.2,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0,0.5,0,0.30000001,0,0,1.5,0,0.69999999,0,6,0,0,2.5,0,0,0.80000001,0,0,0.30000001,0.69999999,18.200001,1.7,4.4000001,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0.40000001
"Togo",1.8,0.40000001,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0.89999998,0,0,0,0,0,0,0,0,0,3.7,0,1.8,0.5737018,0.026298201,13.2,0.30000001,0.40000001,0,0,0,0.30000001,2.0999999,0.1,0.2,1,0,0,0,0,0,0,0.1,0.69999999,0,0.1,0.40000001,0.30000001,0,0,0,0.60000002,0.69999999,0,0.2,0.30000001,0,0.1,0,0,2.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0,0,2.3,0,0,0,0,5.6999998,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cameroon",8.1999998,0.1,0,0,0,0,0.69999999,0,0,0,0,0,0,0,0,0,0.69999999,0,0,0,0.1,0,0,0,0,0,3.8,0,3.7,5.545784,0.25421619,106.7,0.69999999,0.69999999,0,0,0.40000001,0.30000001,0.1,0.69999999,0.5,7.6999998,0,0,0.40000001,0,0,0.1,0,0,0,0.40000001,0.40000001,0.5,0,0,0,0.40000001,0.027000001,0.1,0,0.40000001,3.5,0,0,0,0,0,0,0.1,0.40000001,0.40000001,0.1,2.5999999,0,0,0,0,0,0,0,0,0,0,0.30000001,0.2,0,0,0,1.6,0.1,0.30000001,0,0,0.5,0,0,0.80000001,0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,3.7,0,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nigeria",78,4.6999998,0,0,0,0,2.0999999,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0.1,0,0,0,0,0,180.8,1.8,26.1,7.7449741,0.35502601,26.4,6.5,1.7,1.7,0,1.9,4.9000001,4.5,2.8,7.4000001,30.1,0.059999999,0,0.69999999,1,0.1,0.30000001,0,3.0999999,2.4000001,6.3000002,12.8,3.5,2.8,0.0060000001,0,0.30000001,0.1,0,5.3000002,1.1,0,0,0.30000001,0.1,1,0,0.2,0,0.2,0,2.0999999,0,0.89999998,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0.80000001,0.5,0,0.1,0.1,0.1,0.30000001,0,0.60000002,0,0.69999999,0,3,0.1,0,0,0,0,17.5,0,0,0,2.3,52.5,9,9,0.1,0,0,0,0,0,0,0,0,0.2,1,0,0,1.7,0.40000001
"Gabon",6.1999998,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,2.0999999,1.147404,0.052596401,40.299999,0.1,0.30000001,0,0,0.1,0,0,0.1,0,2,0,0,0,0,0,0,0,0,0,0.30000001,0,0.1,0,0,0,0.5,0.1,0.1,0,0.30000001,0,0,0,0,0,0.1,0.80000001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1.2,0.40000001,0.5,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Central African Republic",1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0,0,0,0,0,0,0,0,0,1.1,0,1.9,1.147404,0.052596401,26.299999,0.2,0.2,0.40000001,0,0,0,0.1,0,0,1.6,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0.30000001,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chad",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0,1.2,0,1.5,1.625488,0.074511603,17.799999,0.2,0.30000001,0.2,0,0.2,0.1,0.1,0.1,0.2,1.6,0,0,0.1,0,0,0,0.1,0,0,0.2,0,0.2,0,0,0,0.60000002,0,0,0,0.1,0,0,0,0,0,0,0.69999999,2.0999999,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.30000001,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0.5,0,0.40000001,0,0,0.5,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Congo",3.5,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,3,1.4342541,0.0657456,43,0.30000001,0.40000001,0,0,2.4000001,0,0,0,0.1,2.8,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0.1,0,0,0,0.30000001,0,1.8,0,0.30000001,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0.30000001,0.1,0.1,0.30000001,0,0,0,0.80000001,0.2,0.40000001,0,0,0.69999999,0,0,0.40000001,0,0,0,0,0.2,0,0,0,0,3,0,0,0.1,0,1.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Democratic Republic of the Congo",46,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1.6,0.1,11.7,0,6.6999998,78.023438,3.5765581,15.2,2,2.5,2,0,0,0,1,0,0.69999999,21.700001,0,0,0,0.1,0,0,0,0,0.1,1.2,1.6,1.1,0,0,0,0.0040000002,0,0.037999999,0,0,0,0,0.1,0,0,0,0,0.2,0,0.1,0.60000002,2.9000001,0,0.60000002,0.5,0.40000001,0,0.1,0,0,2.7,4.4000001,0.30000001,7.8000002,0,0,0,0,0,0,0,0,4.3000002,0,0,0,0,0.02,0,0.30000001,0.30000001,0,0,0,0,0,0,0,0,0,6.0999999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uganda",7.8000002,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.900002,0.1,2.8,2.294807,0.1051929,4.4000001,0.89999998,0.2,0,0,0.1,0.40000001,0.69999999,0.5,1.5,5.3000002,0.0099999998,0,0.40000001,0.1,0,0,0,2,0.2,2.0999999,0.40000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.60000002,0,0.1,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0,0,0,0,0,0.80000001,0,0,0.1,0,0,2.2,0,0.2,0,0.30000001,7.5999999,3.8,1.6,0,0,0,0,0.2,0,0,0,0,0.40000001,0.60000002,0,0,0.89999998,0
"Kenya",21.700001,2.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0.1,7.9000001,6.1194859,0.28051439,10.8,1.7,0.30000001,0,0,0.5,0.80000001,1.3,0.69999999,1.8,10.9,0.029999999,0,1.1,0.1,0,0,0,1,1.2,4.6999998,1.1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,1.5,0,0,0,0,0.1,0,0.1,0.40000001,0,1,0,0,0,0.69999999,0,0,0,0,0,24,0,0,0.1,0,0.050000001,0,2.0999999,3.8,0,1.2,1.1,0,2.5,0,0.5,0,0.5,16.4,8.8999996,3.9000001,0,0.2,0,0,0.30000001,0,0,0,0,1.4,1.2,0,0.1,3.8,0.5
"Tanzania",13.8,4.8000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,0.1,7.4000001,1.721105,0.078894697,6.9000001,0.60000002,0.2,0,0,0.60000002,0.5,0.5,0.0040000002,1,19.4,0,0,2.8,0,0,0,0,1,0.1,1,0.89999998,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0.1,0.5,0,0.0099999998,0,0.60000002,1.3,0,0.2,0.5,0,8.6999998,0,0.5,0,0.2,9.3000002,5.5999999,2.7,0,0,0,0,0.40000001,0,0,0,0,0.40000001,0.89999998,0,0,1,0.1
"Burundi",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0.30000001,2.8685091,0.13149109,0.40000001,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.30000001,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,1.1,1.6,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rwanda",1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0,0.30000001,5.3545499,0.24545009,1.2,0.30000001,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2.7,0.60000002,0.1,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0,2.5,0.2,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Somalia",3.9000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0.2,0.2868509,0.0131491,0.69999999,0,0,0,0,0,0,0,0,0,12.8,0.039999999,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0.40000001,1.6,0,0.039999999,0,0,0.2,0,2.28,0,0,0,0,0,0,0,2.3,0.69999999,0,0,0,0,0,0.89999998,0,0,0,0,0,0,0,0,0,0
