"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",3.0999999,0,0,0,0,0,0,0,2.9000001,0.41,0,0,0,4.2199998,0,22.51,0,0,5.2800002,0,0,0,11.93,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",7.5599999,0,0,0,0,0,0,0,0,1.17,0,0.62,0.0087882001,0,3.24,25.59,0,6.2800002,13.62,0,2.05,0,6.9699998,0,4.5799999,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",3.51,0,0,0,0,0,0,0,0,2.5699999,0,0,0,1.49,0,10.77,0,1.67,5.6700001,0,2.6900001,0,3.53,0,3.3499999,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",462.28,0.22,2.25,0,0,1.1799999,1.37,0.34999999,6.2600002,24.549999,0,0,15.8,9.7600002,2.1800001,0,129.19,85.589996,221.69,20.33,55.970001,15.03,131.25,11.07,15.64,0.029999999,9.0200005,15.51,131.49001,44.580002,37.990002,4.6199999,0.81999999,25.49,29.610001,0,7.5500002,1.4
"Netherlands",30.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.02,0,70.669998,9,0.79000002,0,0,96.849998,0,0,0,0.51999998,0,45.099998,0,0,0,0,1.09,0,0,0.33000001,0
"Belgium",22.34,0,0,0,0,0,0,0,6.6300001,3.79,0,0,1.63,10.73,3,37.509998,38.830002,0,60.990002,2.0999999,2.9400001,0,32.639999,0,3.73,0,1.24,18.290001,21.440001,8.0500002,0,0,0,0.07,0,0,0.07,0
"France",58.759998,0,3.51,0,0,0,0,0,0,0,0,0,1.8099999,41.91,5.3699999,102.97,4.3600001,90.910004,0,27.309999,67.940002,0,64.690002,0,25.639999,0.14,5.5900002,0,40.189999,6.4899998,0.25999999,0,0,18.6,0,0,14.05,0
"Switzerland",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7399998,1.51,6.02,50.349998,0,0,0,51.830002,20.440001,27.030001,0.039999999,0,0,5.02,0,0,0,0,0,0,0,0.13,0
"Spain",19.620001,0,0.5,0,0,0,0,0,0,0,0,0,0,1.5,0.37,30.959999,0,5.7600002,50.82,0,0,3.24,10.29,0,3.75,0,0,0,3.78,5.5799999,0,0,0,2.4300001,0,0,0,0
"Portugal",3.8900001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.13,0,2.9200001,0,0,8.4099998,0,4.46,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",84.309998,0,3.28,0,0,0,0,0,0,0,0,0,4.3600001,7.71,1.33,158.74001,67.300003,79.300003,67.129997,42.580002,7.54,2.3099999,0,126.35,34.990002,0.15000001,0.43000001,0,129.77,16.66,10.04,0,0,0.23,0,0,1.61,0
"Austria-Hungary",0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9299998,0,0,0,7.3899999,0,0,80.139999,0,16.85,6.5900002,1.5,0,15.31,0,0,0,0,5.9000001,0,0,0.33000001,0
"Italy",14.08,0,0,0,0,0,0,0,0,0,0,0,0.1,1.77,0.38999999,1.51,3.48,0.0088649997,0.029999999,11.64,1.83,2.6700001,29.23,28.68,0,0.14,0.57999998,10.14,28.709999,0,0,0,0,3,0,0,0.72000003,0
"Yugoslavia",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70999998,0,0.029999999,0.029999999,0.1,0,0,0.37,4.3600001,0.090000004,0,0.0099999998,0.28999999,0.2,0,0,0,0,0.16,0,0,0,0
"Greece",0.55000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1300001,0.5,0.46000001,2,0,0,0,0.81,3.2,0.86000001,0,0,0.16,4.4699998,0,0,0,0,4.3000002,0,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0900002,0,1.36,0,0,0,0,0,0,2.1400001,0.050000001,0.059999999,0,3.75,0,0,0,0,1.0700001,0,0,0,0
"Russia",25.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.779999,2.1900001,0.0015542,9.4399996,2.46,0.15000001,0,61.450001,9.2799997,3.74,0,0.56999999,0.80000001,0,3.02,0.74000001,0,5.75,3.51,13.48,0,0.41999999,0
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.18,0,2.73,2.0799999,0,0.28,0,31.459999,0,0,0,0,0,6.5100002,0,12.32,0,0,0,0,0,0,0
"Denmark",5.0300002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.44,0,0,2.8900001,0,0,0,16.99,0,0,0,0,0,5.75,9.3000002,0,0,0,0.0083149998,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,4.3499999,0,0,0,0,0.039999999,0,0,0,0
"Turkey",0.25999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.849998,0.40000001,1.8099999,11.08,0,0.00097920001,0,0.11,17.83,1.84,0.28,1.28,1.71,7.5500002,0.19,0.0012887,0,2.3099999,0,0,0,0,0
"China",4.3699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.34,0,1.15,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,12.59,0
"Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0700001,0
"Japan",5.2199998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.690001,0.039999999,0.87,3.28,0.75,0,0,4.8099999,0.0099999998,0.14,0,0,0,0.54000002,0,0,0,0,0,13.11,1.25,0,0
"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
