"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Philippines","Indonesia","Australia","New Zealand"
"Paraguay",7.6999998,0.11,0,0,0,0.1,0,0,0,0.000019999999,0.000032,0,0,0,0,0.0080500003,2.3099999,0,0,0,6.8200002,0.44,5.6100001,0,0.22,0,0,0,0.13,0,0.000039999999,0,0,0,0.22,0,0,0,0,0,0,0,0.66000003,0.0033090001,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0.22,0,0,0,0,0,0,0.11,0,0
"Chile",165.3,2.0999999,4.5999999,0.000095000003,0.0071359999,0.60000002,0,0,0,0,0.2,0,0.1,0,1.5,32.599998,13,0.2,0.000159,0,13.3,0,24.1,0,1,0,0,5.6999998,3.4000001,4.8000002,0.1,0.00057500001,0,0.0099999998,4.4000001,0,0.000017,0.0000030000001,0,0,0,0,4.9000001,0.090000004,0.60000002,0,0,0,0.5,0,0,0,0.000332,0.00015599999,0,0,0,0,0,0,0.2,0,0,0,0,3.5,0,0,0.1,0,0,0,0,0.1,0
"Argentina",131,2.8,0.16,0.001585,0.00102,0.2,0,0,0,0,0,0,0.69999999,0,0.60000002,4.6999998,83.699997,1.5,0.94999999,11.1,0,7.5999999,188.60001,0,3.0699999,0,0,14.79,17.5,8.6999998,0,0.2,0,2.1500001,132.7,0,5.6999998,0.00459,0,0,0,13.4,24.299999,0.37,0.28,0,0,0.000233,3,0,0.1,0,0.0099999998,0.00089800003,0,0,0,0,0,0,0,0,0,0,0,26.6,1,0,1.2,0,0,0.40000001,0,0,0
"Uruguay",39.5,2.5,0,0,0,0.2,0,0,0,0,0,0,0,8.6999998,2.9000001,5.1999998,19.6,0,0,0.69999999,2.0999999,0,42.599998,0,0,0,0,0,3.2,0.69999999,0.2,0,0,0,5,0,0,0,0,0,0,0.30000001,5.5999999,0.02,0,0,0,0,0.60000002,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.40000001,0,0,0,0,0,0
"United Kingdom",823.09998,821,84.550003,2.45,34.220001,14.9,0.30000001,0.2,0.1,0.60000002,0.1,0,0.5,22.200001,0.2,32,86.599998,33.400002,4.9400001,28.9,277.70001,56.700001,0,203.89999,241.07001,0,0,276.45001,42.599998,67.199997,32.200001,53.799999,26.299999,8.3299999,138.39999,0,44.799999,22.26,0.60000002,7.6999998,51.900002,122,228.3,79.800003,285.84,10.7,0,2.1400001,127.2,128.10001,31.9,23.299999,113.6,3.7,0,0,22.299999,25.6,0,0,14.8,0,0,0,0,362.29999,54.5,12,99.599998,0,11.5,4.3000002,18.200001,790,446.29999
"Ireland",68.300003,10.6,1.5,0,0,0.2,0,0,0,0,0,0,0,0,0,0.5,2.5,0,0.1,0.60000002,1.8,0.5,275.29999,0,11.6,0,0,6.6700001,1.7,2.7,1.6,1,0,0.94,1.8,0,0,2.6900001,0,0,0,6.3000002,9.8999996,0.89999998,1.6799999,0.2,0,0,3.3,1.8,0.30000001,0,0.17,0.0062540001,0,0,1,0.30000001,0,0,0.2,0,0,0,0,11.7,2,0,1.2,0,0.60000002,0.1,0.80000001,2.5999999,1.9
"Netherlands",303.12,11.8,21.690001,1.6,0.89999998,9,0.30000001,0.2,0,0.1,0.1,1.7,1.4,10.6,0.2,2.3,18.030001,0.1,0.5,2.7,60.200001,4.0999999,200.81,6.0999999,0,0,0,125.73,41.880001,13.6,3.4000001,26.6,11.1,40.080002,25.85,0,13.7,2.3,0.40000001,0.40000001,21.5,33.84,60.240002,18.1,14.1,0.89999998,0,0,8.1999998,8,3.4000001,2.5,3.7,7.5999999,0,0,2.4000001,0,0,0,1.1,0,0,0,0,12.6,1.6,0.40000001,1.6,0,3.5999999,0.89999998,142.2,7.9200001,5.6999998
"Belgium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",490.73001,31.42,18.030001,0.23,0.050000001,9.6300001,0.12,0.0099999998,0.0024530001,0.69999999,0.89999998,0.80000001,4.96,35.080002,0.16,2.8699999,27.24,1.8200001,0.14,23.540001,36.34,3.46,99.010002,0.30000001,68.440002,0,0,0,46.59,46,9.9499998,34.450001,5.8499999,16.23,53.369999,0,2.24,5.6700001,0.23,0.0062930002,4.04,18.290001,42.799999,23.190001,22.629999,0.66000003,0.0099999998,0.30000001,49.029999,7.3600001,12.15,46.810001,33.869999,2.0999999,0.97000003,0,0.07,110.1,0,0,4.5599999,0,0,0,0,0,16,0.1,3.4000001,0,0.090000004,5.73,6.3000002,121.08,38.119999
"Switzerland",178.89999,35.799999,5.0999999,1.01,0.40000001,4.5999999,1.1,0,0.60000002,0,2.3,0.2,0.89999998,2.4000001,0.69999999,3.5999999,10.8,0,0.43000001,4,20.700001,5.4000001,64.099998,0.5,32.049999,0,0,82.32,0,14.5,3.3,6.8299999,11.4,22.219999,58,0.0000049999999,6.0300002,1.83,1.9,0.60000002,2.7,1.4,15.2,2.4000001,17,0.1,0,1.75,5.6999998,15.6,3.5999999,0,8.6700001,0.2,0,0,0.1,0.60000002,0,0,3.9000001,0,0,0,0,6.9000001,0.30000001,0,2.9000001,0,4.6999998,1.9,3.5999999,4.5,1.9
"Spain",41,0.2,0,0,0,0.89999998,0,0,0,0,0,0,0,1.9,0,0.40000001,39.400002,0,0,8.3000002,61.299999,0,38.099998,0.80000001,0,0,0,0,13.4,0,2,0,0,0,8.3000002,0,0,0,0,0,0,1.6,10.4,8,8.1999998,0,0,0,1.9,2,0.30000001,0,0,0,0,0,0,8.1000004,0,0,0,0,0,0,0,7.5,0,0,0,0,0,1.4,1.8,2.3,0
"Portugal",62.799999,11.7,2.23,0.63,0.0036859999,0.89999998,0,0,0,0,0,0,0,6.5999999,0,0,7.8000002,0,0.12,2,3.2,0,85.900002,0.1,9.2399998,0,0,22.860001,10.9,3,0,0.97000003,0,1.74,3.4000001,0,0.0099999998,0.050000001,0,0,0,0.60000002,7.9000001,4.8099999,3.04,1,0,0,2.5999999,0.60000002,0,0,1.84,0,0,0,0,5,0,0,0.1,0,0,0,0,0.69999999,0.60000002,0,0.1,0,0,0,0.2,1.3,0
"Poland",23.52,1.79,0,0,0,0,0,0,0,0,0.00059700001,0,0,0,0,0,12.7,0,0,0,0,0.60000002,160.47,0,19.299999,0,0,0,2.78,0,0.029999999,0,0,0,13.3,0,3.7,0,0,0,0,8.6000004,8.7399998,2.71,16.200001,0.80000001,0,0,3,0,4.1999998,0,13.2,0,0,0,0.5,0,0,0,0,0,0,0,0,2.0999999,3,0,0,0,0,0.5,0.40000001,0,4.5
"Hungary",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.299999,0.1,5.5999999,0,0,0,11.7,0,0.1,0,0,0,6.3000002,0,5,0,0,0,0,2.0999999,5.5,0.20999999,1.1,0,0,0,0,0,3.4000001,0,4.3000002,0,0,0,0.2,0,0,0,0,0,0,0,0,0.69999999,0.2,0,0,0,0,0,0,0,0
"Czechoslovakia",21.76,2.8,0,0,0,0,0,0,0,0,0.000057000001,0,0.1,0,0,0.029999999,0.20999999,0,0,0,0,0,90.669998,0,0,0,0,0,4.8299999,0.40000001,0.029999999,0,0,0,0,0,0,0,0,0,0,0,6.9499998,2.53,0,0,0,0,1.01,0,0,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,4.6999998,8.6999998,0,0,0,0,0,0.40000001,0,0.91000003
"Italy",532.79999,11.4,1.9,3.0999999,0.5,9,0.40000001,0,2,0,0.80000001,0,1,7.8000002,2.9000001,1.6,29.4,0,0.89999998,10.1,77,9.1000004,58.700001,0.40000001,18.280001,0,0,36.470001,45.299999,9.5,3.9000001,33.700001,6.5,15.7,0,0,17.34,5.1599998,3.0999999,1.3,16.5,3.8,32.299999,9.4799995,12.81,1,0,3.3,20.9,30.299999,5.6999998,5.8000002,32.139999,2.04,0,0,0,27.200001,0,0,4.8000002,0,0,0,0,21.6,4.5,0,2.9000001,0,0.30000001,4.0999999,2.3,82.5,5.6999998
"Albania",0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.00076099997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061599998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yugoslavia",20.889999,0.67000002,0.60000002,0,0,0.60000002,0,0,0,0.1,0.00039,0,0,0,0,0,0.2,0,0,0,13.7,0.60000002,64.18,0,25.5,0,0,0,19.5,0,0.0055709998,6.6999998,8.3999996,0,34,0,0,0,0,1.1,4.6999998,0.89999998,7.4000001,0.090000004,1,0,0,0,0.19,0,0.30000001,0,9.3000002,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1.1,1.51
"Greece",186.63,2.4100001,4.1999998,0,0,0.5,0,0,0,0.0016,0,0,0,0,0,0.89999998,4.0999999,0,0,1.1,1.6,2.4000001,211.08,0,8.3999996,0,0,0,0.41999999,0,0.2,0,0,0,16.799999,0,0.89999998,0,0,0,0,4.4000001,3.29,0.37,2.5999999,1.8,0,0,9.2600002,12.6,19.299999,0,2.4000001,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,5.0999999,3.0599999
"Bulgaria",1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0.5,0,0,0,2,0,0,0,0,0,2.5,0,0.2,0,0,0,0,0.40000001,0.89999998,0.0099999998,0.2,0,0,0,0,0,0.30000001,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001
"Romania",3,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8000002,0,0.60000002,0,0,0,3.9000001,0,0,0,0,0,1.9,0,0.2,0,0,0,0,1.4,0.69999999,0.0085899998,0.40000001,0,0,0,0,0,1.1,0,4.1999998,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0
"Russia",7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,39.299999,0,7.1999998,0,0,0,5.5999999,0,0.60000002,0,0,0,17.799999,0,9.5,0,0,0,0,135.2,21.200001,4.2800002,9.1000004,0,0,0,0,0,0.2,0,12.1,0,0,0,0.30000001,0,0,0,0,0,0,0,0,12.6,9.5,0,0,0,0,0,0,30.5,11.6
"Finland",30.299999,0.40000001,0.80000001,0,0,0.80000001,0,0,0,0,0,0,4.3000002,0.40000001,0,0,2,0,0,0,22.5,0,73.5,0,34.700001,0,0,0,4.0999999,1.2,0.1,18.9,2.4000001,0,7.3000002,0,0.80000001,1.4,0.30000001,2.9000001,37.700001,0,25.4,1.2,21.6,0,0,0,1.3,0.80000001,1.2,0,1.7,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0.60000002,2.0999999,0,0,0,0,0,0.89999998,3.8,0.5
"Sweden",112.7,7.5999999,0.2,0,0,1.3,0.1,0,0,0,0,0,3.9000001,5.1999998,0.1,0.1,33.599998,0,0,4.3000002,31.799999,2.5,200.89999,1.3,54.290001,0,0,60.639999,18.200001,15.3,5.5,52.779999,5.5999999,26.309999,36.299999,0,7.3000002,3,0.80000001,0.60000002,2.8,14.4,0,42.950001,39.810001,0.69999999,0,0.40000001,8,20.200001,5.3000002,2,5.9000001,0,0,0,0,8.1000004,0,0,1.7,0,0,0,0,9,3.5999999,0.5,2.0999999,0,1.1,2.8,8.3000002,17.799999,3.7
"Norway",102.22,21.84,1.7,0.81999999,0.0024019999,1.64,0,0.00092399999,0,0,0,1.53,0,1,0.029999999,0.44,8.3000002,0,0.51999998,0.81999999,4.4499998,1.16,166.37,0.34,28.459999,0,0,40.080002,7.0799999,7.4899998,1.62,16.379999,0.68000001,16.09,18.639999,0,0.43000001,0.68000001,0.14,1.16,22,5.0500002,109.56,0,33.650002,0.090000004,0.0099999998,0.20999999,1.3,13.53,1.0599999,0.0099999998,0.16,0.0099999998,0.00092399999,0,0.2,0,0,0,2.3,0,0,0,0,3.8,0.30000001,0.1,0.69999999,0,0.99000001,2.76,0.69999999,3.22,2.1400001
"Denmark",128.39999,2.73,0.000956,0,0,0.41999999,0,0,0,0.000187,0,0,0.001147,0,0,0.69999999,11.36,0,0,0.1,8.7200003,0.60000002,255.98,0.15000001,18.25,0,0,38.59,14.74,10.2,5.0300002,33.799999,2.3900001,11.56,19.790001,0,3.3,0.28999999,0.050000001,2.73,14.66,29.17,55.16,30.07,0,1,0,0,1.09,0,1.7,0,1.27,0.1,0,0,2.3,0,0,0,0.40000001,0,0,0,0,2.0999999,0,0,0.81999999,0,0.56999999,6,0.000191,3.0899999,1.3200001
"Iceland",9.8999996,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,15.9,0,2.8,0,0,0,0.40000001,0,0.1,2.2,0,0,2.8,0,0,0,0,0,0,2.5999999,2.4000001,0.15000001,6.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",3.71,0.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0.40000001,0,0,0.40000001,0.029999999,0,0,0,0,0,5.5,0,0,0.1,0,0,0,0.2,0.07,0.0043509998,0,0,0,0,0.029999999,1.8,0,0,0.40000001,0,0,0,0,0,0,0,1.5,0,0,0,0,4.5999999,0,0,0,0,0,0,0,0,0
"South Africa",266,76.400002,0.40000001,0,0.039999999,0.60000002,0,0,0,0.1,0,0,0,0,0,0,8.3000002,0,0.0041680001,0,2,0,481.79999,0.30000001,3.1099999,0,0,8.2799997,6.4000001,0.60000002,1.7,0.20999999,0,1.72,5.8000002,0,0.25999999,0.02,0,0,0,2.2,13.8,2.21,0.56,0,0,0.00095299998,0,31,0,0.30000001,2.53,0,0,0,0,22,0,0,0,0,0,0,0,20.200001,0,0.2,11.6,0,0.60000002,1.2,1.7,9.3000002,0.5
"Iran",71.900002,0.1,4.6999998,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.400002,0,0.89999998,0,0,0,3,0.5,0,0.1,0.1,0,5.5999999,0,0,0.1,0,0,4.0999999,0.30000001,2.3,0.029999999,0,0,0,0,0,0,0,0.60000002,0.1,0.30000001,0,0,0,0,0,0,0.1,0,0,0,0,15.2,0.30000001,0.2,2.2,0,0,0,0.5,5.6999998,0
"Turkey",58.599998,15.1,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1999998,0,0,0,0,0.2,49.900002,0.2,7.5,0,0,0,6.1999998,0.80000001,0.30000001,5.3000002,3.7,0,14.6,0,0.69999999,0.89999998,0.30000001,2.7,0,2.3,10.6,1.4,0.80000001,0,0,0,0.89999998,5.6999998,0,0,1.1,1.1,0,0,0.30000001,6.1999998,0,0,0.1,0,0,0,0,3.2,0.60000002,0,0.60000002,0,0,0,0,9.1999998,0.30000001
"Iraq",16.9,0.40000001,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,64,0,2.7,0,0,0,0.2,0.2,0,0.30000001,0.40000001,2.4000001,11.2,0,0.1,0.40000001,0,0,0,0.1,3,0.07,0.1,0,0,0.2,0.30000001,4.5999999,0.1,0,0.40000001,7.9000001,0,0,0,0,0,0,1.3,0,0,0,0,7.8000002,0,0,9.3000002,0,0,0,0.40000001,0.89999998,0
"Egypt",52.880001,4.4000001,0.1,0,0,0.89999998,0,0,0,0,0,0,0,0,0,0,3.3,0,0,21.700001,5.3000002,3,541.53003,0.30000001,27.6,0,0,0,2,0,0.40000001,1,2.5,0,57.099998,0,6.5,2.4000001,1.1,3.5,2.4000001,10.3,10.4,7,3.2,0,0,0.69999999,23.9,22.5,8.8000002,6.5,0,3.5,0,0,0,18,0,0,0.69999999,0,0,0,0,18.200001,0.89999998,0.1,18.799999,0,0,0,2.8,35.200001,3.6099999
"Syria",4.9000001,3.2,1.4,0.1,0,0,0,0,0,0.079999998,0.1,0,0,0,0,0.0099999998,1,0,0,0,0,0,41.5,0,2,0,0,39.200001,4.5,2.4000001,0.0031069999,0,0,0,10.5,0,0.2,0,0,0,0,0,0,0.0047220001,0.40000001,0,0,0.40000001,0,0,4.9000001,8.8999996,3.4000001,0,0,0,0,0,0,0,0,0,0,0,0,3.4000001,0.30000001,0,0.60000002,0,0,0.2,0,0,0.2
"Lebanon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jordan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
