"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Nepal","Thailand","Philippines","Australia","New Zealand"
"Portugal",0,0,0.16,0,0.0024300001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056699999,0,0,0,0,0,3.0799999,0,0,8.2200003,0,0,0,0.20999999,0,0.02,0,0,0.54000002,0.00044599999,0,0,0,0,0,5.73,2.5899999,0,0,0,0,0,0,0,1.33,1.79,0,0,0,0,0,0,0,0,0,0,0,0
"Poland",183.25999,18.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000017,0.17,0,0,0,0.88,0,184.91,0,0,0,0,0.000864,0.31,0,0.000055,0,0,0.15000001,0,0,0,0,0,0,0,0,5.0599999,0.57999998,0,0,0,0,0.66000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000375,0,0,0,0,0,0.41999999,0,0,0,0,0,0,10.2,0,0,0.0080380002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Czechoslovakia",17.1,2.4100001,0,0,0,0.02,0,0,0,0.00013099999,0,0,0,0,0,0.28,0.31,0,0.0096690003,0.090000004,2.8,0,18.360001,0.029999999,9.9099998,0,0,6.46,21.799999,0,0.80000001,0.55000001,11.8,0,4.4699998,0.0088060005,13.06,0,7.8800001,3.8499999,27.120001,0.14,18.33,4.25,6.3400002,1.41,0,0,3.6099999,0.050000001,3.5699999,0,2.23,0.34999999,0,0,0,0,0,0.02,0,0,0,0,0.20999999,0.15000001
"Italy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",4.3200002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039999999,0,0,0,0.00063999998,0,8.1400003,0,0,0,0,0.000064,0.00023200001,0,0,0,0,0.0035570001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050000001
"Yugoslavia",126.61,10.15,0,0,0,0,0,0,0,0.000018999999,0,0,0,0,0,0.000029000001,0.19,0,0,0,0.2,0,116.59,0,0,0,0,0.0032039999,0.16,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0.02,0.007429,0,0,0,0,2.5599999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66
"Greece",143.64,8.2200003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28999999,0,0,0,2.77,0,104.8,0,0,0,0,0.0099999998,0.31999999,0.000497,0.02,0,0,0.050000001,0,0,0,0,0,0,0,0,1.09,0.30000001,0,0,0,0,6.5100002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88999999
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174,0,0,0,0,0,0.34,0,0,0,1.3099999,0,1,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022400001,0,0,0,0,0,0.20999999,0,0,0,0,2.0999999,0,0,0,0,0.0020300001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0097239995,0,0,0,0,11.5,1.92,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0.64999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweden",0,0,0.56999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.690001,0,0,29.35,0,0,0,32.07,0,19.9,0,0,0.13,0.88,0,0,0,0,0,30.82,30.26,0,0,0.059999999,0,0,0,0,2.0999999,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0
"Norway",96.239998,26.610001,0.07,0.38,0,0.15000001,0.079999998,0,0.31999999,0,0,1.5700001,0.000202,1.1,0.12,0.07,7.9200001,0,0.050000001,0.23,11.11,0.94999999,85.779999,0.059999999,9.9399996,0,0,13.02,2.0599999,7.2800002,1.65,4.1199999,0.050000001,10.71,10.35,0,0,0.079999998,0.20999999,0,2.1900001,3.1199999,45.439999,0,21.629999,0.23999999,0.0076669999,0.0038330001,1.4400001,3.1700001,1.85,0.0099999998,1.1,0.059999999,0,0,0,0,0,0.67000002,0,0,0.02,0.20999999,2.1300001,0.5
"Denmark",53.490002,1.25,0,0,0,0.0068890001,0,0,0,0.000336,0,0,0.00083500001,0.050000001,0,0,14.18,0,0,0.0020880001,16.02,0,269.10999,0.16,10,0,0,15.96,11.42,3.1199999,1.02,9.9899998,0.44999999,10.86,5.8299999,0,0,0.58999997,0.14,0.02,2.3599999,22.59,41.860001,29.780001,0,4.5300002,0,0,0.77999997,0,0,0,3.4300001,0,0,0,0,0,0,0.00167,0,0,0.22,0,2.03,0.34999999
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,0,0.25999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",0.70999998,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000033,0,11.17,0,0,0,0,0,0.02,0,0.000359,0,0,0.0099999998,0,0,0,0,0,0,0,0,0.12,0.000122,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",0,0,0.94999999,0.0037169999,0.0033720001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0,0,2.6199999,0,0,4.71,0,0,0,0.02,0,1.4,0,0,0,0.039999999,0,0,0,0,0,4.4299998,0.52999997,0,0,0.000039999999,0,0,0,0,1.1900001,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0.0091089997,0,0,0,0,0,0,0,0,0,0.0093780002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0080350004,0,0,0,0,0,0.41999999,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
