"","United States of America","Haiti","Mexico","Guatemala","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Chile","Argentina","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Greece","Russia","Sweden","Denmark","Morocco","Tunisia","Iran","Turkey","Egypt","China","Japan"
"Austria-Hungary",0,0,0,0,0,0,0,0,0,0,0,0,9.4399996,0,0,0,0,0,0,0,0,38.650002,0,12.95,0,0,0,0,0,0,0,0,0
"Italy",7.9000001,0,0,0,0,0,0,0,0,0,0,0,51.66,0,0,43.25,8.6099997,0,0,2.6300001,37.779999,0,0,0,0,0,0,0,0,0,0,0,0
"Greece",0,0,0,0,0,0,0,0,0,0,0,0,5.0700002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Russia",0,0,0,0,0,0,0,0,0,0,0,0,77.739998,2.45,2.27,12.3,0,0,0,110.78,15.54,0,0,0,0,0,0,0,0,0,0,4.2399998,0
"Sweden",0.77999997,0,0,0,0,0,0,0,0,0,0,0,20.9,1.84,0,1.6,0,0,0,14.93,0,0,0,0,0,8.4099998,0,0,0,0,0,0,0
"Denmark",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1500001,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunisia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkey",0,0,0,0,0,0,0,0,0,0,0,0,39.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Egypt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",0.58999997,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,4.5300002
"Japan",0,0,0,0,0,0,0,0,0,0,0,0,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0999999,0
