"","United States of America","Canada","Cuba","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"Latvia",1.4299999,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8399999,0,0.28,0.2,0,0.34,0.07,0,0,8.75,0.000001,0.000042,0,0.20999999,0,0,0,0,0,0,0.31,0.91000003,0,0.76999998,0.18000001,0.41999999,0.02,0.94999999,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lithuania",0.029999999,0.0022740001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0.02,0,0,0,0,0,0,0,0,0.000018000001,0,0,0,0,0,0,0,0,0,0,0.23999999,0,0.000206,0.00345,0.0019970001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",13.15,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3099999,0,0,0,0.25999999,0,18.709999,0,4.3600001,2.0899999,0,1.27,0,0.22,0,28.42,0.38999999,0.079999998,0,0.25,0,0,0.000612,0.07,0,0,0.40000001,1.2,0.14,0.1,0,5.3600001,0.80000001,3.79,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0
"Sweden",43.799999,0,0,0,0,0,1.3200001,0,0,0,0,0,0.090000004,0,5.9899998,0,0,0,5.2600002,0,70.220001,0,10.23,3.6500001,0,8.4700003,2.8,1.79,0.15000001,82.199997,0.17,1.26,0,1.52,2.54,0,0.0099999998,0.92000002,0,0,0.93000001,0.97000003,0.44999999,0.059999999,6.1700001,0,9.2299995,23.610001,0,0,0.07,0,0,0,0,0,0.30000001,0,0,0.22,0
"Norway",42.599998,0.67000002,0.0099999998,0.1,0,0,2.22,0,0,0,0,0,0,0,1.5,0,0,0.00021,4.0799999,0,50.98,0.0099999998,10.25,6.3800001,0,5,1.1900001,3.1700001,0.13,49.580002,0.31,1.28,0.02,1.11,1.4400001,0,0.039999999,0.18000001,0.000053,0.07,0.16,0.0099999998,0.07,0.0041299998,0.40000001,22.4,0,18.18,0,0,0,0,0.07,0,0.0099999998,0,0.00181,0,0,0.55000001,0
"Denmark",46.900002,0,0.02,0.0062839999,0.0024369999,0,0.2,0.0099999998,0,0,0,1.0599999,0,0.0099999998,4.1599998,0,0,1.08,4.1900001,0,71.410004,0,11.44,5.77,0,9.6000004,3.5899999,1.58,0.44,99.93,0.56,0.000409,0,1.71,2.78,0,0,0,0,0,0.029999999,0.58999997,0.41,0,5.3800001,21.9,7,0,0,0,0,0,0,0,3.72,0,0.38999999,0,0.12,0.059999999,0
"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",0.0020000001,0,0,0.000271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090000004,0,0.00079000002,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",26.01,5.6999998,0,0,0,0,0,0,0,0,0,0,0,0,3.0599999,0,0,0,0.61000001,0,130.08,0,1.96,3.3299999,0,3.8499999,2.3199999,0,0,12.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1599998,0,0,0,0,0,0,0,0,0,0,2.8099999,0,0,6.3299999,0.079999998
"Iran",0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6500001,0,0,0,0,0,0,0,0,0.64999998,0,0.000016,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18000001,0,0,0,0
"Turkey",0,0,0.0063470001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.459999,0,1.4299999,0,0,26.049999,0,0,0.050000001,0,0,0.000374,0,0,0,0.000386,0.0088050002,1.8,7.29,5.1999998,5.1300001,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.050000001,0,0,0,0
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056940001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",127.29,6.3200002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.43,0,5.71,8.3900003,0,3.4300001,4.4400001,0,0,18.540001,0,0,0,0,0,0,0,0,0,0,10.75,0,0,0,0,0,1.64,0.50999999,0,0,0,0,0,0,0,0,174.3,0,1.53,1.35,0
"Mongolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Japan",284.97,7.9099998,0,0.47,0.0020000001,0,0,0,0,0,0,0,0,0.13,0,0,0,3.1600001,0.23,0,111.04,0,1.5,7.0900002,0,8.8199997,7.9699998,0.55000001,0.039999999,52.869999,0,0.11,0,0,1.39,0,0,0,0,0,0.41,0,0,0,0,4.5799999,1.6799999,0.17,0,0,1.8,0.28999999,0.039999999,0,89.07,0,0,0,10.92,39.23,1.02
"Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thailand",1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8999996,0,0.62,0.76999998,0,0.63,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031069999,0.039999999,0,0,0,0,0,0,6.4200001,0,2.02,0,0,0,0
"Australia",120.92,24.639999,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,332.81,0,0.63999999,4.4000001,0,15.72,10.65,0,0,2.8900001,0,0.0000070000001,0,0,5.71,0,0,0,0,0,0,0,0,0,0,7.9299998,5.4499998,0,0,0,3.6900001,0,0,0,4.25,0,19.15,0,0,0,9.7399998
"New Zealand",24.08,7.5100002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.480003,0,0.15000001,0.63999999,0,0.49000001,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0.73000002,0,0,0,0,0,2.3599999,0,0,20.5,0
