"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"Bolivia",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",2.1300001,0,0,0,0,0,0,0.46000001,1.61,0.15000001,0,0,0,2.55,0,14.65,0,1.6,1.98,0,0,0,8.0600004,0,0.20999999,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",3.3900001,0,0,0,0,0,0,0,0,0.74000001,0,0,0.07,0,4.9299998,11.49,0,3.4000001,4.2800002,0,0,0,3.8900001,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",1.14,0,0,0,0,0,0,0,0,1.65,0,0,0,1.23,0,6.6100001,0,1.11,2.01,0,1.9,0,2.21,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",445.98001,0.31999999,2.8299999,0,0,3.05,0.43000001,0.97000003,6.79,22.52,0,0,18.450001,23.5,0.63,0,140.19,81.870003,212.13,22.74,50.310001,11.55,128.10001,7.9000001,14.32,0.0063568,6.9000001,20.49,90.25,40.889999,43.419998,2.6700001,0.56999999,2.4100001,18.92,0,5.0799999,0.22
"Netherlands",62.540001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.37,0,70.800003,8.1000004,0.81,0,0,104.35,0,0,0,0.89999998,0,35.799999,4.6500001,0.07,0,0,1.73,0,0,0.13,0
"Belgium",25.9,0,0,0,0,0,0,0,5.0700002,7.25,0,0,2.53,13.53,3.6400001,38,38.5,0,53.439999,0.67000002,2.5999999,0,34.970001,0,3.9100001,0.0075126002,0.95999998,12.5,18.74,9.6199999,0.23999999,0,0,0.25,0,0,0.20999999,0
"France",61.27,0,1.58,0,0,0,0,4.5300002,0,0,0,0,1.23,32.279999,5.8099999,95.099998,4.0300002,75.959999,0,14.3,40.59,0,62.43,0,29.18,0.029999999,2.3599999,0,45.419998,8.0100002,0.34999999,0,0,15.56,0,0,18.75,0
"Switzerland",0.0073910002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5500002,0.66000003,4.1100001,21.48,0,0,0,45.799999,14.68,28.299999,0.00077049999,0,0,10.65,0,0,0,0,0,0,0,0.20999999,0
"Spain",16.67,0,0.36000001,0,0,0,0,1.0599999,0,0,0,0,0,0,0.38999999,29.809999,0,3.5999999,22.030001,0,0,3.8499999,7.8200002,0,1.58,0,0,0,5.6500001,4.8899999,0,0,0,2.53,0,0,0,0
"Portugal",5.7199998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4499998,0,0,0,0,5.8099999,0,2.8399999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",83.57,0,1.84,0,0,0,0,2.03,0.52999997,0,0,0,2.96,3.6900001,1.61,155.41,50.689999,44.93,57.130001,34,8.5,3.25,0,137.33,35.419998,0.31,0.88999999,0,83.650002,19.09,11.89,0,0,1.28,0,0,1.3200001,0
"Austria-Hungary",0.66000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,7.6799998,0,0,99.529999,0,22.32,8.2799997,1.27,0,177.84,0,0,0,0,0.16,0,0,0.30000001,0
"Italy",17.57,0,0,0,0,0,0,0,0,0,0,0,7.1900001,2.8800001,0.54000002,46.23,2.4100001,5.1599998,35.689999,10.19,1.91,0,27.15,22.49,0,0.0099999998,0.37,5.7399998,23.98,0,0,0,0,2.05,0,0,1.5599999,0
"Yugoslavia",0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0.07,0.090000004,0.079999998,0,0,0.77999997,4.5700002,0.28999999,0,0.0099999998,0.11,0.14,0,0,0,0,0.47,0,0,0,0
"Greece",0.38999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3699999,0.029999999,0.22,1.13,0,0,0,1.37,2.1700001,0.38,0,0,0,2.8599999,0,0,0,0,2.5999999,0,0,0,0
"Romania",0.039999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79,0,1.6,0,0,0,0,0,0,3.26,0.15000001,0,0,2.8499999,0,0,0,0,1.04,0,0,0,0
"Russia",15.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.490002,3.53,3.28,13.6,3.55,0.079999998,0,43.689999,10.87,1.5599999,0,0.47,0.66000003,0,4.1799998,0.57999998,0,6.6500001,3.96,15.79,0,0.58999997,0
"Sweden",2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.59,1.91,3.1099999,1.71,0,0.14,0,30.85,0,0,0,0,0,4.8699999,0,10.9,0,0,0.0000194,0,0,0,0
"Denmark",5.3499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.309999,2.21,1.45,1.39,0,0,0,29.290001,0,0,0,0,0,7.2800002,12.96,0,0,0,0.00044219999,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,5.6399999,0,0,0,0,0.07,0,0,0,0
"Turkey",2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.599998,0.60000002,2.9100001,11.98,0,0.0025460001,0,1.23,22.58,2.73,0.28,1.87,3.1199999,6.5700002,0.23,0.0011121,0,3.3299999,0,0,0,0.14,0
"China",10.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.18,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,0,0,15.39,0
"Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0
"Japan",5.8400002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.82,0.029999999,0.88999999,3.1700001,0.63999999,0,0,7.02,0.02,0.079999998,0,0,0,1.79,0,0,0,0,0.000048599999,16.41,1.92,0,0
"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
