"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","South Africa","Iran","Turkey","Iraq","Egypt","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"Costa Rica",6,0.050000001,0.0099999998,0.0022529999,0.0000049999999,0,0,0,0,0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.17,0.20999999,0,0.16,0,0.039999999,0,2.49,0.039999999,0.000978,0,0.029999999,1,0,0.001823,0.000001,0,0,0,0.0099999998,0.0012309999,0,0,0,0.059999999,0.029999999,0,0,0,0,0,0.000119,0,0,0,0,0,0.77999997,0,0,0,0
"Panama",26,0.079999998,0.11,0,0,0,0,0,0,0.02,0,0,0.20999999,0,0,0.050000001,0,0,0,0,0,0,1,0,0.31999999,0.1,0,1,0,0.0099999998,0,0.33000001,0.0099999998,0,0,0,0.14,0,0.000054,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"Colombia",46,1,0.050000001,0.00083500001,0.0099999998,0,0,0,0,0,0,0.07,0,1,0.15000001,0,0.23,0,0.0044280002,0,0.20999999,0,11,0,2,1,0,3.01,1,0.050000001,0,15.53,0.43000001,0.17,0,1.83,1,0,0.11,0.059999999,0,0,0,0.0099999998,0.029999999,0,1,1,0.47999999,0.31,0,0,0,0,0,0.002234,0,0,0,0,0,0.15000001,0,0,0,0
"Venezuela",54,1,0.02,0.00015000001,0.0098430002,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.039999999,0,0,7,0,5.0500002,7,0,2.8699999,1,0.23999999,0,11.67,0.029999999,0.029999999,0,0.13,3,0,0,0,0,0,0,0,0,0,0.23,1,0.0099999998,0.69999999,0,0,0,0,0,0.000046000001,0,0,0,0,0,1.6799999,0,0.38999999,0,0
"Ecuador",4,0,0.28,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0.15000001,0,0,0,0.25,0.029999999,0,1,0,0.039999999,0.19,0,0.0099999998,0,0,0,1.15,0.003858,0,0,0,0.34999999,0,0.000022,0,0,0,0,0,0,0,0,0,0.0099999998,0.02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Peru",21,1,0.090000004,0.00055300002,0,0,0,0.25999999,0.0099999998,0.11,0,0,0,0,0.93000001,0,0.059999999,0.079999998,0.000016,1,4,0.16,6,0,1.17,4,0,1.55,1,0.07,0,11.81,0.050000001,0.07,0,0.61000001,2,0,0.02,0.007282,0,0,0,0.02,0.003358,0.00070600002,0,1,0.27000001,0.1,0,0,0,0,0,0.0000099999997,0,0,0,0,0,1.9400001,0,1,0,0
"Brazil",72,4,0.0051429998,0,0,0.40000001,0,0,0,0,0,0,0.0099999998,0,1,1,0,1,0.001,1,35,2,31,1,2.74,12,0,9.75,3,0.12,5,75.870003,1.12,0.44999999,1,3.79,5,0,0.15000001,0.2,0,0,0,0.029999999,0.004675,0.039999999,1,7,1.11,1.96,0,1,0,1,0,0.00111,0,0,0,0,0,3.99,0,0,0,0
"Bolivia",7,0,0.00138,0,0,0,0,0,0,0,0,0,0,0,0,3,0.19,0,0,1,4,0,2,0,0.079999998,1,0,0.0099999998,0.14,0,0,1.52,0.0099999998,0,0,0,0.25,0,0.000061999999,0,0,0,0,0,0,0,0,0.25999999,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Paraguay",0.63999999,0.0099999998,0.00059200003,0,0,0.000087,0,0,0,0,0,0,0,0,0,0,0.002879,0,0,0.000037000002,0.94999999,0.090000004,1.78,0,0.02,0.20999999,0,0.0038060001,0.02,0,0.00024699999,0.34,0.00025000001,0,0,0,1,0,0.000008,0,0,0,0,0,0,0,0,0,0.001542,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.000279,0
"Chile",28,1,0.23,0.000008,0,0.30000001,0,0,0,0,0,0,0,1,0.47,6,1,0.079999998,0,0,4,1,10,0,0.2,1,0,0.50999999,1,0.41,0,6.6599998,0.00050800003,0.0056560002,0,0.079999998,3,0,0.000228,0.00026100001,0,0,0,0,0.000002,0,0,2,0.02,1.16,0,0,0,0,0,0.18000001,0,0,0,0,0,0.63999999,0,0,0,0
"Argentina",77,6,0.68000001,0.0048799999,0.000627,0.07,0,0,0,0,0,0,1,0,0.029999999,15,22,1,1.7,2,0,2,89,0,8.8999996,31,0,20,5,2,1,45.0186,5.48,2,3,5.4499998,27,0.000074000003,1.8,0.91000003,0,0,0.059999999,0.090000004,0.27000001,0.000081999999,4,6,3.54,1.36,0,0,0,1,0,0.0099999998,0,0,0,0,0,15.03,0,0,0,0
"Uruguay",6,0,0.059999999,0,0.0062079998,0.059999999,0,0,0,0,0,0,0,0,0.68000001,2,4,0,0.17,0,2,0,9,0,0.94999999,1,0,1.04,1,0.090000004,0,7.9099998,0.28,0.11,1,0.60000002,2,0,0.090000004,0.029999999,0,0,0,0.0099999998,0.0031059999,0.00053700001,0,1,0.43000001,0.38999999,0,0,0,0,0,0.000037999998,0,0,0,0,0,2.3,0,0,0,0
"United Kingdom",548,358,23.639999,1.03,7.0700002,10,0,0.18000001,0.15000001,0.13,3,0.02,1,6,0.58999997,16,37,15,1.09,26,181,19,0,108,143.28,93,0,115.23,34,25,18,155.83,46.610001,8,11,33.939999,33,0.029999999,12.04,9.5799999,2,18,78,10.1,22.459999,15.09,93,119,53.880001,185.14999,0,55,40,4,7,56.77,0,0,0,26,0,45.040001,0,2,326,204
"Ireland",23,8,0,0,2.97,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,102,0,2.3,5,0,2.72,1,1,1,7.0999999,0.79000002,0,0,1.0700001,1,0,1,0,0,0,2,0,0.58999997,0,2,3,0.54000002,0.79000002,0,1,2,0,0,0.30000001,0,0,0,0,0,1.83,0,0,5,0
"Netherlands",84.360001,12.45,1.22,0.13,0.40000001,2.3399999,0.74000001,0.37,0.07,0.27000001,0.41,0,0.91000003,0.20999999,0.1,1,8.7200003,5.6900001,0.17,2.24,35.279999,1.72,63.34,0.38999999,0,88,0,35.709999,11.43,2.21,1.38,169.36,11.63,4,2.26,16,7.1900001,0.00045200001,2.26,2.3299999,0.50999999,2.2,17.459999,1,1.92,1.4,8.71,16.459999,6.7600002,7.23,0.059999999,1.84,0.87,1.47,0.14,1.41,0,0,0.029999999,3.01,0,4.0100002,0,1.8,1.28,0.66000003
"Belgium",85,11,5,1,0.07,5,0.039999999,0,0.039999999,0,0.0099999998,0,1,2,0.1,1,11,2,1,3,32,1,61,0.38,71,0,0,112,9,3,3,89,10,2,1,8,7,0,5,1,1,4,27,0.23,1,2,8,16,6,4,0,7,3,2,2,2,0,0,0,1,0,3,0,1,22,2
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",151.88,17.84,2.21,1.38,2.26,4.3499999,0.12,0.0099999998,0.16,0.41999999,0.07,0,5.7199998,9.3999996,1.8,7.2199998,21.120001,0.38999999,0.23,12.24,26.940001,2.7,93.010002,0.20999999,34.16,90,0,0,28.610001,5.52,7.6399999,90.75,12.82,4,3.3599999,8.6300001,16.629999,0.059999999,2.96,2.1600001,0.63,6.1999998,17.92,0.94,1.28,1.24,8.1800003,18.719999,8.9300003,2.8299999,0,11.88,2.1500001,4.0799999,40.310001,13.93,0,0,0.02,7.3200002,0,10.6,0,0.1,43.48,8.1199999
"Switzerland",28,6,0.51999998,0.22,0,1,0,0,0,0,0,0,0.0070000002,0,0,1,3,0.23,0.039999999,1,13,1,20,1,12.69,16,0,52.419998,0,1,1,85.330002,5.9000001,8,6,13.08,27,0,2.53,1.0700001,1,6,7,0.090000004,0.11,0.83999997,0.93000001,4,1.89,3.1700001,0,1,0,1,0,5.8000002,0,0,0,2,0,2.76,0,0.0099999998,3,0
"Spain",14,3,1,0,0,0.02,0.001,0,0.003,0,0.0020000001,0,0.0020000001,0.02,0,0,0.33000001,0,0,1,3,0.13,19,0,5,9,0,13,1,0,1,34,2,1,0,1,6,0,0.02,0,1,3,11,0,0,0,1,2,2,0.0099999998,0,0,0,1,0,0.090000004,0,0,0,0,0,0,0,0,1,0
"Portugal",12,0,0.02,0.000104,0.029999999,0.079999998,0,0,0,0,0,0,0,0,0,0,2,0,0.02,0,1,0,17,0,2.75,7,0,6.2399998,2,1,0,17.110001,0.86000001,0.41999999,0,0.73000002,2,0.000024999999,0.02,0.0099999998,0,0,0,0.07,0.02,0.039999999,0,2,3.8199999,0.55000001,0,1,0,0,0,0.77999997,0,0,0,1,0,0.56999999,0,0,2,0
"Germany",96.788757,17.414114,2.0090909,0.30000001,1.1799999,14.888038,3.4717703,1.03,1.7727273,1.4299999,2.6622009,0.16,11.154067,7.2578945,2.327512,9.2516747,51.290668,1.9892343,1.0700001,21.688755,51.692104,9.157177,67.642105,2.687799,47.349281,78,0,34.380863,24.542824,22.102871,5.9129186,0,22.841148,35,44,31.034691,58.766029,0.009238,44,22.384689,34,56,11.328708,5.7320571,10.402391,11,21.204308,62.614113,23.645214,39.780861,0.94,18.316507,15,27.748564,1.6799999,10.846172,0,0,0.62,24.344736,0,5.9758372,0,1.99,12.799282,2.0803828
"Poland",29.870001,1.1,0.11,0.001697,0.0030179999,0.41,0.31,0.029999999,0.0099999998,0.0092409998,0.090000004,0,1.14,0.079999998,0.2,0.56,3.0699999,0.0041490002,0.1,2.4000001,6.9400001,1.36,182.66,0.0082980003,6.9400001,10,0,8.7399998,5.0700002,0.23,0.75,56.459999,0,9,1.49,7.6700001,6.3699999,0,1.92,2.71,3.6600001,2.01,2,0.44,0.11,0.07,1,8.5100002,3.5,2.03,0.0037720001,1.5700001,0.079999998,2.0899999,0,3.29,0.00037699999,0,0.0099999998,0.57999998,0,0.56999999,0,0.000189,5.2399998,1.45
"Austria",20,0.008316,0.0099999998,0,0,0,0.0099999998,0,0,0,0,0,0.00018800001,0.00023400001,0,0,0.00068200001,0,0,0.0099999998,0.81,0.12,0,0,0,4,0,6,1.61,0,0.001808,46,13,0,30,24,0,0,0.16,0,0,15,2,0,0,0.079999998,0.0099999998,0,0,1,0,0,0,1.09,0,3,0,0,0,2,0,0,0,0,4,0.029999999
"Hungary",7,0,0,0,0,0.0060000001,0,0,0,0,0,0,0,0,0,0,0,0,0.003551,0,1,1,8,0,2.99,1,0,1.22,3,0,0,24.389999,2,14,0,5.3699999,8,0.00059200003,3.6600001,1,1,12,0.1,0,0,0,0,1,0.14,0.40000001,0,0.19,0,1,0,1.23,0,0,0,0,0,0,0,0,0,0
"Czechoslovakia",26.52,3.1400001,0.059999999,0.029999999,0,0.23999999,0.15000001,0,0.07,0.00097699999,0.02,0,0.25999999,0.0099999998,0,0.029999999,0.090000004,0,0,0.0036470001,1.51,0.87,69.360001,0,9,7,0,0.38999999,2.3199999,0,0.0083609996,13.075174,9,8,6,0,0.37,0,0.20999999,4,0.029999999,0.11,3,0.18000001,0.13,2,1,2.3800001,0.51999998,0.16,0,5.8600001,0,3.2,0,5,0,0,0,0.02,0,1,0,0,20.48,0.41
"Italy",70,2,0.050000001,0.07,0.0099999998,1,0.0099999998,0.0089999996,0.079999998,0.02,0.02,0.0080000004,2,1,0.19,0.19,7,0.0040000002,0.02,9,15,3,37,0,7.1300001,9,0,13.37,20,9,3,158.33,16.780001,19,10,13.36,0,3.1900001,8.1400003,4.98,5,13,0,0.13,0.15000001,0,5,11,6.4000001,2.23,0,5,5,10,1,9.3999996,0,0,0,1,0,2,0,0,11,0
"Albania",0.27000001,0.0079319999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002758,0,0,0.0000070000001,0.000111,0,0.62,0,0.02,0,0,0.0099999998,0.0052880002,0,0.000044,0.11,0.0051440001,0,0,0,0.18000001,0,0.0099999998,0,0.003183,0.00082800002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yugoslavia",6.9200001,0.0076819998,0.000386,0,0.0099999998,0.090000004,0.02,0.001484,0.0056429999,0.002997,0.02,0,0.20999999,0.001295,0.0099999998,0.17,1.11,0.0036470001,0.029999999,0.039999999,2.1199999,1.08,9.9700003,0.00032399999,1.35,1,0,3.27,2.21,0.0093790004,0.13,37.400002,0.87,8,4.3699999,12.25,10.27,0.059999999,0,1.53,0.23,2.4400001,0.07,0.006608,0.0096349996,0.0027950001,0.029999999,0.77999997,0.23999999,0.17,0.00070400001,0.079999998,0.0099999998,0.090000004,0.002537,0.91000003,0.00033099999,0,0,0.02,0,0.0099999998,0,0.00038899999,0.34,0.44
"Greece",9.6899996,2.9000001,0,0,0,0.00032200001,0,0,0,0,0,0.000027,0.56999999,0.00084200001,0,0,1.3200001,0,0,0.02,1.27,0.039999999,94.510002,0.00061799999,2.74,1,0,2.04,0.75,0.0084210001,0.059999999,38.09,3.4100001,1.98,1,2.1400001,5,0.54000002,4.0700002,0,0.34,13.52,7.71,0.039999999,0.02,0.0099999998,0.89999998,1.5599999,0.079999998,0.34,0,0.0060490002,0.000090000001,2.4400001,0.0099999998,2,0,0,0,0,0,0.1,0,0,6.0100002,0.11
"Bulgaria",2,2,0.000099999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.70999998,1,0,2.25,1,0,0,31.84,3.4200001,3,2,3.6199999,5,0.000012,0.28,0.34999999,0,2.0999999,0,0.0099999998,0.00825,0.0032180001,0,1,0.02,0.0099999998,0,0,0,1,0,0.33000001,0,0,0,0,0,0.029999999,0,0,1,0
"Romania",7,0,0.001141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2.46,7,0,10.57,4,0,0,49.0616,1,8,5,18.049999,7,0.000073000003,1.1900001,1.65,0.1,0,0,0,0.02,0.0099999998,0,1,0.23,0.94,0,0.0099999998,0,2,0,4.8600001,0,0,0,0,0,0.039999999,0,0,0,0
"Russia",77,6,0,0,0,0.0089999996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,46,0,7.1399999,13,0,0.17,2,5,1,3.0630765,0.28999999,1,0.1,4,0.0099999998,0,0,0.28999999,0,0,0,1,2,2,1,5,0.58999997,0.02,0,0,10,4,0,0,0,0,2.74,20,0,3,0,0,10,0
"Estonia",1.5700001,0.001695,0,0,0,0,0,0,0,0,0,0,0.0060629998,0.00031199999,0,0,0,0,0,0,0.029999999,0.004187,28.559999,0,0.41,0.31999999,0,0.02,0.059999999,0,0.00059100002,2.1217186,1,0,0,0,0.33000001,0,0.000231,0,0.00085200003,0,2,0,0.30000001,0.5,1,0.63999999,0.02,0.12,0,0.090000004,0,0,0,1,0,0,0,0.000029999999,0,0,0,0,0.1,0.0099999998
"Latvia",1.34,0.27000001,0,0,0,0.0013070001,0,0,0,0,0,0,0.0080589997,0.00041800001,0,0,0.0065259999,0,0,1,0.1,0.0043799998,44.240002,0,0.46000001,1,0,0.02,0.33000001,0,0.0026219999,3.9373319,1,1,0,0,0.33000001,0,0.00079700002,0,0.000439,0.000191,2,0.5,0,0.5,0,0.31,0.059999999,0.050000001,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0
"Lithuania",0.69,0.89999998,0.1,0,0,0.00015000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,54.349998,0,0.92000002,2,0,0.039999999,0.30000001,0.029999999,0.001393,2.2673957,0.003644,1,0,2,0.33000001,0,0.000149,0,0.00019999999,0,2,0.5,0.5,0,0,0.23,0.090000004,1,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0
"Finland",17,1,0.039999999,0,0,0.50999999,0,0,0.15000001,0,0,0,0,0.02,0,0,3,0,0,0,3,0,38,0,8,10,0,4,3,0,0,37,5,2,1,4,2,0,0.0034099999,1,0,0,2,2,1,0,0,24,3,9,0,0.20999999,0,1,0,0.19,0,0,0,0.13,0,1,0,0,1,0
"Sweden",85,3,0.64999998,0.090000004,0,1,1,0,1,0,0,0,0.22,0.11,0,1,7,0.12,0,1,10,1,96,0,20.41,22,0,15.97,11,0.61000001,1,114.36,18.110001,0,4,11.6,8,0,0.87,1,0,1,3,1.25,0.76999998,0.58999997,5,0,18.35,17.17,0,1,1,1,0,1.48,0,0,0,1,0,3.9300001,0,0,2,0
"Norway",29.25,11.25,0.30000001,0.090000004,0.0044220001,0.37,0.2,0.059999999,1.26,0.001474,0.039999999,0.75,0.47,0.039999999,0.02,0.34999999,1.1900001,0.00024600001,0.0099999998,0.23,5.6500001,0.81,47.48,0.050000001,9.5100002,10,0,8.9200001,2.9400001,1.2,1.36,53.990002,5.6100001,0,1.35,5.6700001,5.5599999,0,0.43000001,0.44,0.19,0.029999999,4.73,0.37,0.2,0.14,1.54,33.66,0,10.25,0.050000001,0.36000001,3.1400001,0.74000001,0.008107,0.14,0,0,0.001474,1.5,0,3.1099999,0,0.079999998,0.55000001,0.12
"Denmark",27.91,0.40000001,0.07,1,0,0.31,0.059999999,0,0.029999999,0.00023799999,0.0099999998,0,0.23999999,0.50999999,0.079999998,0.0024009999,4.2199998,0,0,0.19,3.52,0,122.72,0.029999999,13.5,8,0,4.3699999,4.4400001,0.23999999,1.0700001,87.07,3.6400001,0,1.34,2.02,3.45,0,1,1,1,1.88,4.9299998,0.41999999,0.18000001,1,6.4099998,23.24,8.9700003,0,0,0.19,1,0,0,0.34,0,0,0,3.01,0,0.1,0,0.31999999,0.28,0.050000001
"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079999998,0,0,0,0,0,0,0.12,0.00042900001,0,0,0,0,0,0.0000030000001,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",82,17,0.15000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.090000004,0,2,0,203,0,7,16,0,4.5100002,3,1,1,24.32,1.27,0.47,1,5.1300001,5,0,0.23,0.039999999,0,0,1,0.059999999,0.1,0.079999998,4,8,1.48,0.74000001,0,0,13,0,0,0.13,0,0,0,1,0,13.48,0,2,4,0
"Iran",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0.58999997,2,0,0.029999999,0,0,0,4.4592052,0.0099999998,0,0,1,0,0,0.000197,0,0,0,14,0,0,0,1,2,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0099999998,0
"Turkey",13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13,0,1.4299999,2,0,1.5700001,1,0.02,0,56.400002,2.1300001,1,1,4.6199999,6,0,0.33000001,0.60000002,1,1,5,0,0,0,1,2,0,0,0,0,0,0,0,0.81999999,0,0,0,0,0,0.76999998,0,0,1,0
"Iraq",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0.25,2,0,0.0099999998,0,0,0,1.4400001,0,0,0,1,2,0,0.001936,0,0,0,0,0,0,0,0,0,0.0043159998,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0
"Egypt",12.31,0.25,0.0071330001,0,0,0.00073199999,0,0,0,0,0,0.000029999999,0.000256,0.07,0,0.0000049999999,0.91000003,0,0,4.8899999,0.25999999,0.02,42.59,0.02,4.04,10,0,9.8000002,2.99,0.039999999,0.16,18.809999,2,1,2.3399999,2.8900001,15.05,0.0028669999,1.05,2.04,0.94999999,7,2.4000001,0.029999999,0.029999999,0.006753,2.02,2.6600001,2.5899999,0.46000001,0,0.008076,2.98,1.09,0.81999999,0,0.70999998,0,0,0.77999997,0,4.7800002,0,0.0060609998,1.04,0.004958
"Saudi Arabia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000214,0,0,0,0,0,0.000551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yemen Arab Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0.00015399999,0,0,0,0.75999999,0.0057509998,0,0,0,0,0,0,0,0,0,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",45,2,0.0020349999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21,0,1.45,5,0,3.9097111,1,0,0,24.123289,0.31999999,0,1,2.1800001,5,0,0.0092000002,0.0099999998,0,0,2,0.0099999998,0.0099999998,0,0.58999997,1,1.11,0.079999998,0,0,0,0,0,0.79000002,0,0,0,0,0,44.826096,0,8,8,0
"Mongolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Japan",260.41,25.959999,0.0099999998,0.15000001,0.07,1.33,0.0059750001,0.029999999,0.001899,0.13,0.2,0.0026209999,0.25,0.41999999,0.15000001,0.56,13.13,0.12,0.0048540002,3.1700001,6.9200001,1.1799999,17.959999,0.059999999,1.12,4,0,3.8399999,8.5900002,0.17,0.52999997,48.689999,0.75,3,0,0.97000003,1.66,0,0.0044260002,1,0.000067000001,0.001566,0.1,0,0.0020369999,0,0.98000002,6.8400002,4.4699998,0.34999999,0.0000030000001,2.22,0.1,1.05,1.73,10.33,0,0,0,46.830002,0,0,0,1.4,23.57,2.9000001
"Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
