"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ghana","Ethiopia","South Africa","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"Ecuador",50.599998,2.75,0,0,0,0.44,0,0,0.22,0,0,0.11,0.44,0.1,0,0.33000001,0,0,0,1.21,0,0.11,6.27,0,1.87,2.1036811,0.096319497,1.98,2.2,0.22,0.11,13.75,0,0,0.33000001,0,0.44,2.4200001,0,0,0,0,0,0,0.22,1.76,0.44,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99000001,0.55000001,0,0,0.33000001,0,0,0,0,0,0,0,0,0,0,0
"Peru",191.2,11.4,0.69999999,0.1,0,0.69999999,0,0,0,1.9,2.2,0,1.4,2.3,3.5999999,0,0.1,0.5,0,4.6999998,18.700001,0.80000001,33.5,0,11.7,7.6497469,0.3502526,9.3000002,9.3000002,0.89999998,0.5,39.200001,0,0,1.3,0,1.4,7.6999998,0,0,0,0,0,0,1.9,8.8999996,1.4,3.5999999,0,0,0,0,0.1,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6999998,4.4000001,0.5,0,0.60000002,0,0.1,0,0,0,0,0,0.1,0.69999999,0.2,0
"Brazil",602.90997,26.07,0.33000001,0,0,0.66000003,0,0,0,0,0,0.33000001,0.88,131.78,0,4.0700002,0,1.76,0.11,9.2399998,98.889999,11.66,55.880001,1.76,23.209999,25.454531,1.165466,51.919998,14.3,24.42,4.73,139.92,1.3200001,16.17,3.96,4.5100002,20.02,41.689999,0,2.2,1.65,0,0,0,34.650002,57.200001,27.059999,26.51,0,0,0,0,0.76999998,0.22,1.54,0,0,0,0.44,0,0,0,0,0,0.55000001,20.129999,0,0,0,0,0,0,0,25.629999,0.99000001,0,0,0,0,0.66000003,0,0,0,0,0,0,2,0.22,0.11
"Bolivia",43.299999,0.60000002,0.1,0,0,0.1,0,0,0,0,0,0.30000001,0.69999999,0,0.1,6.9000001,1.7,0,0,2.0999999,6,0.2,7.9000001,0,1.6,2.199302,0.1006976,1,1.1,0.1,0,10.6,0,0,0,0,0.2,1.2,0,0,0,0,0,0,0.1,1.4,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",7.1500001,0.11,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0.60000002,0,0,0,11.55,0,2.3099999,0,0.44,0.63110417,0.028895799,0.33000001,0.11,0.88,0,2.6400001,0,0,0,0,0.11,0.11,0,0.22,0,0,0,0,0,0.55000001,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.22,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"Chile",228.89999,4.3000002,5.9000001,0,0,0.60000002,0,0,0,0,0,1.5,0.40000001,0.2,1.4,26.4,11.6,0.69999999,0,0,16.200001,0.5,24.9,0,6,3.538008,0.1619918,8.8999996,4.5999999,5.0999999,0.30000001,54.700001,0,0,3.4000001,0,0.69999999,7.6999998,0,0.40000001,0,0,0,0,0.40000001,9.1999998,0.30000001,1.9,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0.60000002,0,0,0,0,6.3000002,1.3,0.1,0,0.80000001,0,0,0,0,0,0,0,0,0,0.1,0
"Argentina",307.39999,15.4,0.1,0,0,0.5,0,0,0,0,0,0.1,2.9000001,110.7,2.5,13,123,5,12.1,21.5,0,0.40000001,100.7,0,35.200001,54.21759,2.482415,32.099998,18.4,1.2,2.8,89.900002,0,3.3,13.6,1.5,6,53,0,0.60000002,0,0,0,4.5999999,12.1,46.200001,4.9000001,3.4000001,0,0,0,0,3.2,0.1,0,0,0,4.5999999,0,0,0.40000001,0,0,0,0,1.9,0,0,0.30000001,0,0,0,0,7.5999999,26.9,4.9000001,0,0.2,0,0,0,0,0,0,0,0.2,0.40000001,3.3,0
"Uruguay",55.700001,4.0999999,6.6999998,0,0,0.2,0,0.1,0.40000001,0,0,0,0,8.5,0,4.0999999,24.5,0,1.6,1.2,5.3000002,0,23.6,0,4.6999998,8.5103436,0.38965601,7,4.8000002,2.8,0.40000001,22.9,2,1.1,1.6,0,1.5,5.9000001,0,0.30000001,0.5,0,0,0.30000001,1.9,8,0.2,1.5,0,0,0.60000002,0,0.30000001,0.1,0.1,0,0,0,0.30000001,0,0.2,0,0,0,0,0.80000001,0,0,0,0,0,0,0,3.0999999,3.2,0.30000001,0,0.60000002,0,0,0,0,0,0,0,0,0.2,0,0
"United Kingdom",1358.3,896.5,72.400002,1.3,58.900002,19.200001,0.60000002,1.1,2.0999999,5.5999999,0.5,0.2,12.3,211.5,2.2,39.599998,85.800003,44.900002,6.6999998,70.599998,302.5,30,0,306.29999,369.20001,164.75639,7.5435662,309.10001,102.7,141.5,47.599998,348.79999,7.6999998,66.199997,26.1,6.5,23.299999,175.5,0.2,26,22.700001,1.9,2.8,197.3,204.10001,439.10001,178.60001,319.5,4.0999999,0,54.900002,2.9000001,288.70001,36.200001,18.799999,0,36.900002,99.5,33.200001,34.200001,1.9,5,8.8999996,0.2,31.4,15.5,37.700001,12.5,39.799999,0,0,0,1.2,67.800003,440.89999,71.900002,22,114.2,0,7.9000001,0,0,0,1,0,7.3000002,28.1,694.40002,512.59998
"Ireland",29.6,10.6,1.5,0,4.0999999,0.40000001,0,0,0,0,0,0,0,0.80000001,0,1,0.40000001,0,0,0.30000001,2.0999999,0.1,295.60001,0,12.9,10.04029,0.4597066,8.6999998,1.6,3.7,1.3,19.5,1.5,0.1,1,0.2,1,4.0999999,0,0.1,0.89999998,0,0,0.80000001,7.1999998,8,1.7,4.0999999,0.30000001,0,0,0,1.6,1.5,0.60000002,0,0.1,0.30000001,0.5,0,0.2,0,0,0,0.89999998,0,0,0,0.40000001,0,0,0,0,4,16.9,2,0.1,1.7,0,0.1,0,0,0,0,0,0.2,1,11,2.4000001
"Netherlands",540.09998,54.400002,24.6,0.2,8.3999996,10.7,2.5,0.30000001,2.8,5.1999998,0.5,1.4,10.3,144.39999,2.4000001,9,29.1,0.5,1.2,2.0999999,74,15.7,330.20001,2.7,0,708.55792,32.44215,134.7,65.900002,13.4,6,760,13.8,4.1999998,34,2.0999999,16.299999,52.599998,0,7.3000002,4.8000002,0.60000002,0.89999998,39.5,37.5,139.3,30.799999,23.700001,0.69999999,0,10.7,1,19.9,12.5,1.5,0,2.5999999,29.299999,6.1999998,3.5999999,4.6999998,7,69.099998,0,4.1999998,17.6,0.30000001,0.1,9.8000002,0,0,0,0,26.200001,11.5,6.4000001,1.6,2.7,0,7.9000001,0.80000001,0,0,0,0,23.5,119.5,6.6999998,10.4
"Belgium",406.96661,40.352421,2.4861679,6.2154198,2.868655,10.80527,2.4861679,0.2868655,2.008059,1.338706,1.0518399,0.47810921,7.3628821,19.315611,3.7292521,10.90089,19.028749,0.76497477,1.52995,4.589849,39.109329,4.9723358,269.27109,4.3029828,464.7222,0,0,390.71078,65.6922,14.72576,10.70965,511.19431,8.0322342,4.494226,16.06447,2.677412,10.90089,61.867329,0.2868655,4.494226,2.3905461,0.86059648,1.816815,33.372021,33.945759,99.159851,30.31212,13.76954,0.095621802,0,5.3548231,0.38248739,51.827042,10.99651,0.76497477,0,1.434328,48.09779,4.6854711,5.0679579,7.0760159,4.3029828,10.70965,0,7.6497469,17.594419,0,0,3.538008,0,0,0,0,17.403179,13.19581,18.8375,2.677412,0.76497477,0,2.677412,0,0,0,0,0,7.840991,9.3709412,73.24633,19.315611
"Luxembourg",18.63344,1.8475831,0.1138321,0.28458029,0.13134471,0.49473181,0.1138321,0.0131345,0.091941297,0.061294202,0.0481597,0.0218908,0.33711809,0.88438791,0.1707482,0.49911001,0.87125337,0.035025299,0.0700505,0.2101516,1.7906671,0.2276642,12.32889,0.1970171,21.277849,0,0,17.889151,3.0077939,0.6742363,0.4903537,23.40563,0.36776519,0.2057734,0.7355305,0.1225884,0.49911001,2.8326681,0.0131345,0.2057734,0.1094539,0.039403401,0.083185002,1.527977,1.5542459,4.5401502,1.387876,0.63045472,0.0043782,0,0.24517681,0.017512601,2.372962,0.50348818,0.035025299,0,0.065672398,2.202213,0.21452969,0.2320424,0.3239837,0.1970171,0.4903537,0,0.3502526,0.80558097,0,0,0.1619918,0,0,0,0,0.79682481,0.60418582,0.86249721,0.1225884,0.035025299,0,0.1225884,0,0,0,0,0,0.35900891,0.42905951,3.3536689,0.88438791
"France",830.70001,69.900002,18,5.4000001,0.30000001,19.4,1.9,0.1,4.8000002,3.9000001,0.30000001,1.2,5.9000001,81.800003,1.4,12.7,54.5,0,0.89999998,12.6,52.900002,8.3999996,231.3,5.4000001,152.60001,306.46799,14.032,0,116.4,42.799999,16,683.29999,5.6999998,27.6,32.799999,3.7,13.8,155.5,0,9.6999998,17.299999,3.5999999,11.9,66.099998,54.200001,121.5,36.5,27,0.60000002,0,3.9000001,2,56.900002,226.60001,98.400002,0.1,14,65,26.700001,113.5,24,15.6,12,0,5.1999998,64.300003,2.8,0,14.6,0,0,0,1,17.299999,38.700001,40.700001,1.2,4.6999998,0,1.1,16.1,0.1,0,36.599998,0,4.1999998,17.200001,230.89999,77.800003
"Switzerland",280.20001,34.799999,2.7,1.4,0.69999999,13.2,3.5,0.60000002,2.3,0.69999999,2.5999999,0,4.8000002,4.4000001,2,12.3,11.9,0.80000001,0.60000002,7.3000002,20.799999,4.6999998,104.8,0.40000001,88.800003,79.557373,3.642627,227.39999,0,14.5,3.9000001,510.29999,5.3000002,7,48.400002,6.8000002,16.700001,217.89999,0,7.3000002,3.3,1,2.7,8.8999996,6.3000002,30.9,8.3000002,16.1,0,0,1.8,1.4,7.4000001,3,0.30000001,0.1,2.5,3.8,3.8,0.1,8.3999996,1.9,0.40000001,0,3.5,0.1,0,0.69999999,12.5,0,0,0,0,17.1,6,1,0,3.3,0,0.30000001,0,0,0,0,0,4.5999999,4.4000001,8.5,0.89999998
"Spain",224.7,5.6999998,14.2,0,0.60000002,5.9000001,0,0,0.40000001,0,0,0,4.8000002,25.4,0.80000001,0,28.1,0,0.89999998,11.3,2.0999999,0.69999999,74.800003,2.4000001,17.299999,22.757999,1.042001,45.799999,20.6,0,2.3,71.400002,0,0.40000001,10.9,0,0,25.4,0,0,0.89999998,0,0,0,13.4,14.2,9.3999996,11.7,1.4,0,0,0,5.0999999,10.6,1.3,0,0,15.5,2.8,21,3.5,0,0,0,0.1,68.300003,0.60000002,0,0.1,0,0,0,0,9.1999998,1.4,4.4000001,0,0.5,0,0.1,0,0,0,0,0,3.0999999,0.60000002,2.4000001,0
"Portugal",54.299999,2.9000001,1.4,0,0.1,0.1,0,0,0,0,0,0,0.5,6.5999999,0.60000002,1.2,5.5999999,0,0,0.2,0.5,0,66.400002,0.60000002,13.4,29.834009,1.365985,41.400002,14.7,3.5,0,83.800003,0.2,0.30000001,4,0.2,1,15.7,0,0,0.40000001,0,0,0,0.69999999,12.2,5,1.6,2.7,0,0,0,3.5999999,4.3000002,0.40000001,0,0,4.1999998,0.1,26.4,0.89999998,0,0,0,0,1.4,0,0,0.2,0,0,0,0,0.2,0.69999999,3.7,0,0.1,0,0.1,0,0,0,0,0,0.1,0.30000001,4.4000001,0.69999999
"German Federal Republic",1351,181,51,1,18,64,21,5,41,14,25,2,44,80,26,54,108,4,1,88,134,22,271,13,538,299.29639,13.70363,543,248,114,23,0,204.7,47,215,25,49,370,0,56,60,9,24,97,84,354,108,216,6,0,44,1,96,47,3,0,9,39,49,40,26,8,4,0,8,65,0,8,41,0,0,0,1,54,60,31,5,12,0,9,1,0,0,2,0,52,80,135,38
