"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"Nigeria",7374.2998,13.9,0,0,0,0,0.023,2.72,0,0,0,0,9,0,1.3,0.005,0,0,0,0,0,0.071,0.29,0.6,0,0,9,0.4,474.681,9,3.8,9,54.11,162.406,3588.9,205.72,784.3,60.0636,2.7364,103.9,267.8,138.49,221.35,0,16.3,59.3,39.1,34.34,56,210.1,0.17,9,62.62,101.96,3.807,29,177.41,63.59,60.75,223.4,190.21,19.55,58.574,0,0,0.396,0,1.1,3.495,27.304,9.717,2.7,67.437,66.96,0,1.235,14.341,75.8394,308.613,2.503,3.016,0,22.747,0.153,0,1.588,0,0,5.744,0.124,0,0,0.7,0,0,1.1,0,0.1,1.363,0,1.7,0,0,9,0.7,5.2,0.005,0,14.07,2.4,4.4,0.3,0.291,0,14.1,0,0.6,0.1,22.5,0.03,111.3,1.1,9.007,0.1,0,0,0,0.5,0.01,0,515.9,0,0,0,92.6,2387.2001,102.43,0,2.7,3.67,0.2,0.156,0,0,92.76,0,0,9,48.4,122.94,1.18,4.5,5.66,0,8.9,0,0,0.003,0
"Gabon",340.454,8.137,0,0,0,0,0,0,9,0,0,0,0,0,2.636,0,9,0,0,0,0,0,0,0,0,0,0,0,236.818,0,0,105.1,4.113,0.131,46.372,0.393,98.682,4.4187,0.2013,20.186,1.353,137.56,5.127,0,0.02,2.569,0.242,0.272,0.144,52.06,0,0,12.075,9.772,0,0,0.491,2.3274,0.117,0.91,8.632,0.335,0,0,0,0,0,0,0,10.906,0,0,0.023,3.331,2.8248,0,0,0.1841,9,0.847,25.597,22.747,0,0,0,0,0.851,0,0.022,9,0,0,0,0,0,6.5472,0,0,0.106,0.852,0.284,0,0,0,0,9,0.001,0,5.116,1.08,0.292,0,9,0,0.01,0,0,0,0,0,8.688,0,9,0,0,9,0,0,9,0,11.076,0,0,0.387,0.142,48.391,1.446,0,0.132,0,0,0,0,0,0.19,9,9,0,0.145,10.215,0.418,0,0.51,9,0,9,0,0,0
"Central African Republic",2.924,0.166,0,0,9,0,0,0,0,0,9,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,9,0,0.032,9,0.006,0,0.2,0,0.276,0.03,2.584,40.7629,1.8571,21.582,0.29,3.948,4.446,0,0.028,0.042,0.019,0.03,0.011,4.082,0.001,0,3.451,0.22,0.002,0,0.055,0.016,0.01,0.084,0.001,0.159,0,0,0,0,0,9,0,0.611,0.031,0.005,0,0.268,9,0,0.004,9,9,0.036,10.993,0.153,0,0,2.3603,0,1.546,0,0.004,0,9,0,0,0,0,9,9,9.438,0.023,0,0.076,0,0,0,0,0,0,0,0.001,0,0,0,0.008,0,0.013,9,0,0,0.038,0,5.164,0.019,9,0,0,0,0,0,9,9,0.34,0,0.345,0,0.1,3.171,0.203,0,0.004,4.35,0,0.021,0,0,0.041,0,9,0,0.018,0.078,0.008,0.002,0,0,0.06,0,0,0,0
"Chad",0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0.55,0.14,2.33,1.8937,0.0863,13.33,0,3.838,13.98,0,0,9,1.8,0,0,2.29,0,0,0,0,0,9,9,9,0,0.11,0,1.058,0,0,0,9,9,0,0,0.1012,9,0,0.0066,0,0,0,0,9,0,0,3.887,0,0,2.3603,0,0.3234,0,0,0.0242,0,9.7678,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,1.43,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.7273,0,0,9,0,0,0,9,0,0,0,0,0,0,0,9,9,0,0,9,0,9,0,0,0,0,0
"Congo",279.0185,0.4493,0,0,17.269,9,0.09,1.45,0,0,0,0,0,0,0,0.175,9,0.035,0,9,0,0.1924,0,0,31.1316,9,0.0044,0,92.755,0,0.036,0,1.5463,0.186,4.9114,0.1122,0.0208,71.732,3.268,113.5765,0.0131,79.7204,22.8243,0,0.1825,0.4427,0.1027,0.0114,0.0169,178.4718,0,0,1.0678,3.6823,0,0.0758,0.3923,1.6085,0.0945,0.1139,0.3217,1.3953,0,0,0.071,0,0.0983,9,0.5498,1.8197,0.4711,0.5934,0.0029,1.931,0,0.0004,0.0817,0.0016,0.002,0.136,13.54,1.588,0,0,0.3234,0,4.179,0.014,0.0004,0,0,0.0029,0,0,0,5.777,0,0.1024,1.4504,0.2289,0.5196,0,1.854,0.2396,0,9,0.0258,9.004,3.6944,0.5378,0.5049,0,0,0,0.0202,0,0.2285,0,0,0,0.1,0.4934,0,0,0,0,9,9,0,9,5.2515,9,4.5291,0.0063,0.1402,1.782,0.0383,0,0.501,0.18,9,0,9.0033,0,0.0589,9,9,0,0.1159,0.1914,0.0044,0.0018,0.02,9,0.16,0,0,0,0
"Democratic Republic of the Congo",379.4,0.4,0,9,0,9,0,0,0.009,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.08,0,0.003,0,9,0,25.602,0,0,0.2,0.47,0,3.3,3.15,33.9,728.8925,33.2075,79.5,115.2,17.7,0.26,0,0,0,0.2,0.3,0.1,96,0.47,0,9.95,7.75,0,0,3.67,0,4.01,0.5,0.27,2.78,47.9,0,9,0,0,9,0.067,0.854,0,1.6132,0.002,0,0,9,0.113,0.0016,0.032,6.005,0.045,0,0.851,1.546,0,4.179,0,0,0.892,0.066,0.701,1.639,0,9,0,0.2,0,6,5.059,0.945,37.4,0,0,0,0,0,0.087,0,1.44,7.93,0,0,0.039,0,0.1,0,0.67,0,0,0,2.1,12.3,0,0,0,9,0,0,0,9,31,0,0.2,0.1,0.6,60.4,9.2,0,0.68,9,9,0,0,0,1.12,9,0,0.1,0.47,0,0.45,0.2,0.78,9,0.08,0,0,0,0
"Uganda",101.02,0.07,0,0,0,0,0,0,0.011,0,9,0,0,0,0,0,9,9,0,0,9,0,0,0,0.005,0,9,0,0.044,0,0,0,0,0,18.45,0.148,16.18,7.1923,0.3277,3.88,3.1,15.813,0.687,0,0,0,0.58,0.022,0,0.72,0,0,1.465,0.086,0,0,0,0,1.375,2.87,0.287,0.045,0,0,0,0,0,0,0,9.0022,0,0,9,0,0,0,0,9.0032,0.011,0,0,0,0,0,0,0.014,0,0,126.1808,10.9991,0,0.4007,0.0152,0,0,0,0,0,0.0441,0,0,0,0,9,0,0,0,0,0,0,0,7.7,4.049,0,0,0,0.799,0,0,0,0,2.86,9,0,0,0,0,0.55,0,0,1.1,0,0,0,1.5,9.59,16.689,0,9.263,0.165,0,0,0,0,0.73,0,0,0,0,0.562,0,0.5,9.626,0.0011,0.31,0,0,0,0
"Kenya",83.98,14.12,0,0,9,0,0.035,0.16,0.096,0,9,0,0.0052,0,0.486,0,0,0,0,0,0,0,0.01,0,0,0,0,0,4.6,0,9.001,0,0.131,0,150.127,10.159,10.652,17.0722,0.7778,37.911,26.838,2.936,0.585,0,0.2944,2.051,8.993,1.156,4.727,3.666,0.04,0,3.012,2.141,0.436,0.3274,1.405,6.8915,13.064,8.521,2.523,6.303,0.021,0,0,0,0.1309,0.0033,0.019,0.037,0.001,0.008,0.009,0.442,0.0308,0.028,0.033,0.0178,0.062,0.014,0.036,5.744,0.022,0.004,0.0242,0.0004,0.892,126.1808,0,11.711,10.337,28.58,16.716,25.4966,3.534,0.1749,20.0022,0.8255,1.161,0.174,0.062,0.1,0.077,2.004,0.547,5.2965,16.334,2.697,1.17,4.81,0.578,0.513,5.902,30.56,0.171,0.1155,4.871,0.615,0.7813,4.31,8.988,372.722,2.7207,20.2255,15.244,6.879,0.763,198.375,30.932,9,14.599,0,8.827,9.068,4.411,149.051,10.939,0,31.928,2.686,0,18.514,0,0,1.439,0,0,0.0033,15.177,74.705,1.066,0.371,12.595,0.001,0.339,9,0,0.008,0
"Tanzania",46.789,4.023,0,0,0,9,0.151,0.116,0.029,0,9,0,9.0033,0,0,0,0,9,0,0,0,9,0,0,0,0,9,0,10.456,9,0,0,0.001,0.001,117.982,3.328,47.067,31.8873,1.4527,11.77,5.95,1.619,6.486,0,2.0943,3.222,2.828,0.615,1.373,21.822,0.05,0,9.064,4.77,0,0.2481,1.312,7.4514,2.231,28.898,12.315,6.288,0,0,0,0,0,9,9,0.428,0,0,0,0,0,0,0.009,9.105,0.013,9,0.01,0.124,9,0,0,0,0.066,10.9991,11.711,0,6.213,3.165,0.494,0,0.412,0,1.6765,0.5953,0.618,0.168,0,0,0,0.231,0.061,0,0.142,0.737,0,41.939,0,0.002,0.545,0,0.128,0.6699,0.514,0.029,0.0122,2,6.267,20.62,9.1675,10.828,0.099,56.671,0,118.6,0.09,0,18.588,0,4.93,1.05,1.556,119.851,21.676,0,2.669,0.908,0.007,0.247,0,0,2.241,0,0,9,0.537,11.43,0.25,61,3.762,0,1.198,0,0,0.008,0
"Burundi",23.054,0.316,0,0,0,0,0,9,9,0,0,0,9,0,0,0,9,9,0,0,9,0,0,0,9,0,0,0,0.05,0,9,0,0,9,7.592,0.023,3.761,1.9607,0.0893,6.873,0.829,0.782,1.49,0,0.197,0,0.2,0,0.391,0.768,0,9,1.44,0.222,0,0,0.459,0.275,1.82,0.236,0,0.473,0,0,9,0,0,0,0,0.001,0,9,0.001,0,0,0,0,0,0,9,0.12,0,0,9,9.7678,0,0.701,0,10.337,6.213,0,1.248,0,0.0011,0,0,0,6.4,1.028,0,0,9,0,0,9,0,0.007,9,9,0,0,0,0,31.726,0,0,0.121,0,0,9,0,0,0,0,9,0,9,0,0,9,5.169,0,0.321,0.017,0,9.403,0.49,0,0.057,0,0,0,0,9,0.001,0,0,0,0.18,0,0,9,0,9,0,0,0,0,0
"Rwanda",31.391,2.667,0,9.013,9,0,9.001,0,0,0,0,0,0,0,9,0,0,0,9,0,0,9,9,0,0,0,9,9,0.08,0,0,9,0.552,0,1.057,0.088,7.423,34.833,1.587,19.976,2.194,0.392,0.14,0,0.017,0.004,0.345,3.066,0.315,2.067,0,9.001,3.98,0.027,0.03,0,0.652,2.17,2.386,6.131,0.125,1.937,0,0,0,9,9,0,0,0,0,0,0.001,0.005,0,0,0,0,0,0,0.017,0,0,0,0,0.0029,1.639,0.4007,28.58,3.165,1.248,0,0,0,0.187,9.001,0,0.641,0,0,9,9,0,0,0,0,0.008,0.41,0,0.001,0,0.09,0,14.492,0,0,0.25,9,9,0,0.3,0.426,0.931,0.146,0,22.762,9,0,0.039,9,22.433,0,0,0.202,0.1,28.97,1.493,0,0.071,0.004,0.317,0.335,9,0,0.121,9,9,0,0.427,0,0.007,9,0.408,9,0,0,0,0,0
"Somalia",22.329,0.147,0,0,0,0,0,0,0,0,0,0,9,0,0.002,0,0,0,0,0,0,9,0,0,0,0,9,9,0.066,0,0,0,0.03,9,146.674,0.34,1.499,0.0669,0.0031,6.12,1.0576,2.378,0.0574,0,0.0066,0.014,0.049,0,0.0015,95.696,2.7674,0,0.0877,3.819,0,0.005,0.4274,0.0297,0.048,0.131,0.0047,1.73,0,0,0,9,0,0,0.001,0,0,0,0,0,0,0,0.002,0,0.003,9,0,0.7,0,0,0,0,0,0.0152,16.716,0.494,0,0,0,13.3479,23.328,0,0,0.0184,0.002,0,0,0,0,0,0,9,0,0.0169,0,0.046,0.157,0,0.05,5.816,0.011,10.762,0.006,1.64,0.0228,0.006,9,84.79,12.5107,2.838,1.2681,20.18,0.0494,18.116,0.014,0,4.508,0,0.043,9,0.012,8.603,3.11,0,3.1879,0.17,0.012,0.037,0,9.0025,6.438,0,0,0,0,2.429,0,0.006,0.754,9.006,0.1,0,0,0,0
"Djibouti",7.92,0,0,0,9,9,0.0396,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,7.52,0.297,11.66,7.7853,0.3547,63.82,0.77,0.826,0.011,0,0,0,0.99,0,0,14.2,0.033,0,0.649,1.024,10.9459,0,0,0,0.011,0.11,0.264,1.672,0,0,0,0,0,0,9,0.001,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,0,9,0,25.4966,0,0.0011,0,13.3479,0,18.9476,0,9,9,0,0,9,0,0,0,0,0,0.0132,0,9,9,0,9.1,0,0,0,9,0.022,0,0,0,0,0.58,3.917,0,0,28.041,9,0,0,0,2.86,0,6.8582,0,3.52,27.94,0,0,0.564,9,0,0.0194,0,0,6.897,0,9,0,0,0,0.088,9,0.066,0,9,0,0,0,0
"Ethiopia",32.773,22.71,0,0,9,9,0.013,0.02,0,0,0,0,9,0,0.03,0,5.126,9,0,0,0.021,0.047,0,0,0,0,0,0,0.94,0,0,0,0.01,9,27.615,0.43,6.57,3.8927,0.1773,4.349,6.772,2.709,0.47,0,4.031,2.29,0.611,3.829,4.769,93.061,0,0,15.496,0.601,4.933,0.313,0.481,148.0711,1.617,18.046,1.317,1.443,0.03,0,9,9,0,0,9,0.018,0,0,0,0,9,9,0,9,0.054,0,0.014,0,0,0,0,0,0,0,3.534,0.412,0,0.187,23.328,18.9476,0,9,0,0,0.013,0.08,9,0,9,0,0,9,0,0,0.02,3.65,0,0.5,0.968,0,0.57,0,3.609,0.46,0.0003,0.13,4.193,9.138,2.3292,26.6633,0.05,0,0,0.1,0,0,8.351,0,3.479,0.162,2.865,21.96,7.403,0,0.172,9.93,0,0.739,0,9,0.395,9,0,9,0.079,2.843,0.11,0,1.567,0,0,0,0,0,0
"Angola",643.07,1.76,0,9,0,9,0.0398,0.022,0.001,0,9,0,9,0,0,0,0,0,0,0,0,0,0.01,0,0,9,0,0,60.654,9,0,9,34.617,1.254,36.14,0.77,26.4,14.662,0.668,182.62,20.02,111.997,234.576,0,9,33.913,1.23,0,0,62.85,0.74,0,33.969,0.002,0,0,24.227,9,5.808,41.08,8.448,21.089,0,0,0,0.0022,0,0,0,0,9,0,0,0,0,0,0,0,0.0196,0,0.1243,1.1,6.5472,9,0,5.777,0.2,0,0.1749,0,0,9.001,0,0,9,0,0,0.4239,3.5827,0,0,0,0,9,0,9,0,0,0,41.572,0,0,1.4476,0,0,0,0,9,0,0,0,0.44,0,0,0,0,9,0,9,0,9.15,0,12.21,0,7.59,63.03,0.066,0,0,9.506,0,0,0,0,5.841,0,0,9,0.198,0,0,0,0.022,9,0,0,0,0,0
"Mozambique",49.6,17.13,0,9,9,0,0,0.46,0,0,9,0,9.0026,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,40.029,0,0,0,0,0,16.21,1.617,33.43,3.0988,0.1412,78.32,6.7,6.522,18.307,0,0,0,0.94,0,0,28.39,0,0,0.484,0.066,0,9,0,0,0.052,24.66,2.557,2.361,0,0,0,0.269,0,0,0,0,0,0,0,0,0,9,0,9,0.0133,9,0,0,0,9,0,0,0,0,20.0022,1.6765,0,0,0,9,0,0,0,0.0558,11.619,0.6672,0,0,9,0,0,0,0,0,0,34.984,0,0,0,82,0,0,0.11,0,0,27.21,0,11.55,9,0,0,6.644,9,93.15,2.3,0,12.98,0,3.85,9,2.87,10.28,0,0,0.2,53.911,9,0.0539,0,0,6.76,0,0,0,5.627,33.653,1.93,16.12,0.355,9,1.071,0,0,0,0
"Zambia",27.78,1.3627,0.0245,0,0.713,0,0,0.0055,0,0,0,0,9,0,0.0055,0,0,0.0018,0,0,0,0.328,0,0,0,0,0,0.1,12.0494,0.12,9,0.0036,0.01,0,80.1182,3.5664,1.8282,7.9766,0.3634,131.6827,14.8,1.11,0.72,0,18.7087,1.6404,7.8645,0.0982,5.0461,82.55,0,0.0064,59.4,16.0509,0.2007,0.2445,0,0,9.0664,14.3,3.72,3.1082,0.0591,0,0,0,0,0,0,0.041,0,0,0,0,0,0,0.01,0,0.042,9,0.0001,0.1,0,9.438,0,0.1024,6,0,0.8255,0.5953,6.4,0.641,0.0184,9,0,0.4239,0.0558,0,13.142,0.9786,154.2682,0.0164,0.672,4.3488,0,9,0.082,0,0,1.44,0,0,0.025,0.9082,0,0.0245,4.2618,0,0.3153,0.07,2.92,157.9373,0.0285,0,0.0018,92.75,0,0.0836,0.0282,0,16.6455,0,0,9,8.2,220.6,50.3682,0,0.61,3.0418,0,0.201,0,9,6.58,0,0,0,0.6,2.36,0.04,5.8,24.2145,0,0.2809,0,0,0.004,0
"Zimbabwe",2.989,12.343,0,0,9,0.002,0.004,0.001,0,0,0,9,9.0304,0,0.613,0,0.005,0,0.001,0,0.003,0.003,0.679,0.024,0.002,0,0.05,0.527,6.868,9.032,9,1.245,1.904,0.079,84.856,3.258,1.279,18.6216,0.8484,2.356,18.402,16.255,13.578,0,1.8087,0.344,12.153,0.595,0.457,8.462,0.006,0,6.553,0.13,0.096,2.3491,7.152,0.2037,7.942,5.282,1.345,2.756,0,0,0,9,9,0,0.514,0.002,9,0,0,0.185,0,9,0,0.004,2.635,9,0.899,1.363,0.106,0.023,9,1.4504,5.059,0.0441,1.161,0.618,1.028,0,0.002,0,0.013,3.5827,11.619,13.142,0,1.835,116.028,1.705,14.514,3.139,0.029,9.3069,2.866,0.5,0.228,9.18,0.224,0.6,0.516,3,1.773,17.0643,0.65,7.269,3.4783,13.893,9.738,1.9,9.144,0.1991,0,15.539,0,0,0.34,0,54.139,0,6.45,0.058,0.099,49.866,1.431,0,15.28,14.719,0.028,1.488,0,0,9.546,9.0044,0.0825,9,3.768,0.344,4.233,5.011,5.171,0.004,0.868,9,0,0.007,0
"Malawi",52.073,1.042,0,0,0,9,0.004,0.08,0,0,9,0,9,0,9,0,0,0,0,0,9,0,9,0,0,0,9,0,0.07,0,0,0,0,9,32.961,2.647,8.718,0.8321,0.0379,5.069,0.879,0.91,1.114,0,9,0,0.602,9,9,15.247,0.16,0,0.04,0.24,0.267,0,9,0,0.28,2.605,0.854,4.551,0,0,0,0.023,0,0,0,0.033,10.369,0,0,0,9,0,0.575,4.0891,0,0.161,0.451,0,0.852,0,0,0.2289,0.945,0,0.174,0.168,0,0,0,0,0.08,0,0.6672,0.9786,1.835,0,102.372,9,0,0,0,0,0.412,0,0,0,0,0,0,3.033,0,0,1.69,0,9,9,1.782,0,9,9,0,15,0,0,9,0,0,0,0,9,0.4,11.365,2.955,0,0.44,0,0,0.003,0,0,0,0,0,9,0.743,3.664,0,0,2.455,0.593,0.692,0,0.349,0.211,0
"South Africa",359.3,154,0,0,0,1.34,0,0,0.01,0,0,0,9,0,9.4,0.013,0.137,0.174,0.104,0.038,0.234,0.045,8.77,122,0,0.001,25.8,4.69,18.067,0,0.159,7.8,26.07,6.161,1137.7,17.53,100.8,87.8956,4.0044,97.7,264.6,19.79,7.89,0,0,0,16.7,0,0,997.2,0.27,9,0.02,14.48,0,0,0,0,34.64,152.6,36.26,108.13,1.214,0,0,0,0,9,0,0,9,9,9,0,0,0,0,0,0.002,0,0,1.7,0.284,0.076,0,0.5196,37.4,0,0.062,0,0,9,0,9,9,0,0,154.2682,116.028,102.372,0,0,0,0,0,0,47.938,19,0,0,9,9,0,0,24.83,0,0.15,9,0,0,4.8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,461.7,0,0,0,9,0,16.293,0.55,0,0.9,9,0,0,1.41,0,0.72,0.5,32.61,0.033,8.41,9.011,0,0.15,0
"Lesotho",17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9.323,0,9,0,0,0,0,0,0,9,0,0,0,0,0.1,9,9.5,0.5739,0.0261,0,0.4,0.02,9.07,0,0,0,0,0,0,0.8,0,0,0.67,0,0,0,0,9,0.01,9,9.26,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0032,0,0,0,0,0,0,0,0,0,0,0.1,0,9,9,0,0,0,0,0,0.0164,1.705,9,0,0,0,0,0,0,9,0,0,0.02,0,9,9,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0.1,0.1,0.79,0,10.2,9,0,0,0,0,0,0,9,0,0,0,0.13,0,0.06,0.63,9,0,0,0,0
"Botswana",128.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,9,0,0.196,0,0,9,9,9,0,0,0,0,23.8,0.08,9.2,9.2869,9.0131,1.2,0.1,0.28,0.06,0,0,0,9.6,0,0,26,0,0,10.34,0.01,9.292,0,0,0,9.01,9.2,9,0.55,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0.024,0,0,0,0,0,0,1.854,0,0,0.077,0,0,0,0,0,9,0,9,0.672,14.514,0,0,0,0,0,9,9,0.391,9,0.94,5.65,0,9,0,0,9,9,0,0,0,9,0,12.8,0,0,0,0,11.03,0,4.68,0,0.2,0,0,0,0,0.3,2.22,0,0.92,9,0,0.081,0,0,8.76,0,0,0,0,0,9.08,0,0.02,0.166,9,0,0,0,0
"Swaziland",64,0,0,0,0,0,0,0.02,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10.71,0,38,0.67,0.5,0.3826,0.0174,4.8,0,0.1,9.15,0,0,0,9,0,0,14.6,9,0,0.01,9.23,0,0,0,0,0.06,1.1,0.29,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,9,0,0,0,0.2396,0,9,2.004,0.231,0,0,0,0,0,9,0,4.3488,3.139,0,0,0,0,0,9,0,9.053,9.9,0,0,0,0,0,0,9,9,0.18,0,0,0,0,45.1,10.1104,0,5.1,9,9,0,0.17,0,0,0,0,0,8.1,1.9,5.06,0,0.85,0.05,0,0,0,0,2.11,0,9,0,0.12,0,1.1,0,1.59,9.003,0.08,0,0,0,0
"Madagascar",55.218,0.901,0,9,0,0,0.001,0.04,0.036,0,9,0,0,0,9,9,0,0.004,0,0,0,9,0,0,0,9,9,0.13,2.057,9,0,0,0,0,5.656,0.84,12.039,9.9851,0.4549,105.005,8.308,2.617,2.7,0,10.2124,0.002,0.9,0,0,11.157,0.02,0,1.993,0.3,0,0,0.066,4.2725,0.08,9.961,0.36,1.87,0,0,0,0,9,9,0.011,0.333,0,0,0.007,0.1,0,0,0.014,9,0,0,0.237,0.7,0,0,9,0,0,0,0.547,0.061,9,0,0,0,0,0,0,0,0.029,0,0,0,9,9,0,0.4186,0.024,0,1.38,7.811,0,0.1,0.014,0,0.08,11.1269,0,0,0,0,0,55.421,9,0,2.4,0,13.75,23.2,0.01,0,10.789,0,0,0,0.2,32.089,3.037,0,2.364,0.08,0,0.206,0,9,0.022,0,9,0,0.009,17.54,0.18,65.612,0.55,9,0.06,9,0,0.024,0
"Comoros",3.99,0,0,9,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,11.07,0.07,0.06,0.0765,0.0035,13.79,0.1,0.111,6.63,0,0,0,0,9,0,0.9,0,0,0.1,0.219,0,9,9,9,0,0.1,0.176,0.058,0,0,0,0,0,0,0,0.007,0,0,0.105,9,0,9,9,0,0,0,0,5.2,9,0,0,9,0,0,5.2965,0,0,0,9,0,9,9,0,9,9.3069,0,0,0,9,0,0.4186,0,1.3837,9,0,0,0,0,0,9,9,0,0,0,9,0,9,0,0,9,0,9,0,9,0,0,0,0,0.33,0,0,1.15,0.066,0,0,9,9,0,0,0,0,0,0,0,9,0,0,0,0.044,0,0,0,0,0,0
"Mauritius",8.982,0.732,0,0,0,0,0.001,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0.011,0.002,0,0,0,0,0.462,2.185,0,0,0,0.003,0.001,147.866,0.56,4.045,3.051,0.139,17.884,1.31,0.782,0.154,0,0,0.021,0.47,0.317,0.178,0.46,0.015,9.022,0.081,2.32,0.001,0.01,0.051,1.0504,0.032,0.877,0.716,0.559,0.01,0,0,0,0,0.0011,0.014,0,0,0,0.001,0.155,0.0029,0,0,0.0016,0.038,0,0.001,0.005,0.001,0,0,0.0258,0.087,0,16.334,0.142,0.007,0.008,0,0.0132,0,0,0,0.082,2.866,0.412,47.938,9,0.391,9.053,0.024,1.3837,0,0.503,1.057,2.348,0,0.004,0.001,0.001,2.641,0.009,0.173,0,0,0.001,3.833,0.001,0,1.228,0,84.339,0.012,0,0,0.027,21.196,0,7.485,0,5.542,31.865,20.404,0,11.263,0.005,7.357,0.475,9,0.102,0.764,0,9,0,6.893,9.791,0.157,0.272,28.854,0.649,17.671,0,0,0.001,0
"Seychelles",2.8,0,9,0.7,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,9,0,9,0,0,0,0.066,0,0,0,0,9,13.3,0.18,1.3,1.6259,0.0741,2.8,0.1,0.01,0.02,0,9,0,1.4,0,9,1.9,0,0,0,0.03,0,0,0,0.1,0.1,0.4,0.02,0.5,0,0,0,0,0,0,9,9.005,0,9,9,0,9,0,0.001,0,0,0,0,0,0,0,0,9.004,0,0,2.697,0.737,9,0.41,0.0169,0,0,0,0,0,0.5,0,19,0,9,9.9,0,9,0.503,0,9,0,0,0,0,9,9,0,0,0,9,0,0,9,1,0,0,18.8,9,0,9,0,2,0,0.3,9.2,0.1,5.1,3.6,0,1.52,0,0,0.1,9,9,0.9,0,0,0,1.1,6.3,0.03,9,2.28,0,0.3,9,0,0,0
