"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Zanzibar","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Malawi","South Africa","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"El Salvador",19.4,0.2,0,0,0,0,0,2.7,2.8,4.1,0,1.7,4.3,3.09,0.4,9.4,0.1,0,0,0.1,0,0,0.1,0,7.1,0,7.2,5.3225,0.2775,1.9,0.9,0.3,0,0,0,0,0.7,0,0.4,1.8,0,0,0.2,0,0,0,0,0,1.2,0.2,0.4,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.6,0,0,0,0,24.7,0.1,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
"Nicaragua",28.8,1.6,0,0,0,0.3,0.3,2.4,4.3,0.4,1.7,0,2.1,3.89,0.6,5,0.5,0,0,0,0,0,0.2,0,0.5,0.5,0.5,2.7563,0.1437,4.1,0.3,0.1,4.2,0,0,0,1,0,0,0.9,0,9,0,0.4,0,0,0,0,0,0.8,0.1,0.3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,9,0,0,0,0,0.5,0,0,25.2,0.6,0.2,0,0,0,0.4,0,0,0,0,0,0.2,0,0,0
"Costa Rica",6.2,4.5,0,0,0,0,0.4,2,0,1,4.3,2.1,0,0.51,0.6,2.2,0.1,0.1,0.1,0,0,0,0.1,0,6.2,0.1,1,0.4752,0.0248,1.5,0.9,0.1,0,0,0,0,1.2,0,0.2,0.5,0,0,0.5,0,0,0,0,0,1.9,1.1,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,9,0,0,0,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,9,0,9,0,9,0,0,0,9.4,0.3,0,0,0,0,0,9,0,9,0,0,0,0,0,0
"Panama",37.08,13.09,0,0,0.11,0,0.44,5.13,0.12,0.24,3.09,3.89,0.51,0,6.86,32.91,0.33,0.27,0.67,1,0,2.67,1.47,0.2,1.41,0.3,1.59,1.131,0.059,1.14,1.01,0.36,0.11,0,0.11,0.44,0.02,0.11,0.22,1.08,0,9,0.2,0.1,0,0,0,0,0.4,0.55,0.23,9.31,0.2,0,0,0,0,0,0.1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9,0,0,0,0.44,9,0,0,0,0.1,0,0.4,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.11,0,0.11,4.28,0.55,0.1,0,0,0,0,0,9,0,0,0,0.55,0.44,0.11,0.88
"Colombia",19.4,0.9,0,0,0.1,0.2,35.8,4.2,0.8,0.5,0.4,0.6,0.6,6.86,0,0.4,4.21,0.7,1.9,0.1,0,1.1,5.6,5.9,24.2,0,9.1,3.8969,0.2031,6.8,6.1,4.6,0.3,0,0.2,0.9,0.7,0.3,1.5,6.9,0,0,0.1,0,0,0,0,0,0.4,4.4,3.2,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0.1,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,1.1,0,9,0,9,0,9,0,0,0,16.7,0,0,0,0,0,0,0,9,0,0,0,0.6,0,0.15,0
"Venezuela",364.3,204.6,0,0.1,3.6,14.5,95.1,11.7,4.6,0.3,9.4,5,2.2,32.91,0.4,0,4.85,0.6,98.55,0,0.3,4.6,16.5,9.5,139.9,0.2,4.6,1.0455,0.0545,19.9,22.9,28.7,1.3,0,1,1.3,3.4,0.7,4,25.1,0.1,9,1.4,0,0.1,0,0.1,0.1,0.4,60.4,9,9.1,0.7,0.7,1.5,0.4,0.2,0.2,4.6,0.1,9,1.7,2.7,0.5,0.4,1.1,6.8,0.8,0.3,9.1,0.8,1.6,0,0,0,0,0,0,0,0,0,0,0.5,0,0.2,1,0,0,1.5,0.2,0.2,0,0.3,0.1,0.6,0,0.3,0,9,0,0,0.4,0,0.2,0,0.6,43.9,0.3,0,0,0,0,0,0,0,0,0,0,3.1,3.7,6.88,4.41
"Ecuador",19.43,3.71,0,0,0,0,0,0.34,0.1,0,0.1,0.5,0.1,0.33,4.21,4.85,0,2.92,0,0.1,0,2.59,0.91,0.09,6.08,0.1,2.02,5.218,0.272,4.74,0.5,0.44,0.44,0,0.1,0.1,2.4,0,0,0.18,0,9,0,0.3,0,0,0,0,0.18,0.42,1.24,1,0.2,9,0,9,0,0,0,0,0,0,0,0.1,0,0,9,0,9,0,0,9,9,0,9,0,0,9,9,0,0,9,0.11,9,0,0,0,0,1.1,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0.11,0,0,9,0,16.58,0.55,0,0,0.44,9,0,0,0,0,0,0,0,0,0.44,0
"Peru",8.9,12.8,0,0,0.1,0,0.1,1.8,0.2,0.1,0,0,0.1,0.27,0.7,0.6,2.92,0,12.24,1.4,0.3,26.8,25.3,1.8,25.8,1.3,18,19.4843,1.0157,19,0.5,3.2,0.1,0,3.6,5.1,3.2,1.8,0.2,18.6,0.3,0,4.4,0.4,0,0.2,0.6,0,0.4,5.6,2.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0.1,0,0.1,0,0.1,0,0,0.1,0.1,0,0,0.1,0.3,0,0.5,0,0,0,0,0,0,0.4,0,0.1,66.9,2.5,2.8,0,0.8,0,0.1,0,0,9,0,0,0.3,0.2,1.96,2.2
"Brazil",98.85,24.35,0.5,0,0,0.1,1.11,7.51,0.1,0,0,0,0.1,0.67,1.9,98.55,0,12.24,0,0.9,1.524,15.3,27.43,16.16,43.27,2.1,33.2,23.8849,1.2451,32.87,0.02,0.29,3.65,0,1.61,3.22,11.26,3.3,0.96,53.05,0.1,9,1.9,4.45,0.6,1.07,3.94,6.63,18.42,33.45,11.66,20,0.93,0,0.11,0,0,0,0,0,9,0,0.1,0.5,0.33,0,0.1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8.45,0,3.4,5,2.6,0.1,1.1,0,0.3,31.79,1.4,1.5,1.5,0.8,1.05,20.58,0,15.18,0,0.57,9,2.7,0,0,0.19,0.24,0.1,0,0,0,1.94,0,9,0.3,0,0,0.8,0.1,6.05,0
"Bolivia",17.9,0.4,0,0,0,0,0,0.3,0,0,0.1,0,0,1,0.1,0,0.1,1.4,0.9,0,0,1.4,1.9,0.2,37.8,0,1.4,0.095,0.005,0.2,1.9,0,0.2,0,0.1,0.1,0.2,9,1.3,1,0,0,0.1,0,0,9,0,0,0.1,1.3,0.3,0.3,0,0,9,0,0,0,0,9,0,0,9,0,0,0,9,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0.1,9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,9,0,9,0,0,0,0,0,3.9,0.2,0,0,0.2,0,0,0,9,0,0,0,0,0,0.1,0
