"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Zanzibar","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Malawi","South Africa","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"Mali",0.4,0,0.6,0,0,0,9,9,0,9,0,0,0,0,0,0.7,9,0,0,0,9,0,0,9,0.4,0,0.3,0.2851,0.0149,8.5,0,0,0,0,0,9.6,0,0.1,0.4,0.1,0,0,0.6,0,0,9.1,0,6.2,0,0,0,0.1,0,0,0.2,0.1,0.1,0,1.9,0.1,0.3,0.1,0.1,4.2,0.2,0,0.1,0,0,0,0,0,0,0.1,9,0,0,0,0,9,0,0,0,0,0.5,0.2,0,0,9,0,0,0.1,0.4,0,0.1,0,0,0,9,9.1,0,0.8,0,0,0,0,0.1,0,0.2,9,0,0,0,9,0,9,0,0,0,0,0,0
"Senegal",8.9,0.1,1.5,0,9,0,0,0,9,0,0,0,0,0,0,1.5,0,0,0.11,9,0,0,0.1,0,1,1.1,2.4,1.996,0.104,15.2,0.4,0.9,0,0,0,0,0.5,0,0.1,5.2,0,9,0,0.1,0,0,0,0.2,0.2,1,0.6,0.6,0.2,0.2,0,1.5,0,0.9,2,0.3,0,0.1,0.1,0.1,0.6,0.5,0.3,1.1,0.6,0.7,0.3,0,9,0,0,0,0,0,0,0,0,0,0.7,2.1,2.7,2.7,0.5,0,0,0.1,0,0.1,1.7,9,0,0,0.1,0,9,0,9,3.3,0,0,0,0,3.6,0.3,0,0,0,0,3.6,11.1,0,0,0,0,0,0,0.33,0.1
"Benin",0.7,0,9,9,9,0,0,0,0,0,0,9,0,0,0,0.4,9,0,0,0,0,9,0,9,0.6,0,0,0.2851,0.0149,6.6,0,0.1,0,0,0,0.1,0,9,9,0.6,0,9,0,0,0,9.1,0,0,0,0,0.6,0.1,0,0.1,1.5,0,0,0.2,0.3,9.1,0,0,0,0,0.3,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0.3,0.1,0,9,0,0,0.3,0,9,0,0,0,0,9,9,0,0.2,0,0,9,0,0,0.1,0.1,9,0,9,0,0.5,0,0,0,9,0,9,0,0
"Mauritania",0.9,0.2,0,0,0,0,0,0,9,0,0,0,0,0,9,0.2,0,0,0,0,0,0,0.1,9,16,0.1,1.6,0.9505,0.0495,4.2,0.5,0.2,0,0,0,0.1,0,0,0,8,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,1.2,0.1,0,0,0,0,9,0,0,0,0,0,9,0.1,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,9,0,0,0,9,9,0,0,0,0,0,0,0
"Niger",1.1,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.4,0,1.4,0.1901,0.0099,3.6,0.4,0.1,0,0,0.1,9,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0.9,0.2,0,0,1.3,0,0,0,0,1.4,0.1,0,0.9,0,0,0.4,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0.1,0.3,0,0,0,0,0,0.2,0.4,0,0,0,0.1,0,0,9,0,0.5,0,0,9,0,0,0,0.2,0,0,0,0,9.1,0,0,0,0,0,0,0,0
"Ivory Coast",45.9,0.4,0,0,9,0,0,0,0,9,9,0,0,0.1,0,4.6,0,0,0,0,0,0,0,0,10.7,0.3,6.4,0.3802,0.0198,15.2,0.9,2.9,0,0,0,0.6,0.3,0.8,0.1,18.5,0,9,0.2,0.2,0,0,0.3,2.6,0.5,0.5,0.5,2.2,0,1.9,2,0.3,0,1.3,0,0.1,2.6,0,0.3,0,0.5,0.2,0.4,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.4,15.8,0.8,0,0,0,0,0.7,0.1,0.1,0.2,0.1,0.8,0,9,0.7,9,0.5,0,0,0,0,0.7,0.3,1.3,0,0,0,0,2.4,0,1,0,0,0,0,0,0
"Guinea",3,1.8,0,0,0,9,0,0,0,0,0,0,0,0,0,0.1,0,0,0,9,0,0,0,0,2.7,0.3,0.5,1.2356,0.0644,6.1,1.4,2.3,0,0,0,0,3.8,0,0,0.1,9,0,0.7,0,0,0,0,0,0.2,0.1,7.8,0.1,9,0.1,0.3,9.1,0,0,0.1,0,0,0,0.2,0,0,6.2,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,9,0,0,0.5,9.1,0,0,0,9,0,9,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0.3,0,0,0,0,0,0,0,0,0
"Burkina Faso",0.9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,9,9,0,9,0,0,0.4,0.1901,0.0099,13.2,0,0,0,0,0,0,0,0,0,0.2,9,0,0,0,0,0,9,0,0,0.4,9,0,9,0.3,0,0,0,0,2.6,0,0,0,9,4.2,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberia",16,4.8,0,0,9,0,0,0.5,9,0,0,0,0,9,0,1.7,0,0,0,0,9,0,0,0,8.2,4.2,0.8,7.7937,0.4063,19.3,3,5,0,0,0,0,0.1,0,0,4.8,0,0,6.3,0.3,0,0,0,0,0,5.6,13.7,7.2,0.2,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,9,0,9,0,0,9,10.9,0,9,0,0,0.1,0,0.1,0,9,9,0,0,0,0,0,0,17.5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"Sierra Leone",7.1,1.8,9,0,9,0,2.3,0,0,9,0,0,0,0,0,2.7,0,0,0.1,9,0,0,0.1,0,32.9,0.4,3.6,0.9505,0.0495,2.7,0.3,0,0,0,1.1,9.1,0.1,9.1,10,1.4,0,0,0,0,0.2,9,0,9,0.1,1.1,0.1,0.2,0,0.1,0.1,0,0,0,0.3,0.2,9,0.1,0,0.1,0,0,0.7,0.1,9,9,0,0,9,0,9,0,0,0,0,9,0,0.8,0,9,0.2,0,0,0,0,0,0,9,0.3,9,0.1,0,0.1,0,9,9,9,0.8,0,0,9,0,9.8,2.1,0,0,0,0,0,9,0,0,0,0,0,0,0.2,0.2
"Ghana",49.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0,0.5,0,0,0,0.4,0.1,38.9,2.3,1.7,6.368,0.332,6.4,4.3,0.9,0,0,1.8,2,3.7,4.7,10.9,8.3,0,0,0.6,1.6,0.1,0.4,0.4,1,0.3,2.1,5.2,0.6,0,4.2,0.1,0,0,1.4,0,0,4.2,0.1,0.1,0,1,0.3,11.2,9,9,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0,5.2,0,0,0,0,0.7,0.4,0.2,0,1.9,0,9,0,0,0.1,0,0,0,0,4.4,0.7,1,0,0,0,0.1,0,0,0,0,0,0,0.2,6.18,1.17
"Togo",1.7,0.5,0,0,9,0,0,0,9,0,0,0,0,0,0,0.4,0,0,0.33,0,0,9,0,0.3,3.6,0,0.5,1.1405,0.0595,5.1,0.2,0.4,0,0,0,0.3,0,0,9.1,1.8,0,0,0.5,0.1,0,0.1,0,0.1,0,0.2,0.4,0.1,0,0.2,0.6,0.3,0,0.1,0.5,0,0,0,0,1,0,0.1,0.2,0,0,0,0.1,0,0,0,9,0,9,0,9,0,9,0,0,0,0.3,0.2,0,0,0,0,0,0.3,0,9,0,0,0,0,0,0.1,9,0.6,0,0,0,0,4,0.1,0.1,9,0,0,0,9.3,9,0,0,0,0,0,0.22,0.1
"Cameroon",7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,8.6,0.1,16.5,1.3306,0.0694,23.1,0.4,1.1,0,0,0,0,0.2,0.5,0,3.7,0,0,0,0,0,0,0,0,0,0.1,0.5,0.1,0.1,0,0.5,0,0,0,0.2,6.2,0,0,0,0.3,0.1,0,1.3,1.2,0.3,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,1.1,0.5,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,2.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nigeria",43,6.5,0,0,9,0,0,0,0,0,0,0,0,0,0,6.8,9,0,0.1,9,0,9,0,0,27.4,2.7,11.8,5.9879,0.3121,5.8,10.4,1.5,3.4,0,3.3,1.6,0.8,2.3,6.9,14.8,0,9,0.4,0,0.1,0.4,0.3,4.4,1.4,2.1,10.2,2.1,6.2,0.1,0.3,1,0.1,0.9,0.4,0,0,0.2,0.7,11.2,0.2,1.3,0,0.4,0,1.4,0.2,0.5,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,1.9,0.1,0.1,0.9,0.2,0,0.1,2.6,0,0.6,0,1.9,0.1,9,0,0,7.1,0,0,0,0,78.9,8.8,7.2,15.1,0.1,0,0,0,0,0,0,0,0,0.2,0.06,0.4
"Gabon",1,0.6,0,0,0,0,0,0,9,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,1.9,0.1,2.9,0.1901,0.0099,30.1,0.4,0,0,0,0,0,0.7,0,0,0.4,0,0,0,0.2,0,0,0,0,0,0.6,0,0.8,0,0,1.1,0,0.1,0,0,0,0,0,0.1,9,0,1.2,0.4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.1,0,0,0.3,0,0.2,0,9,0,0,0,0,0,0.5,0,3.6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0
"Central African Republic",6.5,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0.3,9,0,0,9,0,0,0,0,0.4,0,0.5,0.5703,0.0297,2.3,0.1,0.4,0.3,0,0,0,0,0,0,0.6,0,0,0.1,0,0,9,0,0,0,0.1,0,0.2,0,0,0.6,0,0,0,0.1,0,0,0,9,9,0,0.3,0,0,0,0,0,0.4,0,0,0,0,9,0,0,0,9,0,0.3,0,0.3,0,0,0,0,0.1,0,9,0,0,0,0,5.5,0,9,0,9,0,0,0,0,0,0.1,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0
"Chad",2.6,0,9,0,0,0,0,9,0,0,0,0,0,0,0,9.1,0,0,9,0,0,0,0,0,2.3,0,0.9,1.2356,0.0644,3.1,0.1,0.5,0.1,0,0,9,0.1,0.2,9.1,0.7,0,0,0.5,0,0,9,9,9,0,0,0,0.3,0,0,0.7,9,0,0.4,0.1,0,0,0,9,0,0,0.3,1.4,0,0,0,0,0.4,0,0,0,0,9,0,0,0,0,0,0,9,0.7,0,0,0,0.5,9,0,9.1,0.3,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.6,0.2,0.1,0,0,0,0,0,0,9,0,9,0,9,0,0
"Congo",3,0,0.1,0,0,0,0,0,9,0,0,9,9,0,0,0.8,0,0,0,0,0,0,0,0,7,0.2,1.2,0.5703,0.0297,29.5,1.1,0,0.4,0,0,0.2,0,0.3,0.1,0.5,0,9,0,0.1,0,0,0,0,0,0.1,0.1,0,0,0,0.3,0,1.2,0,0.1,0,0,0,0,0.1,0.1,0.2,0.2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.9,0,0.6,0.1,0.7,0,0,0,0,0,0,9,0,0,0.6,0,9,0,9,0.3,9,0,0,0,0,0.2,0,9,0,0,0,9.1,9,0,0,0,0,0,0,0
"Democratic Republic of the Congo",20.6,1.4,9,0,9,0,0,0,0,0,0,0,0,0,0,1.6,9,0,0,0,0,0,0,0,20.8,0,5.2,90.198,4.702,25.1,0.3,2.9,2.6,0,0,0,0.4,0,0,28.7,0,0,0.4,1.6,0,9,0,0,0.1,0.8,0.7,0.3,0,0,0,0,0.1,0,0,9,9,0,0,0,0,0,0.5,0,0.4,0.4,0.5,0,2.3,0.2,0.3,0,0,0.1,0,0,5.7,0.3,4.6,0,0.1,0.9,0,0,0.1,1,0,0,0,0,0,0,0.1,0.3,0,0,9,0,0,0,0,0,2.1,3.3,0.1,9,0,0,0,9,0,0,0,0,0,0,0.45,0
"Uganda",47.2,4.4,0,0,0,0,0,0,9,9,0,0,9,0,0,0,9,0,0,0,0,0,0.5,0.1,15.8,0.3,5.8,1.0455,0.0545,2.1,0.1,6.6,0,0,0.9,0.3,0.2,0.1,0.3,1.6,0,0,1.9,0.1,0,9,0,0,0.5,0.1,0.2,0.6,0,0,9,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0.3,0.7,0.7,0.1,0.1,0,0,0,0,0,0,0.1,6.6,2.6,0,0.2,0,0.1,0.2,0.1,0.2,0.6,0,0.2,0,8.4,0,1.3,0,0,9.8,0,2,0,1.3,0,0.2,0,0,0,0,0,0,0,3.8,0.8
"Kenya",12.4,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.1,0,11.6,1.3,0.6,0.8554,0.0446,1,0.5,0.8,0,0,1.6,0.2,0,1,0.6,1.4,0,0,0.9,0.6,0.2,0,0,0.1,0.7,0.8,1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0.6,0.3,2.7,0.6,0,0.69,0,0.6,0,0,0,0.1,2.9,5.4,0.8,2,0.1,0.3,0.1,0.4,2.9,0.4,0,13.7,9,0.9,0,0.4,9,0,10.8,6.5,1.8,0,0.3,0,0.1,0,0,0,0,0,0,0.1,0.47,0.5
"Tanzania",9.1,6.2,0,0,0,0,0,0,0,9,0,0,0,9,0,0,9,0,0,9,0,0,0.3,0,19.5,1.6,5.7,1.996,0.104,0.1,0.3,0.5,0,0,0.3,2.2,0.6,0.2,0.4,1.7,0,0,0.4,0.5,0.1,0,0,0.7,0.2,1.4,1,2,0,9,0,0,0,0,0,0,0,0,9,0,9,0,0,9,0,0,0,0.3,0,0,0,0,1.5,0.1,0.5,0,0.3,0.1,0,0,0,0.4,0,0,0,3.5,0.2,0.2,0.2,0.1,0.1,0.2,0.3,0.1,9,0.2,0,5.6,0,0.2,0,0,13,4.7,1.3,0,0.8,0,0,0,0,9,0,0,0,0,3.9,1.9
"Zanzibar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burundi",26,0,0,0,0,0,9,0,9,9,0,0,9,0,0,0,0,0,0,0,9,0,0,9,0.2,0,0.5,0.9505,0.0495,1.3,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,9,9,0,0,0.3,0.6,1.5,0,0,0.8,0,0,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"Rwanda",3,0,9,9,0,9,0,9,0,0,9,0,0,9,9,0,9,9,0,0,0,9,0,0,0.1,0,0.1,1.4257,0.0743,0.2,0,0,0,0,0,0,0,0,0,0.1,0,9,0,0,0,9,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.1,0.7,0.3,0.1,0,0.8,0,0,0,0,0,9,0,0,0,0,0,0,0.1,0,0,0,9,9,0,0,0.2,0,9,9,0,0,0,0,0,0.4,0,0,0,0,0,0,9,9,0,0,0,0,9,0,0
"Somalia",1.3,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9,0,0,0,0,0,9,6.9,0,0.3,0.095,0.005,1.2,0.1,0.2,0,0,0,9,0.1,9,0.3,0.8,0,0,0,0.2,0,0.1,0,6.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0.7,2.7,0.5,0,0,0,0,0.9,0,0,0,0.1,0,0,0,0,0.1,1.2,0,0.3,2.1,0,0,0.1,9,7.6,0,0,0,0.5,0,0,9,0,3.5,2.2,0.4,0.1,0.5,9,4.2,0,0,0,0,0,0,0,0.3,0
"Ethiopia",47.4,0.2,0,9,9,0,0,0,0.1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7.1,0.1,2,1.1405,0.0595,1.1,1,0.4,0,0,0,0.6,1,0.7,2.3,14.7,0.1,0,2.3,1.3,0.1,0.1,0,0.6,0,1,0.5,0.9,0,9,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0.1,0.6,0,0,0,0,0.9,0,0,0,9,0,0,0,0,0.1,0.4,5.4,0,0.1,0.6,0.1,0,0.1,0,3.1,0.1,0.1,0,1.8,0,0,0,0,13.9,3.3,0.6,0,0.9,9,0.6,9,0,9,0,0,0,0,0.2,0
"Zambia",4.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,132.2,0,15.2745,0.7223,0.0377,33.5864,6.32,3.2582,0.789,0,0,5.698,0.3387,0.199,1.6018,27.5973,0,0,0.0064,2.5376,0,9,0,0.652,2.999,9.43,0.3027,0.2239,0,0,0,0,0,0,0,0,0,0,0,0.2,9,0,0,0,9,0,0,5.7,0.1,0,0.3,0,0,0,0,0,0,1.24,8.8,0,0,0,0,0,0,2.8587,0,0,0,0,0,0,0.138,0.8536,0,0,0,3.0045,0,0,9,0,1.2,6.5,0.5736,0,0,9,0,0,0,0,0,0,0,0,1.98,0
"Malawi",0.01,0.03,0,0,9,0,0.1,9,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,9,7.36,0.3,0.67,0.2091,0.0109,0.27,0.01,0.6,0.19,0,9,0,0.11,9,9.11,0.03,0,0,0,0,0,0,9,0,0.12,0.12,2.4,0.09,0,0,0,9,0,0,0,9,0,0.4,0.8,0,0,0.2,0,0.1,0,0,0,0.3,0,0.69,0.1,0,0,0,0,0,1.24,0,0.84,0,0,0,0,0,0.1,1.43,0,0,0,0,9,9,0,0.44,9,0,0,0,0,0,9,0,1.68,0.57,0.44,0,0.3,0,0.11,0,0,9,0,0,0,0,0.77,0.1
"South Africa",132,35.6,0,0,9,0,0,1.7,0,0,0.1,0.1,0.1,0.44,0.1,0.5,0.11,0.1,8.45,0.1,0,0,0.8,1.2,98.4,2.6,28.3,20.8149,1.0851,4.6,28.3,9.6,0.7,0,0,0,3,0,0,1,0,0,0,2,0.1,0,0,0,4.2,27.6,2,11.6,0.2,0,0.7,9,9,9,0,0,0,0,0,0,0,0,0.1,0,0.3,0,0.9,4.6,0,0,0,0,0,9,0,9,8.8,0.84,0,0,1.7,9,9,9,0,67,0.4,23.4,0,9,0.4,0,2.6,3.1,0,9,0,0,0,0,0,0.1,39.9,0,14.1,0.1,16.2,0,0.9,9.1,0,0,0,0,0.1,0,1.75,0.95
"Madagascar",13.9,0,9,0,9,0,0,9,0,0,0,0,0,9,0,0,9,0,0,9,0,0,0,0,1.6,0,2,1.0455,0.0545,37.6,0,1.2,0.1,0,0,0,0,0.4,0.4,0.3,0,0,0.4,0.6,0,0,0.2,0,0.2,0.5,0.1,0.2,0,0,2.1,0,0.1,0,1.3,0,0,9,9,0,0,0,0.1,0,0,9,0,0,0,0.6,0,0,9,0,0.1,0,0,0,0,0,0.1,0.6,0,0,0,3.5,0,0,0,0,0,0,0.6,0,9,0,0,0,0,0,0,0,0.9,0.4,0.7,0,0,9,2,0,9,0,0,0,0,1.3,0.22,0
"Morocco",34.8,0.1,37.6,0,0.4,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.1,3.4,0,0.1,0.1,0,0.1,15.8,3.8,5.5,7.9838,0.4162,51.7,0,15.2,0.4,0,0.2,1.9,4.2,1.9,3.2,5.4,0.18,0,3.8,0.7,0.1,0.2,1.3,5.3,1.7,0.1,1.3,3,0,0.5,2.7,0,0.1,0.1,1.4,0.5,0,0,0.2,1,0.3,0,0.2,0.3,0.3,0.7,0.6,0.1,0,0,0,0,9,0,0,0,0,0,1.7,0.1,0,1.7,0.3,2.4,1.2,0.8,0.3,0.6,0.4,0.1,0.4,0,9,1.6,9,0,0,2.1,0,2.2,9,0,2.2,0.7,0.7,0,0.4,0,0,0,9,0,0,0,0.4,0.8,0,0
"Algeria",20.5,0.6,11,0,9.5,0,0,0,0,0,0,0,0,0,0.1,1,0,0,5,0,0,0,0.1,1.8,2.4,1.5,0.2,1.9009,0.0991,113.9,2.9,6.1,1.5,0,9.1,19.2,0.7,9.4,11,1.8,0,9,1,0.5,0,9.8,3.5,19,0.8,0.6,0.8,0.2,0,0.2,2.7,0.3,0,0.3,15.8,9.1,9,9,0,0,0.2,1.1,1.9,0,0,0,0.1,0.9,0,0,0.4,0,9,0,0,0,0,0,9,0.6,1.7,0,1.5,0.3,0.2,0.1,2.3,0,1.6,0,0.3,0,0,0,0,0,0,13.2,9,9,9,0,7.7,1.8,0.1,0.1,0.2,9,0,0,0,9,0,9,0.1,0.1,0.1,0
"Tunisia",24.3,0.9,0,0,9,0,0,0.3,0,0,0,0,0,0,0,0,0,0.1,2.6,0,0,0,0.4,0,2.5,0.5,10.6,13.7816,0.7184,41.6,0.2,1.1,0,0,1.5,3.5,1.7,0.2,1.5,10.2,0.5,0,0.5,2.6,0,1.6,0,2.7,0.8,5.6,0.2,0.2,0,0,0.5,0.1,0,0,0.8,0,0,0,0,0,0,0.5,0.1,0.2,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,9,0,0.3,1.5,0,3.1,0,0,0,0,1,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0.3,1.4,0.4,0,1.7,0,0,0.4,0,0,0,0,0,0,0,0
"Libya",35.7,0.3,9,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,126.8,0.1,44.1,17.6784,0.9216,32,8.5,29,0,0,0,1.4,1,1.5,2.7,14.9,0.5,9,1.8,2.4,0.3,0.8,2.4,3.3,0.3,0.3,13.8,1.1,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0.1,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0,9,0,2.4,0.3,3.1,0,0.2,0.1,0.7,0,10.4,1,1.1,0,0,0,0,0,0,1.5,0,1.8,0,0,8.3,1.2,0.1,0,2.9,0,0,0,0,0,0,0,0,0,0.2,0
"Sudan",13.7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1.5,1.1,0,1.1,0,0,0,0.1,0,38.8,0.4,3.5,1.3306,0.0694,1,0.5,2.2,1,0,1.2,0.8,1.2,0.1,0.9,13.1,0.1,0,0.4,0.1,0.1,0.4,1.26,0.9,0.1,2.6,0.2,1.3,0,9,0,9,0,0,0,0,0,9,0,0,0,0,0.9,9,0,0.5,0,0.1,6.6,2.9,0,0,0,0,0.1,0.4,0,0.1,0,0,1.2,0.2,0,0.2,0,5.3,0.1,2.7,5.7,0.2,0.7,0.9,0,4.8,0,0,0,1.7,0,3.6,0,0,3.2,1,1.6,0.3,0.1,0,0.2,0,0,0,0,0,0,0,0.46,0.1
"Iran",27,29.6,1.1,0,0,0,0,0,0,0,0,0,0,0.4,0,0.2,0,0.1,0,0,0,0,3.4,0,13.3,16,24.6,80.5984,4.2016,49.1,6.1,15,2.2,0,10.3,1,4.8,1.2,1.3,5.8,0,9,0.3,4.8,0.2,0.6,0.4,10.9,7.8,1.8,3.2,3.9,0,0,0.1,0,0.2,0,0,9,0,10.9,0,0,0,0,0.2,0,0.1,9,0,1,2.6,5.4,3.5,0,0,0.1,1.2,5.4,2.8587,1.43,67,3.5,0.8,0.1,0,0.1,5.3,0,1.5,1.8,0.3,0.2,0.3,0.2,5.6,0.2,9.4,7.5,1.9,0,9,15.7,9,0.5,158,60.7,24,1.2,1.5,9,9.6,0,0,0.1,0,0,5.8,6,34.03,8.14
"Turkey",81,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0.1,0.3,0,0,0,0.1,0.4,3.5,0.8,4.5,8.459,0.441,1.3,0.1,9.5,12.3,0,3.3,1.5,1.8,2.1,1.4,7.3,0,0,0.2,2.1,0.4,1,1.09,1,0.3,0,0.6,3.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0,0,0,0,0,0,0,0.4,0,0.3,2.3,0,0.7,0.1,1.5,0,17.6,0.4,2,13.1,1,0.9,11.2,0,0.1,0,0,0,0,0,0,3,0.8,0.1,0.5,0,0,0,0,0,0,0,0,0.1,0,9.12,0
"Iraq",47.4,1.5,15.5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,31.79,0,9,0,1.6,0,172,12.9,4,18.6289,0.9711,145.8,6,46,18.9,0,3.4,8.1,3.2,4.5,8.4,99,0,0,1.9,0.8,0,2.8,3.48,19.1,1.3,1,8.5,0.1,0,0.1,0.1,0.3,0,0.2,0.7,9,0,9,9,0,0.3,0,0.1,0,9,9.1,0,0,0.2,2,0.2,0,0,0,0.3,0.1,0,0,23.4,0,0.6,0,0,0,2.7,1.8,17.6,0,2.1,10.7,5,1.7,0,0.1,0.3,3.7,0,9.7,0,2.1,0,0.1,31.3,2.7,9,0.3,19.7,0,3.2,0,9,0,0,0,11.7,3.4,8.2,0
"Egypt",266.1,0.4,5.7,0,0,0,0,0.5,0,0,0,0,0,0,0,0.3,0,0,1.4,0,0,0.3,0.4,0.8,40.8,0.3,0,5.4176,0.2824,1.9,12.1,4.1,1,0,4.1,0.5,0.8,6.5,26.2,3.9,0.5,0,4.7,2.3,0.3,2.9,6.06,22.6,8.5,11.9,0.2,1.6,0,0.4,1.7,0,0,0.4,0.1,0,0,0,0.3,0.7,0,0,2.6,0,0,0.3,0,0,0,0.1,0.2,0,0,0,2.1,0.6,0,0,0,0,0.4,1.6,1,10.4,5.7,0.3,0.4,2.1,0,3.9,4.1,3.9,0,17.7,0,23.2,0,1.1,0,0,0,0,3.2,0.3,2.2,0.1,0.5,0,3,0,0,0,0,0,0,0,3.26,0
