"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",3.1400001,0,0,0,0,0,0,0.28999999,0.94,0,0,0,0,1.66,0,10.56,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",1.3099999,0,0,0,0,0,0,0,0,0.56999999,0,0.50999999,0.0060275001,0,2.51,10.8,0,2.22,3.02,0,0.58999997,0,2.3599999,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0.94,0,0,0,0,0,0,0,0,1.71,0,0,0,1.6,0,5.5700002,0,0.74000001,2.51,0,1.85,0,1.87,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",500.04001,0.20999999,2.3599999,0,0,1.5700001,1.39,0.51999998,4.6399999,20.35,0,0,17.76,16.52,1.79,0,130.75,82.629997,214.45,21.469999,50.400002,14.14,129.46001,7.0100002,16.370001,0.02,10.37,24.120001,115.47,56.860001,38.009998,2.9200001,0.77999997,2.5999999,22.57,0,5.52,0.47999999
"Netherlands",32.810001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.51,0,74.019997,8.9399996,0.86000001,0,0,62.310001,0,0,0,0.5,0,47.41,0,0.13,0,0,1.01,0,0,0.0099999998,0
"Belgium",37.599998,0,0,0,0,0,0,0,4.1500001,6.04,0,0,2.96,13.37,3.6400001,37.52,36.98,0,61.470001,0.41999999,3.1900001,0.40000001,33.77,0,4.5799999,0,0.15000001,20.68,21.870001,8.7399998,0.34,0,0,0.13,0,0,0.059999999,0
"France",92.360001,0,3.47,0,0,0,0,1.79,0.28,0,0,0,0,37.630001,6.3899999,111.94,3.5,92.550003,0,23.790001,78.300003,1.21,69.739998,0,23.559999,0.38999999,4.3299999,0,40.290001,0,0.61000001,0,0,19.42,0,0,14.73,0
"Switzerland",0.039999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,1.84,4.5100002,40.630001,0,0,0,55.650002,16.459999,25.809999,0.0099999998,0,0,8.8900003,0,0,0,0,0,0,0,0.25,0
"Spain",16.67,0,0.49000001,0,0,0,0,0.43000001,0,0,0,0,0,0.49000001,0.23,45.669998,0,7.4000001,34.389999,0,0,10.32,8.1700001,0,4.5300002,0,0,0,5.3699999,6.0799999,0,0,0,1.62,0,0,0,0
"Portugal",4.0999999,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,10.83,0,1.79,5.4699998,0,2.3399999,0,5.0300002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",92.790001,0,3.25,0,0,0.60000002,0,0.77999997,0.88,0,0,0,7.27,4.3600001,1.49,157.12,65.489998,58.450001,60.790001,33.630001,8.0900002,1.64,0,139.02,31.139999,0.28999999,0.47,0,134.74001,16.709999,17.5,0,0,0.60000002,0,0,1.41,0
"Austria-Hungary",0.41999999,0,0,0,0,0,0,0,0,0,0,0,0,5.6399999,0,0,0,0,0,6.8800001,0,0,80.739998,0,18.110001,8.7299995,1.22,0,162.22,0,0,0,0,5.3099999,0,0,0.28,0
"Italy",13.59,0,0,0,0,0,0,0,0,0,0,0,0,2.1700001,0.56999999,48.380001,1.8200001,4.6599998,35.060001,8.7700005,1.78,0,25.07,23.610001,0,0.0058857999,0.31,6.5100002,16.549999,0,0,0,0,2.3399999,0,0,0.73000002,0
"Yugoslavia",0.27000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81999999,0,0.039999999,0.029999999,0.090000004,0,0,0.34,5.48,0.1,0,0.0099999998,0.22,0.23999999,0,0,0,0,0.38999999,0,0,0,0
"Greece",0.56999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8299999,0.059999999,0.56,2.1400001,0,0,0,1.21,3.1400001,0.70999998,0,0,0,4.5999999,0,0,0,0,3.6400001,0,0,0,0
"Romania",0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3299999,0,1.37,0,0,0,0,0,0,2.97,0.029999999,0,0,4.8699999,0,0,0,0,1.25,0,0,0,0
"Russia",21.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.470001,1.6900001,3.6500001,9.1300001,2.5899999,0.090000004,0,56.540001,8.6999998,5.8000002,0,0.58999997,0.83999997,0,2.6800001,0.69999999,0,5.9400001,3.45,15.86,0,0.30000001,0
"Sweden",4.9400001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.57,0,2.5699999,2.4300001,0,0.25,0,32.279999,0,0,0,0,0,5.6399999,0,12.02,0,0,0.0000239,0,0,0,0
"Denmark",5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.92,1.98,1.76,2.4200001,0,0,0,28.75,0,0,0,0,0,9.2799997,13.71,0,0,0,0.0099999998,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3299999,0,0,0,0,0,0,0,0,0,0,0,0,5.4499998,0,0,0,0,0.059999999,0,0,0,0
"Turkey",0.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.990002,0.51999998,2.78,13.02,0,0.0000251,0,0.79000002,19.809999,2.48,0.31,1.8200001,1.98,8.0500002,0.28,0.00057530002,0,2.8099999,0,0,0,0,0
"China",9.2700005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.549999,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,6.8400002,0
"Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,0
"Japan",4.8000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.49,0.039999999,0.67000002,2.76,0.52999997,0,0,4.9899998,0.02,0.1,0,0,0,0.86000001,0,0,0,0,0,8.5699997,3.9300001,0,0
"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
