"","United States of America","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Bulgaria","Romania","Russia","Sweden","Norway","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Japan","Thailand"
"Austria-Hungary",48.040001,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,46.369999,4.5,9.8599997,22.780001,17.18,0,0,233.97,0,26.559999,3.51,4.0599999,1.54,10.57,33.900002,0,0.28999999,0,0,0.0099999998,0.0043886998,10.54,0,0.56999999,0
"Italy",69.839996,0,0,0,0,0,0,0,0,0,0,0.02,0,0.0049260999,8.1599998,0,0,5.98,18.85,1.66,91.639999,9.6800003,16.309999,64.260002,15.97,5.8899999,0,100.95,55.75,0,0.20999999,2.72,0.34999999,13.41,50.990002,0,2.4000001,0,0,0.14,0.34999999,27.059999,11.71,5.4499998,0
"Yugoslavia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,6.8299999,3.1199999,0.69999999,0,0,0,0,0.34999999,0,0,0,0,0,0,0,0,0,0
"Greece",0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5599999,0.67000002,0.54000002,1.87,0.079999998,0,0,2.6500001,3.8399999,1.29,0,0,1.45,0.44,6.8499999,0,0.0067603998,0,0,0,0,2.03,0,0,0
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,0,1.67,3.02,0,0,0,6.71,9.3699999,1.34,0,0.0098521998,0,1.05,1.35,0,0,0,0,0,0,4.1399999,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.08,0,2.73,5,1.65,0,0,25.82,19.129999,4.2399998,0,0.33000001,0.25999999,0,2.29,0,0,0,0,0,0,2.7,0,0,0
"Russia",37.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.589996,9.8800001,3.55,30.379999,3.9400001,0,0,225.7,17.469999,8.6400003,0.0099999998,0.75,0.050000001,1.22,0,3.9100001,3.3299999,3.9400001,0,0,23.48,5.1700001,6.3499999,2.1300001,0
"Sweden",14.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.57,5.0900002,2.7,7.7800002,0,0.75,0,64.010002,0,0,0,0,0,0,13.09,0,6.0900002,12.49,0,0,0,0,0,0,0
"Norway",7.3499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.77,3.76,3.1400001,3.0999999,0.54000002,0.89999998,0.33000001,35.889999,0.52999997,0.81,0,0.050000001,0,0,6.6399999,14.07,0,6.2399998,0,0,0,0,0,0,0
"Denmark",13.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.280001,3.8599999,2.1800001,4.2199998,0,0,0,64.449997,0,0,0,0,0,0,13.13,15.02,1.97,0,0,0,0,0,0,0,0
"Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0.079999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6300001,0,0.55000001,8.6000004,0,3.6099999,0,1.49,0.33000001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.98,0,0.72000003,1.22,0,0,0,1.25,0.97000003,0.23999999,0,0,0,0,19.66,0,0,0,0,0,0,1.36,0.029999999,0,0
"Turkey",2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.259998,0,0,15.42,0,0,0,24.99,30.02,14.31,0,0.98000002,8.7200003,3.6300001,10.97,0,0,0,0,0,3.5799999,0,0,0,0
"China",16.440001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.049999,0.79000002,7.6599998,1.83,0,0,0,14.17,0,0.33000001,0,0,0,0,10.64,0,0,0,0,0,0.2,0,0,50.900002,0.37
"Japan",27.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.900002,0.44999999,4.6599998,2.6700001,0.82999998,0,0,21.76,1.37,0.28999999,0,0,0,0,0.47999999,0,0,0,0,0,0,0,33.959999,0,1.3
"Thailand",0.63999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3800001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.25999999,0
