"","United States of America","Haiti","Dominican Republic","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"United Kingdom",546.62,0.34999999,0,2.8699999,0,0,2.6900001,0.30000001,0.44,7.02,18.059999,0,0,15.43,27.82,1.64,0,140.09,100.99,257.95999,28,63.470001,12.82,126.64,6.1700001,16.040001,0,7.9200001,10.92,107.75,47.57,53.029999,1.02,0.94999999,29.73,12.98,0,6.1999998,1.1900001
"Netherlands",93.879997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.19,0,74.720001,7.8899999,0.93000001,0,0,111.04,2.27,0,0,1.23,0.050000001,99.730003,6.6399999,0.19,0,0,1.33,0,0,0.20999999,0
"Belgium",33.07,0,0,0,0,0,0,0,0,0.94999999,7.29,0,0,3.95,12.97,5.1100001,39.799999,30.299999,0,56.43,1.3,6.4000001,0,44.52,1.3099999,4.5700002,0,1.46,18.77,26.48,10.39,0.27000001,0,0,0.79000002,0,0,0.079999998,0
"France",83.919998,0,0,2.73,0,0,0,0,0,0.56999999,0,0,0,1.01,40.419998,5.0999999,92.919998,14.19,55.18,0,16.030001,47.32,0,59.200001,5.4699998,25.290001,0.059999999,1.46,0.97000003,45.209999,8.5100002,0.47999999,1.59,0.0099999998,18.84,0,0,21.290001,0
"Switzerland",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.36,0.58999997,4.6999998,36.880001,0,0,0,58.73,12.81,28.719999,0.0032589,0,0.029999999,12.82,0,0,0,0,0,0,0,0.72000003,0
"Spain",19.110001,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0.40000001,29.82,0,5.29,28.24,0,0,7.23,10.1,0,4.3899999,0,0,0,9.4899998,4.6199999,0,0.86000001,0,1.27,0,0,0,0
"Portugal",2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8499999,0,0,0,0,6.6399999,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",125.24,0,0,3.5899999,0,0,0,0,0,1.12,0,0,0,3.9300001,10.27,3.1400001,155.32001,43.459999,43.759998,58.380001,37.209999,9.8800001,4.0500002,0,140.84,35.889999,0.70999998,0.89999998,1.25,166.19,26.18,14.17,0.95999998,0,1.98,0,0,1.79,0
"Austria-Hungary",4.02,0,0,0,0,0,0,0,0,0,4.0999999,0,0,0,0,0,7.5100002,1.9,2.6800001,4.79,4.52,0,0,53.75,0,10.94,3.6300001,1.8099999,3.75,11.13,0,0,0,0,3.54,0,0,0.2,0
"Italy",22.870001,0,0,0,0,0,0,0,0,0.0099999998,2.6099999,0,0,0.02,4.4699998,0.74000001,40.369999,2.8800001,5.4099998,29.07,7.5999999,2.0999999,0,27.18,24.24,0,0,1,1.36,18.48,0,0,0,0,4.9200001,0,0,2.4200001,0
"Yugoslavia",0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0.029999999,0.15000001,0.11,0,0,0.92000002,4.8800001,0.1,0,0.029999999,0.11,0.079999998,0,0,0,0,0.56,0,0,0,0
"Greece",0.74000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6500001,0.14,0.56,2.24,0,0,0,1.4400001,2.22,0.52999997,0,0,0,5.5999999,0,0,0,0,1.84,0,0,0,0
"Romania",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.09,0.15000001,2.77,4.5799999,0.79000002,0,0,18.969999,18.52,2.1400001,0.02,0,0,1.5599999,0,0,0,0,2.54,0,0,0,0
"Russia",24.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.419998,2.95,12.61,12.43,4.6799998,0.20999999,0,90.559998,9.71,5.3000002,0,0.46000001,0.68000001,0,4.0900002,0.94,0,0,2.8099999,6.9299998,0,1.65,0
"Sweden",2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.990002,2.3099999,3.53,2.0699999,0,0.30000001,0,36.740002,0,0,0,0,0,7.3800001,0,13.46,0,0,0,0,0,0,0
"Denmark",10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.91,2.0599999,1.85,2.8,0,0,0,34.029999,0,0,0,0,0,10.18,15.54,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,1.47,0,0.059999999,0,0.57999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1999998,0,0,0.36000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25999999,0.050000001,0,0,0
"Turkey",0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.219999,1.15,2.5,10.55,0,0.000062500003,0,1.4299999,5.2199998,4.5300002,0.28,1.34,1.47,6.3800001,0.31,0.0029466001,0,0.18000001,0,0,0,0,0
"China",11.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.860001,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,1.23,0,0,0,16.08,0
"Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2199998,0
"Japan",21.950001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.130001,0.039999999,2.5699999,4.1799998,2.0699999,0,0,14.73,0.059999999,0.17,0,0,0,1.54,0,0,0,0,0,20.860001,7.1999998,0,0
"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
