"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Iran","Turkey","China","Japan"
"Argentina",0,0,0,0,0,0,0,0,0,2.29,0,0,0,0,1.83,28.24,0.2,3.3399999,23,0,3.73,0,8.8900003,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",1.54,0,0,0,0,0,0,0,0,2.3099999,0,0,0,0.56999999,0,7.6900001,0,0,3.9300001,0,2.22,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",419.31,0.74000001,3.4000001,0,0,1.0599999,2.0999999,1.26,10.03,22.84,1.1900001,0,12.61,5.6300001,3.1900001,0,125.76,73.610001,181.94,0,49.360001,14.78,114.79,8.9499998,15.39,0,9.79,15.13,79.290001,36.509998,25.5,1.29,0.49000001,9.5699997,49.279999,3.21
"Netherlands",26.4,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,127.52,0,58.82,6.5300002,0,0,0.49000001,121.35,0.15000001,1.34,0,0,0,37.650002,2.3699999,0.23999999,0,0,0,1.48,0
"Belgium",31,0,0,0,0,0,0,0,1.8200001,2.95,0,0,1.8200001,11.88,4.2600002,35.669998,36.189999,0,53.43,0.69,1.6799999,0,35.779999,0,3.97,0,0,0,23.9,2.05,0.1,0,0,0,0,0
"France",53.939999,5.8600001,0.76999998,0.76999998,0,2.3299999,3.0599999,0,6.98,9.4700003,0,0,4.4499998,37.82,6.1300001,118.94,7.27,89.349998,0,22.559999,57.59,4.2600002,80.459999,21.360001,71.150002,0,4.8600001,2.3299999,42.240002,11.4,0.47999999,3.4300001,0,23.889999,16.790001,6.6700001
"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02,42.150002,0,0,0,42.43,0,24.92,0,0,0,0,0,0,0,0,0,0,0
"Spain",17.4,0,0,0,0,0,0,0,0.66000003,0.050000001,0,0,0,1.61,0,31.620001,0,7.54,37.029999,0,0,1.17,17.110001,0,3.0699999,0,0,0,4.8499999,4.8499999,0,0,0,1.67,0,0
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5600004,1.08,0,4.3200002,0,4.75,0,5.8499999,0,0.61000001,0,0,0,0,0,0,0,0,0,0,0
"Germany",29.799999,0,1.15,0,0,0,0,0,0,0,0,0,3.75,6.79,0.76999998,120.73,56.169998,69.730003,58.040001,36.080002,1.46,0,0,101.32,19.73,0.0099999998,0,0,98.410004,4.8600001,5.75,0,0,0.0086749,0,0.49000001
"Austria-Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5799999,0.25999999,0,3.9100001,0,0,0,77.309998,0,21.48,6.5500002,0,13.49,19.91,0,0,0,0,5.4499998,0,0
"Italy",11.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.939999,1.63,7.02,56.169998,14.52,0.76999998,2.4400001,21.370001,39.77,0,2.21,1.21,2.21,9.8000002,0.17,0,0,0,2.21,0,0
"Yugoslavia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79000002,0,0,0,0,0,0,1.46,6.1599998,0.25,0,0,0,0.07,0,0,0,0,0,0,0
"Greece",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77,0,0,2.29,0,0,0,0,0,3.0699999,0,0,0,3.1600001,0,0,0,0,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5999999,0,0,1.33,0,0,0,8.2799997,25.059999,0,0,0,0,5.0900002,0,0,0,0,0,0,0
"Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.410004,3.95,6.1900001,12.05,0,0.30000001,0,113.41,13.22,7.5799999,0,1.09,1.4400001,0,2.1600001,0.69,0,0,8.8999996,5.6700001,0
"Sweden",1.4299999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.889999,1.77,2.3499999,2.28,0,0.47999999,0,23.860001,0,0.30000001,0,0,0,9.0699997,0,14.14,0,0,0,0,0
"Denmark",4.1500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77,1.73,1.2,1.38,0,0,0,26.41,0,0,0,0,0,4.4200001,8.9099998,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0599999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkey",1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,9.0500002,0,0,0,0.25999999,18.620001,3.0699999,0,0,0,5.3000002,0,0,0,0,0,0,0
"China",3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.700001,0,0,0.76999998,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,4.8899999
"Japan",2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.81,0,0,0.58999997,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,2.4000001,0
