"","United States of America","Canada","Cuba","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Afghanistan","China","Japan","Nepal","Thailand","Australia","New Zealand"
"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",0.0397,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0.0003,0,0,9,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",77.44,16.22,0,0,0,0,0,0,0,0,0,0,0,0,4.71,0,0,0,6.3,0,195.15,1.16,4.16,0,3.43,13.42,0,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17,9,0,0,0,0,0,0,0,0,30.86,0,0,15.86,0.82
"Iran",1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
"Turkey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.86,0.05,5.43,0,22.6056,0,1.29,0.3877,10.38,0,0,0,0,11.88,0,0,0.31,5.37,5.67,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.12,0,0,0,0
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",78.15,15.31,0,0,0,0,0,9.0049,0,0,0,0,0,0,0,0,9,0,0,0,22.47,2.69,1.12,0,48.2593,1.59,0,0,5.6857,0,0,0,0,10.49,9,0,0,0,0,3.88,0,0,0,0,0,0.6,13.16,0,0,0,0,0,0,0,73.44,0,3.85,3.44,0
"Japan",26.4325,7.21,0,0.3,0.25,0,0,0,0.04,0.15,0,0,0,1.55,2.4,0,0,4.6317,4.79,0,18.0469,6.74,0.18,0,21.6095,0.88,0.31,0.014,0.52,0,0.01,0,0,9.8483,0,0,0,0,0,1.88,0,0,0,0,5.78,0.93,0.57,0,0,30.86,0.01,0.12,0,73.44,0,0,1.02,6.01,6.48
"Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thailand",2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24,0.7,0.4,0,0.53,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029,0.26,0,0,0,0,0,0,3.85,1.02,0,0,0,0
"Australia",129.75,20.85,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0.52,0,0,34.49,1.03,17.09,0,55.47,5.33,0,0,6.69,0,0,0,0,13.64,0,0,0,0,0,0,0,0,0,0,10.38,3.51,9.07,0,0,15.86,0,0,0,3.44,6.01,0,0,0,37.01
"New Zealand",16.13,4.55,0,0,0,0,0,0,0,0,0,0,0,11.25,0,0,0,0,0,0,62.41,0.13,1.26,0,0.4091,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.82,0,0,0,0,6.48,0,0,37.01,0
