"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"Ecuador",1.88,0.0292,0.04,0,0,0,0,0,0,0,0,0.3,0,0,0.04,0,0,0,0.12,0.02,0,0.7,0,0.02,0.31,0,1.37,0,0.2,0,0.23,0.0591,0.0172,0,0,0.12,0,0.0004,0,0,0,0,0,0,0,0,0.07,0.0071,0,0,0,0,0,0,0,0,0,0,0.0038,0,0.14,0,0,9.03,0
"Peru",0.05,2.46,0.0352,0,0,0,0,0.2301,9.18,0,0.036,0,0,0.04,0,1.7,1.4065,0,0.87,7.01,0,12.96,0,3.58,0.52,0,1.49,0,0.16,0,1.33,0.31,0.03,0,0.16,0.54,0,0.0017,0.003,0,0,0,0.0044,0.0003,0,0,0.04,0.16,0.04,0,9,0,0,0,0,0,0,0,0.0665,0,0.74,0,0,9.61,0
"Brazil",62.98,0.01,0.0025,0,10.88,0,0,0,0,0,0,0.062,0,0,1.7,0,0.01,0.0071,0.17,10.67,1.93,3.6,0,1.59,0.19,0,12.53,0,0.56,1.16,5.09,1.62,0.84,0,2.46,4.47,9,0.9483,0.27,0,0,0,0,0,0,1.06,5.85,0.56,1.75,0,0,1.39,0,9.65,0,0,0,0,0.0566,0,0.31,0,0,9.01,0
"Bolivia",3.27,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,1.4065,0.01,0,0,0.63,0.06,0,19.76,0,1.24,0,0,0.7,0,0.0182,0,0.71,0.0038,0.0011,0,0,0.24,0,0,9,0,0,0,0,0,0,0,0,0.1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0.13,0.0001,0.002,0,0.0002,0,0,0,0,0,0,0,0,0,0,0.0071,0,0,0,2.17,0.14,0.39,9,0.04,0.05,0,0.1,0.04,0.16,0.0065,0.37,0.05,0.0094,0,0,0.1237,0,0.01,0,0,0,0,0,0,0,0,0,0.0006,0,0,0,0.02,0,0,0,0,0,0,9,0,0.22,0,0,0.01,0.0001
"Chile",9.56,9.02,0.29,0,0.0765,0,0,0.008,0,0,0,0,0.0438,0.12,0.87,0.17,0.63,0,0,2.13,0,6.41,0,0.38,1.24,0,4.21,0.0478,0.77,0,3.17,0.0992,0.06,0,1.14,1.44,0,0.0598,0.0013,0,0,0,0,0,0,0,2.22,0.1239,0.91,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0
"Argentina",17.69,3.03,1.18,0.0024,2.82,0,9.001,9.0003,0,0,0,0,9.04,0.02,7.01,10.67,0.06,2.17,2.13,0,2.69,49.1,2.8,17.21,16.87,0,1.86,8.7,8.17,0.39,40.4855,2.16,1.12,0.04,1.6,20.91,0,0.87,3.77,0,0,2.8,0.1171,0.02,0.2,0.15,1.11,1.83,3.71,0,0.03,9.37,0,0,0,0,0,0,3.65,0,7.6,0,0,0.26,0.0094
"Uruguay",0.01,9.0076,0.21,0.0003,9.27,0,0,0,0,0,0,0,0,0,0,1.93,0,0.14,0,2.69,0,4.78,0,0.4,0.84,0,2.29,0,0.51,0.01,2.08,0.1691,0.05,0,0.06,0.59,0,0.0085,0,0,0,1.94,0,0,0,0,0,0.12,0.0038,0,0,0,0,0,0,0,0,0,9.0014,0,0.13,0,0,0,0
"United Kingdom",129,54.94,11.69,2.26,16.22,0.55,0.49,0.7518,0.14,3.83,0.53,7.03,3.52,0.7,12.96,3.6,19.76,0.39,6.41,49.1,4.78,0,25.99,18.03,6.8,0,24.01,6.13,26.99,22.09,40.16,9.87,0.19,3.89,1.7315,16.93,0.2696,2.38,0.81,1.02,3.73,37.1,2.63,2.82,4.73,27.58,9.92,9.7,50.43,0,0.25,53.15,10.6,1.06,5.38,0,0,0,28.26,0,0.9,0,2.92,63.05,70.79
"Ireland",2.53,12.56,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2.8,0,25.99,0,1.96,2.65,0,0.31,0.25,0.07,0,5.473,2.02,0.0049,0,1.9,0,0,0.0018,0.2666,0,0,0,0,0.557,0,0,10.1,0.08,0.34,0,0,9.05,0,0,0,0,0,0,0,0,0,0,0,5.1633,0.0079
