"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand"
"Honduras",84.569,1.399,0,0,0,0.60399997,0.34599999,0,1.582,14.197,0,23.236,4.7270002,6.5110002,0.34900001,0.815,3.9100001,0,0.059999999,0.028000001,0,0,0,0,0.1,0,4.599,0,2.6730001,2.0631249,0.0968749,1.335,1.38,0.54699999,0.1,0,0,0.197,0.384,0.32699999,0.384,1.517,0,0,0,0,0,0,0,0,0.142,1.179,0.101,1.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,9.9630003,0.15899999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",61.799999,2.4000001,0,0,0,0,0,0,4,34.900002,15.1,0,7.0999999,9,0.1,0.80000001,10.3,0,0.1,0,0.1,0,0,0,0.2,0,5.4000001,0,7.4000001,6.3039932,0.29600659,2,1.8,0.80000001,0,0,0,0,0.2,0,0,4.5,0,0,0,0,0,0,0,0,0.1,1,0.30000001,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",70.199997,2.3,0,0,0,0.30000001,0.2,0,3.5,13,4.0999999,14.9,0,14.2,5.3000002,1.2,6.1999998,0,0.059999999,0,0,0,0,0,0.5,0,5.5,0,5.5999999,3.3430271,0.1569732,0.5,0.89999998,0.5,0,0,0,0,0.30000001,0,0,2,0,0,0,0,0,0,0,0,0.2,0.69999999,0.1,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,14,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",80.900002,2.9000001,0,0,0,0,0.80000001,0,4.6999998,15.8,5.3000002,16.200001,11.8,0,3.3,2.0999999,6.1999998,0,0.050000001,0,0,0,0,0,0,0,8.8000002,0,3.2,2.8654521,0.1345484,2.5,2.5,1.2,0.1,0,0,0,0.1,0,0.2,3.4000001,0,0,0.1,0,0,0,0,0,0.1,1.9,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0,0,0,0
"Panama",104.06,3.4100001,0,0,0,0.66000003,0.11,0,2.2,0.69999999,0.99000001,0,0.44,4.29,0,3.1900001,54.889999,0,0.22,0.80000001,0.69999999,0.0020000001,0,0.66000003,0.5,0,6.71,0.2,4.8400002,2.5215969,0.1184026,2.3099999,1.65,2.53,0.1,0,0,0,0.2,0,0.11,6.5999999,0,0,2.9000001,0.2,0,0,0,0,1.6,1.3200001,0.66000003,1.4299999,0,0,0,0,0,0,0.30199999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0.69999999,12.54,0.33000001,1.1,0,0,0,0,0,0,0,0,0,0.2,3.8800001,0,0,0.76999998,0.99000001
"Colombia",324.42001,14.65,0,0,0.27000001,0.20999999,0.15000001,0,7.5599999,0.0099999998,0.035,0,0.0099999998,0.029999999,10.1,0,4.5,0,7.02,6.25,1.6799999,0,0.1,4.2199998,12.27,4.3899999,32.220001,0.40000001,9.9200001,4.3268318,0.20316809,8.0699997,13.37,38.900002,0.11,0,6.8099999,3.3699999,0.56999999,0.54000002,2.5,13.11,0,0,4.1700001,0,0,0.30000001,1.01,2.6400001,6.9099998,8.7200003,0.27000001,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0,0,0,21.48,0,0,0,0,0,0,0,0,0,0,0,1.03,0.38999999,0,0,0.11,0.36000001
"Venezuela",864.20001,79.5,0,0.014,0.2,0.1,0.2,0,15.2,0.60000002,0.58899999,0,0.1,0.60000002,0.89999998,6.8000002,0,0,0.30000001,6.6999998,5.1999998,0.0020000001,0.012,5.6999998,7.6999998,0.2,111.4,2.8,33.299999,23.40119,1.098812,48.099998,37.299999,22.4,4,0,0.69999999,1.9,5.0999999,0,5.1999998,88.900002,0,0,0.30000001,0.2,0,0,0,0,1.9,21.6,7.4000001,18.6,0,0,0,0,0,0,0,0,0,0,0,0.0080000004,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.0099999998,0,0.80000001,0,0,0,0,0,0,0,0,0,0,103.2,0,0,0,0,0,0,0,0,0,0,0,1.9,2.0799999,3.5999999,1.3,0.60000002,0.1
"Guyana",25.9,10,0,0,0,1.3,12.8,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0.2,0,32.200001,0.1,4.6999998,1.337211,0.062789299,1.2,0.2,0,0.1,0,0,0,0.2,0,0.1,1.4,0,0,0,0,0,0,0,0.40000001,0.2,0.40000001,0.40000001,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,3.7,0.2,0.60000002,0,0,0,0,0,0,0,0,0,0,0.1,0,0,3.0999999,0.1
"Ecuador",111.48,6.5500002,0,0,0,0,0.0099999998,0,1.22,0,0,0.0099999998,0.02,0.07,0.18000001,6.5900002,6.5300002,0,0,1.5700001,0.20999999,0,0.31,2.5599999,1.4400001,0.13,14.15,0.0099999998,3.76,4.6420321,0.21796849,16.42,4.0300002,1.1,0.31,0,0.37,0.5,1.17,0.16,0.88,8.6999998,0,0,0.2,0,0,0,0.02,0.0099999998,0.61000001,5.1300001,0.63,2.0599999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0.0099999998,0,0,0,0,0,0.02,0.079999998,0,0,0,0,0,0,0.07,0,0,0,0,0,0.31,0,0.050000001,0,0.0099999998,16.68,0.34999999,0.050000001,0,0.22,0,0.050000001,0.079999998,0,0,0,0,0.1,0.059999999,0,0.25,0.5,0
"Peru",212.60001,16.299999,0,0,0,0.2,0,0,5.8000002,0,0.1,0,0,0,0.1,8.5,9.8999996,0,2.8,0,3.8,0.2,0.2,6.9000001,66,4.4000001,30.700001,0.40000001,18.1,9.169445,0.43055499,12.4,12,6.6999998,0.5,0,0,0.40000001,2.0999999,0.090000004,1.1,23.200001,0,0,0.1,0.1,0,0,0,0,6.6999998,10.2,3.3,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,4.1999998,0,0.1,0,0,39.900002,2.0999999,3.8,0,0.5,0,0,0,0,0,0,0,1.8,0.1,0.30000001,1.1,10.1,5.5
"Brazil",753.06,39.82,0,0,0,0,7.48,0,20.24,0,0,0,0,0,16.5,3.1900001,73.370003,0.33000001,0.44,7.48,0,0.44,0.44,22.99,168.19,8.1400003,105.82,0.30000001,37.290001,33.831429,1.588568,79.089996,43.119999,32.560001,10.56,0,29.48,15.95,6.27,3.8499999,13.31,80.519997,0,0,4.29,0.66000003,0,16.17,5.3899999,18.700001,16.280001,57.200001,22.77,19.799999,1.3200001,0,0,0,0,0,0,0,0,0,0,0.0049999999,0,0,0,0,15.73,0,0,0,0,0,0,0.1,0,0,0,0,0,8.0299997,0,0,1.3200001,0,0,0,0,0,2.3099999,12.32,0,3.96,0,4.29,0.33000001,55.330002,0,0.1,1.65,0,2.75,71.610001,0,0,7.8099999,0,0,0,0.11,0,0,80.519997,0.76999998,0,0,0,0,0,0,0,0,0,0,3.8499999,3.4100001,0.33000001,0,1.3200001,0
"Bolivia",66.375,2.0550001,0,0,0.001,0.0089999996,0,0,0.42199999,0.018999999,0.0020000001,0.0049999999,0.024,0,1.174,0.31799999,0.112,0,0.090000004,2.105,2.382,0,0.028000001,1.993,11.424,0.050000001,7.1960001,0.011,4.6939998,1.604653,0.075347103,1.862,1.901,1.696,0.234,0,0.138,0.164,0.42399999,0.115,1.48,2.0610001,0,0,0.048,0,0,0.0020000001,0.0089999996,0.001,0.31299999,1.516,0.12899999,1.1339999,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.38800001,0,0,0,0.0089999996,0,0.043000001,0,0,0,0,0.035,0,0,0,0,0.001,0,0.147,0.001,0,0,0,0,0.018999999,0,0.39300001,0,0.0020000001,17.033001,0.25600001,0.030999999,0,0.214,0,0,0.003,0,0.003,0,0,0.012,0,0,0.017000001,0.103,0
"Paraguay",16.659,0.148,0,0,0,0,0,0,0.264,0,0,0,0,0,0,0.089000002,0.0040000002,0,0.027000001,0.17399999,2.4130001,0.003,0,0.048999999,13.285,0.61500001,4.2129998,0,0.56199998,0.50622982,0.0237702,1.053,0.50599998,1.594,0.014,0,0,0,0.301,0,0,4.4369998,0,0,0.021,0.0020000001,0,0,0,0,0.035,1.673,0.078000002,0.090000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,3.4330001,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31799999,0,0.025,3.573,0.161,0.090999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",285.39001,8.2600002,0,0,0,0,0.30000001,0,26.530001,0,0,0,0,0,3.79,3.01,28.860001,0,9.5,6.5700002,19.34,1.36,1.021,0,80.010002,1.63,42.419998,0.2,12.48,6.1798239,0.29017609,19.200001,11.02,12.32,0.28999999,0,0,1.67,2.3099999,0,1.4400001,16.48,0,0,0.69999999,0,0,0,0,0,1.11,10.65,0.75999999,4.8800001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.37,0,0,0,0,13.25,1.11,1.9,0,0,0,0,0,0,0,0,0,2.6800001,0.74000001,0,0,9.4099998,0
"Argentina",274.70001,35,0,0,0,0,0.30000001,0,11.2,0,0,0,0,0,2.5,5.5,35,0.30000001,3.5999999,13.9,138.5,1.4,13.6,49.099998,0,3.5,78.699997,0.89999998,20.299999,12.0349,0.56510341,41.200001,31.299999,17.200001,1.4,0,0.30000001,3.5999999,4.5,0.89999998,1.8,74.099998,0,0,0.30000001,1.4,0,0,2.0999999,4.9000001,22.200001,25.799999,10.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4000001,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0.80000001,0,0,3.0999999,0,0,0,0,0,0,0.1,0,0,0,4,0.2,0.60000002,0,0,0,0,0.40000001,4.5,0,0,0.89999998,0,0.30000001,0,0,0,0,41.599998,1.1,3.0999999,0,0.2,0,0,0,0,0,0,0,7.5999999,6,0.1,0,1.2,0
"Uruguay",31.200001,2.9000001,0.5,0,0,0,0,0,2.2,0,0,0,0,0,0,0.2,2.7,0,0.079999998,1.2,18.700001,0.0040000002,3.7,2.7,19.9,0,7.9000001,0.2,2,4.202662,0.1973377,2.7,3.2,0.5,0.1,0,0.69999999,0,0.40000001,0,1.2,4.9000001,0,0,0,0,0,0,0,0.2,0.69999999,1.7,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,1.5,3.2,0,0,0,2.9000001,0,0,0,0,0.69999999,1.2,0,0,12.3,0,0,0,0,0,0,0.5,0.5,1.1,0,0,0,0,0,0,0,0,0,0.69999999,0.38,0.2,0,0.69999999,0
"United Kingdom",2551.2,1230.8,16.5,0.40000001,0.1,63,54.5,17.299999,43.299999,2.5,0.80000001,0.60000002,2.9000001,0.89999998,5.9000001,21.6,175.60001,25.799999,1.1,28,90.900002,63.5,6.5,135.7,124,42,0,643,976.20001,400.9722,18.82781,749.59998,361.89999,283.5,178.3,0,42.299999,145.2,140.3,24,55.5,567,11,0.2,56.299999,28.200001,38.200001,17.9,62.099998,379.39999,385.70001,754,389.89999,574.20001,12.5,0,8.1000004,0.1,3.8,0.5,21.5,0.052000001,18.4,0,0.2,20.1,83.5,83.199997,2.2,5.9000001,168.5,6,0.80000001,0.69999999,7.0999999,42.5,36.5,60.700001,58.599998,4.8000002,0.60000002,0.30000001,4.6999998,215.7,0.2,25.9,731.20001,0,0,0,3.4000001,58.799999,33.099998,50.799999,9,378.89999,18.1,219.10001,41,61.799999,24.799999,1.2,10.2,0.2,106.1,165.10001,0,16.299999,339.5,13,82.199997,0,7.3000002,1.7,6.4000001,276.29999,324.79999,97.400002,9.1999998,95.900002,0,1.2,14.2,1.6,0.001,1.9,0,85.699997,63.299999,8.8999996,18.4,506.39999,473.70001
"Ireland",86.699997,22.700001,0.5,0,0,0.60000002,0.30000001,0.30000001,0.40000001,0,0,0,0.2,0,0,0.5,0,1.1,1.1,1.6,4.8000002,0,0,0.40000001,5.9000001,0.1,594,0,35.400002,15.56895,0.73104638,36.400002,9.1000004,7.5,2.7,0,2.3,11.9,1.6,0.69999999,2.4000001,18.4,0.30000001,0,0.2,0.60000002,0.5,0.1,1.3,6.5999999,16.6,21.5,7.1999998,10.3,0.30000001,0,0,0,0.89999998,0,0,0,0.80000001,0,0,0,0.5,5.0999999,0,0,3.5,0,0,0,0.30000001,0,1,2.2,1.2,0,0,0,0,0.1,0,0.5,6.8000002,0,0,0,0,0,7.3000002,1.9,1,4.5999999,0.2,6.8000002,1.7,18.4,0.2,0.89999998,3.3,0,5,7.6999998,0,0,0.80000001,0,2.2,0,0.1,0,0,11.6,9.3000002,3.4000001,0,2.5,0,0,0.30000001,0,0,0,0,2.5999999,0.16,0.2,0.40000001,9.8999996,4.0999999
"Netherlands",1014.1,76.400002,5.0999999,0.2,0.80000001,0.40000001,1.8,0.2,17.299999,4.1999998,0.69999999,2.4000001,2,4.0999999,0.5,24.4,26.700001,0.60000002,3.0999999,27.700001,78.699997,1.2,2,9,82.199997,6.4000001,509.29999,11.2,0,1595.101,74.898628,602.90002,128.2,39.700001,13.1,0,41.200001,22.299999,65.800003,17.799999,26.9,420.89999,0.40000001,0,19.4,15.9,2.4000001,2.7,10.6,54,83,217.2,59.299999,67.199997,0.60000002,1.7,0.2,1.2,3.3,0.2,0.0089999996,0.178,23,0.89999998,0,11.7,11.5,18.299999,7.9000001,37.099998,33.099998,4.4000001,0.1,0.30000001,4.0999999,15.9,3.5999999,4.1999998,6.4000001,0,0.2,0.023,1.6,8.3999996,0.1,4.1999998,32.700001,0,0,0,1,1.5,15.6,5.3000002,2.2,135.60001,4.6999998,70.699997,14,7.5,13.6,49.099998,31,0,17.299999,94.900002,0,0.69999999,192.39999,0.2,27.200001,0,4.9000001,3.0999999,2.9000001,85.400002,17.1,11.1,2.2,5.6999998,0,0.1,21.1,0.69999999,0,0.30000001,0,12.2,12.4,23,59.599998,19.799999,7.9000001
