"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Democratic Republic","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Libya","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Philippines","Indonesia","Australia","New Zealand"
"Luxembourg",10.67451,2.019722,0.158171,0.43395621,0.085169002,0.62457252,0.12978131,0.048668001,0.0324453,0.085169002,0.036501002,0.0081112999,0.34878731,0.43801191,0.19061629,0.47045729,1.005805,0.020278299,0.158171,0.1419483,2.3685091,0.1135586,8.6629028,0.12978131,13.84604,0,0,12.37789,2.3320079,0.64485091,0.41773361,0.2352286,0.182505,0.056779299,0.2311729,1.537097,0,0.1257256,0.052723601,0.073002003,0.077057697,1.135586,0.86791247,3.066083,0.85980117,0.69351888,0.0081112999,0,0.0162227,1.257256,0,0.056779299,0.1419483,0.80707753,0.25145131,0.23928431,1.00175,0,0.1176143,0.097336002,0,0,0.089224704,0,0,0,0,0.26767391,0.4826242,0.72596419,0.048668001,0.052723601,0,0.068946302,0,0,0,0,0.32039759,0.4623459,2.510457,0.4217892
"France",380.89999,39,7.1999998,6.4000001,0.30000001,7.5,0.2,0,0.60000002,0,0.69999999,0,3.5999999,25.700001,1.4,10.1,103.7,0,0.2,9.3000002,56.5,10.1,163.7,0.60000002,97,192.6562,8.1437769,0,86.400002,47.200001,10.3,2.3,11.2,2.4000001,5.9000001,78.5,0,7.8000002,11.5,0.69999999,4.1999998,40.200001,37.200001,75.699997,24.1,15.5,0.69999999,0,1.6,57.799999,0,9.1000004,14.5,222,46.299999,21.5,3.0999999,0,2,76.400002,0,0,9.3999996,0,0,0,0,10.8,16.1,28.5,1.1,3.3,0,0.60000002,0,0,0,0,1.4,9.1999998,176.2,56.400002
"Switzerland",167,34.900002,2.4000001,2,1.5,10.4,2.5999999,0.80000001,1.6,0.30000001,1.9,0,3.5,4.9000001,1.7,9.5,15.5,0,0.30000001,6.5999999,20.5,6.4000001,73.599998,0.30000001,59.799999,57.08688,2.413121,163.10001,0,12.8,2.0999999,8.5,5.8000002,4.0999999,12,126.8,0,5.6999998,1.9,1,1.4,5.5,4.5,20.200001,3.8,14.1,0.2,0,1.1,5,0,2.8,5.6999998,0.5,14.1,2.5,0.2,0,1.7,0.2,0,0,10.9,0,0,0,0,6.9000001,3.8,0.69999999,0.30000001,2.9000001,0,0.30000001,0,0,0,0,5.5999999,5.0999999,6.5,0.60000002
"Spain",112.9,2.3,8.3000002,0,0.2,2.0999999,0,0,0.30000001,0,0,0.1,1.5,10.5,0.1,0.40000001,13.2,0,0.40000001,11.2,3.8,0,63.700001,2.2,18.6,16.982149,0.71785289,53.5,19.200001,0,3.2,0,0,0,0,11.1,0,0,0.1,0,0,0,7.3000002,16.700001,11.2,7.3000002,0.89999998,0,0,2.5,0,0.89999998,17.700001,2.2,9.6999998,0.2,0,0,0,46.900002,0,0,0,0,0,0,0,1.3,0.60000002,3,0,0.1,0,0,0,0,0,0,2,4,0.30000001,0.5
"Portugal",29.200001,2.5,0.1,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,4.3000002,0,0,1.9,0.30000001,0,52.400002,0.2,12,24.753639,1.046362,24.1,12,1.9,0,0,0,0,0.69999999,9.1999998,0,0,0.5,0,0,0,0.69999999,6.9000001,2.5,1.2,0.80000001,0,0,2.5999999,0,15.2,0,0,1.2,0,0,0,4.5,0,0.89999998,0,0.2,0,0,0,0,0.60000002,1.1,1.2,0,0.1,0,0,0,0,0,0,0.1,0.60000002,3.2,0.1
"German Democratic Republic",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,25.4,6.4282699,0.27172959,5.8000002,9,0,0,0,0,0,0,6,0,0.89999998,3.4000001,0,0,0,11.7,17.799999,7.9000001,23.9,1,0,0,0,0,0,8.1000004,0,2.0999999,0,0,0,0,0,0,0,0,0,0,0,0,2.4000001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001
"Poland",2,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0999999,0,0,1.1,23.5,0.89999998,25.5,0,3.5999999,14.39165,0.60834992,16.799999,5,0,0.1,0,0,0,0,9.6999998,0,0,1,0,0,0,14.6,14.5,4.9000001,4.9000001,1.1,0,0,1,0,0,14.9,0,6.9000001,0,0,0,0.60000002,0,0,0,0,0,0,0,0,1.2,0.60000002,2.9000001,0,0.1,0,0,0,0,0,0,0,0.60000002,16.1,6.4000001
"Hungary",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0.40000001,8.5,0,5.8000002,0,3.2,9.3066006,0.3933996,12.3,5.5,0,0.30000001,0,0,0,0,3.7,0,0.89999998,0.60000002,0,0,0,3.4000001,7.9000001,0.80000001,2.0999999,0.1,0,0,0,0,0,4.8000002,0,5.3000002,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0.40000001,0.2,0,0,0,0,0,0,0,0,0,1.6,0.2,0
"Czechoslovakia",1,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0,0.5,13.3,1.8,8.5,0.30000001,15.6,7.6755471,0.32445329,6.5999999,9.1999998,0,0.80000001,0,0,0,0,7.1999998,0,2.9000001,1.3,0,0,0,4.5,2.9000001,5.5,11.4,2.8,0,0,0,0,0,12.8,0,17.299999,0,0.5,0,0.1,0,0,0,0,0,0,0,0,1.3,4.4000001,0.80000001,0,0.30000001,0,0,0,0,0,0,0,4,5.1999998,0.69999999
"Italy",298.70001,17.299999,1.5,5.8000002,1.3,3.5999999,0.1,0.2,0.80000001,0.2,0.30000001,1.5,4.0999999,9.8999996,2.2,1,59.099998,0.2,0.2,11.8,34.799999,6.6999998,164.2,0.80000001,49.900002,60.157101,2.542902,161.39999,93.199997,5.1999998,7.4000001,4.5999999,12,5.4000001,9.1999998,0,0,30.9,16.700001,2,6.0999999,24,9.1000004,49.400002,13.3,34.5,3.9000001,0,12,44.599998,0,12.9,23.799999,130.89999,28.1,4.4000001,1.2,0,0.2,96.5,0.80000001,0,2.2,0,0,0,0,4.4000001,11.7,21.200001,0.40000001,6.4000001,0,0.60000002,0,0,0,0,0.69999999,22.299999,106.3,13.7
