"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"Honduras",91.487999,2.6989999,0,0,0.014,0.54100001,0.62300003,0.003,2.7520001,8.1219997,0,0,3.2609999,4.9419999,0.88999999,1.673,11.632,0,0.0060000001,0.096000001,0.212,0,0,0.035999998,0.134,0.003,6.382,0.021,3.5020001,4.2739682,0.2060322,1.586,1.603,0.852,0.12,0,0.115,0.65899998,0.44999999,0.13699999,0.70200002,2.2260001,0.0040000002,0,0.0099999998,0.003,0,0,0.015,0.0049999999,0.082999997,3.7260001,0.082000002,0.509,0.0020000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020000001,0,0,0,0.023,0,0,0,0.0020000001,0,0.028000001,0,0,0,0,0.037999999,0,0,0,0,0.001,0.0040000002,0.02,0,0,0,0,0,0,0,0,0,0.061000001,0,0.13600001,0,0.0099999998,21.788,0.022,0,0.021,0,0,0.030999999,0,0,0.001,0,0,0,0,0.022,0,0.0040000002,0.016000001,0.0070000002,0,0
"El Salvador",70.088997,3.849,0,0,0.059999999,0.108,0,0,4.29,41.916,0,0,10.559,11.113,4.7870002,1.002,11.265,0,0.16599999,0.47600001,0.19499999,0,0.001,0.014,0.22,0.035999998,7.2420001,0.035999998,9.5170002,6.0579681,0.2920323,2.0739999,2.7149999,1.077,0.082000002,0,0,0.001,0.141,0.018999999,0.067000002,4.0580001,0,0,0.0099999998,0.0020000001,0,0,0,0,0.22,1.251,0.17900001,0.79000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050999999,0,0,0,0,0,0.114,0,0,0,0,0,0,0,0,0,0,0,0.078000002,0,0,0,0,0,0,0,0,0,0.027000001,0,0.0040000002,0,0.013,29.280001,0.0049999999,0,0.0089999996,0,0,0,0,0,0,0,0,0,0,0,0.0080000004,0.003,0,0.023,0.0070000002,0
"Nicaragua",69.745003,2.7690001,0,0.0040000002,0.0020000001,0.419,0.067000002,0,3.9809999,18.867001,2.082,16.061001,0,16.58,5.1069999,0.88200003,11.373,0,0.082999997,0.098999999,0.108,0,0,0.039000001,0.37799999,0.0099999998,6.539,0.001,6.1750002,4.1022458,0.1977542,0.86799997,0.79000002,1.272,0.104,0,0,0.016000001,1.0880001,0,0.12,3.598,0,0,0.0020000001,0.001,0,0,0.0020000001,0,0.17399999,0.546,0.124,0.31400001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0.0080000004,0,0,0,0,0,0,0,0.001,0,0,0.0020000001,0.15800001,0,0,0,0,0,0,0,0,0,0,0,0.018999999,0,0.057999998,17.226999,0.068000004,0,0.013,0,0,0.025,0,0,0.016000001,0.0020000001,0,0,0,0,0.029999999,0.014,0,0.081,0,0
"Costa Rica",114.161,7.1370001,0,0,0.003,0.233,0.40799999,0,5.6960001,27.063999,1.559,21.528999,26.444,0,3.388,3.1659999,9.4639997,0,0.066,0.28400001,0.377,0.0080000004,0.001,0.029999999,0.64899999,0.016000001,16.909,0.043000001,5.2220001,4.607872,0.2221285,3.7279999,4.6430001,4.4299998,0.13699999,0,0.1,0.20999999,1.821,0.175,0.616,5.0170002,0.0099999998,0,0.199,0.001,0.001,0.0049999999,0.041999999,0.013,0.73000002,4.4640002,0.57499999,0.82499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.003,0,0,0,0,0,0.059,0,0,0,0.0049999999,0.0070000002,0.011,0.001,0,0.0020000001,0.0089999996,0,0.248,0,0,0,0,0,0,0,0,0,0.050000001,0,0.27000001,0,0.0060000001,39.333,0.048,0,0.0099999998,0,0,0.0070000002,0,0,1.823,0,0,0,0,0.243,0.0089999996,0.022,0.001,0.107,0.003,0
"Panama",144.145,6.5819998,0,0.001,0.090000004,0.53500003,0.119,0.0020000001,4.244,2.286,0.83700001,1.067,1.696,7.2509999,0,4.8590002,67.223,0,0.417,0.456,0.55400002,0.001,0,0.38800001,1.034,0.068000004,12.46,0.028000001,7.132,4.3502879,0.2097114,4.5570002,2.2520001,3.178,0.66000003,0,1.299,0.29100001,0.55199999,0.090000004,0.45899999,6.2010002,0,0,0.041999999,0.27399999,0,0.024,0.0060000001,0.029999999,0.34599999,1.924,0.98400003,3.539,0.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086999997,0,0,0,0,0,0.0020000001,0,0,0,0,1.0319999,0.033,0,0,0,0.017999999,0,0.083999999,0,0,0,0,0,0,0,0,0,0.059,0,0.86400002,0,0.15000001,31.471001,0.46700001,0,0.035999998,0,0,0.014,0,0,0.015,0,0,0,0,0.033,0.071000002,0.061000001,0.003,2.3710001,0.27700001,0
"Colombia",398.60001,21.360001,0,0,0.090000004,1.05,0.23,0.039000001,14.69,0.0099999998,0.050000001,0.029999999,0.054000001,0.38999999,6.9099998,0,11.45,0.121,12.82,10.85,7.8499999,0.079999998,0.41999999,17.129999,14.06,5.4699998,41.950001,0.56999999,22.780001,8.3189735,0.40102711,26.209999,23.16,35.700001,0.15000001,0,4.9699998,2.8199999,3.4000001,0.46000001,4.3600001,24.52,0,0,1.5700001,0.11,0,0.02,2.5699999,2.22,6.2399998,17,0.55000001,5.6599998,0.018999999,0,0,0,0.0040000002,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0.0099999998,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0.0099999998,0,0.28,0,0,63.759998,0.029999999,0,0.02,0,0,0.11,0,0,0,0,0,0,0,0.68000001,2.6099999,0.0099999998,0,1.78,0.02,0
"Venezuela",902.5,94.800003,0,0.003,0.54000002,2.5580001,1.22,0.43399999,29.799999,0.016000001,0.003,0.204,0.38800001,0.075000003,0.018999999,6.4000001,0,0.31299999,0.1,6.4000001,12.7,0,0.003,3.7,19.1,0.2,104.6,0.61000001,30.799999,32.150162,1.549841,92.900002,43,34.200001,4.4000001,0,0,0,5.0999999,0,5.5999999,108.5,0,0,0.44,0.13,0.2,0,0.31999999,0,5.0999999,24,4.4000001,8.1000004,0.018999999,0,0,0,0,0,0,0,0,0,0,0.0070000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0.029999999,0,1.03,0,0.029999999,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.89999,0.27000001,0,0.11,0,0,0,0,0,0.029999999,0,0,0,0,0.36000001,2.1500001,2.2,0.5,1.25,0,0
"Guyana",32.722,7.302,0,0.0040000002,0.039999999,2.151,16.912001,0.59500003,0.48500001,0,0,0,0,0,0,0.27200001,0.96799999,0,0,0.0099999998,0.273,0,0,0,0.059,0,41.412998,0.117,5.0840001,1.116192,0.053807501,1.6289999,0.40000001,0.69,0.035999998,0,0,0,0.16599999,0,0,0.99900001,0,0,0.02,0,0,0,0,0.76999998,0.182,0.421,0.48300001,0.68900001,0,0,0,0,0.0040000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0.465,5.3330002,1.391,0,0.12800001,0,0,0,0,0,0.23999999,0,0,0,0,0.38,0.056000002,0,0,1.17,0.428,0.001
"Ecuador",129.42999,4.5700002,0,0,0,0,0,0.029999999,3,0.16,0,0.23999999,0.039999999,0.079999998,0.28,28.24,7.1599998,0,0,3.1800001,1.34,0.0099999998,0.83999997,4.6100001,1.96,0.15000001,14.4,0.029999999,4.1700001,4.2739682,0.2060322,3.7,4.4499998,2.1700001,0.38,0,0.51999998,2.3199999,1.29,0.91000003,1.64,11.3,0,0,0.27000001,0,0,0.11,0.0099999998,0.1,0.68000001,3.3699999,0.81999999,1.4400001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.17,0.11,0,0,0.0099999998,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0.44999999,0,0.18000001,0,0.07,51.220001,0.27000001,0,0.059999999,0,0,0.13,0,0,0,0,0,0,0,1.05,0.02,0,0.69,0.88,0,0
"Peru",221.17,37.299999,0.57999998,0.0020000001,0.16,0.1,0.47,0,14.39,0.0099999998,0.0099999998,0.0099999998,0.050000001,0.02,2.9400001,29.299999,8.8900003,0,7.3899999,0,7.8699999,5.1100001,0.19,10.26,22,2.4200001,39.450001,0.25,16.99,13.25121,0.63879198,15.74,19.43,10.99,1.03,0,0.029999999,0.67000002,2.78,0.17,2.0799999,22.98,0,0,0.14,0.029999999,0,0.059999999,0.25999999,0.14,3.6099999,13.57,5.46,5.6100001,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3099999,0,0,0,0,0,0,0,0,0,0.014,0.0099999998,0,0,0,0,0,0.11,0.25999999,0,0,0,0,0,0,0,0,0,0.44999999,0,0.51999998,0.039999999,0.49000001,71.889999,2.3099999,0,1.58,0,0,0.16,0,0,0.029999999,0,0,0,0,1.35,1.34,0.22,0.97000003,14.49,14.23,0
"Brazil",1170.356,109.857,0,0.011,0.0099999998,0.0060000001,17.908001,0.0049999999,35.210999,0.033,0.176,0,0.16500001,0.011,17.896999,4.5430002,68.573997,0.28600001,1.54,16.181,0,1.8150001,2.915,35.816002,144.85899,28.709999,237.864,1.2869999,65.967003,61.724491,2.9755099,160.347,79.419998,53.68,13.64,0,28.764999,55.088001,12.342,5.2360001,13.453,136.004,0,0,13.629,0.60500002,0.0020000001,4.6420002,8.8549995,4.73,22.495001,83.303001,31.591999,29.535,2.046,0,0.044,0,0.044,0,0,0,0,0,0,0.024,0,0.033,0,0,33.758999,0.31900001,0,0,0,6.4569998,0,0.011,0,0,0,0,0.011,22.825001,0,0.011,4.6529999,0,0,0,0,0,0.60500002,44.021999,2.277,15.653,0.022,9.1630001,0.583,64.834,16.544001,0,0.066,0,4.6750002,144.353,0,1.8200001,37.763,1.562,11.077,0,8.1400003,0,0.077,0,3.1900001,0,0.154,286.45099,1.683,0,0.066,0,0.35100001,0,0,0,0.121,0,0,0.011,0,5.6100001,5.2030001,0.89099997,0,3.674,0.098999999,0
"Bolivia",53.205002,3.006,0,0,0,0,0,0.003,1.021,0.077,0,0,0,0.022,1.429,0.51200002,0.037,0,0.11,2.286,3.2409999,0,0.027000001,2.075,17.580999,0.161,8.6219997,0.51999998,5.948,1.9175611,0.092438601,2.4549999,3.102,1.8890001,0.12,0,0,0,0.89999998,0,1.041,2.4449999,0,0,0.1,0,0,0,0,0,0.287,1.6569999,0.16,1.5779999,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79799998,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0.54500002,0,0,28.127001,0.17,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068999998,0,0
"Paraguay",19.690001,0.122,0,0,0,0,0,0,0.51999998,0,0,0.0060000001,0,0,0,0.043000001,0.0070000002,0,0.122,0.142,5.5679998,1.705,0,0.29800001,11.131,1.273,7.6339998,0.001,0.61900002,0.448385,0.021615,2.148,0.74000001,0.86299998,0.067000002,0,0,0,0.33399999,0,0,1.572,0,0,0.0020000001,0.048999999,0,0,0,0,0.015,1.399,0.208,0.23199999,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.27900001,0,0,0,0,0,0,0.0020000001,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,4.5139999,0,0,0,0,0.001,0,0,0,0,0,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0.546,0,0.026000001,4.336,0.109,0,0.119,0,0,0.0020000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",267.34,13.81,13.14,0,0,0.001,0.0099999998,0.0020000001,30.209999,0,0.60000002,0,0,0.0070000002,1.67,17.77,19.42,0,10.17,6.8299999,27.389999,3.9000001,2.9100001,0,110.66,4.6799998,64.400002,0.28999999,11.27,11.65801,0.56198978,32.34,14.18,30.950001,0.5,0,0,1.05,2.1700001,0,1.8200001,19.809999,0.16,0,0.11,0,0,0,0,0,2.05,10.73,1.64,8.6499996,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0599999,11,0,0,0,0,0,0,0,0,1.49,0,0,0,0,44.32,2.21,0,1.62,0,0,0,0,0,0,0,0,0,0,3.79,1.05,0.2,0,12.95,6.1599998,0
"Argentina",415.98001,53.029999,0,0.0040000002,0,0.001,0.039999999,0.0060000001,18.190001,0,0,0.47,0.0099999998,0.0099999998,3.3299999,7.9899998,28.02,0.34,5.2399998,22.209999,196.96001,15.42,21.08,69.32,0,5.8200002,113.26,0.92000002,33.34,26.26391,1.2660871,56.790001,54.549999,34.970001,1.62,0,0.079999998,9.7399998,7.0599999,1.26,3.9200001,119.55,0,0,1.96,1.23,0.0040000002,0.15000001,1.85,3.8900001,20.969999,35.900002,8.6099997,3.3199999,0.0049999999,0,0,0,0.02,0,0,0,0.12,0,0,0,0,3.9400001,0,0,1.6,0,0,0,0.15000001,0,0.0099999998,0.30000001,0.02,0,0,0.02,0,0.76899999,0,0,3.55,0,0,0.02,0,0,0.059999999,0.36000001,0,3,0,5.8099999,0.2,0,0,0,0,0,0.95999998,6.1500001,0,0,24.530001,0,0.31999999,0,0,0,0.97000003,0,0.14,0,0.31999999,155.39999,6.6799998,0,9.46,0,0,0.12,0,0,0.090000004,0,0,0,0,6.1599998,6.71,0.059999999,0.0099999998,4.9400001,0.14,0
"Uruguay",23.34,4.4860001,0.026000001,0,0.90399998,0.113,0.38999999,0.0049999999,2.0380001,0,0,0,0,0,4.1500001,0.20100001,0.301,0,0.048,0.64499998,35.783001,0.221,2.175,2.5599999,31.927999,0,18.469,0.294,3.503,2.0415831,0.0984172,4.007,3.076,5.1570001,0.122,0,1.211,0.662,0.84799999,0.063000001,0.778,6.3200002,0,0,0.49200001,0.15700001,0,0.155,0.0049999999,1.7180001,0.75999999,4.1830001,0.27399999,0.54299998,0,0,0,0,0.0040000002,0,0,0,0,0,0,0,0.0020000001,0.0049999999,0,0,7.323,0,0,0,0,0,0,0.0020000001,0,0,0,0,0,0,0.035999998,0,0.1,0,0,0,0.001,0,0.097999997,0,1.476,0,0,0.001,0.0040000002,3.3829999,0,0,0,0,0.292,0,0,1.11,13.547,0,0,0,0,0,0.088,0.0089999996,0.17200001,0,0.42899999,3.6059999,0.94400001,0,0.55400002,0,0,0.259,0,0,0.029999999,0,0,0,0,0.84899998,0.028999999,0.193,0.0040000002,0.45899999,0.0049999999,0
