"","United States of America","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"Sweden",11.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.23,0,4.6399999,0,0,0,0,51.630001,0,0,0,0,0,5.6399999,0,13.82,0,0,0,0,0,0,0,0
"Denmark",19.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.82,3.27,2.8399999,4.2800002,0,0,0,56.610001,0,0,0,0,0,20.18,16.67,0,0,0,0,0,0,0,0,0
"Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0.58999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1099999,0,0,2.05,0,0,0,0.55000001,1.13,0.25,0,0,0,17.299999,0,0,0,0,0,0.97000003,0.18000001,0,0,0
"Turkey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.540001,0,0,0,0,0,0,0,0.0099999998,0,0.31999999,1.27,2.29,12.51,0,0,0,0,3.3399999,0,0,0,0,0
"China",18.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.130001,0,4.8899999,0,0,0,0,0,0,0,0,0,0,2.8199999,0,0,0,0,1,0,0,0,34.02,0
"Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0
"Japan",29.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.529999,0.25,3.05,1.66,0.98000002,0,0,14.36,0.68000001,0.33000001,0,0,0,0.99000001,0,0,0,0,0,0,27.43,3.2,0,2.8900001
"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0
