"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"Saudi Arabia",7731.2002,336.89999,0.0099999998,9.8999996,0,0,0.028000001,0.02,0,0,0,0,0,0,0,3.2,0,53.5,6.1999998,0.1,0,8,9.1999998,4.8000002,0,0.0020000001,0,3.9000001,0.30000001,246.10001,0,0,44.200001,58.5,32,2422.7,68.800003,1019.6,543.86188,26.738091,2092.1001,916,726.59998,20,0,6.5999999,24.700001,298.5,44,58,2956.6001,4.4000001,0,78.199997,368,50.200001,22.6,58.900002,20.200001,123.9,541.70001,25.799999,202.2,17.4,0,0,0,0,0,0,0.40000001,0,0,0,3.2,0.1,0,0,0,0.60000002,0,1.727,2.9000001,0,0,0,0,0,0,4.9000001,2.8,0,0,88.900002,0.89999998,32.599998,0,24.9,0.30000001,1.595,0,0,0,4.3000002,27.6,0.89999998,0,0.018999999,0,47.700001,0.039999999,5.6999998,0.5,164.89999,28.200001,336.20001,4.9000001,93.300003,45.200001,238.39999,115.6,0,0,11,5.9000001,150.60001,122.9,78.5,151.5,3.7,5.8000002,233.10001,0.1,938,3.0999999,1122.5,7627.1001,277.20001,0,195.7,2.0999999,1.3,44.700001,0,0,197.5,0,0,0,70,391.70001,48,88.400002,442.20001,0.24600001,91.599998,0,0,0,0
"Yemen Arab Republic",66.671402,5.0217857,0,1.5170411,0,0,0,0,0,0,0,0,0,0,0,0.068360761,0,0,0,0,0,0.024242954,0,0.58510697,2.7403274,0,0,0,0,6.1450429,0,0,0.71003461,0,0,120.14633,2.6824501,81.042007,21.216909,1.043095,77.310562,11.553843,8.0357752,0.15222828,0,1.7323884,4.1413956,8.2353973,5.5918231,3.3721731,86.782127,0.551691,0,7.9778976,16.562962,5.225121,0.091511689,2.6957729,6.4940538,0.052854009,10.588056,0.75065792,6.5621963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7194369,0.051761981,0,0,17.968834,11.220119,2.3635788,0,0,0.31275594,0,0,0,0,0,0,0,0,0,0,0.00174724,0,0.0024024548,0.70129842,0.53400022,0,0.75873893,2.0905726,3.8653314,1.1350508,2.4797702,2.2211788,0,174.04803,0,37.248753,12.605462,0.085833162,0.012230679,4.1016455,0.0028392649,0,51.159184,0,31.774431,6.6777325,39.400478,295.44232,39.243008,0,1.3123956,2.1400001,0.017035589,7.3025894,0,0,1.5314558,0,0,0,10.467278,58.187675,1.0094678,2.5153704,10.479945,0,0.62136221,0,0,0,0
"Yemen People's Republic",8.0299997,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,60.939999,1.694,39.93,5.7665,0.28350061,29.48,1.3200001,1.441,0.055,0,0,0,2.2,3.8829999,0,50.380001,0,0,0,5.1589999,0.3795,0,1.936,0,0.68199998,8.25,1.243,23.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0290999,8.2016001,0,0,0.011,0,29.168699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,2.8798001,0,0,0,0.20900001,0.38499999,0,1.683,0,36.189999,16.808001,0,4.29,24.188999,51.799454,101.9925,0,0,58.41,0,2.4200001,0,18.26,89.209999,11.674673,0,22.517,0.671,0,11.1628,0,0,11.077,0,0,0,3.289,17.996,0,0.99000001,33.110001,0,0.16500001,0,0,0,0
"Kuwait",818.79999,57.799999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.777,0,0.49000001,0,0,0,0,0.13,31.299999,0,0,7.6999998,1.7,2.4230001,527.40002,14.7,113.7,71.294907,3.5050981,430.70001,86.599998,91.699997,1.6,0,8.3999996,14.7,37.400002,16.700001,13.1,473.10001,0.74000001,0,24.700001,24.799999,12.9,7.6999998,9.6000004,6.8000002,19.219999,72.699997,4.75,74.099998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6999998,0,0,0,0,3.5,0.0099999998,0.73000002,0,1.2,13.6,111.6,48.599998,23.4,9,66.900002,75.400002,0,37.299999,0.059999999,0,0,8.6000004,14.8,42.599998,1.3,0,131.2,0,192.2,0,199,1892.7,152.3,0,48.099998,2.0799999,2.0999999,14.9,0,0,37,0,0,0,11.7,51.5,7.0500002,10.1,166.3,0.14399999,12.8,0,0,0,0
"Bahrain",233.24001,4.23,0,0,0,0,0.0020000001,0,0.001,0,0,0,0,0,0,0,0,0.81,0,0,0,0.119,0,0.0099999998,0,0,0,0,0,4.29,0,0,0,0.090000004,0,279.12,4.2800002,63.32,15.86979,0.78021228,81.599998,16.33,9.0900002,0.25999999,0,0,0,5.2199998,0,0.77669901,130.17,0.36000001,0,0,5.5,6.0819998,0,0,0,1.01,7.5,1.58,23.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0.72000003,0,0,0,0,0,0,0,0,0,0.028000001,0,0,0,0,0,0,0,0.001,0,0,0,0.46000001,0,0,2.77,1.53,0,1.71,0.16,9.8500004,1.1900001,0,1438.78,0,0,4.2800002,0,2.0799999,35.639999,1.8099999,0,17.469999,0,26.360001,0,27.540001,422.78,27.16,0,16.879999,0,0.11695223,1.039,0,0,12.97,0,0,0,6.48,23.09,1.46,0,106.99,0.0089999996,12.44,0,0,0,0
"Qatar",132.55,3.8699999,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086999997,0,0,0,0,0,0,0,15.88,0,0,0,0.16,1.714,243.14,2.8499999,46.490002,15.479,0.76099992,71.790001,17.139999,6.71,1.98,0,0,0,6.5100002,0,0.35304502,73.099998,0.60000002,0,0,3.51,4.0159998,0,0,0,1.08,29.940001,3.4200001,24.530001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040000002,0,0,0.017000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090000004,0,0.013,0,7.2199998,0,0,6.2399998,9.1499996,7.0100002,0,31.200001,0,0,5.7399998,3.24,0,34.619999,0,0,10.64,0,14.53,0,10.14,317.72,21.77,0,11.27,0.33000001,0,0,0,0,2.23,0,0,0,2.1400001,18.65,0.40000001,0,41.869999,0,2.49,0,0,0,0
"United Arab Emirates",1032.1,38.799999,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,3.4000001,1.536,0,0,0.018999999,0,0.07,0,0,0,0.1,0.1,23.1,0,0,35.799999,3,0.546,863.70001,11.7,235.60001,125.052,6.1479788,453.60001,99.5,67.400002,1.9,0,17.1,4.9000001,77.900002,7.0999999,18.6,433.20001,1.5,0,14.5,21.700001,16.4,4.5999999,4.3000002,1.4,15.4,82.400002,15.8,60.400002,0,0,0,0,0,0,0,2,0,0,0,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.5,1,0,0,7,0,0.2,0,2.5999999,0,0,0,0,0,7.0999999,13.2,0.2,0,0,0,3.7,0,1.6,0.1,0.40000001,53.099998,62.099998,8.6000004,7.3000002,4.5999999,48.700001,33.299999,0,67.199997,0.89999998,0.2,142.5,293.5,30.1,0,0.89999998,0.1,140.60001,0,164.2,0,164.10001,1620.8,226.3,0,129.2,3,5.8000002,55.299999,0,0,62,0,0,0,36.400002,136.7,25.200001,41.5,166.89999,0,18.5,0,0,0,0
"Oman",192.42,4.52,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0.25999999,0,0.82999998,0.22,0,0,0.86000001,0,0,0,0,0,0,0,3.05,0,0,5.8000002,3.4400001,0,464.66,3.21,83.470001,22.999281,1.130722,53.110001,20.889999,21.049999,0.16,0,0,0,18.219999,0.0099999998,0,51.68,0.47,0,1.41,1.97,5.8099999,0,1.47,0,4.9899998,14.2,1.9400001,20.709999,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0.029999999,0,0,0,0,0,0,0,0,0,0,0,8.6099997,0.11,0,0,0.69,0,0,0,0.12,0.34999999,0.02,0,0,0,9.3100004,0.13,0.050000001,0,0.212,0,0.039999999,0,0.14,0,0,0.029999999,0.23,0.12,0.80000001,0.0099999998,1.74,0.50999999,0,1.35,0.0099999998,0,2.0799999,5.8899999,0.31999999,437.22,0,0,13.13,0,18.65,0,12.94,548.34998,57.23,0,28.530001,0.44,0.46000001,1.02,0,0.0099999998,8.21,0,0,0,14.8,48.380001,0.44,7.9299998,46.900002,0.121,11.02,0,0,0,0
"Afghanistan",5.6100001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.379999,2.464,3.96,1.677527,0.082472898,12.43,26.290001,0.154,0,0,0,0,0,4.7519999,2.3046999,4.73,0,0,0,0.077,0,0,0,0,0.121,0.33000001,0.55000001,0.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339575,0.132,0,0,0,0,0,0,0,0,0,0,0,0,1.0544337,0,0,8.1400003,0,7.1500001,0,20.57,132.77,15.554172,0,17.292,3.927,0,0.64020002,0,0,2.882,0,0,0,0.066,34.276001,0,0,0.044,0,0,0,0,0,0
"China",2753,1587,0,201,0,0,0,0,0,0,0,0,0,0,0,38.200001,0,0.574,0,12.4,9.1999998,0.60000002,3.4000001,5.5,4.3000002,0.0049999999,0,1.5,93.300003,271.20001,0,6.0999999,174.39999,648.90002,20.6,559.59998,7.6999998,110.2,225.0365,11.06355,639.09998,228.2,156.5,13.8,0,186.8,99.800003,66.099998,37.700001,112.7,303.10001,0.0099999998,6.6999998,53.400002,5.3000002,0,56.299999,398,440.70001,54.900002,143.8,48,149.8,0,0,0,2.8,0,0,4.6999998,1.9,0,0,0,5.5,0.2,1.4,2.2,0,2.5,1.3,0,7.5999999,0,1.4,0,0,67.5,0,3.5999999,0.2,0,0,4.5,0,0.5,0,0.1,71.199997,4.8000002,0,0,0,0.1,0,7.4000001,0,0.0099999998,0,42.299999,1.2,19.299999,34.299999,49.799999,0,26.200001,10.5,67.599998,19.799999,0,27.4,0,18.6,0.052999999,0.1,49.599998,23,42.900002,0,0,0.30000001,0,2.0999999,0,254.3,0,5495.2002,15.3,0,159.2,23.9,15.8,15.1,0,2.8,134.8,0.30000001,4.5999999,0,214.60001,113.7,44.799999,149.5,613.09998,38.400002,145.7,0,0,6.6999998,0.2
"Mongolia",0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25299999,0,0.22,0,0,0,0,0.22,4.1799998,0,0,0,0,0,1.54,6.3579998,17.228596,0.33000001,0,0,0,0,0,0,9.5810003,0,0.45100001,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4200001,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0
"Taiwan",4666.7002,276.89999,0,0,0,1.48,0.0089999996,0,0,0,0,0,0.00037037037,0,0,0,0,0.30500001,0,12.384,0,1.061,0.011,0.0099999998,13,0,0,92.779999,47.82,152.23,0,0.43900001,30.9,43.939999,12.531,194.39999,5.23,148.89999,0,0,249.7,113.9,21.76,3.99,0,0,0,16.299999,0,2.1182702,141,0,0,0,1.26,0.12,0,0,0,12.73,59.799999,24.719999,33.32,0.093000002,0,0,0,0,0,0,0,0,0,0,15.73,0.54545456,15.39,0.0049999999,0,0,0,11.179,0,0,0,0.18181819,0,0,0,0,3.6389999,0,0,0,0,0,0,0,0,2.9170001,0,0,0,0,0,0,0,0.0099999998,0,1.51,0,0.1,0.29255405,7.8280001,28.90909,2.47,0,0.54000002,0,0,0,25.200001,1756.5,0,0,1018.4,23.76,0,36.687321,135.00812,0,0,0,0,0,138.89999,5087.8999,26.567255,0,0,0,0,1.33,0,0,64,0,0,0,351.17001,324.97,74.589996,218.5,581.46002,2.8770001,94.440002,0.22999434,0.48699999,0.035999998,0
"North Korea",0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29480001,0,0,0,0,0,0,0.97899997,3.036,0,0,0,0.044,0,4.29,0,2.2,2.5162909,0.1237094,50.709999,8.5799999,0.11,0.154,0,0,30.569,6.0500002,6.237,9.1085615,12.21,0,0,0,0,0,0,13.981,0,0.18700001,19.469999,1.551,0.89099997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088,0,0,0,0,0,0,0,0,0.3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039999999,0,10.912,0,0,0,0,0,0,0,0,0,0,0,0,0,300.73999,0,0,0,0,360.25,13.136086,0,1.2539999,0.25299999,5.3090382,0,0,0,0.88,0,0,0,18.964001,16.808001,2.2880001,4.4000001,12.32,0,0,0,0,0.0055,0
"South Korea",6277.6001,444.39999,1.3,0,0,0,0,0,0,0,0,0,0,0,0,200.5,0,0.40000001,1.3,5.3260002,0,1.6,73.900002,25.9,11.5,0.2,0,236.89999,52.700001,211,0.0070000002,2.8,98.900002,60.099998,4.5999999,468,4.5999999,205.7,130.0083,6.3916488,290.29999,114.5,30.299999,7.4000001,0,0,0,39.5,0,0,167.3,0,0,0,136.5,6.1999998,0,0,0,42.299999,145.8,179.5,113.4,0.60000002,0,0,0.40000001,0,0,0,0,0,0,0,1.4,2.4000001,0,150.60001,0,3.5999999,0,6.5999999,0,3.0999999,0,0,0.30000001,2.5,0,0.80000001,0.1,0,0,3.4000001,0,2.2,0,1.1,1.4,1.8,0,0,0,0,9.1000004,0,0,0,0,0.89999998,2.7,0.0099999998,294.39999,26.799999,0,7.9000001,0,104.4,0,0,1.5,16,2032.5,4.4000001,0,692.29999,27.4,88,247.2,482.70001,0,0,0,288.70001,0,0,6239.2002,300.89999,0,38.299999,0.1,6.4000001,6.3000002,0,0.1,95.699997,0,0,3.0999999,777.20001,401.10001,178.2,387.20001,970.90002,49.200001,101.8,0.020771345,5.1999998,0.0070000002,0.1
"Japan",24794.5,4428.1001,14.2,92.099998,2.0999999,15.3,8,7,0.1,0.001,0,0,0.0040740739,0,0,1889.8,0.40000001,55.599998,44.799999,38,72.599998,7.1999998,71.199997,149.7,567.70001,14.9,16.6,26,487,1670.5,8.6000004,13.7,502.70001,544.40002,25.299999,1937.2,261.29999,443.39999,359.23859,17.661381,1302.4,1413.8,398.39999,57.099998,0,30.299999,57.400002,165.39999,33.799999,50.599998,984.59998,0.5,5.6999998,30.299999,28.9,0.60000002,19.5,96.900002,1457.6,171.5,450.89999,205,373.79999,21.5,0,0,0,0,0,7.5,12.5,0.5,75.5,4.4000001,63.900002,0.2,7,37.700001,0.5,65.5,1.8,29.1,6.5,9.6000004,12.9,2.4000001,6.4000001,94.800003,17.9,9.1000004,18.4,6.3000002,1.5,0.1,0,30.9,3.7,16,167,81.900002,9.3999996,1617.5,0,0.30000001,9.3999996,44.200001,0,0.075000003,0.89999998,110,344.70001,2.5999999,4.9000001,46.599998,4237.1001,53.599998,140.60001,256.89999,1.3,1.4,20.200001,188.3,15533.3,1.3,31.200001,1390,416.70001,1702.3,7798.8999,2012.9,0.1,5088.5,2.0999999,2619.2,127.3,3406.7,0,1131,0,263.60001,65.099998,46.900002,69,0.89999998,0.89999998,1019,0.30000001,2.5,38,3124.5,1468.2,1305.4,10440.9,6643.5,322,930,1.1,35.200001,8.3999996,1.1
"India",1704.0571,267.55392,0.039608281,4.4559317,0,0.54461384,0.088,0.1,0.0080000004,0,0,0,0,0,0,4.7430916,0.018999999,0.34900001,0,0.0049999999,0,0,0,0.3366704,27.973349,0.54461384,0,0,1.2872691,207.23053,0,0,0,3.0795438,0.28716004,927.43781,6.4264436,239.06569,493.29779,24.25219,343.384,124.75618,102.94193,5.7828093,0,48.856815,55.34267,29.597288,42.846256,47.807194,211.02303,7.3572383,0,24.656155,2.0200224,1.6041354,11.506206,72.314819,1609.5023,50.995663,83.078369,21.467688,19.457567,0,0,0,0,0,0,0,5.6342778,0,0.34657246,0,0,0,0,0.0049999999,0.61392838,18.388144,0,0,0.36637661,0,0,0,2.5844402,60.105568,0,12.347881,34.023514,0,0,0.014,0,0.039608281,0,0,85.583595,2.2774761,0.0049999999,0,1.0199132,1.9309037,1.9309037,0.02970621,0,0.039608281,0,38.538857,0,9.1396112,9.5554981,2.2081616,786.89771,18.596088,747.9826,13.130145,0.0099020703,0,31.340052,13.971821,969.57111,0.0099020703,0.0099020703,260.75122,100.86249,15.140265,229.81715,1.267465,13.981723,70.096756,0,95.663902,21.81426,161.81963,1265.1182,0,0,14.358002,5.7531028,22.774761,25.54734,0.0099020703,41.519382,67.720261,0,0,0.44559315,272.099,348.6618,5.7729068,17.051365,183.43585,0.048,21.051802,0,0,0.075999998,0
"Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pakistan",505.51999,81.040001,0.2,0,0,0.02,3.3699999,0.0099999998,0.001,0,0,0,0,0,0,0.19,0.0060000001,0.75999999,0.0099999998,0,0,0.0099999998,6.8899999,0.02,0.23,0.0099999998,0.039999999,0.039999999,0.41,39.490002,0,0,2.03,11.87,0,321.38,13.49,54.619999,47.55217,2.3378251,111.87,67.57,36.650002,2.45,0,2.55,8.4499998,8.8199997,11.17,9.8500004,184.44,0.31999999,0,18.57,6.5300002,5.2199998,21.57,39.169998,29.66,6.8400002,35.349998,11.69,34.360001,0.27000001,0,0,0.19,0,0,0,0,0,1.16,0,0,0.28999999,0,12.2,0,0.029999999,0,0,0,0,0,0,0,1.48,0.23,38.43,3.1600001,0,0.56999999,0.33000001,0.029999999,0,0,0,0.87,0.86199999,4.46,0,0,0.44999999,0,0.23,0,0.56999999,1.3099999,0.40000001,0.49000001,0.02,0.14627703,0.19,98.599998,21.73,0.47,0.91000003,0,0,19.41,0,693.81,0.0099999998,0.050000001,364.76999,6.8899999,5.5599999,314.79999,18.99,23.34,146.75,0.02,0,0.88,98.260002,769.90997,7.02,0,0,64.339996,3.3099999,33.349998,0.50999999,0.63,17.040001,0.13,0.13,0.19,175.23,63,2.1600001,30.190001,68.470001,0.47999999,27.030001,0,0,0,0
"Bangladesh",271.5,97.870003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.001,0.029999999,0,0,0,0,0,0.11,0,0,0,0,0.029999999,1.39,0,0,0,0.02,0,105.38,1.08,56.779999,9.7887526,0.48124811,36.459999,11.07,1.73,5.1100001,0,1.87,13.95,1.21,10.82,11.23,5.7199998,0,0,2.1600001,0.050000001,0,18.309999,6.48,57.209999,0.94,49.709999,38,40.810001,0.20999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44999999,0,0,0,0,0.050000001,0,0,0,0,0,0,0.23,0,0,0,0.001,0,0,0,0,0.02,0.88,0,0,0.0099999998,0,0.02,0.0099999998,0,0.029999999,0,0.25999999,0,0,0,1.45,0.039999999,2.3900001,0.60000002,4.0999999,0,0,2.47,0,231.28999,0.039999999,0,4.8299999,0.28,5.6139021,176.3,0,0.07,58.43,0,0,5.4699998,28.370001,167.37,37.889999,0,17.16,0,2.02,4.9299998,0,0.0099999998,14.04,0,0.14,0,19.309999,162.23,1.0700001,5.8000002,16.139999,0,2.1600001,0,0,0,0.0099999998
"Myanmar",16.103094,0.72418052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00357861,0,0,0,0,0,24.249311,0.027652895,5.4456682,2.0778461,0.1021539,6.60221,2.1204891,0.087513283,0.0022772972,0,0.29181936,0.028303551,0.45415813,0.00032532818,8.2691917,3.030432,0,0,3.092895,0.00715722,0,0,4.9599533,7.2710848,0.066692278,1.9347267,5.8032041,0.87675941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0060000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.960161,0,0,0,0.0016266409,0.048799228,0.005530579,0,0.54199672,0,0,0,0.35981297,0,0,0,0,0,0,0,0,0,8.4556046,0,0,4.5597997,0.18966633,104.47524,1.2710571,0,0.042617992,1.6874772,0,0.00065065635,0,0,1.4630008,0,0,0,6.9587698,15.630392,0.085886635,0.048799228,4.2520394,0.018999999,0.23456162,0,0,0.0040000002,0
"Sri Lanka",115.901,32.759998,0.0020000001,4.8000002,0,0.0040000002,0.003,0,0.001,0,0.059,0.001,0,0.0020000001,0,0.15700001,0.001,0.041999999,0,0,0,0,0.003,0,0,0.0040000002,0,0,0.15000001,0.90799999,0,0,0.001,0.12899999,0.013,121.376,4.8309999,26.718,7.0151129,0.34488669,48.754002,16.389,4.8569999,4.77,0,0.87800002,0.315,1.816,0.60299999,1.243,12.388,0.0020000001,0.001,1.712,0.495,0.19,0.052000001,2.3150001,3.6340001,2.0510001,31.483,3.994,6.1030002,0.024,0,0,0,0,0,0.071000002,0.0089999996,0,0,0,0.028000001,0,7.585,0,0,0,0,0.0040000002,0,0.23899999,0,0,0,0,0,5.4239998,0.182,0,0,0.003,0.061999999,0.092,0,0,0.079000004,0.63,2.529,23.688,0,0.0060000001,0,0,0,0,0,0.25600001,0,0,0,0.29499999,187.983,6.5929999,2.105,1.114,0.074000001,0.043000001,1.772,0.075000003,77.952003,0,0,0.122,9.0319996,0,1.7690001,0.0020000001,0,42.040001,0,38.061001,0.0070000002,36.014,318.095,115.405,0,13.473,0.59200001,31.861,0,1.801,0,18.99,0,0,2.474,57.644001,147.99899,7.3039999,0.57800001,23.056999,0.001,14.275,0,0,0.025,0
"Maldives",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0.2096909,0.0103091,0,0,0,0,0,0,0,0,0,0,0.33000001,0,0,0,0.14300001,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0.22,7.3699999,1.492242,0,0.308,0,3.9330697,4.9973001,0,0,1.089,0,0,0,1.177,40.105999,0,0,0.14300001,0,0.055,0,0,0,0
"Nepal",8.25,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,8.4700003,0,1.3200001,5.0325809,0.2474187,8.5799999,0.99000001,0.154,0,0,0,0,0.11,0,0.21182701,0.88,0,0,0,0.011,0,0,0,0,2.244,2.3099999,0.121,0.38499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.049999,0,1.3200001,0,20.24,46.639999,67.684608,0,0.242,3.0469999,0,0.176,0,0,3.0469999,0,0,0,1.6720001,10.318,0.23100001,0,2.3099999,0,0.16500001,0,0,0,0
"Thailand",1298.99,147.99001,0,0.0099999998,0,0,0.0049999999,0,0,0,0,0,0,0,0,13.98,0,0,0.13,0.0099999998,0.0099999998,1.33,1.4299999,0.91000003,17.309999,0,0,0,0.41999999,89.269997,0.15000001,0,3.7,16.790001,0,234.35001,8.3800001,116.17,116.836,5.74405,156.25,110.3,27.200001,3.48,0,17.09,10.23,21.6,10,13.71,138.89,0.02,0.029999999,3.8900001,1.67,0.89999998,6.3600001,37.650002,16.860001,20.360001,89.839996,46.130001,51.130001,1.4,0,0,0,0,0,2.9300001,0,0,0,0,1.17,0,0,0,0,10.57,0,2.6800001,0.15000001,0,0,0,0,3.1400001,0.33000001,3.1700001,0.70999998,0,0,0,0,0,0,0.49000001,10.08,3.9100001,0.050000001,0.029999999,0,10.6,0.79000002,0.1,0,0,0,0.12,0,0,0,34.34,0.050000001,2.4300001,0.0099999998,1.42,0,0,0.029999999,17.84,1062.17,0,7.3800001,23.799999,18.26,126.38,69.489998,0.31999999,0.039999999,265.17001,0,294.01001,7.6199999,243.56,2815.55,62.369999,0,9.46,7.75,24.57,12.06,5.2600002,0.0099999998,0,0,1.1900001,0.40000001,553.83002,635.78998,15.45,33.799999,186.08,0.029999999,44.68,0,3.8699999,0.050000001,0
