"","United States of America","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Bulgaria","Romania","Russia","Sweden","Norway","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Japan","Thailand"
"Spain",29.85,0.66000003,0,0,2.3499999,0,0,0,0,0,0.28999999,1.99,0.41999999,0.12,1.97,0,0,1.85,7.6100001,1.48,38.459999,3.23,6.3299999,25.73,3.99,0,7.8299999,26.370001,1.73,2.3499999,0,0.0099999998,0,0.090000004,4.02,2.99,3.51,0,0,0,0,1.64,0,0,0
"Portugal",7.8000002,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,1.66,1.2,20.57,1.54,3.5,6.79,0.76999998,4.3800001,0,12.16,1.59,1.08,0,0,0,0,1.0599999,0.80000001,2.0799999,0.25999999,0,0,0,0.28999999,0,0,0
"Germany",376.88,6.29,0,1.79,8.29,6.8600001,0.17,2,0.69999999,0,1.87,4.48,1.54,28.57,74.419998,4.1199999,0,49.830002,105.72,7.96,200.22,82.07,91.860001,131.22,48.880001,45.099998,2.9300001,0,197.23,72.379997,3.51,2.9100001,4.8400002,8.3000002,363.07001,50.849998,15.18,48.040001,0,0,0,18.440001,27.440001,10.24,2.1600001
"Austria-Hungary",24.040001,0,0,0,0.0035298001,0,0,0,0,0,0,0,0,0,18.49,0,0,0,2.97,0.80000001,24.33,5.1700001,11.37,9.3400002,17.299999,1.5599999,0.0039138999,246.00999,0,41.93,7.02,3.27,3.05,18.49,37.740002,0,0.37,2.29,0,0,0.050000001,14.74,0,0.64999998,0.46000001
"Italy",98.580002,0,0,0.02,0.039999999,0,0,0,0.039999999,0,0,0.20999999,0.15000001,0.079999998,12.3,0,0,0.49000001,28.77,1.3099999,110.4,0,16.18,55.389999,16.200001,8.7600002,0.58999997,119.81,56.330002,0,0.74000001,2.25,1.71,32.490002,41.110001,0,2.55,0,0,0,0.77999997,4.2399998,10.5,9.1099997,0
"Yugoslavia",0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,6.0500002,9.3599997,0.66000003,0,0,0.090000004,0,0.25,0,0,0,0,0,0,0,0,0,0
"Greece",0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4099998,0.85000002,0.62,1.67,0,0.02,0,2.6900001,5.54,1.27,0,0,1.5,0.56,4.5999999,0,0.02,0,0,0,0,1.66,0,0,0
"Bulgaria",0.88999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0.49000001,1.15,2.95,0.44999999,0,0,8.5699997,10.12,2.5999999,0.34999999,0.16,0,2.6400001,1.92,0,0,0,0,0,0,2.6700001,0,0,0
"Romania",2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.969999,1.0599999,3.8800001,7.5300002,2.0899999,0.12,0,46.380001,26.780001,7.1500001,0,0.19,0.38999999,0,3.1800001,0,0,0,0,0,0,2.8599999,0,0,0
"Russia",44.950001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.190002,9.8699999,4.04,28.959999,9.3299999,1.28,0.76999998,273.70999,16.790001,8.1000004,0.0099999998,0.44999999,0.059999999,1.01,0,5.4499998,5.5,3.3,0,0,18.209999,8.3299999,39.200001,1.75,0
"Sweden",16.74,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3000002,0,0,0,4.29,0,52.330002,5.48,3.1099999,4.3499999,0.91000003,0.28999999,0.18000001,46.900002,0,0,0,0,0,0,9.2399998,0,5.6999998,9.1199999,0,0,0,0,0,0.13,0
"Norway",9.1400003,0.0010817,0,0,0,0,0,0,0,0,0,0,0,0,0.95999998,0,0,0,1.36,0,40.02,5.5100002,4.3800001,4.0700002,0.40000001,1.39,0.40000001,45.41,0.50999999,0.99000001,0,0.18000001,0,0,5.8400002,9.5500002,0,7.3000002,0,0,0,1.5599999,0.0099999998,0,0
"Denmark",18.959999,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,5.1599998,0,37.16,5.6999998,2.7,5.3000002,0.88,0,0.38,85.93,1.52,0,0,0,0,0,13.21,18.879999,2.5,0,0,0,0,0,1.5700001,0,0
"Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0.1,0,0,0,0.79000002,0.25999999,0,0,0,0,27.24,0,0,0,0,0,0,2.3,0.0077745002,0,0
"Turkey",2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.959999,0,8.4499998,16.83,0,1.5,0.029999999,26.799999,26.52,1.24,0,1.14,3.3499999,5.04,15.48,0,0.20999999,0,0,0,3.73,0,0,0,0
"China",23.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.599998,0,5.79,1.9400001,0.88,0,0,14,0,0.64999998,0,0,0,0,14.07,0,0.37,0.059999999,0,0,0.34,0,0,60.32,0.079999998
"Japan",8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92000002,0.00049529999,0,57.52,0.56999999,4.5,2.6800001,1.65,0,0,30.25,1.6,0.38999999,0,0,0,0,0.33000001,1.76,0,0,0,0,0,0,27.139999,0,1.75
"Thailand",0.75999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8299999,0.41999999,0.41,0.63999999,0,0,0,2.1500001,0.20999999,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8000002,1.3,0
