"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Libya","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Philippines","Indonesia","Australia","New Zealand"
"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",8.6000004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1.0506001,0.049399901,1.7,0.1,0,0,0,0,0.5,5.6999998,0,0,0.1,0,0,0,0,0.30000001,0.2,0,0,0,0,0.1,0,0.5,0,0,2.8,0,0,0,0,0,0,0,0.1,0,0,0,0,3.3,7.6999998,0,0,0,0,0,0,0.1,0,0
"South Africa",214,48.900002,0,0,0,0.5,0,0,0,0.1,0.1,0,0.1,1.4,0,0.5,5.9000001,0,0,0,1.5,1.1,408.79999,0.2,18,19.38835,0.91165268,24.200001,9.8999996,1,2.2,1,1,3,16.299999,0,0.1,0,0,0,0.2,3.7,24.5,6.6999998,1.1,0,0,0,0,0,2,0.1,0.1,0.40000001,0,0,0,0.1,29,0,0,0,0,0,0,0,18,0.1,2.8,0.1,12.4,0,2.5,2.5,4,7.3000002,1.5
"Libya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",28,0.60000002,4.1999998,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0,2.2,3.820364,0.179636,3.0999999,2.5999999,1.5,0,0,0,0,3.5,0,0.1,0,0,0,0,0.1,1.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,3.5,4.4000001,0.69999999,0,0.40000001,0,0,0,0.1,0.5,0
"Turkey",46.799999,1.4,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,8.1000004,0,0,0,0,0.69999999,98.900002,0,21,31.23148,1.468524,26.6,11.6,0.40000001,0.60000002,0.89999998,7.4000001,9.3999996,39.599998,0,2.5999999,3.0999999,1.3,0.80000001,0,6.4000001,17.700001,3,5.6999998,0,0,0,3.3,0,0.1,0,0.89999998,0.60000002,0.2,0.30000001,0,1.9,18.5,0,0,0,0,0,0,0,0.30000001,4.4000001,0.5,0.30000001,0.80000001,0,0,0,0.69999999,7.8000002,0.30000001
"Iraq",31.700001,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,64.599998,0,5.5,5.4440179,0.2559813,3.2,1,0.2,0.40000001,0.1,1.4,2.3,10,0,0.2,0.40000001,0,0.1,0,0.40000001,2.5,0.5,0.69999999,0,0,0.1,0.1,0,1.5,0,0,0.30000001,3.8,0.69999999,0,0,0,0,0,0.1,0,0,0,0,8.6999998,6.8000002,0,0,9.1999998,0,0.5,0.1,0.69999999,0.80000001,0
"Egypt",103.3,52.700001,0.1,0,0,0,0,0,0,0,0,0,0,2.5999999,0,0,2.8,0,0,17.9,0.40000001,0,75,0.1,22.4,16.809601,0.79039848,40.5,9.3999996,2.3,0.2,3.5,2.9000001,17.5,35.099998,0,7.8000002,3.4000001,0.1,2.7,31.1,6.1999998,12.6,8.3000002,3.4000001,0.1,0,2.4000001,3.3,0,1,8.3999996,8.5,0,1.3,4.0999999,0,0,9.8999996,0,0,0.60000002,0,0,0,0,2.9000001,12.7,0.40000001,0.1,15.7,0,0.1,0,2.4000001,4.4000001,0.40000001
"Syria",20.700001,0.89999998,2.5,0.2,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.60000002,0,0,0.1,0.1,0,17.9,0,3.4000001,6.3035998,0.29639941,13.4,2.5999999,0.60000002,0.1,0.30000001,0.60000002,2.2,9.3000002,0,0.5,0.1,0.30000001,1.2,0.1,1.1,1.3,0.40000001,0.60000002,0,0,0.1,0.1,0,1.1,8.3000002,3.8,0.60000002,0,16.299999,0,0,3.5999999,0,0,0.1,0,0,0,0,0.30000001,2.5,0,0.1,0.5,0,0,0.5,0.2,0.1,0
"Lebanon",25,7.3000002,0.69999999,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,1.1,0,0,0.2,0.1,0.5,17.299999,0,6.9000001,4.2979088,0.2020905,15.4,4.1999998,0.30000001,0.2,0.2,0.2,2.0999999,5.5999999,0,0.2,0.1,0.1,1.1,0,0.80000001,1.8,0.1,1.3,0,0,0.2,0.60000002,0,0.80000001,1.8,8.1000004,1,29.1,0,0,0,1.9,0,0,0.5,0,0,0,0,0.30000001,1,0,0,0.1,0,0,0.40000001,0.1,0.30000001,0.1
"Jordan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",117.1,9.3999996,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,3.3,0.1,24.1,0.40000001,6.8000002,12.98924,0.61076248,14.1,8,0.1,0.40000001,2,0.60000002,0.40000001,8.6999998,0,1.9,0.2,1.2,0.30000001,0.1,6.4000001,5.5,2.3,2.9000001,0.1,0,0.80000001,12.1,0,1.4,2.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0.80000001,0,0,0.30000001,0,0,3.0999999,0,1.5,0
"Saudi Arabia",93,2.2,0,0,0,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,3.8,2.1012001,0.098799802,7.0999999,1,0.30000001,0,0,0,0,5.5999999,0,0.60000002,0,0,0,0,0.1,1.9,0.1,0,0,0,0.80000001,0,0,0,0.1,1,2.5999999,2.7,1.9,0,0,0,0,0,0,0,0,0,0,1.5,6.0999999,1.5,0,2,0,0,0,0.2,2.3,0.30000001
