"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"Costa Rica",3,0,0.0099999998,0.000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.12,0,0,0.11,0,0,0,1,0.003084,0.0040739998,0,0.029999999,0,0,0.002691,0,0,0,0,0.001303,0.000227,0,0,0,0.029999999,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0.55000001,0,0,0,0
"Panama",23,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0.13,0.002818,0.0041780001,0,0,0,0,0.000029000001,0.000024000001,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"Colombia",25,1,0.07,0.0000090000003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,1,1,0,2,0,1,0,12,0.0090140002,0.11,0,0.47999999,2,0,0.001416,0.0061079999,0,0,0,0.002107,0.0031969999,0,0,1,0.090000004,0.31999999,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0
"Venezuela",21,1,0.003085,0.0000099999997,0.0020600001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,5,0,2,2,0,3.1900001,0,1,0,5,0.000050999999,0.0099999998,0,0.039999999,1,0,0,0.000080999998,0,0,0,0,0,0,0,0,0.00041400001,0.090000004,0,0,0,0,0,0,0,0,0,0,0,1.02,0,1,0,0
"Ecuador",3,2,0.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,1,0,0.029999999,0,0,0.0099999998,0,0,0,1,0.001355,0.0024069999,0,0,1,0,0,0.0000049999999,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Peru",15,1,0.039999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.92000002,3,0,6,0,0.43000001,2,0,1,0,1,0,6,0.039999999,0.07,0,0.30000001,1,0,0.0022710001,0.0099999998,0,0,0,0.0099999998,0.001621,0,0,1,0.16,0.029999999,0,0.000048999998,0,0,0,0,0,0,0,1,0,2,0,1,0,0
"Brazil",52,2,0.0082949996,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0.0099999998,0.34999999,29,1,28,0,9,13,0,10.78,2,2,1,45,1,0.17,0,1,6,0,0.02,0.81,1,0,0,0.001161,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Bolivia",5,0,0.00096700003,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.52999997,2,0,2,0,0.02,1,0,0.059999999,0,0,0,0.38,0.0082390001,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Paraguay",0.69999999,0.0099999998,0.00075200002,0,0,0.000002,0,0,0,0,0,0,0,0,0,0,0.0054739998,0,0,0.000024999999,5,0.0099999998,1,0,0.0099999998,0,0,0.004061,0,0.001441,0,0.15000001,0.00189,0.0063720001,0,0,0,0,0.000046000001,0.000002,0,0,0,0,0,0,0.000321,0,0.001768,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Chile",16.940001,0.52999997,0.02,0.0000030000001,0.00066399999,0.58999997,0,0,0,0,0,0,0,0.73000002,0.56,4.5,0.76999998,0.0099999998,0.00059700001,0,1.92,0,11.82,0,0.50999999,1.02,0,0.34,0.41999999,1.02,0,3.0899999,0.039999999,0.0083900001,0,0.029999999,0.88999999,0.0000090000003,0.00029900001,0.000036000001,1,0,0,0.000001,0.000018999999,0.000002,0,0.82999998,0.02,0.22,0,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0
"Argentina",47,4,1,0.0028840001,0.001543,1,0,0,0,0,0,0,0,0,1,6,20,0,3,2,0,2,84,0,6.52,25,0,15,3,10,1,29,3,1,0,4,16,0.000002,0.73000002,0.66000003,0,0,3,0.02,0.050000001,0.1,2,5,2.53,0.38,0,0.00058200001,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"Uruguay",8,0,0.050000001,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0.19,0,3,0,8,0,0.93000001,2,0,1.24,0,1,0,4,0.029999999,0.02,0,0.18000001,3,0,0.0099999998,0.059999999,0,0,1,0.000161,0.00091,0.0034459999,0,1,0.17,0.02,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"United Kingdom",401,260,18,2,8,15,0,0.12,1,0.039999999,3,0,3,2,1,17,34,17,0.54000002,17.09,208,16,0,90,109,77,0,101,25,52,16,143,35,8.3999996,9,21.25,36,0.0035049999,5.8400002,10,2,15,97,8,10,12,73,83,39,156,0,0.93000001,51,40,4,5,0,0,0,26,0,38,0,1,240,169
"Ireland",8,4,0.00044199999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,133,0,1.47,6,0,2,1,1,1,2.1099999,0.090000004,0.0099999998,0,0,0,0,0,0.000042,0,0,2,0,0.36000001,0,2,2,0.079999998,0.13,0,0,0,1,0,0,0,0,0,1,0,1,0,0,5,0
"Netherlands",44,6,1,0.0099999998,1,2.8399999,1,1,0.14,0.059999999,0.079999998,0,1,1,0.11,1,7,3.9300001,0.07,1.75,50,1,60,0.28,0,70,0,30,7,6,1,164,8,3,1,12,8,0.00031599999,0.56999999,2,1,1.63,16,0.40000001,1.3200001,1.52,4,10,4,3,0.050000001,0.02,1,1,1,0.19,0,0,1.39,5.6100001,0,5,0,1,0.47,0.33000001
"Belgium",47,10,1,1,0,3,0,0,0,0,0,0,1,1,0,1,10,1,0,3,46,4,50,1,59,0,0,98,7,6,2,78,11,2,1,6,7,0,3,1,0,1,21,5,3,2,10,9,6,4,0,0,5,2,2,1,0,0,0,2,0,3,0,0.22,21,1
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",119,22,4,3,2,4,0.27000001,0.1,0.50999999,1,0.12,0,6.5,7.04,1.59,6.96,23,0.23,0.13,2.75,27,3,105,0.23,35,93,0,0,34,23,7,116,10,6,2,13,27,0.079999998,2,2,1,10,25,1,1,1.3,9,19,8,3,0,0,15,2,2,10,0,0,0.00092399999,13,0,13,0,0.079999998,44,4
"Switzerland",23,4,0.28999999,0,0,1,0,0,0,0,0,0,1,1,0,0,4,0,0.029999999,0.25,18,0,25,1,12,12,0,60,0,8,1,110,6,9,5,13,30,0,3,0.87,1,12,3,0.16,0.61000001,0.70999998,1,4,1.46,4,0,0,1,1,2,0,0,0,0,3,0,2,0,0.039999999,3,0
"Spain",48,3,1.45,0.02,0.23999999,3,0,0,0,0,0,0,0,2,0,0,2,0,0.0099999998,0.15000001,7,1,30,1,4.3400002,10,0,15,6,0,1,16.450001,1.5599999,0.28999999,1,0.92000002,9,0,1,0.0097909998,1,2,4,0.02,0.001265,0.079999998,2,8,1.9299999,1.49,0,0.000001,1,1,1,0,0,0,0,1,0,0.44999999,0,0,3,0
"Portugal",12,1,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,26,0,4,8,0,5,2,4,0,13,1,0.059999999,0,1,3,0,0.000178,0.0000030000001,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",98,5,2,0.50999999,0.83999997,15,3,0.25,1,1,1,0.090000004,8,4,0.88999999,14.33,72,2,0.61000001,6.9400001,58,8,103,2.77,79,51,0,72,46,45,9,0,30,29,31,49,76,0.0036230001,25,23.549999,17,32,81,5,10,1,17,62,38,48,0.37,0.13,18,6.1599998,38,1,0,0,0,41.23,0,8,0,1,14,2
"Poland",23,0.27000001,0.079999998,0.0035880001,0.029999999,0.25,0.34,0.039999999,0.029999999,0.0099999998,0.14,0.0018880001,0.85000002,0.1,0.1,0.52999997,2.8099999,0.02,0.11,0.23,3,0.63999999,22,0.07,5,5,0,8,4,2.05,0.5,23,0,8,1,7,5,0,2,0.86000001,1,1,3,0.23999999,0.17,0.029999999,0.25,4,2,2,0.00321,0.039999999,1.14,0.11,0.25,0,0,0,0.001699,1,0,0.34999999,0,0.00075499999,4,0.79000002
"Austria",13,1,0.059999999,0,0.02,0.16,0.23999999,0.00037699999,0.039999999,0.02,0.16,0.00037699999,0.079999998,0.27000001,0.050000001,0.059999999,2,0.0099999998,0.0099999998,0.74000001,4,0.28,9,0.0077209999,4,3,0,7,8,0.56,0.47999999,38,14,0,21,29,11,0.0050840001,15,2,2,16,1,0.029999999,0.13,0.33000001,0.15000001,1,0.88999999,0.98000002,0,0.0099999998,0.17,0.47,2,0.029999999,0.0064030001,0,0,1,0,1.1900001,0,0.14,3.6800001,0.13
"Hungary",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,3,1,0,2,4,0,0,27,1,22,0,6,9,0,7,0.31,1,16,1,0,0,0,0,0,0.20999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Czechoslovakia",17,1,0.0042980001,0.00018,0,1,0.11,0,0,0,0,0,0.0050550001,0,0,0,3,0,0,0.000050999999,6,1,16,0,12,7,0,16,8,3,1,63,11,13,6,0,10,0,15,3,3,11,3,2,2,1,0.0064050001,6,2,2,0,0,1,0,3,0,0,0,0,1,0,1,0,0,2,0.2
"Italy",73,2,0.059999999,0.029999999,0,2,0,0,1,0,0,0,2,1,0,1,9,0,0,1.58,24,7,46,0,11,17,0,39,20,9,2,118,10,23,13,9,0,0,15,3,3,20,15,1,1,1,3,9,3,2,0,0,7,4,7,0.090000004,0,0,0,6,0,3,0,0,6,0
"Albania",0.14,0.001529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032250001,0,0,0,0.000004,0,1.01,0,0.0099999998,0,0,0.0081040002,0,0,0,0.2,0.000321,0.02,0,0,0,0,0.0050889999,0.001899,0.000203,0.00064899999,0,0,0,0,0,0,0,0,0,0,0,0,0.003887,0,0,0,0,0,0,0,0,0,0,0
"Yugoslavia",5.2199998,0.0099999998,0,0,0.000097999997,0.039999999,0.000994,0.001688,0.001342,0.001005,0.0099999998,0.000004,0.25,0.0099999998,0.0099999998,0.1,1,0.000038999999,0.029999999,0.02,1,0.2,9,0.0065230001,1,1,0,3,2,0.44999999,0.029999999,14,1,10,2,12,9,0.029999999,0,2,0.28999999,2,1,0.02,0.0099999998,0.00351,0.02,0.37,0.14,0.25,0.00025099999,0.02,0.0099999998,0.0099999998,0.1,0.001725,0,0,0,0.050000001,0,1,0,0.000933,0.13,0.11
"Greece",6,0.090000004,0,0,0,0.00093899999,0,0,0,0,0,0.029999999,0,0.0000090000003,0,0,1.3,0,0,0.02,10.02,0.20999999,16,0.000244,3,1,0,2,0.76999998,0.050000001,0.050000001,19,1.02,2,0.38,4,4,0.50999999,4,0,0.30000001,8,5,0.050000001,0.0011540001,0,0.34,2.6300001,0.31,0.11,0,0.11,0.0099999998,0.00059100002,2,0,0,0,0,0.000178,0,0.2,0,0,0.00062900002,0.07
"Bulgaria",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.49000001,1,0,1,2,1,0,20,0.46000001,2,1,4,1,0,0.1,0.17,0,1.1,0.25,0.000142,0.000013,0,0,0,0.0045980001,0.0099999998,0,0,0,0,1.1,0,0,0,0,0,0,0.0099999998,0,0,0,0
"Romania",3,0,0.001258,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,2,0,7,3,1,0,23,2,10,6,13,8,0.000028,1,2.3599999,0.1,0,0.40000001,0.000455,0.039999999,0.029999999,0,1,0.090000004,0.31,0,0,0,0,0,0,0,0,0,1,0,0.02,0,0,0,0
"Russia",25,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,37,0,18,8,0,16,2,0,0,19,3,1,1,5,5,0,0,1,0.0099999998,0,0,4,4,4,1,3,2,0.029999999,0,0,0,13,3,0,0,0,3.4100001,14,0,0,0,0,3,0
"Estonia",2,0.001767,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071400002,0.000107,0,0,0,1,0,3,0,0.25999999,1,0,1,0.059999999,0.000058000001,0,5,0.33000001,0.02,0,0,0.27000001,0,0.000011,0.000034000001,0.000162,0,1,0,1,1,1,1,0.039999999,0.07,0,0,0.029999999,0,0.02,0,0,0,0,0,0,0,0,0,0.007427,0.000031
"Latvia",3,0.039999999,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0.002022,0,0,0,0.029999999,0,7,0,1,1,0,1,0.23,0.000001,0,12,1,0.02,0,0.090000004,0.43000001,0,0.000037000002,0.000060999999,0.000237,0.00060199999,2,2,0,2,0.1,0.16,0.07,0.31999999,0,0,0.0099999998,0,0.0099999998,0,0,0,0,0.00041499999,0,0,0,0,0.0047180001,0
"Lithuania",1,0.0017190001,0.000218,0,0,0.000107,0,0,0,0,0,0,0,0,0,0,0.00016900001,0,0,0,0.02,0.000151,9,0,1,1,0,1,0.1,0.0022239999,0,3,0.00089199998,0.059999999,0,2,0,0,0.0000090000003,0.000021,0.00033400001,0.000013,2,0,0.30000001,0,0.001072,0.17,0.02,1,0,0,0.0039309999,0,0.0022420001,0,0,0,0,0.0013079999,0,0,0,0,0.000036000001,0.0057899999
"Finland",8,1,0.050000001,0.006366,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.029999999,0,2,0,28,0,4,5,0,3.3299999,2,1,0,24,3,1.02,0,2,1,0,0.029999999,0.68000001,0,0,4,2,0.47999999,0.11,0,13,2,5,0,0.039999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Sweden",48,1,0.2,0.003063,0,1,1,0,1,0,0,0,1,0,0,0,7,0,0,3,6,1,73,0,19,12,0,12,6,4,1,91,12,2,1,7,6,0,0.19,3.6900001,1,0,4,1.16,0.44,0.47,5,0,13,25,0,0,1,1,1,0,0,0,0,1,0,3,0,0,1,0
"Norway",18,6,0.02,0.0073879999,0,0.36000001,0.11,0.059999999,1,0.0086190002,0,0.00049300003,0.33000001,0.56999999,0.029999999,0.28999999,1,0.0032019999,0.0081270002,0.1,7,0.090000004,48,0.15000001,7,7,0,9,1.4299999,3,1,35,5,1.0599999,0.69999999,3.73,3,0,0.090000004,0.23,0.07,0.2,2,0.30000001,0.11,1,1,22,0,13,0,0,0.15000001,2.27,0.38999999,0,0,0,0,1,0,1,0,0.050000001,0.30000001,0.039999999
"Denmark",16,1,0.02,0.079999998,0,0.2,0.19,0,0,0,0,0,0.1,1.12,0,0.18000001,3,0,0,0.20999999,5,0.0094100004,105,0.02,9,6,0,8,3,2.97,1,65,6,0.15000001,0.46000001,2,2,0,0.029999999,0.22,1,1,6,0.37,1,1,5,20,7,0,0,0,0.039999999,1,0.079999998,0,0,0,0,1,0,0.34,0,0.25,0.15000001,0.039999999
"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0,0,0,0.050000001,0.001141,0,0,0,0,0,0.000061999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",0.07,0.00085800001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0.050000001,0,0,0,0,0.000024999999,0,0.059999999,0.00107,0.02,0,0,0,0,0,0.000075999997,0,0,0,0,0,0,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000072000003,0
"South Africa",52,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.029999999,0,1,0,145.49001,0,4,7,0,3.55,2,0,0,16,0.98000002,1.22,0,3.27,3,0,0.28,0.029999999,0,0,0,0.07,0.07,0.1,1,0,1.5,0.57999998,0,0.0094609996,0,4,0,0,0,0,0,0,0,9,0,1,0,0
"Iran",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,2,0,0,0,6,0.13,0.02,0,2,1,0,0.0010470001,0.000078999998,0,0,13,0,0,0,0,1,0.0032929999,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.050000001,0
"Turkey",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.9099998,6,1.15,1,0,3.3599999,1,1,0,28,0.18000001,2.3299999,1,3.0899999,5,0.0044880002,0.44,0.51999998,0.93000001,1,4,0.02,0.07,0.000068000001,1,1,0.23999999,0.12,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Iraq",1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.34999999,1,0,0.02,0,0,0,2,0,0.0099999998,0,1,1,0,0.00050199998,0.0000070000001,0,0,0.18000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0
"Saudi Arabia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000321,0.002726,0,0,0,0,0.000233,0.0000099999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yemen Arab Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27000001,0,0,0.000087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",65,8,0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,36,0,2,7,0,5,2,0,0,38,1,1,0,2,5,0,0.008068,0.0073079998,0,0,3,0.050000001,0.02,0.000043,1,3,2,0.28,0,0,0,1,0,0,0,0,0,0,0,54,0,1,14,0
"Mongolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Japan",240,15,0.11,0.2,0.00072000001,1.84,0.029999999,0.000004,0.0035999999,0.0027999999,0.0021279999,0.02,0.0099999998,0.0099999998,1,3,1,0,0,1.28,5,1.29,25,0.02,2,7,0,6,4,1.3,0.41999999,37,1,1,0,1,1.67,0,0.000116,0.0053559998,0,0.000008,5,0,0,0,2,7,6,0.14,0,0,2,1,0.28999999,0.0099999998,0,0,0,38.41,0,0,0,1.5599999,69,2
"Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thailand",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8899999,0,0.60000002,0.11,0,0.0099999998,0.62,0,0,2,0.003032,0.0068680001,0,0,0,0,0.000103,0.0000049999999,0,0,0,0,0,0,0,0,0.079999998,0.40000001,0,0,0.003,0,0,0,0,0,0,6.3400002,0,12.69,0,0,0.49000001,0
"Australia",63,23,0.059999999,0.000043,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,1,0,167,0.0089999996,2,2,0,4,2,1,0,13,0.14,0.41999999,0,1.37,2,0.000004,0.0064670001,0.02,0,1,0,0.02,0.079999998,0.079999998,1,5,2,0.37,0,0.029999999,1,3,0,0,0,0,0,2,0,25,0,0.0080000004,0,6
"New Zealand",17,10,0.18000001,0,0.00049300003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000038999999,0,0,0,73,0,0.63,1,0,1,0,0,0,2,0.02,0.11,0,0.47,1,0,0.0028639999,0.0058920002,0,0,1,0.002727,0.0099999998,0.0093160002,0,1,0.25,0.059999999,0,0.002751,1,0,0,0,0,0,0,0,0,4.3000002,0,0,17,0
