"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"Sweden",106.8,152.8,0.45,9.1,0.415,16.2,5.265,14.35,0.608,0,62.4,0.3,0.028,2.356,1.371,12.156,0.157,14.63,68.3,1.337,4.93,18.02,178.493,5.04,2.051,21.96,34.8,4.263,414.3001,64.57,105,114.8869,6.2132,319.5,58.7,215.98,23.22,0,1.2,194.22,63.9,8.96,1.8,4.2,2.89,1,20.33,31.21,4.584,14,18.54,222.2,222.41,0,497.65,202.5601,28.811,0.017,9,0.566,0.208,1.172,0.24,0.8,0.173,3.07,0.8,0.261,6.37,0.943,4.511,0.18,0.686,175.1,1.283,0.051,0,0.74,8.9,3.055,1.931,4.558,0.549,0.243,1.8,3.236,5.4118,0,0.565,108,9,9,0.6,0.973,1.001,9.12,30.75,18.5,29.8,2.629,56.8,4.25,0.8,6.15,10.72,17.9,3.93,39.6,105.3,0.355,0.3,68.9,3.86,51.59,53,36.95,1.1,20.5,0.1,21.9,9.9,4.2,141.4,5.32,0,1.22,33.5,4.906,4.304,0,9.2,18.77,9,0.07,0.7,0,28.25,23.25,5.8,4.7,197.95,16.38,1.3
"Norway",373.57,118.95,0.01,0.29,0.006,1.27,56.114,4.6,2.407,0.007,9.22,1.527,1.601,0.546,0.43,5.003,0.525,5.87,3.59,2.558,1.54,3.45,10.048,0.07,0.069,0.38,2.87,0.017,111.18,12.8,120.44,94.8884,5.1317,27.12,70.02,14.65,0.03,0,20.66,15.06,41.97,4.36,14.56,33.94,0.13,0.03,14.84,13.55,1.329,2.88,3.53,29.41,25.11,497.65,0,37.65,29.3,0.014,9,0.003,0.245,0.338,0.2,0.02,0.002,5,9.7,0.223,3.251,0.311,8.979,0.055,0.671,36.73,7.192,0.02,0,2.738,9.57,1.522,6.267,6.209,0.15,0.005,35.3,0.391,3.5591,0,1.156,16.21,9,9,0.06,0.05,0.087,7.5,31.14,4.08,7.02,0.295,143.35,7.87,2.29,1.19,0.8,9.65,0.62,2.06,44.92,0.36,0,2.65,1.01,7.9,156.75,68.09,0.403,57.33,0.01,1.57,0.32,0.41,438.97,0.79,0,7.69,8.79,1.44,0.64,9,9.3,4.61,0.02,0,2.87,0,0.81,22.74,3.63,0.18,6.42,5.42,0.16
"Denmark",89.21,48.88,0.01,20.92,0.379,2.41,1.315,9.85,2.038,0.341,0.52,10.463,1.152,2.81,4.339,2.773,1.682,5.61,12.23,0.474,2.53,4.22,77.9,0.96,2.418,7.89,19.21,0.351,271.49,27.26,359.17,202.0244,10.9257,97.17,9.52,24.62,30.52,0,29.14,18.82,59.97,6.79,12.14,73.96,2.85,0.83,19.11,2.53,2.684,2.29,6.62,82.72,73.71,202.5601,37.65,0,29.595,0.104,0.01,0.423,0.51,1.658,0.047,0.35,0.047,3.61,0.36,0.883,0.942,1.602,4.336,2.07,0.011,40.97,0.789,0.065,0.08,2.122,9.8,0.839,0.425,1.184,0.09,0.485,0.4,1.016,4.3445,0.1,0.806,26.62,9,0.72,0.01,0.78,2.608,3.47,12.37,3.43,20.51,3.144,326.06,11.46,9,0.73,6.46,14.88,2.9,5.98,87.78,0.086,1.34,56.87,16.12,33.91,9.91,34.83,1.184,15.35,0.1,2.26,1.1,8.75,142.24,16.46,0,3.48,8.35,9.124,4.226,0.05,1.27,12.94,0.14,0.088,0.94,0,5.42,37.12,3.13,15.68,40.91,4.05,0.371
"Iceland",36.911,2.194,0.04,0,0.001,0.11,0.007,0,0.001,9,0.012,0.033,0.057,0.021,0.072,0.209,0.064,0.027,0.03,0.004,0.043,0.198,0.42,0.001,0.001,0.002,0.315,0.005,26.147,0.336,31.427,7.0203,0.3797,5.312,14.661,4.46,32.424,0,2.89,2.18,1.434,0.249,3.39,4.27,0.044,0,4.199,2.633,0.06,0.025,0.011,25.487,9.226,28.811,29.3,29.595,0,0,0,0,0.021,0.134,0,0.001,0.002,0.011,9,9.001,0.691,0.001,0.062,0,0.044,0.565,0,0,0.004,0.004,0.294,0.053,0.016,0.006,0,0,0,0.001,0.0018,0,0,0.471,0,0,0.011,0.003,0,0.063,0.133,1.844,0,0.06,3.944,0.25,0.008,0.045,0.002,0.036,0,0.424,0.2,0,0,0,0.002,0,0,0,0.561,0.322,9.005,0.521,0,1.637,6.004,0.453,0,0.038,0.024,0.073,0.027,0,0,0.016,0,0.014,0,0,0.089,0.124,0.034,0.032,26.352,0.539,0.002
"Guinea-Bissau",0.052,0.254,0,0,0,0,9,0,0,0,9.001,0,0,0,0,0,9,9,0,0,0,0,2.214,0,0,0,0,0,1.567,0.001,0.356,0.1328,0.0072,0.459,0.199,2.749,20.879,0,0,9,1.297,0.003,0.008,0.227,0,0,0,0.28,0.001,0,0,0,0,0.017,0.014,0.104,0,0,0,0.072,0,0.003,9,0,0,0,0,0,0,9,9,0,0,0,0,0.316,9,0,0,0,0,0,0,9,9,9.006,0,9,0.476,0.083,0,0,0,0,0,0,0,0,0,0,0,9,0,0.17,0,9.039,0,0,0,9,0,0,0,0,0,9,0,0,0,0,10.572,0,2.431,0,0,0.109,0,0,0,0,0,0.67,0,0,0,0,0,9,0,0,0,0.01,0
"Equatorial Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,1.63,0.01,0.4,0.0569,0.0031,4.406,9.089,13.266,9,0,0,9,0.1,0,0,1.2,0,0,0.07,0,0,0,9,10.054,0,9,9,0.01,0,0,0,0,9,0.054,0,0,0,0.05,0,0,0,0,0,0,0.226,0.468,0.086,0,9,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia",1.499,0.125,9,9,0,0,0.006,0.001,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.3,0,9.236,0.106,3.041,0.1803,0.0097,10.4,5.424,2.3,3.29,0,0.302,1.527,0.2,0.9,0.475,1.853,0,0,0,0,0.054,9,0.179,10.145,0.01,0.566,0.003,0.423,0,0.072,0,0,0.021,1.722,0,0,0,0.21,0,0,0.003,0.373,0.048,0.049,0,0.012,0,9,0,9,9,0,0,9,0,0,0,0,0.0073,0,0.378,9,0,0,0,9,0,0,0,0,0,0,9,9,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,4.743,0,0.267,0,0,1.199,0.348,0,0.905,0.21,2.238,0,0,0,1.6,9,0,0,0,9,9,0,9,0,0.01,0.009
"Mali",24.025,3.06,9.002,0.002,0,0,0,9.015,0,0,9,0,9,0,0,0,0,0,0.667,9,9,0,0.06,0,9,0,3.595,9,2.87,0.069,0.029,3.0168,0.1632,25.346,0.026,1.566,0.006,0,0.195,0.089,0.081,0.004,0.225,3.016,0.01,0,0.763,0.713,0,9.023,0.141,12.054,0.006,0.208,0.245,0.51,0.021,0,9,0.021,0,7.33,0.064,0.142,0.644,14.987,0.331,2.187,0.036,0.009,1.915,0.01,0.144,0.144,1.302,0,0,0,0.135,0,0,9,0,0,0,9.004,0,0,0,0,0,0,0,0,0,0.006,0.137,0.037,0.091,9.008,0.087,0.002,0.029,2.78,0,0.083,0,0.002,0.021,9,9,9.004,0,0,9,0,0,4.555,0,0,0.322,3.133,1.787,0.056,0,8.293,0.15,9,0,0,0,0,9,0,9,0,0.056,9,0,0.004,0.002,0.04,0
"Senegal",28.361,1.502,0,0,0,9.711,0.001,0.045,0.025,9,0.003,9,0,0,0,0,0.002,0.009,0.675,0,0.001,0.004,34.255,9,0.004,0.027,0.989,0.001,15.769,0.996,10.637,5.6352,0.3048,55.375,2.055,6.14,0.99,0,0.419,1.653,0.592,0.058,0.709,1.63,0.118,9.013,0.48,7.543,0,0.051,0.527,20.879,1.173,1.172,0.338,1.658,0.134,0.003,0.054,1.722,7.33,0,4.578,8.225,1.072,2.477,0.847,1.242,0.572,3.025,0.703,0.528,1.658,26.711,0.003,0.122,2.782,0.423,1.4,9,0.57,0.274,0,0.007,0.001,0.02,0.0082,0,0.014,0,0,9.337,0.002,0.211,0.002,1.674,0.5,0.139,0.172,0.001,0.935,0.131,16.684,0.013,9.022,4.283,0,0.473,0.013,9,0.056,0.051,0,0,0,11.906,9,18.551,0,0.518,0.037,0.139,7.378,0.032,0,10.866,0.23,0.004,0.003,0,0,14.675,0,0,0.025,0,0.031,0,0.151,0.033,0.368,0.674,0
"Benin",0.495,9.908,0,9,9,9,0,0,0,0,0,0,0,0,9,0,0,0,0.992,0,9,0,0.095,0,0,9,0.18,9,9.132,0.008,4.738,0.9392,0.0508,23.51,0.605,0.03,0,0,0,0,0.3,9,9,3.248,0.05,9,0,0.56,0.005,9,0,1.755,0.006,0.24,0.2,0.047,0,9,0,0,0.064,4.578,0,0,0.664,3.19,9,0.052,0.082,0,0.29,0.228,0.072,0.76,0.019,0.03,9,0.469,0.06,0,0,0,0,0,0,0,0,9,9.06,9,0,0,0,0.03,0,1.011,3.98,0.069,0.004,9,0.721,0,0,0.16,9,0.003,0,0.04,0,9,9,9,9,0,0,0,0,1.006,0,2.968,9,0,1.224,5.29,0,0,0.02,9,0,0,9,0.29,0,0,0,0,0,9,0,9,0,0.03,0
"Mauritania",13.315,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0.56,9,22.057,0.17,5.91,17.0955,0.9245,2.383,0.7,28.451,0,0,0,0,0,0,0,17.53,0,0,0,0,0,0,0,0.81,0.01,0.8,0.02,0.35,0.001,0,0,0,0.142,8.225,0,0,0.086,0.28,0,0.004,1.053,0,0.01,0,0.008,0,0.001,0,0,0.441,1.12,0,0,0,9,0,0,0.034,0,0,0,9,0,0,0,0,0,0.56,2.95,0,0,0,0,0,0,1.55,0,0,0,0,0,0,9,0,0,0,0,0,0,3.048,0,0,0,0,38.204,0,0,0.03,0.01,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0
"Niger",11.894,1.273,0,0,9,0,9,0.003,0,0,0,0,0,0,0,0,0,0,0.863,0,0,0,0.029,0,0,0.004,0.01,0,0.09,0.002,3.137,0.0474,0.0026,2.963,0.225,0.167,0.02,0,0.122,0.048,0.18,0.098,0.077,2.599,0.006,0,0.086,0.03,0.052,0.005,0.006,0.064,0.02,0.173,0.002,0.047,0.002,0,0,0,0.644,1.072,0.664,0.086,0,2.533,0,1.451,0.001,0,2.221,0.039,1.937,5.894,0.034,0.091,0.014,0.796,0.016,9.001,0.001,0,0,0,0,0.002,0,0,0,9,0,0,0,0.052,0.003,0.315,3.174,0.019,0.473,0,0.678,0,0.575,0,0,0.152,0,0.01,0.069,0,0,9.138,0,0,0,0,0,1.712,0,0.478,9,0,0.73,0.008,0,0.305,0.21,0,0,0,0,0.01,9,0,0,0,0.003,0,0,0.025,0,0.001,0
"Ivory Coast",34.88,2.27,0,0.05,0,12.04,0.001,2.85,0,0,0.07,0.03,9.03,9.06,0.2,0.05,1.14,0,2.38,0,0.04,3.31,3.14,0,0.04,0.03,0.07,0.28,25.61,1.48,48.95,0.3131,0.0169,2.45,5.73,61.05,6.43,0,3.24,0.26,8.49,6.47,0.38,111.82,0.76,9,22.76,9.77,0.354,1.44,0.99,10.63,2.42,3.07,5,3.61,0.011,0,0.05,0.21,14.987,2.477,3.19,0.28,2.533,0,0.07,19.909,1.899,0.514,10.245,1.854,3.349,46.09,0.879,0.09,0.65,0.028,0.83,0,0.03,0.02,0,0,0,0.009,0.1691,0,0,0,0,0,0,1.332,0.07,17.36,23.54,3.33,0.38,0,14.29,0.31,58.55,0.41,1.24,2.31,0.01,0.52,0.01,9,0,0.1,0.01,9,0,0.1,9,0,0,39.86,0,1.1,15.27,0.89,0,1.22,0.17,0,0.04,0,0,0.47,0,0,0.06,0,0.41,0.59,0.73,0.04,0.4,0.06,0
"Guinea",6.2,11.6,0,0,0,0,9.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3.1,0.02,0.8,6.0716,0.3284,11.6,3.2,16.08,0,0,0,0,0,5.98,0,5.1,9,0,6.5,0.12,0,0,3.33,0,0.19,0.8,9.7,0.36,9,0,0,0,0.331,0.847,9,0,0,0.07,0,0.002,0.305,0.497,0.006,0.009,7.476,0,0.027,0,0,0,9,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,1.08,1.21,0,0,0,0,0,9,0.46,9,0,0,0,0.1,9,0,0.8,0,0,0,0,0,0,0,0,0,0,0.3,0.12,0,0,0.01,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"Burkina Faso",13.564,1.563,0,9.016,0,0,0,0,0,0,9.001,0,0,0,0,0,0,0,9.65,9,0,0,9.046,0,9.004,9.001,0.011,9,1.056,0.004,1.872,7.1437,0.3863,47.659,0.607,0.184,0.03,0,9.114,9.11,0.077,9.037,9.147,1.702,0,0,0.056,0.018,0,0,9.202,0.047,0.03,0.261,0.223,0.883,9.001,0,0,0,2.187,1.242,0.052,0.004,1.451,19.909,0.002,0,0.007,9,0.993,0.206,0.025,0.164,0.003,0,0.011,0.092,9,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0.035,0.152,0.227,0.007,0,9.011,0.03,9.104,0.021,0,0.02,0,0.024,0.003,0,0,9,9,0,0,0,9,0.822,0,3.528,0.003,0.127,0.384,0.164,0,9.435,9,9,0.001,0,0,0,0,0,9.621,0,0.045,0,0.015,0,0.015,0.005,0
"Liberia",21.985,1.191,4.527,0.002,0.004,0,0,0,0,0,0.241,0,0,0,0,0,9,0.22,0,0,0,0,0.265,0,9,0,0.018,0,12.346,0.285,12.416,33.4889,1.8111,36.941,0.828,15.034,0.39,0,9.246,1.832,7.865,0.558,1.423,66.802,0.006,9.001,10.624,10.52,0.019,9.218,2.38,1.763,0.502,6.37,3.251,0.942,0.691,0,0,0.003,0.036,0.572,0.082,1.053,0.001,1.899,0.305,0.007,0,0.032,0.733,0.017,0.011,0.047,0.04,0,0,0.014,0.005,0,0.059,0.002,0,0,0.003,0.017,0.004,0,0.568,0.005,0.003,9,0,0.001,0,0.407,0.001,0.003,0,9,0,1.107,0,0.005,0.001,1.13,0,3.366,53.184,9,9,0,0,0,9,0.17,0,5.559,0,2.333,9,0,20.839,0.81,0,0.656,0.07,0,0,0,0,0.16,0,0,0,0,0.262,0.433,0.6,0.001,0.143,0.003,0
"Sierra Leone",47.961,3.317,0,9,0,9,0.017,0.522,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.141,9,0,0,0.236,0.001,50.553,0.156,2.451,1.9638,0.1062,11.638,2.303,0.136,0.15,0,1.412,4.223,0.284,2.585,13.242,4.22,0.16,0,0.034,0.097,0.197,9.085,0,10.44,0.455,0.943,0.311,1.602,0.001,9,0,0.373,0.009,3.025,0,0,0,0.514,0.497,9,0.032,0,0.233,0.025,0.009,17.661,0.105,9,9,0.179,0,9,0.066,9.007,0,0,0,9,0.0255,0,1.424,0,9,9,0,9,0,0.087,0,0,0.1,0.001,0,0.006,9,1.201,9,0.542,0,0.005,0.3,9,0,9,0,0,0,0,9,10.813,0,0,9,0,9.494,1.929,0,11.83,9.09,0,0.006,9,0,0.01,9,0,0,0,0.086,1.674,0,0.001,0.23,0.094,0
"Ghana",48.633,7.47,0.011,0,0,0,11.697,0.006,0,0,0.024,0.163,0,0,0.248,0,0,0.044,1.962,0.001,0,0.001,0.595,0,0,0,12.061,0,46.906,18.315,13.973,5.3791,0.2909,29.47,4.989,18.152,0.239,0,3.479,14.765,4.489,4.429,10.862,4.014,0.69,0,11.769,2.654,0.529,0.015,1.822,1.245,5.347,4.511,8.979,4.336,0.062,9,0,0.048,1.915,0.703,0.29,0.01,2.221,10.245,0.006,0.993,0.733,0.233,0,1.99,0.008,54.983,9,9,0,0.005,0.077,0.022,1.129,0.005,0,0,0.001,0.32,0.0017,0,0.005,0,0,2.35,0.205,0.005,0.001,0.213,11.887,0.005,22.299,0.001,0.004,0.845,0,1.069,0.003,2.097,0,3.478,0,9,0.181,0,0,9,0,9,0,34.886,0,3.304,0,3.496,31.784,1.449,0,5.582,2.66,0,0.155,0,0,0.402,0,0,0,0,0.336,2.28,4.487,0.479,21.158,7.378,0.004
"Togo",2.168,0.464,0,0.003,0,9,0,0.001,0,0,0,9,0,0,0,0,0.034,0,7.217,9.094,0,0,0.42,0,0,9,0,0,9.026,0,39.309,14.3063,0.7737,59.422,0.749,2.543,0.16,0,0.167,0.369,1.01,0.156,9.748,5.275,0.016,0,0,0.157,0.002,0,0.012,2.228,0.258,0.18,0.055,2.07,0,0,0,0.049,0.01,0.528,0.228,0,0.039,1.854,0.009,0.206,0.017,0.025,1.99,0,0.056,1.298,0.052,0.017,0.005,0.042,0.277,0,0,9,9,0,9,0,9,9,0.116,0,0,0,0,0.002,0.105,0.187,0.02,0.098,0.096,0,0.333,0,0.478,0,9,6.814,0,0.04,0.032,0,9,0.149,0,0,0,9,9,4.996,0,3.699,0.005,0.013,2.578,0.269,0,0.229,0.04,9,0.002,0,0,0.132,9,9,0.062,0,0.051,0,0,0,0.052,0,0
"Cameroon",2.663,1.613,0,0,0,0.025,0.124,0.793,0,0,0.025,0,0.005,0,0,0.686,0,0.047,0,0,0,0,0.065,0,0.034,0,0.009,0.004,9.058,0.603,96.311,7.0773,0.3827,30.037,4.961,19.088,0.43,0,1.299,0.214,0.029,0.097,0.474,7.521,0.01,0,3.337,4.003,0.012,0.405,0.826,14.521,1.706,0.686,0.671,0.011,0.044,0,0.226,0,0.144,1.658,0.072,0.008,1.937,3.349,7.476,0.025,0.011,0.009,0.008,0.056,0,0.208,22.28,4.979,3.492,0.26,3.768,0,0.016,0.004,0,0,0,0.004,0.827,0,0.115,0,0,0,0,0.004,0,0.774,1.501,0.811,0.18,0.004,1.414,0.07,0,0.766,0,0.35,0,0.259,0.004,0,0,0.567,0,0,0,0,0,10.497,0,3.296,0.029,0.216,7.064,0.657,0,2.325,1.26,0,0,0,0,0.026,0.004,0,0.004,0,1.154,0,0.033,0.184,0.05,0.306,0
"Nigeria",3579.6,30.5,319.67,0,0,9,0.012,0.56,0.001,0,0.1,0.01,0,0,1.183,0,0,0.03,0,0,9,0,15.28,9,0,9,2.48,22.909,221.8,0.13,1057.2,39.8451,2.1549,690.6,49.3,13,0.79,0,1.1,0.1,11.4,5.83,14.7,211.5,0.36,9,5.53,9.78,0.157,5.5,4.73,70.9,6.21,175.1,36.73,40.97,0.565,0,0.468,0.012,0.144,26.711,0.76,0,5.894,46.09,0,0.164,0.047,17.661,54.983,1.298,0.208,0,0.056,0.016,9.042,0.123,4.2,0.01,0.467,0.032,0,0,0,0.007,0.0544,0,0,0,0,0,9,0.1,0.014,4.1,0.7,0.12,1.4,0.1,10.1,1.1,0.1,2.04,0.1,6.2,0,6.94,0.3,9,0.2,0,0,0,0,0,0,42.4,0,0,0,11.9,194,19.1,0,2.6,6.7,0.3,0.2,0,0,1.11,0,0,0,0,1.4,5.24,0,0.4,3.8,0.85,0.007
"Gabon",200.531,5.151,90.8,0.037,0.2,0,0,0,9,0,0,9,0,0,0,0,0,0,0.05,0,0,5.143,1.022,0,0,0,0.22,2.97,61.401,0,12.901,4.3261,0.234,109.097,1.885,19.17,0.366,0,0.098,0.069,1.089,0.34,0.323,49.93,0,0,2.21,15.007,0.062,0,0.008,0,0.208,1.283,7.192,0.789,0,0,0.086,0,1.302,0.003,0.019,0.001,0.034,0.879,0.027,0.003,0.04,0.105,9,0.052,22.28,0.056,0,0.004,0.898,8.41,0.243,0,0.002,9,0,0,0,0,0.1082,0,0.072,0,0,2.767,0,0.001,0.03,4.111,0.748,0.17,0,9,0.005,0,0,0,0,1.39,0.35,0.949,0,9,0,0.051,9,0,0,9,0,2.287,0,1.551,0,0.016,3.721,0.033,0,0,0,0,0,0,0,0.015,9,9,0,0,0,0.157,0,0,0.007,0,0
"Central African Republic",5.591,0.144,0,9,9,0,0,0,0,9,0.1,0,9,0,0,0,0,0,0,0,9.01,0,0.011,9,0,0,0.004,0,0.807,0.17,1.418,3.5197,0.1903,2.292,0.156,1.373,0.013,0,0.01,0.022,0.812,0.019,0.096,3.924,0.028,0,3.208,0.007,0,9,1.118,0.008,0.068,0.051,0.02,0.065,0,0.316,0,9,0,0.122,0.03,0,0.091,0.09,0,0,0,9,9,0.017,4.979,0.016,0.004,0,1.066,0.508,0.939,0,0,0,9,0,0,0,9.211,0,0,1.292,0,0,0,0.002,0,0.087,0.249,0.267,0,0.071,0.015,0,0,0.023,0,0.163,0,4.63,0,9,0.015,0,0,0,0,9,9,0,0,0.02,0,0,0.331,0.025,0,0.002,6.24,0,0,0,0,0,0,9.158,9,0,0.01,0,0,0.099,0,0.04,0
"Chad",5.42,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0.01,9,0,0,0,9.01,0,0,0,0,0,1.748,0,3.427,1.9258,0.1042,13.278,0.1,0.35,0.22,0,0,9,1.9,0,9,0.695,0.02,0,1.84,0.1,0,9,9,9,0,0,0,0.08,0.004,9,9,0,0,2.782,9,0,0.014,0.65,0,0.011,0,9,0,0.005,3.492,9.042,0.898,1.066,0,0.177,0.667,0,0,0,9,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0.01,5.7,0.034,9,0,9,0.03,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.91,0,0.371,0,0,11.179,0.01,0,0.05,9,0,0,0,0,0,0,0,9,0,9,0,0,9,0.007,0.05,0
"Congo",32.712,0.185,3.245,0.194,0,0,0,0.019,0,0,0,9,0,0,9,9,0.007,0.028,0.003,0,0,0,4.666,0,0.101,0,0.001,0,10.335,0.067,0.988,0.2751,0.0149,45.951,1.211,7.367,4.04,0,0.058,0.08,0.018,0.211,0.084,46.72,0,9,0.565,5.939,0,0.319,0.137,0.243,0.297,0.74,2.738,2.122,0.004,0,0,9,0,0.423,0.469,0.441,0.796,0.028,0,0.092,0.014,0.179,0.005,0.042,0.26,0.123,8.41,0.508,0.177,0,0.997,0,0,0,0,0,0,0,0.809,0,0.09,6.23,0,0,0,0.001,0.005,0.077,0.312,0.585,0,0,0.037,0.035,0,0.021,9,0.154,0,0.093,0,9,0,0,0,0,0,0,9,1.954,9,0.361,0,0.001,4.109,7.955,0,0.009,0.04,9,0.001,9,0,0,9.001,9,0.198,0,0.357,0.326,0.021,0.556,0,0.07,0
"Democratic Republic of the Congo",8,3.6,0,9,0,9,0.047,0,0,0,0.2,0.024,0,0,0,0,0,0,0,0,9,0,37.126,0,0,0,6.15,0,35.9,0.08,28.4,553.0884,29.9116,34.5,10.5,13.95,1.59,0,0,1.4,3.1,0,2.5,169.7,0.03,0,0.2,7.49,0.039,9,1.3,0,1.33,8.9,9.57,9.8,0.294,0,0,9,0.135,1.4,0.06,1.12,0.016,0.83,9,9,0.005,0,0.077,0.277,3.768,4.2,0.243,0.939,0.667,0.997,0,0.316,0.672,3.495,1.131,0.562,0,0,9.1264,30.2,1.846,35.8,0,0,0,0,0.005,3.16,7.9,1.53,9.5,1.493,23.3,0.02,0,0.05,0,7,0,1.3,4.4,0,2.8,0,9,0,0,0,9,0,0,0,2.7,0,54.9,13.2,0,0,9,9,0,0,0,0.6,9,0,0,0,0,0,0.4,0.2,0.41,0.14,0
"Uganda",67.004,3.163,0,0,0,0,0.006,0,0,9,0,9.002,9,0,0,9,0,0,0,0,9,0,0.032,0,0,0,3.72,0.08,21.755,0.521,0.383,1.5369,0.0831,7.355,0.517,9.496,0.71,0,2.839,7.465,1.384,10.665,0.5,0.787,0,0,7.269,1.053,0.01,9.007,1.202,7.208,0.214,3.055,1.522,0.839,0.053,0,0,0,0,9,0,0,9.001,0,0,0,0,9,0.022,0,0,0.01,0,0,0,0,0.316,0,66.691,3.636,0.02,0.317,0.647,0,0.154,0,0.002,0,0,0,9.091,0,0.005,0,0,0,2.098,8.179,0.457,0,0.041,0.426,0.018,0.35,0.478,0.014,0.624,9,0.586,0,0.05,0,0,0,0,0.105,0,1.152,0.133,0.237,14.995,4.702,0,0.532,1.28,0,0.138,0,0,1.793,0,0,0,0,0.151,1.089,1,0.196,7.102,1.411,0
"Kenya",14.217,5.345,0.01,0,9,0,0.051,0.051,0.11,9,0,0,0,0,0,0,0,0.03,0.3,0.183,0,0.02,0.94,0,9,0,2.529,0,75.964,5.387,15.77,4.2976,0.2324,18.962,3.515,0.211,0,0,1.096,16.824,2.226,2.101,1.835,18.293,0.03,0,2.843,2.81,0.023,0.18,1.42,0.405,1.095,1.931,6.267,0.425,0.016,0,0,0,0,0.57,0,0,0.001,0.03,0,0,0.059,0.066,1.129,0,0.016,0.467,0.002,0,0,0,0.672,66.691,0,26.732,1.334,4.699,6.175,6.537,12.8088,0,1.153,0,0,0,0.667,1.341,3.482,0.18,0.2,0,2.1,2.556,100.25,0.022,19.024,0.086,0.102,0.078,0.797,4.443,66.053,2.14,2.753,2.688,1.232,0.09,8.6,2.73,9,6.251,0,2.981,9.439,3.178,86.335,1.029,0,5.494,1.887,0.046,0.265,0,0,1.022,0,0,0,0,0.864,3.663,1.4,5.055,2.42,1.398,0.073
"Tanzania",25.977,4.175,0.06,0,0,0,0.001,0,0.01,9,0,0,9,0,0,0,9,0,0,0,9,0,3.004,9,0,0,11.426,0.095,30.153,7.164,9.577,15.3594,0.8306,13.981,6.264,1.061,1.26,0,0.478,1.301,1.708,0.965,0.765,7.946,0.03,0,4.242,1.485,0.557,0.07,0.629,4.859,1.405,4.558,6.209,1.184,0.006,0,0,9,9,0.274,0,0,0,0.02,0,0,0.002,9.007,0.005,9,0.004,0.032,9,0,0,0,3.495,3.636,26.732,0,0.645,0.435,0.411,0.314,3.5777,0,1.213,0,0,0,0.002,1.379,0.007,0,0,0,0,0.089,57.607,0.29,1.659,1.609,0.034,0.013,5.678,1.896,59.928,9.047,1.704,18.896,0.391,0.22,0,0.05,0,75.73,0,1.597,0.029,0.483,52.298,31.423,0,0.928,2.043,0.035,0.075,0,0,16.034,0,0,9,0,2.314,8.915,0,7.064,8.441,4.687,0
