"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Tunisia","Iran","Turkey","Egypt","China","Japan"
"Spain",15.94,0,0,0,0,0,0,0,0,0.70999998,0,0,0,1.22,26.1,0,5.25,39.939999,0,0,1.91,9.8999996,0,1.92,0,0,0,1.17,0.85000002,0,0,0,0,0.31,0,0,0
"Portugal",5.98,0,0,0,0,0,0,0,0,2.5899999,0,0,0,0,16.49,0.41,0.97000003,4.75,0,4.71,0,2.72,0,0.37,0,0,0,0.55000001,0.81999999,0,0.11,0,0,0,0,0,0
"Germany",70,0,1.34,0,0,0,0,0,0,0,0,0,2.78,3.8299999,86.940002,58.869999,51.099998,60.139999,36.860001,1.6799999,0.80000001,0,103.09,13.5,0,0,0.38,79.290001,5.52,5.9499998,0,0,0,0,0,0,0.19
"Austria-Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3699999,0,0,6.1599998,0,0,0,75.209999,0,29.09,0,0,13.84,18.49,0,0,0,0,0,4.8400002,0,0,0
"Italy",12.14,0,0,0,0,0,0,0,0,0,0,0,0,0,69.769997,2.1700001,2.8199999,40.560001,7.1500001,0.93000001,0.16,16.690001,42.200001,0,1.73,2.98,1.73,5.8699999,0.12,0,0,0,0,1.73,0,0,0
"Yugoslavia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greece",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,5.6300001,0,0,0,0,0,3.1800001,0,0,0,1.27,0,0,0,0,0,0,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4200001,0,0,1.1900001,0,0,0,6.1500001,25.959999,0,0,0,0,5.3299999,0,0,0,0,0,0,0,0,0
"Russia",12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,71.349998,3.1099999,18.219999,12.86,0,1.09,0.37,144.69,15.18,6.27,0,1.6799999,0.62,0,1.73,0.36000001,0,0,0,14.73,0,4.79,0
"Sweden",2.6300001,0,0,0,0,0,0,0,0,0,0,0,0,0,19.76,2.05,2.29,2.0799999,0,0.56,0.27000001,20.57,0,0.23999999,0,0,0,6.7600002,0,13.81,0,0,0,0,0,0,0
"Denmark",5.0700002,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0,15.8,1.89,1.1,1.33,0,0,0,24.42,0,0,0,0,0,1.88,6.6500001,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3099999,0,0,0,0,0,0.001944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunisia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46000001,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkey",1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,17.870001,0,0,7.8299999,0,0,0,0.12,13.8,3.3399999,0,0,0,6.27,0,0,0,0,0,0,0,0,0
"Egypt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,32.279999,0,0,0.64999998,0,0,0,0,0,0,0,0,0,0.15000001,0,0,0,0,0,0,0,0,5.1399999
"Japan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.72,0,0,0.67000002,0,0,0,0.88999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4100001,0
