"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Solomon Islands","Fiji","Samoa"
"Grenada",10.029,2.8510001,0,1.016,0,0.77999997,1.1160001,9.9770002,1.909,0.449,0,1.283,0.34799999,0.093999997,0,0.115,0,0.050000001,0.092,0,0.068999998,0.296,1.258,0.054000001,0,0,0.463,0,0,0,0.139,0,8.9709997,0.086999997,0.68099999,0.1148568,0.0051432,0.303,0.021,0.029999999,0.0099999998,0,0.037,0.044,0,0.045000002,0.097000003,0.24699999,0,0,0,0,0,0,0,0.13699999,0.041999999,0.147,0.083999999,0.66299999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243,0,0.33500001,0,0.075999998,2.645,0.041999999,0,0,0,0,0,0,0,0.041999999,0,0,0,0.077,0,0.131,0,0.116,0,0.30199999,0,0,0
"St. Lucia",0,0,0.0099999998,0,0.003,1.54,2.099,0,0,0.62,0.017999999,0,0.53222221,0,0,0.49000001,0,0,0.074000001,0,0.83999997,1.2,2.4100001,0.074000001,0,0,0.11,0,0,0,0.23999999,0,12.3,0.0099999998,0,0.19142801,0.0085720001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89999998,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44999999,0,0,0
"St. Vincent and the Grenadines",15.107037,4.4655557,0.0033333334,0.036296297,0.0092592593,1.0825926,0.83999997,8.7688885,3.0074074,0.37296295,0.047777779,1.1255555,0,0.061111111,0.0037037036,0.40000001,0.0022222223,0,0.14777778,0.057037037,0.8514815,0.12296297,2.0440741,0.061851852,0,0.013333334,0.35333332,0,0.00037037037,0,0.072222225,0.037407406,10.497037,0.037407406,0.60777777,0.33499891,0.0150011,0.35111111,0.24888889,0.025925927,0.017037038,0,0.028148148,0.014444444,0.0018518518,0.047777779,0.041851852,0.46333334,0.0025925925,0,0.062222224,0,0.002962963,0,0.024074074,0.060370371,0.0070370371,0.13666667,0.075925924,0.3051852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048148148,0,0,0.0033333334,0,0,0,0,0,0,0.015555556,0,0.00074074074,0,0,0,0,0.0011111111,0.0092592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037037037,0,0,0.00037037037,0,0,0,0.0033333334,0,0,0,0,0,0,0,0,0,0.26925927,0,0.083703704,0.0040740739,0.056666669,1.8818519,0.095925927,0,0.0062962961,0,0,0.0070370371,0,0,0.036666665,0,0,0,0.084074073,0,0.024074074,0.0022222223,0.073703706,0,0.096666664,0,0,0
"Mexico",11979,352.70001,4,262.10001,0.0040000002,0.0099999998,0.2,0.0099999998,0.001,0,0,0,0,0,25.799999,3.8,1.1,0.2,1,21.4,16.299999,28.200001,5.5,0,14.7,25.4,463.5,2.9189999,6.5,65.5,109.7,6.6999998,405.20001,65,98.5,148.16521,6.6347618,520.5,186.7,347.89999,2.9000001,0,25.299999,7,20.200001,6,19.6,305.10001,0.02,0,3.0999999,6.9000001,0,0,2.8,12.5,33.599998,152.60001,21.4,28.9,0.155,0,0,0,0,0,0,0.001,0,0,0.0049999999,0,0,0,7.1999998,0,0,0,1.197,0,5.5900002,0,0,0,0.30000001,0,0.022,0,0,0,0,0,0,0,0,0,0,0,14.2,0,0,0,0,0,0,0,1.2,0,0,0,0,0.80000001,0.60000002,0,2.7,0,0,0,5.1999998,0,0,0,0,0,0,0,0,0,66,0,0,0,38.400002,988.70001,9.8999996,0,11.1,1.55,0,11,0,0,0.2,0,0,0,11.4,35,7.8000002,12,32.700001,0,22.700001,4.494,0,0
"Guatemala",551.789,20.193001,19.040001,0,0.213,0.176,0.21799999,9.4219999,0.079999998,0,0,0,0,58.888,0,36.849998,99.269997,16.416,65.322998,6.5570002,4.3060002,158.964,0.0060000001,0,0.27399999,0.62900001,13.932,0.048,0.012,0.57800001,3.0109999,0.089000002,36.863998,1.895,13.802,7.53269,0.3373099,27.294001,18.396999,20.67,1.433,0,0,0,1.881,0,1.49,21.499001,0,0,5.085,0.034000002,0,0,0,0,0.38999999,4.4770002,0.60900003,4.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0.0049999999,0,0,0,0,0,0,0,0,0.0060000001,0.0060000001,0,0.001,0,0,0,1.472,0,0,0,0,0,0,0,0,0,1.999,0,9.5050001,0,7.579,128.47,0.16,0,0.082999997,0,0,0.50599998,0,0,0.193,0,0,0,0,0.93699998,0.093999997,0,1.193,0,0.90200001,0,0,0
"Honduras",426.03601,17.871,0.0070000002,0,0.029999999,0.338,1.405,32.125,0.001,0,0,0,0,22.587,57.727001,0,0,14.462,31.351,8.0290003,4.9920001,104.817,0,0.0020000001,0.026000001,0.72500002,17.83,0,0,0.433,2.8870001,0.089000002,21.274,0.301,15.957,9.1598272,0.41017231,15.881,5.8990002,8.4879999,0.479,0,0.41999999,0.33000001,1.459,0.40799999,1.869,10,0,0.0080000004,0.42899999,0.0080000004,0,0.17299999,0.114,1.103,0.18000001,3.243,0.119,7.309,0.0070000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,1.148,0,0,0,0.003,0,0,0,0.048,0,0,0,0,0.015,0.001,0,0.003,0.001,0.0020000001,0,0.30199999,0,0,0.082999997,0,0,0,0,0,0,4.5760002,0.0020000001,8.1809998,0.072999999,4.3790002,99.372002,0.205,0,0.043000001,0,0,0.21699999,0,0,0.028999999,0,0,0,0.075000003,0.23100001,0.222,0.041999999,1.898,0,0.001,0,0,0
"El Salvador",194.203,11.46,0.02,0,0,0.0020000001,0.028999999,0.0099999998,0.0020000001,0,0,0,0,11.824,253.582,0,0,11.418,55.382,20.625,1.525,244.51401,0,0,0.28099999,1.772,3.2290001,0,0,0.089000002,2.227,0.32100001,11.148,0.78899997,14.759,6.3075509,0.2824488,8.0769997,3.622,9.8109999,0.24699999,0,0,0.034000002,0.22,0.116,0.382,13.046,0,0,0.02,0.0080000004,0,0,0,0,4.6859999,3.329,0.07,3.3239999,0,0,0,0,0,0,0,0.0020000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0,0,0,0,0,0,0,0.123,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,5.0359998,0,2.3,37.542,0.255,0,0,0.12,0,0.07,0,0,0,0,0,0,0.14,0.31200001,0.0089999996,0,1.232,0,2.6600001,0,0,0
"Nicaragua",242.10699,10.834,0.02,0,0.011,0.029999999,0.103,0.26699999,0,0,0,0,0,17.841999,102.004,30.372999,50.435001,0,116.273,13.48,2.3940001,149.142,0,0,0,0.31200001,4.6459999,0,0,0.0020000001,3.145,0.029999999,7.3039999,0.122,13.618,3.2638471,0.1461533,10.32,8.9860001,8.3319998,0.127,0,0,0.17,0.368,0.090000004,0.090999998,4.6389999,0,0,0.022,0,0,0,0.226,0.89700001,0.352,0.39199999,0.030999999,2.0009999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082999997,0,0,0,0,0,0,0,0,0,0.704,0,0,0,0.63200003,28.607,2.7909999,0,0,1.01,0,0.115,0,0,0.0020000001,0,0,0,0,0,0.287,0,0.50400001,0,0.31,0,0,0
"Costa Rica",503.77899,34.522999,0.0080000004,0.071999997,0.021,0.66900003,0.083999999,1.6569999,0,0,0.003,0,0,75.458,100.55,18.787001,67.648003,32.804001,0,31.568001,5.671,84.901001,0.003,0,2.0940001,5.8969998,21.695,0.0080000004,0,7.4889998,6.5890002,0.045000002,25.799999,2.7490001,11.094,6.7095499,0.30045009,17.617001,10.472,33.247002,0.60399997,0,0.039000001,0.41499999,2.125,2.8829999,1.951,23.396,0.0020000001,0,0.48899999,0,0,0.027000001,0.21799999,1.75,0.391,12.196,0.75700003,4.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020000001,0,0,0.37799999,0,0,0,0,0,0,0,0.214,0,0,0,0.02,0,0.0049999999,0,0,0,0,0,0.78600001,0,0,0,0,0,0,0,0,0,0.116,0.001,12.079,1.052,2.325,171.265,0.041000001,0,0.0099999998,0,0,0.12800001,0,0,0.067000002,0,0,0,0.14399999,1.196,0.044,0.213,1.311,0,3.2520001,0,0,0
"Panama",489.14001,12.647,0.0099999998,0.13500001,0.44600001,0.70499998,0.727,17.115,0.0020000001,0,0,0,0,14.429,15.886,2.125,6.3049998,3.5999999,36.838001,0,10.097,109.892,0.0040000002,0.0040000002,34.866001,3.3540001,12.714,0.094999999,0.061999999,3.2160001,2.326,0.097000003,15.619,2.6989999,14.331,5.3121262,0.23787419,10.451,4.816,9.9619999,0.50700003,0,0.018999999,1.423,1.2920001,0.227,1.321,14.527,0.001,0.0060000001,0.176,0.001,0,0.035999998,0.33700001,1.674,0.98400003,7.2270002,1.226,4.053,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0,0,0,0,0,0,0,0,0.68000001,0,0,0,0,0.0080000004,0,0.0099999998,0.0049999999,0,0.0049999999,0.20900001,266.59601,0,0,0,0,0,0,0,0,2.6359999,0,15.91,0,11.521,89.019997,0.579,0,0.33000001,0.039999999,0,0.079000004,0,0,0.236,0.023,0,0,0.24600001,0.15099999,0.58999997,0.044,0.72500002,0.003,7.8600001,0,0,0
"Colombia",1839.8,109.5,3.21,0.77999997,0.039999999,1.15,0.07,0.43000001,0.07,0.07,0,0,0,61.700001,1.17,1.4400001,0.18000001,0.029999999,1.01,65.410004,0,197.03,0.73100001,0,77.470001,97.029999,127.09,7.3499999,0.44,82.480003,42.810001,3.97,111.86,1.49,29.35,25.115351,1.124652,131.31,78.800003,143.87,1.24,0,33.669998,17.940001,10.91,0.67000002,7.8899999,120.89,0.0099999998,0,10.47,0.97000003,0,2.01,39.939999,14.99,18.360001,54.240002,13.1,51.529999,0.49000001,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0.0099999998,0,0,0.001,0,0.07,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.36,0,0.029999999,0,0,0,0,0,0.059999999,0,0,0,0,0.029999999,0.94999999,0,0.1,0,0,0,4.8600001,0,0,0,0,0,0,0.090000004,0,0,0.30000001,0,16.110001,0.70999998,7.0700002,434.10999,0.34999999,0,0.22,0.30000001,0,0.479,0,0,0.090000004,0,0,0,2.5699999,13.2,0.25,0.039999999,1.59,0.23999999,0.029999999,0,0,0
"Venezuela",5884.5,586.09998,2.0999999,7.6999998,0.80000001,149.7,15.1,4.5999999,0.391,0,0,0,0,92.800003,1.3,3.5999999,0.42199999,0,1.3,133.5,201.39999,0,37.400002,12,41.5,62.299999,205,3.5999999,0.014,89.199997,94,3.5999999,351.60001,11,216,153.0466,6.8533492,367.5,106.1,373.60001,18.5,0,0,7.1999998,8.5,1.5,18.5,517.59998,0.25999999,0,4.4000001,0.33000001,0,0.80000001,0.60000002,1.3,40.200001,68.400002,22,52.5,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.299999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,14.1,0,0,0,0,0,0,0,0,2.77,0,0.69999999,0,0,0.2,0.60000002,0,0,0,0,0,7.5,0.40000001,0,0,0,0,0,0.2,0,0,49,0,55.700001,0,35.099998,985.09998,3.0999999,0,0.2,0.0099999998,0.2,0.0049999999,0,0,0.2,0,0,0,9,4.4000001,1.3,11,14.9,0,15.6,0,0,0
