"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Greece","Russia","Sweden","Denmark","Morocco","Tunisia","Iran","Turkey","Egypt","China","Japan"
"Argentina",2.22,0,0,0,0,0,0,0,0,2.4200001,0,0,0.38,0,10.16,0.22,1.45,14.61,0,2.7,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",378.63,1.198527,3.8800001,0,0,0.89999998,2.29,0.30000001,22.75,30.83,1.8200001,0,15.93,8.2799997,0,96.519997,62.610001,222.7,0,52.689999,19.540001,127.67,7.48,19.92,11.92,107.61,38.189999,19.190001,4.4299998,2.4300001,0.72000003,17.389999,0,65.220001,3.5599999
"Netherlands",15.71,0,0,0,0,0,0,0,0.12,0,0.12,0,0,0,82.709999,0,42.849998,6.4400001,0,0,0.60000002,77.980003,0.059999999,0.94,0,22.74,1.85,0.19,0,0,0,0,0,0.029999999,0
"Belgium",23.610001,0,0,0,0,0,0,0,2.45,3.3199999,0,0,2.45,12.25,41.02,37.98,0,68.330002,0.25999999,4.5599999,0.090000004,41.639999,0,2.0999999,0,15.82,5.0700002,0.27000001,0,0,0,0,0,0,0
"France",49.75,5.9400001,1.13,0.23,0,1.52,2.4300001,0,11.86,10.84,0,0,2.9100001,21.940001,110.83,6.5999999,78.910004,0,18.540001,21.07,2.21,71.949997,10.38,65.959999,0.88,39.02,10.75,0.20999999,2.1800001,2.1800001,0,30.42,0,7.0599999,2.6199999
"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3499999,45.77,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,0,0
"Spain",11.8,0,0,0,0,0,0,0,1.53,0.87,0,0,0,0.69,32.450001,0,4.5799999,27.379999,0,0,0.99000001,2.76,0,2.45,0,0.63999999,2.98,0,0,0,0,0.0099999998,0,0,0
"Portugal",2.3099999,0,0,0,0,0,0,0,0,2.8699999,0,0,0,0,14.83,0.25999999,0.83999997,5.5700002,0,3.1199999,0,1.21,0,0.25999999,0,0.55000001,1.3099999,0,0.41999999,0,0,0,0,0,0
"Germany",58,0,0,0,0,0,0,0,0,0,0,0,1.25,1.16,95.459999,91.860001,0,76.25,0,1.1799999,0.97000003,0,0,3.2,0,144.39999,3.6400001,7,0,0,0,0,0,0,0.090000004
"Austria-Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0599999,0.0099999998,0,3.9300001,0,0,0,0,0,29.9,0,36.560001,0,0,0,0,0,0,0,0,0
"Italy",7.6900001,0,0,0,0,0,0,0,0,0,0,0,0,0,57.220001,3.3,2.3199999,64.080002,5.4000001,0.70999998,0.17,4.8600001,45.84,0,1.21,5.48,0.079999998,0,0,0.81999999,0,10.73,0,0,0
"Greece",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,2.9300001,0,0,0,0,0,1.5700001,0,0.37,0,0,0,0,0,0,0,0,0
"Russia",5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,68.120003,4.6700001,3.52,7.4499998,0,0.44,0.0089640003,108.97,14.64,4.77,0.70999998,0,1.48,0.23999999,0,0,0,3.26,0,5.5900002,0
"Sweden",1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,23.389999,3.24,2.5,2.48,0,0.31999999,0.02,18.040001,0,0.28999999,0,10.33,0,13.24,0,0,0,0,0,0,0
"Denmark",2.1500001,0,0,0,0,0,0,0,0,0.93000001,0,0,0,0,14.35,1.4,1.26,0.88999999,0,0,0,22.74,0,0,0,3.0699999,6.5300002,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0.003024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunisia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18000001,0,0,0,0,0,0,0,0,0.56999999,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,7.0599999,0,0,0,0,0,1.64,0,2.53,0,0,0,0,0,0,0,0,0
"Egypt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,28.790001,0,0,0.58999997,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,5.0500002
"Japan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,1.46,0,0,0,0.67000002,0,0,0,0,0,0,0,0,0,0,0,2.6900001,0
