"","United States of America","Canada","Cuba","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"Colombia",27.040001,0,0.029999999,0,0,0,0,0,0.050000001,0.23,0,0.25,0.2,0,0,0,0,0,0,0,14.57,0,1.2,0.47,0,3.8900001,0,1.49,0,5.0500002,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0.039999999,0.23,0,0,0,0,0,0,0,0,0.050000001,0,0,0,0
"Venezuela",13.41,0,0.005597,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,6.54,0,1.22,0.1,0,1.63,0,0.95999998,0,2.48,0.000019999999,0.00055,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0.27000001,0,0,0,0,0,0,0,0,0.0040719998,0,0,0,0
"Ecuador",3.21,0,0,0,0,0,0,0,0,0,0.0044,0,0,0.28,0,0,0,0.090000004,0,0,1.99,0,0.07,0.28,0,0.36000001,0,0.23,0,1.1900001,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",23.530001,0.47,0.029999999,0,0,0,0,0,0.0099999998,0,0,0,0.25999999,0,0,0.02,0.00042299999,1.6,2.1600001,0,11.92,0,0.41,1.29,0,2.26,0,0.79000002,0,6.0799999,0,0.0048250002,0,0,2.4400001,0,0,0,0,0,0,0,0,0,0,0,0.18000001,0.059999999,0,0,0,0,0,0,0,0,0.64999998,0,0,0.15000001,0
"Brazil",51.689999,1.98,0.0072619999,3.6600001,0,0,0,0,0,0,0,0,0,0,0,0.41,0.02,0.0059917001,28.5,1.39,61.759998,0,2.47,8.79,0,15,2.79,2.3800001,4.8000002,24.25,0.0099999998,0.5,0,0.56999999,9.1400003,0,0.059999999,0.0047050002,0,0,0,0,0,0,0.62,2.1099999,2.03,1.05,0,0,0.0099999998,0,0,0,0,0,0.40000001,0,0,0,0
"Bolivia",3.9400001,0,0.0034789999,0,0,0,0,0,0,0,0,0,0,1.1,0.27000001,0,0,2.1400001,0.98000002,0,3.48,0,0.0099999998,0,0,0.37,0,0.22,0,1.71,0,0,0,0,0.51999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0.81999999,0.000070000002,0,0.000024000001,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.00038099999,1.8099999,0.13,1.2,0,0.0038379999,0.029999999,0,0.090000004,0,0.090000004,0,0.30000001,0,0.000118,0,0,0.15000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",30.129999,0,0.44,0,0,0,0.28,0,0,0,0,0,0.5,6,1.5,0.1,0.001757,0,4.9000001,0,27.1,0,0.56999999,6.5999999,0,6.1900001,0,1.83,0,15.09,0,0.0099999998,0,0.0099999998,3.1900001,0,0.004408,0.000818,0,0,0,0,0,0,0,0,3.6935608,0.15000001,0,0,0,0,0,0,0,0,0.47,0,0,0.41999999,0
"Argentina",145.13,0,1.76,12.26,0,0,0,0,0,0,0,0,0,3.5999999,36.93,0.54000002,4.8200002,3.1600001,0,3.5799999,165.31,0,9.8999996,36.34,0,46.799999,6.9099998,24.09,0.19,94.57,0.079999998,0.40000001,0,0.47,54.220001,0.000443,0.079999998,0.039999999,0,0,0,0,0.0015219999,0.00042900001,0.72000003,3.6900001,2.0999999,1.02,0,0,0.0099999998,0,0,0,0,0,5.3099999,0,0,0,0
"Uruguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.04,0,0.41999999,0,5.1900001,0,0,0,0,0,0,0,0,0,0.090000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",906.71997,235.2,39.200001,16.9,0.34999999,0.64999998,0.11,0.23,2.4000001,0.1,2.5999999,1.48,0.63,33.060001,14.99,16.32,0.02,21.33,286.70001,23.84,0,0,167.87,123.87,0,240.60001,77.120003,85.110001,6.4400001,156.62,25.533447,9.2200003,0,39.523479,61.889999,0.0086850999,3.1800001,12.02,0.19,5.79,25.15,8.3599997,14.52,3.73,45.759998,98.150002,50.110001,212.19,0,0.02,43.540001,28.280001,11.82,0,39.66,0,27.16,0,0.76999998,125.92,172.59
"Ireland",0,0,1.1900001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands",101.9,5.8200002,6.8299999,3.48,0.28,0,0.76999998,0.0099999998,0.039999999,0,2.03,0.88999999,0.50999999,0.94999999,10.31,0.02,0.059999999,3.1900001,39.810001,0.47,126.25,0.14,0,85.650002,0,27.35,5.0700002,5.7600002,0.63999999,199.39,3.6700001,2.1800001,0.33000001,7.2399998,3.5999999,0,0.23,3.1400001,0.31,6.1199999,8.6099997,0.11,0.88999999,0.34,9.3800001,9.7399998,2.0699999,3.8499999,0.02,0.003724,9.1899996,0,0.85000002,0.059999999,5.25,0,6.0900002,0,0.029999999,2.8099999,0.039999999
"Belgium",77.18,13.21,0,0.33000001,0,0,0,0,0,0,0.25999999,0.14,0.079999998,1.2,9.6899996,0,0.0048000002,7.1100001,49.869999,7.0300002,115.46,0,72.07,0,0,149.58,9.0100002,0,2.1700001,47.799999,0,0,0,3,0,0,0,1.14,0.57999998,18.940001,1.95,1.48,6.1900001,0.25999999,8.0200005,6.73,4.2399998,4.1100001,0,0,6.0799999,0,0.62,0,1.3200001,0,0.44,0,0.73000002,31.74,0.029999999
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",349.28,25.671398,2.5899999,9.1626081,0.02,0.0066889999,1.05,1.53,0.059999999,0.0020000001,0.98000002,2.48,0.77999997,2.2,51.700001,0.40000001,0.1,23.129999,105.07,0,362.94,0.41,72.650002,182.39999,0,0,41.470001,46.849998,12.014194,84.459999,10.336961,7.1943808,0.92000002,9.4099998,82.040001,0.0099999998,8.4157057,2.0999999,3.5899999,11.36,12.47,1.0700001,2.0699999,0.51999998,10.3,28.51,8.9099998,3.4400001,0,0,12.37,0,6.9699998,0,56.73,0,13.56,0,0.029999999,93.169998,1.65
"Switzerland",32.119999,14.54,0,0.0019417,0,0,0,0,0,0,0,0,0,0,3.76,0,0,0,11.87,0,32.860001,0,8.96,16.950001,0,71.330002,0,6.3099999,0.0018274999,75.290001,4.6500001,5.5999999,0,15.98,41.889999,0,4.79,0.86000001,0.81,3.77,0.79000002,0,0.0099999998,0,0,1.71,0.70999998,8.2600002,0,0,0,0,0,0,1.73,0,1.75,0,0,4.21,0
"Spain",0,0,1.6,1.7,0.0060000001,0,0.69,0.47,0.0099999998,0.0099999998,0.18000001,2.6700001,0.55000001,0.050000001,0.62,0.0017941,0.0099999998,0.72000003,4.7199998,0.56999999,48.400002,0,7.1300001,0,0,64.75,11.66,0,0.94999999,2.3499999,0,0.07,0,0,0,0,0.00059800001,0.000075999997,0,0.050000001,0,0,0,0,0.25999999,9.6300001,2.8900001,0.2,0,0,0,0,0,0,0,0,0.15000001,0,0,0,0
"Portugal",10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8800001,0,0,0,4.7399998,0.090000004,32.630001,0,2.22,7.8800001,0,7.8499999,0.61000001,2.95,0,10.53,0,0.0099999998,0,0.029999999,1.25,0,0.20999999,0,0,0,0.000085,0,0,0,0,0.47,1.25,0.18000001,0,0,0,0,0.00050999998,0,0,0,0,0,0,0,0
"Germany",0.023433959,16.139999,0.63,1.75,2.05,0.0099999998,0.81999999,0.0099999998,0.050000001,0.0070000002,0.40000001,1.39,0.56,2.97,2.1900001,0.0094830003,0.0040000002,0.49000001,9.3599997,12.62,26.559999,0,5.25,23.9,0,1.66,3.1199999,0.00090991997,1.14,0,0.0083438,0.0026397801,0.57999998,9.1899996,31.870001,0.000183,0.44,8.1000004,2,8.8299999,2.4000001,1.78,2.3800001,6.3499999,6.8200002,2.49,1.86,2.0999999,0.11,0.0099999998,12.56,0.1,0.72000003,0,2.54,0,0.34,0,0.5,21.42,0.92000002
"Poland",0.0023990001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000074000003,0,0,0.000075000004,0.000054,0,80.932426,0,0.000243,0,0,0.00060099998,0.00017699999,0,0.0000090000003,0.0067205001,0,0.0013374001,0.000087,0.0007411,0.00029990001,0,0.000015,0,0,0.000081600003,0.000067499997,0,0.000032,0.0000070000001,0.0000060000002,0.000083999999,0.000092000002,0.000075000004,0,0,0,0,0.000055,0,0.000036000001,0,0.0000030000001,0,0,0,0
"Austria",35.56015,0.47,0.079999998,0.12,0,0,0,0,0,0,0.0035000001,0.02,0,0.00014,2.1600001,0,0.07,0.19,6.1458707,0.029999999,13.398546,0,8.1706553,0,0,9.7734241,32.124256,0.1,0.0018274999,100.93998,34.677017,0,60.893658,128.27985,38.976795,0,28.673368,1.5599999,10.427822,12.371161,0.56999999,0.0027999999,0.0099400003,0.0095199998,0.029999999,0.40000001,0.34999999,1.53,0,0,0,0.14,2.0799999,0,0.41,0,0.079999998,0,0,3.8198204,0
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001005,0,0,0.00053199998,0,0,0,0.0099149998,0.004458,13,0,0.0099999998,0,0,0.0021869999,0,0,8.7399998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Czechoslovakia",22.200001,0.059999999,0,0,0,0,0,0,0,0,0.0060279998,0,0,0,0.49000001,0,0,1.22,0.97000003,0,10.46,0,0,2.49,0,10.99,0,0,0,83.791161,0,20.719999,10.97,0,0,0,0,0,1.1,5.77,0,0,0.15000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27000001,0.0099999998
"Italy",212.49001,18.4,0.079999998,0.72000003,0,0,1.55,0.12,0.0018184,0.0060000001,0.059999999,0.18000001,0.38999999,0.02,21.809999,0.0012815,0.16,0.64999998,48.439999,3.51,100.72,0,4.6500001,0,0,60.830002,17.280001,0,1.13,59.75,0.68000001,14.97,0,7.29,0,1.1799999,22.49,5.46,3.6400001,5.3000002,7.4200001,0,0,0,0,2.0599999,3.3399999,1.3,0,0,0,0,9.2200003,0,7.5700002,0,2.73,0,0,6.04,0
"Albania",0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0.02,0,0,0,0.0052111,0,0.0099999998,0,0,3.0699999,0,0.31999999,0.72000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090000004,0,0,0,0,0,0,0,0
"Yugoslavia",3.28,0.004867,0,0.0046239998,0.000161,0,0.000193,0,0,0,0,0,0,0,0.18000001,0,0,0.000043,0.2,0.000001,8.8199997,0,0.81,0,0,2.8900001,0.81999999,0.050000001,0.039999999,7.7600002,0.20999999,23.99,1.5,17.049999,15.76,0.029999999,0,1.8099999,0.23999999,2.27,0.02,0.000045000001,0.0000030000001,0.000024999999,0.000068000001,0.02,0.12,0.07,0,0.000032,0,0.0099999998,0.029999999,0,0.0042670001,0,0.00079199998,0,0,0,0
"Greece",20.879999,6.0599999,0.0088959998,0,0.00017100001,0,0,0,0,0,0.000017,0,0.0040799999,0,0.58999997,0,0,0.00053100003,0.27000001,0.009873,14.75,0,1.72,3.03,0,7.3200002,0.37,0.13,0.37,4.71,0.001286,0.27000001,0.07,0.79000002,7.6500001,0.16,3.1500001,0,1.83,5.3099999,1.6,0,0,0,0,0.54000002,0.15000001,0.029999999,0,0.0099999998,0,0.029999999,3.4000001,0,0.0099999998,0,0.22,0,0,0.55000001,0
"Bulgaria",0.64999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6799998,0,0.43000001,1.72,0,3.46,0.25,0,0,7.0900002,0.029999999,2.95,0,1.15,5.9200001,0,0.63999999,0.81999999,0,5.0999999,0.14,0,0,0,0,0,0.0099999998,0.0078969998,0,0,0,0,1.39,0,0,0,0,0,0,0,0
"Romania",1.5599999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8900003,0,0.82999998,1.7,0,6.3800001,1.11,0.059999999,0,21.879999,13.33,15.1,4.8499999,7.9899998,7.1799998,0,0.18000001,1.09,0.2,0,0.0099999998,0,0,0,0,0,0.12,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0
"Russia",21.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.25,0,1.03,0.44999999,0,0.059999999,0.44,0,0.00042500001,26.15,3.8800001,0.17,0,0,0.37,0,0.0000070000001,0.0026847001,0.02,0.0074999998,0,2.8099999,1.9400001,0,2.95,3.1800001,1.59,0.059999999,0,0,0,1.12,0.30000001,0,0.00097270001,0,2.1900001,0,0,0,0
"Estonia",1.41,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0.001313,0,0,0,0.029999999,0,30.049765,0,0.28999999,0.63,0,0.029999999,0,0,0,13.8,0,0.0099999998,0,0,0,0,0.0000030000001,0,0,0,1.09,0,1,0,0.86000001,0.31,0.0099999998,0.81999999,0,0,0,0,0,0,0,0,0,0,0,0,0
"Latvia",1.1799999,0.15000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9899998,0,0.2,0.97000003,0,0.58999997,0.31,0,0,18.57,0,0.0099999998,0,0.47999999,0,0,0.000001,0,0,0,1.46,0.98000002,0,2.21,0.15000001,0.97000003,0.02,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lithuania",0.1,0.0057410002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5999999,0,0.079999998,0,0,0.039999999,0,0,0,12.67,0,0.0069380002,0,0.51999998,0,0,0.0000049999999,0,0,0,0,0,0.50999999,0,0.00076099997,0.029999999,0.001834,0.0098999999,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0.97000003,0,21.370001,0,6.1999998,3.6700001,0,2.22,0,0.25,0,39.419998,0.77999997,0.15000001,0,0.79000002,0,0.000122,0.050000001,0.029999999,0,0,5.4299998,1.4,0.28,0.039999999,0,6.6500001,0.74000001,6.0100002,0,0,0,0,0,0,0,0,0.0046040001,0,0,0,0
