"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,6664,0,21.1,139.10001,145,177,4,824,89,97,48,33,65,74,265,1094.3,32,102,352,650,33,14,252,161,33,1937,101.1,347,585.34039,28.659599,756,420,179,88,0,9,90,87,3,31,804,3,0,81,55,1,3,5,54,105,325,140,219,22,0.001,0,1,0.98000002,2,0.1,71,13,0,64,16,50,1,31,56,14,12,0,0.2,48,62,24,17.200001,18,0,1,49,2,10,2,285,0,0,25,11,3,3,62,7,124,104,23,20,5,10,0,84,103,0,32,15,0,4,127,0,93,3220.5,354,74,3,35,0,1,83,1,1,2,0,191,17,431,194,431,195
"Canada",7265.2998,0,5.6999998,0.89999998,1.3,38,16.4,2.3,34.099998,2.8,11.6,2.0999999,0.40000001,6.5999999,16.4,11.8,218.89999,29.6,8,3.5,36.400002,0.2,0.60000002,2,5,0.60000002,655.90002,6.5999999,61.599998,59.773361,2.92664,108.6,51.200001,12.8,13.5,0,2.2,14.1,15.5,3.4000001,22.1,88.199997,0.40000001,0,2.5999999,1.9,0.1,0.80000001,0.69999999,11.9,3.5,73.800003,34.400002,24.6,0.60000002,0,0,0,0,0.1,0,0.80000001,2.0999999,0,0.1,0.1,11,0,0.1,40.200001,1.1,0,0.2,0,1.1,6.0999999,7.4000001,6.3000002,0,0,0,0.1,0,1.2,0.69999999,28.1,0,0,0.60000002,1.4,0.1,0,11.2,0.1,36.099998,1,12.8,0.69999999,0.40000001,1,0,6.9000001,33.200001,0,6.3000002,0,21,0,13.3,0,1.9,257.5,40.799999,4.4000001,0.1,10.2,0,0,2.4000001,0,0,0,0,42.200001,0,3.4000001,1.2,60.599998,15.3
"Cuba",0,57.200001,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0.2,22.700001,0,9.6999998,3.7179599,0.1820398,14.8,0.1,78.599998,0.5,0,0,0,0.1,0,0,9.8000002,0,0,6.9000001,0,0,0,2.75,0,1.1,3.3,0.1,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4000001,0,0,0,0,0,0,0,6.0999999,1.3,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",20.315001,0.977,0.0070000002,0,0,0.33899999,0.027000001,0,0.104,0,0,0.001,0,0,0,0.043000001,0.0099999998,0,0,0.0070000002,0.025,0,0,0.023,0.003,0,1.494,0.026000001,1.193,0.90565699,0.044342998,1.251,0.36700001,0.055,0.027000001,0,0,0.259,0.057,0.39300001,0.56400001,0.72500002,0,0,0.0089999996,0,0,0.193,0.034000002,0,0.090000004,0.096000001,0.112,0.233,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0.0070000002,0,0,0,0.001,0,0,0,0.0049999999,0,0,0.018999999,0.0020000001,0,0,0,0,0,0.001,0,0.074000001,0,0.013,0,0.0020000001,0,0,0,0,0.012,0,0,0,0,1.601,0.28600001,0,0,0,0,0,0,0,0,0,0,0,0.011,0.032000002,0.001,0.081,0.029999999
"Dominican Republic",52.580002,3.96,0,0.20999999,0,0,0,0.2,0.69999999,0.1,0,0.2,0,0,0,0.5,2.9000001,0,0,0,0.1,0,0,0,0.2,0,4.8400002,0,3.96,2.936235,0.1437647,1.54,0.66000003,2.4200001,0.33000001,0,0,0,0.22,0,0,3.1900001,0,0,0,0,0,0,0,0,0.1,0.66000003,1.87,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jamaica",116,35,0,0.616,0,0,1.3,0.40000001,0.1,0,2.5999999,0,0.5,0,0,0.2,19.700001,1.8,0,0,0.2,0,0,0,0.5,0.1,71.400002,0.2,10.9,4.2899542,0.2100459,6,1.5,0.2,0.30000001,0,0,0,0.30000001,0,0,3.5999999,0,0,0.5,0,0,0,0,0,0.40000001,1.4,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1999998,0.69999999,0.1,0,0,0,0,0,0,0,0,0,1.2,0,0,0,5.8000002,6.6999998
"Trinidad and Tobago",64.5,25.299999,0,0.0049999999,0,1.1,0,0.80000001,0.30000001,0,0.80000001,0,0,0,0,21.6,137.7,5.8000002,0,0,1,0,0,0,0.69999999,0,76.5,1.4,4.8000002,1.906646,0.093353704,2.8,0.69999999,0.30000001,0.2,0,0,0,0.2,0,0,2.4000001,0,0,0,0,0,0,0,0,0,0.80000001,1.6,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0.1,60.5,0,0,0,0,0,0,0,0,6.0999999,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0999999,6.1999998
"Barbados",14.5,9.3000002,0,0.045000002,0,0.60000002,4.1999998,0,0,0,0.2,0,0,0,0,0.1,5.5,1.6,0,0,0.30000001,0,0.1,0,1.6,0.1,24,0.2,1.9,0.3813293,0.018670799,1,0.30000001,0,0.1,0,0,0,0,0,0.1,0.60000002,0,0,0,0,0,0,0,0,0,0.1,0.40000001,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89999998,1.7
"Mexico",1025.8,40.599998,0,0,0,0,0.1,0,0,0.2,0.1,0.2,0,0.40000001,8.8000002,0.89999998,0.89999998,0,0.5,8.1000004,7.4000001,0.30000001,0.1,5.8000002,9.5,1.4,52.099998,0.2,18.1,13.63252,0.66747922,78.199997,31.4,12,2,0,0.30000001,0.40000001,2.9000001,0.1,2.7,31,0,0,0.1,0.2,0,0,0.02,0.1,4,36.200001,1.6,3.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0.2,0,0,0,0,0.1,0,1,0,0,45.700001,0.80000001,0.2,0.1,2.7,0,0,0,0,0,0,0,5.1999998,0,0.1,0,15.8,0.69999999
"Guatemala",86.599998,3.2,0,0,0,0.2,0.1,0,4.9000001,0,4,23.5,2.0999999,4.3000002,0.1,0.80000001,7.3000002,0,0.039999999,0.1,0.40000001,0,0,0,0.2,0,9.8999996,0,3.4000001,4.0039568,0.19604281,2.4000001,2.9000001,1.4,0.1,0,0,0,0.69999999,0,0,4.3000002,0,0,0,0,0,0,0,0,0.2,1.5,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,15.5,0,0.30000001,0,0.30000001,0,0,0.69999999,0,0,0,0,0.2,0,0.1,0.1,0.1,0
"Honduras",74.300003,1,0,0.001,0,1,1,0,1.3,9.8000002,0,16.4,2.9000001,5.0999999,0.30000001,0.60000002,1,0,0.1,0,0.2,0,0,0,0.1,0.1,4.5,0,2.9000001,1.811314,0.088685997,1.1,0.89999998,0.30000001,0.1,0,0.1,0.30000001,0.5,0.40000001,0.40000001,1.7,0,0,0,0,0,0,0,0,0.2,0.80000001,0.1,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,5.4000001,0.40000001,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0
"El Salvador",71.5,2.8,0,0,0,0.30000001,0,0,4.3000002,27.200001,13.4,0,5.5999999,5.9000001,3.3,0.80000001,8.8999996,0,0.1,0,0.1,0,0,0.2,0.1,0,8,0,9.8000002,5.7199392,0.28006119,3.0999999,1.7,0.69999999,0.1,0,0,0,0.1,0,0.1,3.5999999,0,0,0,0,0,0,0,0,0.2,3.5,0.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"Nicaragua",83.099998,2.4000001,0,0.0060000001,0,0.2,0.60000002,0,2.8,8.8999996,2.2,10,0,10.6,4.8000002,1,5.0999999,0,0.1,0.1,0.1,0,0,0,0.2,0,6.3000002,0,4,6.577929,0.32207039,1,1.3,0.30000001,0.1,0,0,0,0.1,0,0,2.0999999,0,0,0,0,0,0,0,0,0.1,0.69999999,0.1,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,9.8999996,0.69999999,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"Costa Rica",69.599998,5.5,0,0.012,0,0,0.69999999,0,4.0999999,9.3999996,2.2,7.5999999,4.5,0,2.8,1.7,2.3,0,0.059999999,0,0.1,0,0,0,0.1,0,8.6999998,0,3.4000001,2.6693051,0.13069519,4.0999999,2.3,1.2,0.1,0,0.2,0,0.30000001,0,0.30000001,2.8,0,0,0,0,0,0,0,0,0.40000001,1.7,0.30000001,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0.1,0,0.30000001,0
"Panama",97.459999,2.6400001,0,0,0.11,0.11,0.11,0,1.76,0.22,0.55000001,0.22,0.33000001,1.87,0,1.98,50.16,0,0.11,0.22,0.11,0,0,0.33000001,0.33000001,0.11,7.48,1.1,2.75,2.2021761,0.1078236,2.2,1.87,0.99000001,0.11,0,0.11,0.33000001,0.22,0.11,0.33000001,2.8599999,0,0,0.40000001,0.1,0,0,0,0,0.22,0.88,0.33000001,1.4299999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55000001,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.11,0,0.5,11.77,0.33000001,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0.44,0.88
"Colombia",323.60001,17.299999,0,0.092,0.1,0.2,0,0,9.8999996,0,0.1,0.1,0.30000001,0.69999999,12.4,0,1.8,0,5,10.3,7.3000002,0,0.0070000002,3.5,13.2,6.9000001,35.700001,0,20.6,6.6732621,0.32673809,9.8000002,15.8,12.8,0.30000001,0,6.6999998,2.5,0.69999999,0.30000001,1.7,12.5,0,0,1,0,0,0,0,0,12.4,10.6,0.30000001,4.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,22.299999,0,0,0,0,0,0,0,0,0,0,0,2,0.89999998,0.2,0,0.2,0
"Venezuela",675,70.800003,0,0.0049999999,0.30000001,0,0.69999999,0.1,8.5,0,0,0,0.1,0.30000001,2.5999999,3.4000001,0,0.30000001,0.029999999,7,5.9000001,0,0,6.3000002,3.5999999,0.1,72.900002,1.5,26.799999,17.350479,0.84951901,42.200001,28.200001,11.7,3,0,1.1,2.4000001,4.8000002,0.2,4.8000002,69.300003,0,0,0.30000001,0.1,0.1,0,0,0,2.5,14,3.3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0,0,0.2,0,0,0,0.30000001,0.30000001,0.2,0,0.30000001,0,0.1,0,0.30000001,0,0,0,0,0.60000002,0,0.1,0,0.1,69.900002,0.30000001,0,0,0.1,0,0,0,0,0,0,0,1.5,0,8.1000004,3.2,1.5,0.2
"Guyana",26.9,10.7,0,0,0,1.4,12,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,38.299999,0.1,4.1999998,1.620649,0.079350702,1.3,0.2,0.1,0.2,0,0,0.30000001,0.1,0,0.60000002,1.5,0,0,0,0,0,0,0,0.69999999,0.1,0.5,0.5,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89999998,0,0,0,0,3.9000001,1.3,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
"Ecuador",76.82,4.8600001,0,0,0,0,0.050000001,0,1.21,0.0099999998,0.0099999998,0.0099999998,0.029999999,0.02,0.11,4.9699998,2.1600001,0,0,0.75999999,0.20999999,0.0099999998,0.029999999,1.7,0.37,0.079999998,9.3599997,0.02,3.3199999,4.9382138,0.2417862,3.99,4.0999999,0.88999999,0.34,0,0.33000001,0.19,0.83999997,0.11,0.68000001,4.3299999,0,0,0.02,0,0,0,0,0,0.51999998,4.0100002,0.58999997,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0.02,0,0,0,0,0.0099999998,0.07,0.02,0,0,0.02,0,0,0.02,0,0,0,0,0.25999999,0,0.02,0,0,11.78,0.43000001,0.039999999,0,0.17,0,0,0,0,0,0,0,0.02,0.039999999,0,0.44999999,0.40000001,0
"Peru",320.5,23,0,0.014,0,0.1,0.1,0,4.1999998,0,0.1,0,0,2.5,0.60000002,12.8,8.3999996,0.1,5.5999999,0,5,0.30000001,0.40000001,8.3999996,52.700001,2.4000001,37.599998,0.30000001,19.799999,12.01187,0.58812863,16.5,17.299999,3.8,0.80000001,0,0,0.69999999,2.3,0,2.4000001,25.299999,0,0,0.30000001,0.1,0,0,0,0,2.9000001,18.200001,4.3000002,3.9000001,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0.1,0,0,59.400002,3.3,3.4000001,0,1.1,0,0,0,0,0,0,0,0.5,0.5,0.5,1.1,3.5,5.5
"Brazil",648.89001,19.25,0,0,0,0,3.1900001,0,16.280001,0,0,0,0,0,0.76999998,0.99000001,77.550003,0,0.0099999998,8.0299997,0,0.55000001,0.33000001,19.139999,128.7,10.34,48.84,0.44,27.5,21.18284,1.03716,45.209999,28.49,13.53,4.5100002,0,10.56,12.43,2.75,0.99000001,12.54,40.369999,0,0,7.6999998,0.76999998,0,2.8599999,0.76999998,40.259998,7.6999998,34.099998,18.48,13.09,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7199998,0.88,0,0,0,1.21,0,0,0,0,0,0,0,3.52,0.11,0,0.88,0,0,0,0.22,0.22,0.11,0,0,2.0899999,0.22,28.82,0,0,0,0,0.76999998,31.68,0,18.700001,0,0,0,0,0,0,48.950001,1.1,0,0,0,0,0,0,0,0,0,0,2.4200001,1.65,0.1,0,1.3200001,0
"Bolivia",57,2.0999999,0,0,0,0,0,0,0.60000002,0,0,0,0,0,1.9,0.2,0.1,0,0.2,1.5,1.7,0,0.0040000002,2.0999999,8.6999998,0.2,6.5,0,4.5,2.0019779,0.098021403,1.5,2.5,0.69999999,0.30000001,0,0.1,0.2,0.5,0.1,1.7,3.0999999,0,0,0.1,0,0,0,0,0,0.2,1.9,0.2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,15.5,0.60000002,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"Paraguay",11.125,0.083999999,0,0,0,0,0,0,0.107,0,0,0,0,0,0,0.122,0.47099999,0,0.037999999,0.003,1.712,0.088,0,0.015,11.527,0.87699997,3.165,0.0020000001,0.77399999,0.62919331,0.0308067,1.046,0.428,1.396,0.021,0,0,0,0.33700001,0,0,1.534,0,0,0.024,0.0049999999,0,0,0,0,0.045000002,1.875,0.068999998,0.098999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0.79900002,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.191,0,0.0080000004,2.826,0.47,0.017999999,0,0.0040000002,0,0,0,0,0,0,0,0,0,0.0020000001,0,0,0
"Chile",297.89999,8.8000002,0,0,0,0,0.60000002,0,17,0,0,0,0,0,3.7,0.89999998,29.700001,0,5.5999999,17.6,26.799999,1,1.4,0,64.400002,7.0999999,41.400002,0.1,11.8,9.3425655,0.45743331,19.6,11.6,11.1,0.30000001,0,0,0.60000002,3,0,2.0999999,10,0,0,0,0.1,0,0.19,0,0,1.5,10.5,0.40000001,5.6999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090000004,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0,17.200001,1.7,2.9000001,0,0,0,0,0,0,0,0,0,1.83,0,0,0,1.5,0
"Argentina",256.70001,28.1,0,0,0,0,2.5,0,12,0,0,0,0,0,2.3,10.2,23.799999,0.60000002,2.9000001,14.8,132.10001,1.8,18,31.6,0,5.0999999,66.300003,0.80000001,22.200001,11.34455,0.55545467,38.599998,17.9,14.2,1.3,0,2,5.6999998,5.1999998,0.5,3.0999999,85.699997,0,0,0.30000001,0.60000002,0,0.40000001,3.5999999,18.200001,21.9,30.6,4.3000002,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.299999,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,1.6,0,0,0,0,5.5,0,0.60000002,0.1,9.6999998,0.1,8.5,0,0,0,0,0.2,1.3,0,1.3,0,0.40000001,0,0,0,0,32.200001,3.2,4.8000002,0,0.1,0,0,0,0,0,0,0,11.2,7,0.5,0,1.4,0.2
"Uruguay",19.6,3.5,0.40000001,0,0.2,0,0,0,2.5999999,0,0,0,0,0,0.2,0.40000001,11.3,0,0.1,2.0999999,22.299999,0,4.3000002,2.4000001,11.9,0,8.8999996,0.2,3.2,2.3833079,0.1166922,3.0999999,3.7,0.5,0.1,0,0.69999999,0.30000001,0.60000002,0.1,1.1,3.7,0,0,0.1,0,0,0,0,0.69999999,0.89999998,1.8,0.2,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0.2,0.60000002,1,0,0,0,0,0.60000002,0,0,0,0,0.30000001,1.4,0,17.1,0,0.1,0,0.1,0,0,1.8,2.0999999,2.2,0,0.30000001,0,0,0,0,0,0,0,1.6,0.1,0.1,0,0.69999999,0.1
"United Kingdom",2023.9,1190.8,13,0.80000001,0.30000001,81.800003,62.200001,19.5,34.400002,1.8,0.80000001,0.30000001,1.6,1.1,5.1999998,28.5,163.7,16.9,0.69999999,27.299999,88.300003,62.599998,4.5,123.8,197.8,35.5,0,520.70001,815.70001,352.15759,17.24243,594.40002,279.5,224.10001,131.5,0,37.900002,150.3,77.900002,20.5,54.700001,465,8,0.1,37.299999,31.799999,34.700001,17.4,42.5,351.79999,344.29999,608.20001,335.60001,577,24.4,8.8000002,0.30000001,3.5999999,0.2,18.299999,0.40000001,12.6,2.3,0.1,20,54.700001,51.799999,0.80000001,7.3000002,315.60001,2.5999999,2,1.1,6.5999999,28.200001,31.200001,55.400002,64.599998,0.60000002,0.1,0.30000001,4.8000002,224,12.8,26,634.20001,0,0,3.5,31.5,63.599998,11.2,171,13.8,107,48.5,185,24.6,2.9000001,7.3000002,1.2,74.599998,111.1,0.1,260.10001,17.799999,94.699997,0.1,4.5999999,0.5,4.8000002,216.10001,335.39999,89.400002,14.6,101.8,0,0.2,15.8,0.60000002,0,4.1999998,0,90.5,44.299999,9,14.2,582.90002,523.90002
"Ireland",97.599998,27.5,0.40000001,0,0.2,1.4,0.1,1.3,0.30000001,0.40000001,0.30000001,0,0,0,0,0.1,0,2.7,0.1,1.7,2.4000001,0,0,0.40000001,8,0.30000001,540.90002,0,27.799999,14.58584,0.71415609,23,4.5999999,8.1000004,2,0,3,7.5999999,1.3,0.5,1.1,13.7,0.1,0,1.1,0.69999999,0.40000001,0.1,0.2,3.9000001,15,14.3,4.3000002,9,1.3,0,0,1.6,0,0,0,0.60000002,0.1,0,0,0.5,4.5,0.1,0.2,1.9,0,0,0,0,0.30000001,0.80000001,1.1,1.1,0,0,0,0,0,0.1,0.5,4.8000002,0,0,0,5.0999999,0.60000002,1.4,0,0.80000001,5.8000002,1.1,19.9,0.30000001,0,0.1,0,4,3.4000001,0,0.40000001,0,2,0,0.1,0,0,9.8999996,8.3999996,3.7,0.30000001,2.0999999,0,0,0.30000001,0,0,0,0,2.5999999,0,0.30000001,0.69999999,13.5,3.2
"Netherlands",910,74.300003,5.0999999,0.30000001,0.80000001,0.69999999,3.8,0,9.6000004,3.0999999,0.69999999,2.5999999,2.5,3.5,0.60000002,19.4,26.700001,0.60000002,1.1,23.6,59.200001,1.4,2.0999999,10.2,79,11.3,489,13.9,0,1450.1949,71.004837,482.29999,134.5,40.900002,13.4,0,31.9,17.299999,65.199997,13.5,28.4,335.79999,0.80000001,0,11.6,10.7,3,4,7,48.400002,87.900002,207.7,46.200001,54.599998,5.5,0.2,0,0.30000001,0.1,4.3000002,0.1,9.3000002,0.2,0,10.4,10.5,13.5,5.9000001,18,46.700001,2.4000001,0.89999998,0,3.3,9.3000002,2.2,5.5,8.5,0,0.1,0,1.9,5.0999999,5.6999998,2.3,19.9,0,0,1,12.8,5.9000001,7.0999999,86.099998,6,55.099998,12.2,11.2,4.5999999,62.299999,21.700001,0.30000001,13.4,91.199997,0,106.4,0.40000001,30.200001,0,2.7,1.1,2,70,14.7,8.8000002,2.5999999,4.1999998,0,0,13,0.60000002,0,0.5,0,9.8999996,5,26.299999,97.599998,12.3,9.6000004
"Belgium",542.53619,80.555801,2.3833079,2.8599689,1.811314,0.28599691,4.861948,0,4.3852859,2.955302,0.3813293,0.8579908,1.620649,2.0019779,0.95332313,12.3932,20.210449,0.66732621,6.6732621,25.16773,38.89558,2.3833079,1.429985,20.49645,75.121857,6.0059361,506.4053,17.159821,999.55933,0,0,1063.146,99.717598,29.83901,16.873819,1479.462,25.072399,14.29985,22.40309,8.5799084,15.9205,279.3237,0.66732621,0,8.6752415,7.626585,0.57199389,3.5272961,4.861948,57.771381,46.236172,146.14439,29.743679,32.698978,3.3366311,0,0,0.3813293,0.095332302,7.9125819,0,5.3386092,0.3813293,0,15.9205,0.095332302,6.1012678,2.3833079,5.529274,18.399139,1.048656,0.1906646,1.3346519,0.8579908,295.0535,2.0019779,0.76265848,0,1.23932,2.955302,0,0.8579908,6.8639259,3.3366311,0.3813293,78.935158,0,0,0.66732621,17.350479,7.5312529,10.10523,39.753571,4.861948,67.209282,23.356421,22.59376,6.4825969,4.2899542,2.6693051,0,29.83901,19.733789,0,50.240131,0,14.68118,2.573972,3.5272961,0.28599691,1.143988,48.81015,25.45373,25.549061,1.811314,0.8579908,0,0.76265848,4.7666159,0.28599691,0,0,0,7.1499228,1.23932,8.7705727,15.82516,54.62542,27.455709
"Luxembourg",26.563801,3.944195,0.1166922,0.14003059,0.088685997,0.0140031,0.238052,0,0.2147136,0.14469831,0.018670799,0.042009201,0.079350702,0.098021403,0.0466769,0.60679919,0.98954958,0.032673799,0.32673809,1.232269,1.904416,0.1166922,0.070015296,1.003553,3.6781371,0.29406431,24.79475,0.84018362,48.940689,0,0,52.054039,4.8824,1.460986,0.82618058,72.437828,1.227602,0.70015299,1.0969059,0.42009181,0.7795037,13.67632,0.032673799,0,0.42475951,0.3734149,0.028006099,0.1727044,0.238052,2.828618,2.263828,7.1555638,1.456318,1.601017,0.163369,0,0,0.018670799,0.0046676998,0.387418,0,0.26139039,0.018670799,0,0.7795037,0.0046676998,0.29873201,0.1166922,0.27072579,0.90086353,0.0513446,0.0093353996,0.065347597,0.042009201,14.44649,0.098021403,0.037341502,0,0.060679901,0.14469831,0,0.042009201,0.3360734,0.163369,0.018670799,3.864845,0,0,0.032673799,0.84951901,0.36874729,0.49477479,1.946425,0.238052,3.290719,1.1435831,1.1062419,0.31740269,0.2100459,0.13069519,0,1.460986,0.9662112,0,2.4598711,0,0.71882367,0.12602749,0.1727044,0.0140031,0.056012198,2.3898561,1.246272,1.25094,0.088685997,0.042009201,0,0.037341502,0.2333843,0.0140031,0,0,0,0.3500765,0.060679901,0.42942721,0.774836,2.6745839,1.344294
