"ID","Time","milper","irst"
"Russia",1874-11-05 01:39:49,830,379
"Russia",1875-11-05 01:39:49,835,428
"Russia",1876-11-05 01:39:49,859,443
"Russia",1877-11-05 01:39:49,840,400
"Russia",1878-11-05 01:39:49,1213,418
"Russia",1879-11-05 01:39:49,843,433
"Russia",1880-11-05 01:39:49,909,449
"Russia",1881-11-05 01:39:49,908,471
"Russia",1882-11-05 01:39:49,908,479
"Russia",1883-11-05 01:39:49,803,482
"Russia",1884-11-05 01:39:49,803,510
"Russia",1885-11-05 01:39:49,803,528
"Russia",1886-11-05 01:39:49,820,531
"Russia",1887-11-05 01:39:49,837,613
"Russia",1888-11-05 01:39:49,900,667
"Russia",1889-11-05 01:39:49,843,741
"Russia",1890-11-05 01:39:49,844,928
"Russia",1891-11-05 01:39:49,871,1005
"Russia",1892-11-05 01:39:49,896,1073
"Russia",1893-11-05 01:39:49,890,1150
"Russia",1894-11-05 01:39:49,921,1333
"Russia",1895-11-05 01:39:49,928,1455
"Russia",1896-11-05 01:39:49,928,1624
"Russia",1897-11-05 01:39:49,928,1883
"Russia",1898-11-05 01:39:49,928,2244
"Russia",1899-11-05 01:39:49,938,2713
"Russia",1900-11-05 01:39:49,1142,2216
"Russia",1901-11-05 01:39:49,1142,2228
"Russia",1902-11-05 01:39:49,1160,2184
"Russia",1903-11-05 01:39:49,1160,2434
"Russia",1904-11-05 01:39:49,1160,2766
"Russia",1905-11-05 01:39:49,2365,2266
"Russia",1906-11-05 01:39:49,1236,2496
"Russia",1907-11-05 01:39:49,1234,2671
"Russia",1908-11-05 01:39:49,1381,2698
"Russia",1909-11-05 01:39:49,1434,2940
"Russia",1910-11-05 01:39:49,1380,3314
"Russia",1911-11-05 01:39:49,1427,3949
"Russia",1912-11-05 01:39:49,1434,4503
"Russia",1913-11-05 01:39:49,1286,4918
"Spain",1871-11-05 01:39:49,97,54
"Spain",1872-11-05 01:39:49,97,56
"Spain",1873-11-05 01:39:49,100,43
"Spain",1874-11-05 01:39:49,103,38
"Spain",1875-11-05 01:39:49,111,37
"Spain",1876-11-05 01:39:49,104,44
"Spain",1877-11-05 01:39:49,104,47
"Spain",1878-11-05 01:39:49,150,67
"Spain",1879-11-05 01:39:49,154,69
"Spain",1880-11-05 01:39:49,159,86
"Spain",1881-11-05 01:39:49,160,114
"Spain",1882-11-05 01:39:49,157,120
"Spain",1883-11-05 01:39:49,154,140
"Spain",1884-11-05 01:39:49,150,124
"Spain",1885-11-05 01:39:49,176,159
"Spain",1886-11-05 01:39:49,153,148
"Spain",1887-11-05 01:39:49,153,134
"Spain",1888-11-05 01:39:49,149,186
"Spain",1889-11-05 01:39:49,146,179
"Spain",1890-11-05 01:39:49,139,192
"Spain",1891-11-05 01:39:49,137,197
"Spain",1892-11-05 01:39:49,131,193
"Spain",1893-11-05 01:39:49,133,232
"Spain",1894-11-05 01:39:49,136,243
"Spain",1895-11-05 01:39:49,150,236
"Spain",1896-11-05 01:39:49,149,261
"Spain",1897-11-05 01:39:49,154,317
"Spain",1898-11-05 01:39:49,153,262
"Spain",1899-11-05 01:39:49,132,296
"Spain",1900-11-05 01:39:49,111,199
"Spain",1901-11-05 01:39:49,114,168
"Spain",1902-11-05 01:39:49,112,166
"Spain",1903-11-05 01:39:49,112,193
"Spain",1904-11-05 01:39:49,112,201
"Spain",1905-11-05 01:39:49,113,247
"Spain",1906-11-05 01:39:49,113,280
"Spain",1907-11-05 01:39:49,132,325
"Spain",1908-11-05 01:39:49,111,297
"Spain",1909-11-05 01:39:49,111,254
"Spain",1910-11-05 01:39:49,137,261
"Spain",1911-11-05 01:39:49,147,286
"Spain",1912-11-05 01:39:49,145,297
"Spain",1913-11-05 01:39:49,145,242
"United.Kingdom",1871-11-05 01:39:49,241,6733
"United.Kingdom",1872-11-05 01:39:49,254,6850
"United.Kingdom",1873-11-05 01:39:49,252,6671
"United.Kingdom",1874-11-05 01:39:49,248,6087
"United.Kingdom",1875-11-05 01:39:49,245,6467
"United.Kingdom",1876-11-05 01:39:49,244,6661
"United.Kingdom",1877-11-05 01:39:49,251,6715
"United.Kingdom",1878-11-05 01:39:49,261,6483
"United.Kingdom",1879-11-05 01:39:49,260,6091
"United.Kingdom",1880-11-05 01:39:49,248,7873
"United.Kingdom",1881-11-05 01:39:49,247,8275
"United.Kingdom",1882-11-05 01:39:49,247,8725
"United.Kingdom",1883-11-05 01:39:49,239,8666
"United.Kingdom",1884-11-05 01:39:49,240,7937
"United.Kingdom",1885-11-05 01:39:49,256,7534
"United.Kingdom",1886-11-05 01:39:49,265,7122
"United.Kingdom",1887-11-05 01:39:49,273,7681
"United.Kingdom",1888-11-05 01:39:49,273,8127
"United.Kingdom",1889-11-05 01:39:49,275,8457
"United.Kingdom",1890-11-05 01:39:49,278,8031
"United.Kingdom",1891-11-05 01:39:49,281,7525
"United.Kingdom",1892-11-05 01:39:49,288,6817
"United.Kingdom",1893-11-05 01:39:49,294,7089
"United.Kingdom",1894-11-05 01:39:49,302,7546
"United.Kingdom",1895-11-05 01:39:49,309,7827
"United.Kingdom",1896-11-05 01:39:49,315,8799
"United.Kingdom",1897-11-05 01:39:49,319,8937
"United.Kingdom",1898-11-05 01:39:49,331,8748
"United.Kingdom",1899-11-05 01:39:49,331,9572
